Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Uranium Explore,UXA,0.04,0.90,29.03,,,,,,,,,,,,
Orion Metals Ltd,ORM,0.079,1.70,27.42,,,,,,,,,,,,
Rox Res,RXL,0.019,0.40,26.67,,,,,,,,,,,,
Global Iron Ltd,GFE,0.48,10.00,26.32,,,,,,,,,,,,
Excalibur Min,EXM,0.005,0.10,25,,,,,,,,,,,,
Gullewa Ltd,GUL,0.10,2.00,25,,,,,,,,,,,,
Metminco Ltd opt dec12,MNCO,0.05,1.00,25,,,,,,,,,,,,
Rimfire Pacific,RIM,0.015,0.30,25,,,,,,,,,,,,
Astro Res NL,ARO,0.006,0.10,20,,,,,,,,,,,,
Golden Deeps,GED,0.06,1.00,20,,,,,,,,,,,,
Marion Energy opt dec11,MAEO,0.006,0.10,20,,,,,,,,,,,,
MIL Res,MGK,0.036,0.60,20,,,,,,,,,,,,
Red Sky Energy opt sep11,ROGOA,0.006,0.10,20,,,,,,,,,,,,
WCP Res Ltd opt jun10,WCPO,0.012,0.20,20,,,,,,,,,,,,
Talisman Min opt dec10,TLMO,0.395,6.50,19.7,,,,,,,,,,,,
Shield Min,SHX,0.225,3.50,18.42,,,,,,,,,,,,
Range Res Ltd opt dec11,RRSO,0.034,0.50,17.24,,,,,,,,,,,,
Excelsior Gold,EXG,0.041,0.60,17.14,,,,,,,,,,,,
Goldsearch Ltd,GSE,0.021,0.30,16.67,,,,,,,,,,,,
Proto Resource & opt dec11,PRWOB,0.007,0.10,16.67,,,,,,,,,,,,
RAM Res opt mar12,RMRO,0.007,0.10,16.67,,,,,,,,,,,,
Krucible Metals,KRB,0.36,5.00,16.13,,,,,,,,,,,,
GBM Rsources Ltd,GBZ,0.08,1.10,15.94,,,,,,,,,,,,
Exoma Energy Ltd opt mar11,EXEO,0.059,0.80,15.69,,,,,,,,,,,,
Carbon Energy,CNX,0.395,5.00,14.49,,,,,,,,,,,,
Regal Res opt nov11,REROB,0.008,0.10,14.29,,,,,,,,,,,,
Hunnu Coal Ltd,HUN,1.05,13.00,14.13,,,,,,,,,,,,
Eleckra Mines opt jun11,EKMO,0.05,0.60,13.64,,,,,,,,,,,,
Western Desert Res,WDR,0.34,4.00,13.33,,,,,,,,,,,,
Apollo Gas Ltd,AZO,0.60,7.00,13.21,,,,,,,,,,,,
Strategic Energy,SER,0.026,0.30,13.04,,,,,,,,,,,,
Gippsland Ltd,GIP,0.035,0.40,12.9,,,,,,,,,,,,
Aura Energy,AEE,0.18,2.00,12.5,,,,,,,,,,,,
Peninsula Min opt jun12,PENOA,0.019,0.20,11.76,,,,,,,,,,,,
Metrocoal Ltd,MTE,0.24,2.50,11.63,,,,,,,,,,,,
Hampton Hill Min,HHM,0.29,3.00,11.54,,,,,,,,,,,,
Groote Res Ltd opt jun10,GOTO,0.49,5.00,11.36,,,,,,,,,,,,
Buru Energy opt oct10,BRUO,0.01,0.10,11.11,,,,,,,,,,,,
Nido Pet,NDO,0.20,2.00,11.11,,,,,,,,,,,,
Zambezi Res cdi,ZRL,0.02,0.20,11.11,,,,,,,,,,,,
Centaurus Metals,CTM,0.072,0.70,10.77,,,,,,,,,,,,
Ausquest Ltd,AQD,0.155,1.50,10.71,,,,,,,,,,,,
Equatorial Coal,EQX,0.47,4.50,10.59,,,,,,,,,,,,
Energy And Min,EMA,0.16,1.50,10.34,,,,,,,,,,,,
Crossland Uranium,CUX,0.11,1.00,10,,,,,,,,,,,,
Gondwana Res,GDA,0.011,0.10,10,,,,,,,,,,,,
Liberty Resource,LBY,0.055,0.50,10,,,,,,,,,,,,
Spitfire Res,SPI,0.11,1.00,10,,,,,,,,,,,,
White Canyon Uranium,WCU,0.11,1.00,10,,,,,,,,,,,,
Outback Metals,OUM,0.023,0.20,9.52,,,,,,,,,,,,
Coalspur Mines opt jun11,CPLO,0.70,6.00,9.37,,,,,,,,,,,,
Metals X Ltd,MLX,0.12,1.00,9.09,,,,,,,,,,,,
Orion Metals Ltd opt feb11,ORMO,0.012,0.10,9.09,,,,,,,,,,,,
Prairie Downs Metals,PDZ,0.12,1.00,9.09,,,,,,,,,,,,
Carpentaria Exp opt jun10,CAPO,0.074,0.60,8.82,,,,,,,,,,,,
Allied Gold Ltd,ALD,0.38,3.00,8.57,,,,,,,,,,,,
Sipa Res Ltd,SRI,0.089,0.70,8.54,,,,,,,,,,,,
Acclaim Explore,AEX,0.013,0.10,8.33,,,,,,,,,,,,
Grand Gulf Energy,GGE,0.013,0.10,8.33,,,,,,,,,,,,
Great Western Exp,GTE,0.13,1.00,8.33,,,,,,,,,,,,
Hodges Res,HDG,0.13,1.00,8.33,,,,,,,,,,,,
K2 Energy Ltd,KTE,0.065,0.50,8.33,,,,,,,,,,,,
Red Metal Ltd,RDM,0.13,1.00,8.33,,,,,,,,,,,,
Sundance Res,SDL,0.13,1.00,8.33,,,,,,,,,,,,
Coalworks Ltd,CWK,0.33,2.50,8.2,,,,,,,,,,,,
Argo Explore,AXT,0.04,0.30,8.11,,,,,,,,,,,,
Indo Mines Ltd,IDO,0.27,2.00,8,,,,,,,,,,,,
Phosphate Aus Ltd,POZ,0.135,1.00,8,,,,,,,,,,,,
Regis Res opt jan14,RRLO,0.54,4.00,8,,,,,,,,,,,,
Murchison Metals,MMX,1.95,14.00,7.73,,,,,,,,,,,,
Golden Gate Pet opt aug12,GGPO,0.014,0.10,7.69,,,,,,,,,,,,
Jindalee Res,JRL,1.40,10.00,7.69,,,,,,,,,,,,
Oil Basins Ltd,OBL,0.028,0.20,7.69,,,,,,,,,,,,
Rocklands Rich,RCI,0.21,1.50,7.69,,,,,,,,,,,,
Aussie Q Res,AQR,0.295,2.00,7.27,,,,,,,,,,,,
Eldore Min,EDM,0.015,0.10,7.14,,,,,,,,,,,,
Gladiator Res,GLA,0.30,2.00,7.14,,,,,,,,,,,,
GME Res Ltd,GME,0.06,0.40,7.14,,,,,,,,,,,,
Greenland Min En,GGG,0.375,2.50,7.14,,,,,,,,,,,,
Latrobe Magnesium,LMG,0.015,0.10,7.14,,,,,,,,,,,,
Metminco Ltd,MNC,0.15,1.00,7.14,,,,,,,,,,,,
Solimar Energy,SGY,0.06,0.40,7.14,,,,,,,,,,,,
Sthn Gold,SAU,0.09,0.60,7.14,,,,,,,,,,,,
Gryphon Min Ltd,GRY,0.85,5.50,6.92,,,,,,,,,,,,
Horizon Oil Ltd,HZN,0.315,2.00,6.78,,,,,,,,,,,,
Fall River Res cdi,FRV,0.016,0.10,6.67,,,,,,,,,,,,
Jabiru Metals Ltd,JML,0.32,2.00,6.67,,,,,,,,,,,,
Metallica Min,MLM,0.24,1.50,6.67,,,,,,,,,,,,
Millennium Min,MOY,0.032,0.20,6.67,,,,,,,,,,,,
Thor Min Plc cdi,THR,0.016,0.10,6.67,,,,,,,,,,,,
Blue Energy Ltd,BUL,0.165,1.00,6.45,,,,,,,,,,,,
Altura Min Ltd,AJM,0.17,1.00,6.25,,,,,,,,,,,,
Austin Explore,AKK,0.034,0.20,6.25,,,,,,,,,,,,
Kairiki Energy,KIK,0.17,1.00,6.25,,,,,,,,,,,,
Manas Res Ltd,MSR,0.085,0.50,6.25,,,,,,,,,,,,
Cudeco Ltd,CDU,4.43,25.00,5.98,,,,,,,,,,,,
Augur Res Ltd,AUK,0.18,1.00,5.88,,,,,,,,,,,,
Batavia Min,BTV,0.18,1.00,5.88,,,,,,,,,,,,
Greenearth Energy,GER,0.09,0.50,5.88,,,,,,,,,,,,
Greenland Min En opt jun11,GGGO,0.18,1.00,5.88,,,,,,,,,,,,
Pluton Res,PLV,0.45,2.50,5.88,,,,,,,,,,,,
Navigator Res,NAV,0.185,1.00,5.71,,,,,,,,,,,,
European Gas,EPG,0.19,1.00,5.56,,,,,,,,,,,,
Zamia Gold Mines,ZGM,0.057,0.30,5.56,,,,,,,,,,,,
Transit Hldgs,TRH,0.195,1.00,5.41,,,,,,,,,,,,
Buccaneer Energy,BCC,0.059,0.30,5.36,,,,,,,,,,,,
Doray Min Ltd,DRM,0.70,3.50,5.26,,,,,,,,,,,,
Centennial Coal,CEY,4.43,22.00,5.23,,,,,,,,,,,,
Centrex Metals,CXM,0.41,2.00,5.13,,,,,,,,,,,,
Eureka Energy Ltd,EKA,0.205,1.00,5.13,,,,,,,,,,,,
Range Res Ltd,RRS,0.082,0.40,5.13,,,,,,,,,,,,
Aquila Res,AQA,8.72,42.00,5.06,,,,,,,,,,,,
Apex Min NL,AXM,0.021,0.10,5,,,,,,,,,,,,
Clean Global Energy,CGV,0.063,0.30,5,,,,,,,,,,,,
Diatreme Res,DRX,0.063,0.30,5,,,,,,,,,,,,
Gulf Res,GLF,0.021,0.10,5,,,,,,,,,,,,
Mamba Min,MAB,0.021,0.10,5,,,,,,,,,,,,
Pancontinental Oil,PCL,0.042,0.20,5,,,,,,,,,,,,
Range River Gold,RNG,0.021,0.10,5,,,,,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,,,,,
Eneabba Gas Ltd opt jun10,ENBOA,0.001,-2.30,-95.83,,,,,,,,,,,,
Intl Equities,IEQ,0.01,-2.30,-69.7,,,,,,,,,,,,
CVC Prop Fund unt,CJT,0.01,-0.80,-44.44,,,,,,,,,,,,
Allied Brands Ltd,ABQ,0.036,-2.70,-42.86,,,,,,,,,,,,
Prince Hill Wines,PHW,0.007,-0.30,-30,,,,,,,,,,,,
Pearl Healthcare,PHL,0.07,-2.50,-26.32,,,,,,,,,,,,
Global Prop,GPB,0.26,-9.00,-25.71,,,,,,,,,,,,
Synergy Plus Ltd,SNR,0.026,-0.80,-23.53,,,,,,,,,,,,
Eneabba Gas Ltd opt jun12,ENBOB,0.032,-0.80,-20,,,,,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.012,-0.30,-20,,,,,,,,,,,,
