Derivatives: Call Options - Weekly,,,,,,,,,,,,
XAO 4685.1 at 16:41 17/9/2010  Report at 19:07 Friday 17/9/2010. Processed 18:10 Sunday 19/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $16.00,,,,,,,,,,,,
Sep,10,5.00,1.77,1.65,-,-,25.70,1.00,3.85,,,
Sep,10,5.50,1.27,0.73,-,1,25.70,1.00,3.85,,,
Sep,10,5.75,1.02,1.00,-,-,25.70,1.00,3.85,,,
Sep,10,6.00,0.78,0.32,-,-,25.70,1.00,3.85,,,
Sep,10,6.25,0.53,0.39,-,-,25.70,0.99,3.85,,,
Sep,10,6.50,0.28,0.30,-,-,26.50,0.89,11.55,,,
Sep,10,6.75,0.09,0.23,-,75,21.80,0.56,53.91,,,
Sep,10,7.00,0.01,0.06,-,750,21.80,0.13,7.70,,,
Sep,10,7.25,-,0.04,-,20,21.80,-,30.81,,,
Sep,10,7.50,-,-,-,-,21.80,-,-,,,
Oct,10,0.01,6.79,-,-,-,-,-,4.49,,,
Oct,10,6.00,0.81,0.57,-,-,24.40,0.94,5.78,,,
Oct,10,6.25,0.59,0.59,-,-,24.30,0.86,9.63,,,
Oct,10,6.50,0.39,0.41,1,1,23.00,0.74,15.40,,,
Oct,10,6.75,0.22,0.24,100,301,21.30,0.57,25.67,,,
Oct,10,7.00,0.11,0.23,-,560,20.90,0.36,14.12,,,
Oct,10,7.25,0.05,0.10,-,79,20.80,0.20,6.42,,,
Oct,10,7.50,0.02,-,-,-,20.80,0.09,2.57,,,
Oct,10,7.75,0.01,-,-,-,20.80,0.04,0.77,,,
Nov,10,0.01,6.82,-,-,-,-,-,4.62,,,
Nov,10,6.00,0.86,-,-,-,24.00,0.91,6.93,,,
Nov,10,6.25,0.65,0.59,-,-,23.90,0.82,10.01,,,
Nov,10,6.50,0.46,0.34,-,74,22.40,0.72,14.25,,,
Nov,10,6.75,0.29,0.32,5,263,21.70,0.58,21.18,,,
Nov,10,7.00,0.17,0.25,-,3153,20.30,0.42,12.71,,,
Nov,10,7.25,0.09,-,-,-,20.30,0.27,6.93,,,
Nov,10,7.50,0.04,-,-,-,20.30,0.16,3.47,,,
Nov,10,7.75,0.02,-,-,-,20.30,0.09,1.54,,,
Dec,10,0.01,6.85,-,-,248,-,-,4.95,,,
Dec,10,5.50,1.35,0.70,-,-,22.70,0.98,4.40,,,
Dec,10,5.75,1.12,0.80,-,-,22.60,0.94,5.23,,,
Dec,10,6.00,0.89,0.82,-,31,22.40,0.89,6.60,,,
Dec,10,6.25,0.69,0.65,-,362,22.00,0.82,9.08,,,
Dec,10,6.50,0.50,0.47,-,236,21.10,0.72,12.38,,,
Dec,10,6.75,0.33,0.36,-,369,20.00,0.59,17.05,,,
Dec,10,7.00,0.20,0.31,-,226,19.10,0.45,11.28,,,
Dec,10,7.25,0.13,0.15,-,82,19.20,0.31,6.88,,,
Dec,10,7.50,0.07,0.13,-,22,19.10,0.20,3.85,,,
Dec,10,7.75,0.04,-,-,-,19.50,0.13,2.20,,,
Jan,11,0.01,6.88,-,-,-,-,-,4.86,,,
Jan,11,6.00,0.95,-,-,27,23.00,0.86,7.30,,,
Jan,11,6.25,0.72,-,-,2,20.20,0.81,8.31,,,
Jan,11,6.50,0.56,-,-,-,20.60,0.71,11.55,,,
Jan,11,6.75,0.40,-,-,-,20.10,0.60,15.40,,,
Jan,11,7.00,0.27,-,-,-,19.60,0.48,10.95,,,
Jan,11,7.25,0.19,0.23,-,26,20.30,0.37,7.70,,,
Jan,11,7.50,0.11,-,-,-,19.10,0.26,4.46,,,
Feb,11,0.01,6.91,-,-,-,-,-,5.02,,,
Feb,11,6.00,1.00,-,-,-,24.20,0.84,7.70,,,
Feb,11,6.25,0.78,-,-,-,21.30,0.79,8.71,,,
Feb,11,6.50,0.63,-,-,24,22.60,0.70,12.06,,,
Feb,11,6.75,0.45,-,-,-,20.60,0.61,14.40,,,
Feb,11,7.00,0.34,-,-,-,21.30,0.51,11.55,,,
Feb,11,7.25,0.25,-,-,5,21.00,0.41,8.20,,,
Feb,11,7.50,0.17,-,-,-,21.00,0.31,5.69,,,
Mar,11,0.01,6.81,-,-,-,-,-,1.43,,,
Mar,11,5.50,1.41,1.20,-,85,20.70,0.95,3.99,,,
Mar,11,6.00,0.97,-,-,-,20.50,0.86,5.85,,,
Mar,11,6.25,0.78,-,-,108,20.40,0.80,7.42,,,
Mar,11,6.50,0.59,0.54,-,182,19.50,0.72,9.27,,,
Mar,11,6.75,0.44,0.34,-,89,18.90,0.62,11.84,,,
Mar,11,7.00,0.31,0.30,-,16,18.60,0.52,8.84,,,
Mar,11,7.25,0.22,-,-,-,19.00,0.42,6.28,,,
Mar,11,7.50,0.15,-,-,-,19.00,0.32,4.28,,,
Jun,11,0.01,6.89,-,-,-,-,-,2.60,,,
Jun,11,5.75,1.25,1.27,18,10,23.60,0.87,4.52,,,
Jun,11,6.00,1.05,-,-,26,22.40,0.83,5.39,,,
Jun,11,6.25,0.85,-,-,40,21.10,0.78,6.45,,,
Jun,11,6.50,0.69,0.56,-,53,20.40,0.71,7.99,,,
Jun,11,6.75,0.54,-,-,-,20.00,0.64,10.01,,,
Jun,11,7.00,0.41,-,-,13,19.50,0.56,7.99,,,
Jun,11,7.25,0.33,0.38,-,9,19.70,0.48,6.26,,,
Jun,11,7.50,0.25,-,-,-,19.80,0.40,4.81,,,
AMP Ltd Last Sale Price $5.07,,,,,,,,,,,,
Sep,10,0.01,5.07,5.41,-,50,-,1.00,5.14,,,
Sep,10,4.50,0.57,0.77,-,-,37.40,0.99,5.14,,,
Sep,10,4.75,0.34,0.29,-,6,38.00,0.92,15.43,,,
Sep,10,5.00,0.12,0.13,85,1089,27.10,0.67,46.28,,,
Sep,10,5.25,0.01,0.03,125,1675,27.90,0.18,15.43,,,
Sep,10,5.50,0.00,0.01,39,1285,27.90,0.01,1.03,,,
Sep,10,5.75,-,0.01,25,865,27.90,-,10.28,,,
Sep,10,6.00,-,0.01,-,403,27.90,-,10.28,,,
Sep,10,6.25,-,0.01,-,606,27.90,-,10.28,,,
Sep,10,6.50,-,0.03,-,380,27.90,-,30.85,,,
Sep,10,6.75,-,0.01,-,253,27.90,-,15.43,,,
Sep,10,7.00,-,0.11,-,354,27.90,-,107.99,,,
Sep,10,7.25,-,0.10,-,170,27.90,-,97.70,,,
Sep,10,7.50,-,0.11,-,20,27.90,-,107.99,,,
Sep,10,8.00,-,0.19,-,41,27.90,-,190.26,,,
Sep,10,8.50,-,0.14,-,24,27.90,-,149.13,,,
Sep,10,9.00,-,0.09,-,10,27.90,-,92.56,,,
Oct,10,0.01,5.09,-,-,-,-,-,4.29,,,
Oct,10,4.50,0.63,-,-,-,32.20,0.89,9.43,,,
Oct,10,4.75,0.41,0.43,-,41,28.60,0.79,15.43,,,
Oct,10,5.00,0.22,0.22,110,167,25.20,0.61,25.71,,,
Oct,10,5.25,0.10,0.12,455,1717,23.10,0.37,16.28,,,
Oct,10,5.26,0.09,0.10,-,15,23.10,0.36,15.43,,,
Oct,10,5.50,0.04,0.06,28,275,23.30,0.18,6.00,,,
Oct,10,5.75,0.01,0.02,-,189,23.30,0.07,1.71,,,
Oct,10,5.76,0.04,-,-,-,33.10,0.15,6.86,,,
Oct,10,6.00,0.00,0.06,-,22,23.30,0.02,0.51,,,
Oct,10,6.25,0.00,0.14,-,11,23.30,-,0.17,,,
Oct,10,6.50,-,0.12,-,4,23.30,-,19.71,,,
Nov,10,0.01,5.11,-,-,-,-,-,4.63,,,
Nov,10,4.50,0.66,0.69,4,4,29.70,0.86,9.26,,,
Nov,10,4.75,0.46,-,-,-,27.10,0.76,13.88,,,
Nov,10,4.76,0.42,-,-,-,23.90,0.78,11.83,,,
Nov,10,5.00,0.28,0.24,-,308,24.90,0.61,21.60,,,
Nov,10,5.01,0.27,-,-,-,24.30,0.61,21.60,,,
Nov,10,5.25,0.15,0.13,139,2727,23.40,0.43,15.43,,,
Nov,10,5.26,0.14,-,-,-,22.10,0.41,13.88,,,
Nov,10,5.50,0.07,0.07,52,147,22.30,0.25,6.68,,,
Nov,10,5.51,0.07,-,-,-,22.90,0.25,7.20,,,
Nov,10,5.75,0.03,0.16,-,7,22.30,0.13,3.09,,,
Nov,10,5.76,0.03,-,-,-,22.90,0.13,3.09,,,
Dec,10,0.01,5.13,-,-,-,-,-,4.77,,,
Dec,10,4.00,1.14,1.15,1,27,31.70,0.95,5.14,,,
Dec,10,4.25,0.91,0.93,10,39,29.90,0.91,6.61,,,
Dec,10,4.50,0.69,-,-,-,28.10,0.84,9.18,,,
Dec,10,4.75,0.50,-,-,-,26.30,0.75,13.22,,,
Dec,10,5.00,0.32,0.30,-,25,24.00,0.62,18.37,,,
Dec,10,5.25,0.20,0.19,10,158,23.40,0.46,14.32,,,
Dec,10,5.50,0.10,0.12,18,756,21.90,0.30,7.35,,,
Dec,10,5.75,0.05,0.06,-,1339,21.70,0.18,3.67,,,
Dec,10,6.00,0.03,0.11,-,355,21.70,0.09,1.84,,,
Dec,10,6.25,0.01,0.02,-,208,21.70,0.05,0.73,,,
Dec,10,6.50,0.00,0.15,-,47,21.70,0.02,0.29,,,
Dec,10,6.75,0.00,0.23,-,143,21.70,-,-,,,
Dec,10,7.00,0.00,0.17,-,84,21.70,-,-,,,
Dec,10,7.25,-,0.04,-,35,21.70,-,2.94,,,
Dec,10,7.75,-,0.32,-,40,21.70,-,23.51,,,
Dec,10,8.25,-,0.28,-,1,21.70,-,20.20,,,
Jan,11,0.01,5.15,-,-,-,-,-,4.87,,,
Jan,11,4.50,0.71,0.72,6,-,24.80,0.85,7.85,,,
Jan,11,4.75,0.56,-,-,-,27.00,0.73,12.72,,,
Jan,11,5.00,0.39,0.39,-,49,25.50,0.62,17.32,,,
Jan,11,5.25,0.25,-,-,-,23.30,0.49,13.26,,,
Jan,11,5.50,0.14,-,-,87,22.40,0.35,7.85,,,
Jan,11,5.75,0.10,0.16,-,6,23.10,0.25,5.14,,,
Feb,11,0.01,5.00,-,-,-,-,-,-,,,
Feb,11,4.50,0.74,-,-,-,24.60,0.83,7.60,,,
Feb,11,4.75,0.59,-,-,16,27.90,0.72,12.30,,,
Feb,11,5.00,0.40,0.39,-,43,23.90,0.63,14.76,,,
Feb,11,5.25,0.29,-,-,5,25.00,0.51,13.19,,,
Feb,11,5.50,0.17,-,-,-,22.10,0.38,7.38,,,
Feb,11,5.75,0.10,0.11,-,13,22.10,0.27,4.47,,,
Mar,11,0.01,5.03,-,-,-,-,-,-,,,
Mar,11,4.50,0.77,0.81,-,5,26.50,0.81,7.43,,,
Mar,11,4.75,0.58,0.59,-,20,26.40,0.72,10.09,,,
Mar,11,5.00,0.43,0.63,-,41,25.40,0.63,13.71,,,
Mar,11,5.25,0.29,0.19,-,21,23.90,0.52,11.05,,,
Mar,11,5.50,0.19,0.14,3,135,23.10,0.41,7.05,,,
Mar,11,5.75,0.11,0.14,-,99,22.40,0.30,4.19,,,
