Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
31/10/2014,MISC Berhad,6.86,,
31/10/2014,MMC Corporation Bhd,2.64,,
31/10/2014,Petronas Chemicals Group Bhd,6.15,,
31/10/2014,Petronas Dagangan Bhd,20.4,,
31/10/2014,Petronas Gas Bhd,22.48,,
07/12/2011,PLUS Expressways Bhd,4.43,,
31/10/2014,PPB Group Bhd,15.82,,
31/10/2014,Public Bank Bhd,18.54,,
31/10/2014,RHB Capital Bhd,8.8,,
31/10/2014,Sime Darby Berhad,9.68,,
31/10/2014,Telekom Malaysia Bhd,7.2,,
31/10/2014,Tenaga Nasional Bhd,13.36,,
31/10/2014,Umw Holdings Bhd,11.68,,
31/10/2014,YTL Corp Bhd,1.66,,
31/10/2014,YTL Power International Bhd,1.59,,
,
New Zealand Exchange,
Quoted in NZ Dollars,
,
Trading date,Company name,Last sale,,
31/10/2014,Air New Zealand Ltd,2.01,,
31/10/2014,AMP Ltd,6.47,,
31/10/2014,AMP NZ Office Ltd,1.1,,
30/10/2014,Apn News & Media Ltd,.85,,
31/10/2014,Auckland International Airport Ltd,3.87,,
31/10/2014,Australia and New Zealand Banking Group Ltd,37.55,,
31/10/2014,Cavalier Corp Ltd,.92,,
31/10/2014,Contact Energy Ltd,6.2,,
31/10/2014,DNZ Property Fund Ltd,1.755,,
31/10/2014,Ebos Group Ltd,9.57,,
19/11/2012,Fisher and Paykel Appliances Holdings Ltd,1.275,,
31/10/2014,Fisher and Paykel Healthcare Corp Ltd,5.59,,
31/10/2014,Fletcher Building Ltd,8.6,,
31/10/2014,Freightways Ltd,5.7,,
31/10/2014,Goodman Fielder Ltd,.71,,
31/10/2014,Goodman Property Trust,1.1,,
31/10/2014,Guinness Peat Group PLC,.52,,
31/10/2014,Hallenstein Glasson Holdings Ltd,3.3,,
31/10/2014,Heartland New Zealand Ltd,1,,
31/10/2014,Infratil Ltd,2.865,,
31/10/2014,Kathmandu Holdings Ltd,3.16,,
31/10/2014,Kiwi Income Property Trust,1.205,,
31/10/2014,Mainfreight Ltd,15.87,,
31/10/2014,Methven Ltd,1.11,,
31/10/2014,Michael Hill International Ltd,1.32,,
31/10/2014,New Zealand Oil And Gas Ltd,.735,,
31/10/2014,New Zealand Refining Co Ltd,1.7,,
31/10/2014,Nuplex Industries Ltd,3.15,,
31/10/2014,NZX Ltd,1.19,,
31/10/2014,Pan Pacific Petroleum N L,.052,,
31/10/2014,Pgg Wrightson Ltd,.46,,
31/10/2014,Port of Tauranga Ltd,16.28,,
31/10/2014,Property For Industry Ltd,1.46,,
31/10/2014,Pumpkin Patch Ltd,.36,,
31/10/2014,Rakon Ltd,.34,,
31/10/2014,Restaurant Brands New Zealand Ltd,3.65,,
31/10/2014,Ryman Healthcare Ltd,7.59,,
31/10/2014,Sanford Ltd,5,,
31/10/2014,Skellerup Holdings Ltd,1.45,,
31/10/2014,Sky Network Television Ltd,6.36,,
31/10/2014,Skycity Entertainment Group Ltd,3.91,,
31/10/2014,Steel and Tube Holdings Ltd,2.99,,
31/10/2014,Telecom Corp Of New Zealand Ltd,3.155,,
30/10/2014,Telstra Corp Ltd,6.25,,
31/10/2014,Tower Ltd,1.97,,
31/10/2014,Trustpower Ltd,7.5,,
31/10/2014,Vector Ltd,2.73,,
31/10/2014,Vital Healthcare Property Trust,1.53,,
31/10/2014,Warehouse Group Ltd,3.11,,
31/10/2014,Westpac Banking Corp,38.92,,
,
Singapore Exchange,
Quoted in Singapore Dollars,
,
Trading date,Company name,Last sale,,
31/10/2014,Capitaland,3.17,,
31/10/2014,CapitaMall Trust,1.97,,
09/06/2014,CapitaMalls Asia,2.35,,
31/10/2014,City Developments,9.45,,
31/10/2014,ComfortDelgro Corporation,2.64,,
31/10/2014,DBS Group Holdings,18.48,,
30/10/2014,Fraser and Neave,3.15,,
31/10/2014,Genting Singapore,1.1,,
31/10/2014,Global Logistic Properties,2.75,,
31/10/2014,Golden Agri-Resources,.52,,
31/10/2014,Jardine Cycle & Carriage,39.9,,
31/10/2014,Keppel Corp,9.44,,
31/10/2014,Neptune Orient Lines,.835,,
31/10/2014,Noble Group,1.195,,
31/10/2014,Olam International,2.13,,
31/10/2014,Oversea-Chinese Banking Corporation,9.89,,
31/10/2014,SembCorp Industries,4.87,,
31/10/2014,SembCorp Marine,3.64,,
31/10/2014,SIA Engineering,4.76,,
31/10/2014,Singapore Airlines,9.9,,
31/10/2014,Singapore Exchange,7,,
31/10/2014,Singapore Press Holdings,4.28,,
31/10/2014,Singapore Technologies Engineering,3.75,,
31/10/2014,SMRT Corporation,1.49,,
31/10/2014,StarHub,4.13,,
31/10/2014,United Overseas Bank,23,,
31/10/2014,Wilmar International Limited,3.2,,
,
Johannesburg Stock Exchange,
Quoted in Rand,
,
Trading date,Company name,Last sale,,
31/10/2014,Absa Group Ltd,"17,416",,
11/08/2014,African Bank Investments Ltd,31,,
31/10/2014,African Rainbow Minerals Ltd,"13,590",,
31/10/2014,Anglo American Platinum Ltd,"34,796",,
31/10/2014,Anglo American PLC,"23,184",,
31/10/2014,Anglogold Ashanti Ltd,"9,350",,
31/10/2014,ArcelorMittal South Africa Ltd,"3,256",,
31/10/2014,Aspen Pharmacare Holdings Ltd,"39,344",,
31/10/2014,Assore Ltd,"20,469",,
31/10/2014,BHP Billiton PLC,"28,318",,
31/10/2014,Bidvest Group Ltd,"30,337",,
31/10/2014,Capital Shopping Centres Group PLC,"6,036",,
31/10/2014,Compagne Financiere Richemont SA,"9,267",,
31/10/2014,Exxaro Resources Ltd,"11,500",,
31/10/2014,Firstrand Ltd,"4,720",,
31/10/2014,Gold Fields Ltd,"3,640",,
31/10/2014,Growthpoint Properties Ltd,"2,675",,
31/10/2014,Harmony Gold Mining Co,"1,800",,
31/10/2014,Impala Platinum Holdings Ltd,"8,029",,
31/10/2014,Investec Ltd,"10,070",,
31/10/2014,Investec PLC,"9,998",,
31/10/2014,Kumba Iron Ore Ltd,"27,545",,
31/10/2014,Lonmin PLC,"3,062",,
31/10/2014,Massmart Holdings Ltd,"11,913",,
31/10/2014,Mondi Ltd,"18,442",,
31/10/2014,Mondi PLC,"18,607",,
31/10/2014,Mtn Group Ltd,"24,400",,
31/10/2014,Naspers Ltd,"137,264",,
31/10/2014,Nedbank Group Ltd,"24,024",,
31/10/2014,Old Mutual PLC,"3,422",,
31/10/2014,Reinet Investments SCA,"2,485",,
31/10/2014,Remgro Ltd,"25,298",,
31/10/2014,RMB Holdings,"6,121",,
31/10/2014,SABMiller PLC,"62,112",,
31/10/2014,Sanlam,"6,965",,
31/10/2014,Sasol Ltd,"54,919",,
31/10/2014,Shoprite Holdings Ltd,"15,978",,
31/10/2014,Standard Bank Group Ltd,"13,875",,
31/10/2014,Steinhoff International Holdings Ltd,"5,640",,
31/10/2014,Tiger Brands Ltd,"33,161",,
,
Korea Exchange,
Quoted in Korean Won,
,
Trading date,Company name,Last sale,,
31/10/2014,Daewoo Engineering & Construction Co Ltd,"6,550",,
31/10/2014,DAEWOO SECURITIES CO LTD,"11,200",,
31/10/2014,Daewoo Shipbuilding & Marine Engineering Co Ltd,"18,300",,
31/10/2014,Doosan Heavy Industries & Construction Co Ltd,"23,450",,
31/10/2014,GS Engineering & Construction Corp,"28,100",,
31/10/2014,GS Holdings Corp,"41,450",,
31/10/2014,Hana Financial Group Inc,"37,050",,
31/10/2014,Honam Petrochemical Corp,"145,000",,
31/10/2014,Hynix Semiconductor Inc,"47,450",,
31/10/2014,Hyundai Engineering & Construction Co Ltd,"48,550",,
31/10/2014,Hyundai Heavy Industries Co Ltd,"99,200",,
31/10/2014,Hyundai Merchant Marine Co Ltd,"11,500",,
31/10/2014,Hyundai Mobis Co Ltd,"250,000",,
31/10/2014,Hyundai Motor Co,"170,000",,
31/10/2014,Hyundai Steel Co,"68,100",,
31/10/2014,Industrial Bank Of Korea,"15,650",,
31/10/2014,Kangwon Land Inc,"35,000",,
31/10/2014,KB Financial Group Inc,"42,000",,
31/10/2014,KIA Motors Corp,"52,100",,
31/10/2014,Korea Electric Power Corp,"46,450",,
02/04/2013,Korea Exchange Bank,"7,010",,
31/10/2014,Korea Life Insurance Co Ltd,"8,210",,
31/10/2014,Korean Air Lines Co Ltd,"37,950",,
31/10/2014,KT Corp,"32,800",,
31/10/2014,KT&G Corp,"95,000",,
31/10/2014,LG Chem Ltd,"200,000",,
31/10/2014,LG Corp,"63,600",,
