Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,MISC Berhad,4.43,,
17/08/2012,MMC Corporation Bhd,2.39,,
17/08/2012,Petronas Chemicals Group Bhd,6.54,,
17/08/2012,Petronas Dagangan Bhd,22.38,,
17/08/2012,Petronas Gas Bhd,19.28,,
07/12/2011,PLUS Expressways Bhd,4.43,,
17/08/2012,PPB Group Bhd,14.04,,
17/08/2012,Public Bank Bhd,14.38,,
17/08/2012,RHB Capital Bhd,7.26,,
17/08/2012,Sime Darby Berhad,9.8,,
17/08/2012,Telekom Malaysia Bhd,5.96,,
17/08/2012,Tenaga Nasional Bhd,6.8,,
17/08/2012,Umw Holdings Bhd,9.96,,
17/08/2012,YTL Corp Bhd,1.86,,
17/08/2012,YTL Power International Bhd,1.79,,
,
New Zealand Exchange,
Quoted in NZ Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,Air New Zealand Ltd,.925,,
17/08/2012,AMP Ltd,5.68,,
17/08/2012,AMP NZ Office Ltd,.975,,
17/08/2012,Apn News & Media Ltd,.55,,
17/08/2012,Auckland International Airport Ltd,2.54,,
17/08/2012,Australia and New Zealand Banking Group Ltd,31.56,,
17/08/2012,Cavalier Corp Ltd,1.75,,
17/08/2012,Contact Energy Ltd,4.9,,
17/08/2012,DNZ Property Fund Ltd,1.545,,
17/08/2012,Ebos Group Ltd,7.95,,
17/08/2012,Fisher and Paykel Appliances Holdings Ltd,.61,,
17/08/2012,Fisher and Paykel Healthcare Corp Ltd,1.93,,
17/08/2012,Fletcher Building Ltd,6.55,,
17/08/2012,Freightways Ltd,3.98,,
17/08/2012,Goodman Fielder Ltd,.7,,
17/08/2012,Goodman Property Trust,1.01,,
17/08/2012,Guinness Peat Group PLC,.51,,
17/08/2012,Hallenstein Glasson Holdings Ltd,4.39,,
17/08/2012,Heartland New Zealand Ltd,.56,,
17/08/2012,Infratil Ltd,2.105,,
17/08/2012,Kathmandu Holdings Ltd,1.77,,
17/08/2012,Kiwi Income Property Trust,1.09,,
17/08/2012,Mainfreight Ltd,9.52,,
17/08/2012,Methven Ltd,1.33,,
17/08/2012,Michael Hill International Ltd,1.08,,
17/08/2012,New Zealand Oil And Gas Ltd,.83,,
17/08/2012,New Zealand Refining Co Ltd,2.45,,
17/08/2012,Nuplex Industries Ltd,2.73,,
17/08/2012,NZX Ltd,1.14,,
15/08/2012,Pan Pacific Petroleum N L,.2,,
17/08/2012,Pgg Wrightson Ltd,.32,,
17/08/2012,Port of Tauranga Ltd,11.76,,
17/08/2012,Property For Industry Ltd,1.155,,
17/08/2012,Pumpkin Patch Ltd,1.01,,
17/08/2012,Rakon Ltd,.42,,
17/08/2012,Restaurant Brands New Zealand Ltd,2.25,,
17/08/2012,Ryman Healthcare Ltd,3.62,,
17/08/2012,Sanford Ltd,3.91,,
17/08/2012,Skellerup Holdings Ltd,1.52,,
17/08/2012,Sky Network Television Ltd,5.24,,
17/08/2012,Skycity Entertainment Group Ltd,3.78,,
17/08/2012,Steel and Tube Holdings Ltd,2.18,,
17/08/2012,Telecom Corp Of New Zealand Ltd,2.685,,
17/08/2012,Telstra Corp Ltd,5.02,,
17/08/2012,Tower Ltd,1.75,,
17/08/2012,Trustpower Ltd,7.86,,
17/08/2012,Vector Ltd,2.74,,
17/08/2012,Vital Healthcare Property Trust,1.24,,
17/08/2012,Warehouse Group Ltd,2.69,,
17/08/2012,Westpac Banking Corp,31.5,,
,
Singapore Exchange,
Quoted in Singapore Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,Capitaland,3.03,,
17/08/2012,CapitaMall Trust,1.93,,
17/08/2012,CapitaMalls Asia,1.645,,
17/08/2012,City Developments,11.47,,
17/08/2012,ComfortDelgro Corporation,1.7,,
17/08/2012,DBS Group Holdings,14.73,,
16/08/2012,Fraser and Neave,8.4,,
