Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Kddi Corp,"2,946",,
30/10/2015,Keio Corp,989,,
30/10/2015,Keisei Electric Railway Co Ltd,"1,499",,
30/10/2015,Kikkoman Corp,"3,815",,
30/10/2015,Kirin Holdings Co Ltd,"1,721",,
30/10/2015,Kobe Steel Ltd,154,,
30/10/2015,KOMATSU Ltd,"2,002",,
30/10/2015,Konami Corp,"2,758",,
30/10/2015,Konica Minolta Holdings Inc,"1,251",,
30/10/2015,Kubota Corp,"1,891",,
30/10/2015,Kuraray Co Ltd,"1,500",,
30/10/2015,Kyocera Corp,"5,503",,
30/10/2015,Kyowa Hakko Kirin Co Ltd,"2,002",,
30/10/2015,Marubeni Corp,702.4,,
26/03/2014,Maruha Nichiro Holdings Inc,170,,
30/10/2015,Marui Group Co Ltd,"1,573",,
30/10/2015,Matsui Securities Co Ltd,"1,073",,
30/10/2015,Mazda Motor Corp,"2,404.5",,
30/10/2015,Meidensha Corp,427,,
30/10/2015,Meiji Holding Co Ltd,"9,590",,
30/10/2015,Minebea Co Ltd,"1,346",,
30/10/2015,Mitsubishi Chemical Hldg Corp,760.4,,
30/10/2015,Mitsubishi Corp,"2,212.5",,
30/10/2015,Mitsubishi Electric Corp,"1,270",,
30/10/2015,Mitsubishi Estate Co Ltd,"2,607",,
30/10/2015,Mitsubishi Heavy Industries Ltd,614.1,,
30/10/2015,Mitsubishi Logistics Corp,"1,746",,
30/10/2015,Mitsubishi Materials Corp,424,,
30/10/2015,Mitsubishi Motors Corp,"1,080",,
30/10/2015,Mitsubishi Paper Mills Ltd,83,,
30/10/2015,Mitsubishi UFJ Financial Group Inc,790.6,,
30/10/2015,Mitsui & Co Ltd,"1,540.5",,
30/10/2015,Mitsui Chemicals Inc,461,,
30/10/2015,Mitsui Engineering and Shipbuilding Co Ltd,187,,
30/10/2015,Mitsui Fudosan Co Ltd,"3,310",,
30/10/2015,Mitsui Mining And Smelting Co Ltd,234,,
30/10/2015,Mitsui OSK Lines Ltd,325,,
30/10/2015,Mitsumi Electric Co Ltd,737,,
30/10/2015,Mizuho Financial Group Inc,250.3,,
26/08/2011,Mizuho Securities Co Ltd,165,,
26/08/2011,Mizuho Trust & Banking Co Ltd,59,,
30/10/2015,Ms&Ad Insurance Group Holding Inc,"3,592",,
30/10/2015,Nec Corp,375,,
30/10/2015,NGK Insulators Ltd,"2,636",,
30/10/2015,Nichirei Corp,791,,
30/10/2015,Nikon Corp,"1,572",,
30/10/2015,Nippon Electric Glass Co Ltd,597,,
30/10/2015,Nippon Express Co Ltd,627,,
30/10/2015,Nippon Kayaku Co Ltd,"1,267",,
25/09/2012,Nippon Light Metal Co Ltd,76,,
30/10/2015,Nippon Meat Packers Inc,"2,531",,
26/03/2013,Nippon Paper Group Inc,"1,466",,
30/10/2015,Nippon Sheet Glass Co Ltd,105,,
30/10/2015,Nippon Soda Co Ltd,944,,
30/10/2015,Nippon Steel Corp,"2,471",,
30/10/2015,Nippon Suisan Kaisha Ltd,407,,
30/10/2015,Nippon Telegraph And Telephone Corp,"4,486",,
30/10/2015,Nippon Yusen KK,318,,
30/10/2015,Nissan Chemical Industries Ltd,"3,020",,
30/10/2015,Nissan Motor Co Ltd,"1,266.5",,
30/10/2015,Nisshin Seifun Group Inc,"1,858",,
25/09/2012,Nisshin Steel Co Ltd,84,,
30/10/2015,Nisshinbo Holdings Inc,"1,649",,
30/10/2015,Nitto Boseki Co Ltd,367,,
30/10/2015,NKSJ Holdings Inc,"3,828",,
30/10/2015,Nomura Hldg Inc,765.6,,
30/10/2015,NSK Ltd,"1,442",,
30/10/2015,Ntn Corp,607,,
30/10/2015,NTT Data Corp,"6,050",,
30/10/2015,NTT Docomo Inc,"2,357.5",,
30/10/2015,Obayashi Corp,"1,064",,
30/10/2015,Odakyu Electric Railway Co Ltd,"1,188",,
