ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 13, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5788.0 at 2015-03-13T17:17:36. Report at Friday, March 13, 2015. Processed Saturday at 2015-03-14T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BGG,-,2.449,2.629,.071,.20,.40,2.87,2.8,-,-,-,,Blackgold Int'l,,.08,-,.06,.079,.08,.08,+1.37,.163,.045,,
BGGO,-,-,-,.002,-,-,-,-,-,-,-,,  opt jul16,,.017,-,-,.011,.017,.017,+1.37,.017,.017,,
BLK,2389.02,28.108,3.696,.020,-,-,-1.79,-,-,-,-,,Blackham Res,,.115,-1,.115,.12,.125,.115,-6.63,.26,.043,,
BLZ,-,7.784,4.500,.004,-,-,-.02,-,-,-,-,,Blaze Int'l,,.001,-,-,.001,.001,.001,+1.37,.002,.001,,
BGH,-,.098,1.305,.002,-,-,-.34,-,-,-,-,,Bligh Res,,.025,-,.002,.018,.025,.025,+1.37,.052,.025,,
BDI,2731.50,39.326,30.113,.003,-,-,.02,10.0,-,-,-,,Blina Minerals,,.002,+.1,.001,.002,.002,.001,+101.4,.003,.001,,
BUL,496.941,13.470,30.920,.040,-,-,-.48,-,-,-,-,,Blue Energy,,.035,-.2,.035,.036,.039,.035,-4.03,.062,.024,,
BMG,-,1.413,21.087,-,-,-,-1.42,-,-,-,-,,BMG Res,†,.013,-,.01,.012,.013,.013,+1.37,.102,.006,,
BOA,269.500,2.293,.842,.009,-,-,-.46,-,-,-,-,,Boadicea Res,,.19,+4,.19,.205,.21,.17,+28.04,.25,.10,,
BBR,269.369,1.655,.775,.009,-,-,-2.27,-,-,-,-,,Bora Bora Res,,.24,+5.5,.21,.24,.27,.18,+31.10,.84,.17,,
BOE,1579.30,31.124,12.840,.010,-,-,-.16,-,-,-,-,,Boss Resources,,.018,-,.018,.02,.018,.018,+1.37,.041,.009,,
BML,9691.88,42.710,56.635,.009,-,-,-.21,-,-,-,-,,Botswana Metals,,.015,-.3,.014,.016,.018,.014,-15.29,.041,.008,,
BMLOB,8359.68,28.343,8.884,.003,-,-,-,-,-,-,-,,  opt dec16,,.007,-,.006,.007,.007,.005,+1.37,.025,.002,,
BOC,77.594,5.393,.678,.096,.18,1.33,-20.60,-,-,-,-,,Bougainville Copper,,.24,+2,.225,.38,.24,.22,+10.46,.59,.19,,
BGD,92.609,48.532,-,.003,.01,1.00,-172.04,-,-,-,-,,Boulder Steel,†,.01,-,.01,.011,.01,.01,+1.37,.736,.008,,
BGDO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun15,†,-,-,-,.001,.003,.003,+1.37,.003,.003,,
BUY,1913.20,17.464,13.888,.012,-,-,.12,10.8,-,-,-,,Bounty Oil & Gas,,.013,+.1,.012,.013,.013,.012,+9.71,.02,.01,,
BZL,-,1.266,.010,.041,-,-,-.36,-,-,-,-,,BrazIron,,.049,-,.018,.035,.049,.049,+1.37,.05,.01,,
BRB,-,.049,1.118,.005,-,-,.09,83.3,-,-,-,,Breaker Res,,.075,-,-,.075,.075,.075,+1.37,.11,.06,,
BRBCA,-,-,.163,-,-,-,-,-,-,-,-,,  ctg,,.015,-,-,.026,.015,.015,+1.37,.028,.015,,
BCK,40.500,1.364,5.162,.386,-,-,-.59,-,-,-,-,,Brockman Min,,.046,-.7,.045,.05,.053,.046,-11.83,.057,.04,,
BPL,187.621,1.029,.386,.005,-,-,-.64,-,-,-,-,,Broken Hill Prospecting,,.052,-,.055,.06,.052,.052,+1.37,.058,.031,,
BMY,2200.00,9.757,2.822,.003,-,-,-.16,-,-,-,-,,Brumby Res,,.011,+.2,.01,.012,.013,.009,+23.60,.026,.006,,
BNR,100.000,5.979,4.365,.002,-,-,.73,2.1,-,-,-,,Bulletin Res,,.015,-.5,.015,.02,.02,.015,-23.63,.027,.01,,
BPF,271.564,4.475,6.921,.030,.01,27.00,476.26,.1,-,-,-,,Bulletproof Grp,,.27,-.5,.265,.27,.275,.265,-.44,.40,.215,,
