ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5515.5 at 2014-04-24T16:40:36. Report at Thursday, April 24, 2014. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AJY,-,-,.032,.006,-,-,-.21,-,-,-,-,,Asaplus Res,,.245,-,-,-,.245,.245,-1.30,.245,.225,,
AZQ,37.677,9.925,3.640,.007,-,-,-9.67,-,-,-,-,,Ascot Res,,.095,+.1,.088,.099,.095,.095,-.23,.145,.048,,
AKM,423.550,24.029,195.661,.026,-,-,-.54,-,-,-,-,,Aspire Min,,.04,-,.04,.041,.04,.038,-1.30,.083,.031,,
ARO,-,2.950,92.291,.003,-,-,-.04,-,-,-,-,,Astro Res,,.001,-,-,.001,.001,.001,-1.30,.001,.001,,
AROOA,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,.001,.001,.001,-1.30,.001,.001,,
AHN,-,4.635,2.940,.007,-,-,-.33,-,-,-,-,,Athena Res,,.056,-,.053,.056,.056,.056,-1.30,.06,.015,,
ATV,906.500,11.293,9.400,.016,-,-,-.28,-,-,-,-,,Atlantic Gold,,.02,-.1,.02,.024,.021,.02,-6.06,.039,.014,,
ATVCD,-,.003,-,-,-,-,-,-,-,-,-,,  ctg,,.001,-,.001,-,.001,.001,-1.30,.003,.001,,
AGO,26522.5,1174.80,985.578,.893,1.67,.58,9.40,10.4,3.00,3.13,3.08,,Atlas Iron,,.975,+.5,.975,.98,1.00,.945,-.78,1.24,.685,,
ATU,645.148,12.449,58.396,.137,-,-,-12.97,-,-,-,-,,Atrum Coal,,1.79,+2,1.72,1.79,1.80,1.62,-.17,2.10,.59,,
AYA,61.925,3.539,2.623,.028,-,-,-13.54,-,-,-,-,,Attila Res,,.385,-1.5,.36,.365,.40,.385,-5.05,.70,.33,,
AYAO,-,.086,.192,.002,-,-,-,-,-,-,-,,  opt jun14,,.20,-,.15,.19,.20,.20,-1.30,.47,.20,,
ACP,-,.143,.005,.029,-,-,-.33,-,-,-,-,,Audalia Res,,.125,-,.11,.13,.125,.125,-1.30,.25,.039,,
AUK,85.000,6.092,5.676,.013,-,-,-.94,-,-,-,-,,Augur Res,,.049,+.1,.02,.052,.049,.048,+.79,.084,.011,,
AEE,791.401,21.888,12.415,.006,-,-,-1.80,-,-,-,-,,Aura Energy,,.033,-,.033,.035,.034,.03,-1.30,.10,.03,,
AEEO,-,.372,6.725,-,-,-,-,-,-,-,-,,  opt dec14,,.005,-,-,.005,.005,.005,-1.30,.02,.001,,
AOU,-,.686,2.515,.003,-,-,-.14,-,-,-,-,,Auroch Min,,.09,-,.067,.13,.09,.09,-1.30,.18,.06,,
ARM,289.594,4.850,5.548,.006,-,-,-3.00,-,-,-,-,,Aurora Minerals,,.059,+.3,.058,.06,.06,.058,+4.06,.072,.045,,
