ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AVZ,-,30.556,15.718,.003,-,-,-.32,-,-,-,-,,AVZ Minerals,-,.007,-,.004,.01,.007,.007,-1.92,.012,.005,
AWE,14967.3,525.265,437.110,.371,1.20,.59,-43.84,-,-,-,-,f,AWE,-,.705,+5,.69,.715,.73,.555,+5.71,1.985,.555,
AVQ,4604.45,575.691,1473.31,.098,.27,1.39,-30.90,-,-,-,-,,Axiom Min,X,.375,+1.5,.37,.38,.405,.365,+2.24,.51,.12,
APY,2029.04,660.849,142.340,.006,-,-,-4.03,-,-,-,-,,Azonto Petroleum,-,.005,-,.005,.006,.006,.005,-1.92,.016,.002,
AZM,1377.13,39.039,119.150,.010,-,-,-1.20,-,-,-,-,,Azumah Res,-,.026,+.6,.026,.029,.027,.02,+28.08,.04,.018,
AZS,68376.4,258.306,388.300,.020,-,-,-.46,-,-,-,-,,Azure Minerals,-,.02,+.9,.019,.02,.021,.011,+79.90,.029,.009,
BMN,559.173,29.090,62.309,.013,-,-,-1.21,-,-,-,-,,Bannerman Res,-,.034,-.2,.034,.038,.038,.034,-7.48,.082,.032,
BKP,1177.80,94.900,215.463,.002,-,-,.05,2.0,-,-,-,,Baraka Energy,-,.001,-,.001,.002,.001,.001,-1.92,.002,.001,
BAR,846.369,21.600,19.513,.004,-,-,-.20,-,-,-,-,,Barra Res,-,.012,+.2,.011,.012,.013,.009,+18.08,.014,.005,
BSE,73.039,86.111,64.707,.037,-,-,-3.34,-,-,-,-,,Base Res,-,.065,-.5,.052,.064,.07,.065,-9.07,.31,.06,
