ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 17, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5159.8 at 2013-05-17T16:40:36. Report at Friday, May 17, 2013. Processed Saturday at 2013-05-18T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AZYOA,650.000,40.636,-,-,-,-,-,-,-,-,-,,  opt dec14,,.015,-2.1,.012,.02,.02,.015,-57.73,.155,.01,,
AOM,.895,6.924,89.172,.002,-,-,-8.14,-,-,-,-,,AO Energy,†,.027,-.9,.027,.034,.036,.027,-24.40,.07,.001,,
AAL,25.000,.391,.958,-,-,-,-.25,-,-,-,-,,APAC Coal,,.002,-,.002,.003,.002,.002,+.60,.008,.002,,
AXM,947.007,126.002,1841.97,.006,-,-,-46.09,-,-,-,-,,Apex Minerals,,.02,-.2,.02,.023,.021,.018,-9.40,.166,.018,,
AQQ,2531.44,220.888,24.268,.008,-,-,-.41,-,-,-,-,,Aphrodite Gold,,.034,+.2,.033,.034,.035,.03,+6.85,.088,.03,,
AQQO,-,18.000,8.698,-,-,-,-,-,-,-,-,,  opt dec13,,.001,-,-,.001,.001,.001,+.60,.015,.001,,
AOP,136.750,2.264,2.793,.002,-,-,-10.32,-,-,-,-,,Apollo Cons,,.046,-1.5,.046,.05,.07,.046,-23.99,.295,.046,,
AON,422.983,70.002,17.780,.013,-,-,-1.03,-,-,-,-,,Apollo Minerals,,.039,-.1,.038,.04,.045,.037,-1.90,.08,.026,,
AQP,2326.56,86.375,127.484,.312,-,-,-46.34,-,-,-,-,,Aquarius Platinum,,.64,-12,.635,.645,.75,.615,-15.19,1.42,.475,,
AQA,1915.93,64.927,40.343,.902,-,-,62.34,3.5,-,-,-,,Aquila Res,,2.19,-3,2.17,2.27,2.36,2.13,-.75,3.43,1.63,,
ARU,1516.78,43.267,153.444,.053,-,-,-1.41,-,-,-,-,,Arafura Resources,,.12,-,.115,.125,.135,.115,+.60,.26,.10,,
ARX,15818.0,103.938,195.690,.004,-,-,-.13,-,-,-,-,,ARC Explore,,.004,-,.003,.004,.004,.003,+.60,.008,.003,,
AXE,241.832,26.613,112.233,.012,-,-,5.30,2.8,-,-,-,,Archer Explore,,.15,-,.15,.16,.155,.15,+.60,.315,.14,,
ARD,296.760,10.906,15.572,.009,-,-,-3.07,-,-,-,-,,Argent Minerals,,.06,-.5,.052,.06,.065,.055,-7.09,.105,.05,,
AVK,86.000,1.363,7.716,.002,-,-,-7.08,-,-,-,-,,Argentina Min,,.028,-.2,.027,.03,.03,.028,-6.06,.155,.028,,
AVKO,-,.294,1.492,-,-,-,-,-,-,-,-,,  opt mar15,,.001,-,.002,.017,.001,.001,+.60,.02,.001,,
AXT,749.289,15.300,8.080,.003,-,-,-6.85,-,-,-,-,,Argo Explore,,.02,-.4,.02,.023,.025,.021,-15.40,.037,.009,,
ARE,542.035,17.628,28.300,.008,-,-,-.20,-,-,-,-,,Argonaut Res,,.028,-.2,.027,.03,.03,.027,-6.06,.093,.027,,
AGY,137.186,3.932,1.866,.012,-,-,-.78,-,-,-,-,,Argosy Minerals,,.098,+.2,.085,.098,.098,.09,+2.69,.145,.041,,
AHK,3.613,1.754,3.599,.004,-,-,-4.10,-,-,-,-,,Ark Mines,,.115,-1,.05,.115,.115,.115,-7.40,.14,.052,,
AJQ,798.530,39.956,32.459,.061,-,-,-.50,-,-,-,-,,Armour Energy,,.275,-1,.27,.28,.31,.265,-2.85,.41,.165,,
AJQO,119.000,5.214,6.715,.003,-,-,-,-,-,-,-,,  opt aug14,,.06,-.4,.05,.07,.07,.051,-4.80,.14,.03,,
ARV,2415.15,114.143,62.232,.005,-,-,-.17,-,-,-,-,,Artemis Res,,.01,+.1,.009,.011,.011,.009,+11.71,.024,.006,,
AAJ,284.761,10.500,2.429,.006,-,-,-1.72,-,-,-,-,,Aruma Res,,.045,-,.045,.054,.045,.045,+.60,.097,.045,,
AJY,4.000,.036,-,.006,-,-,-,-,-,-,-,,Asaplus Res,,.23,+.5,-,.235,.23,.225,+2.82,.23,.20,,
AZQ,-,3.700,5.273,.003,-,-,-3.60,-,-,-,-,,Ascot Res,,.09,-,.105,.125,.09,.09,+.60,.19,.07,,
ATN,21758.0,168.298,127.974,.005,-,-,-.15,-,-,-,-,,Ashburton Min,,.004,+.1,.003,.004,.003,.002,+50.60,.006,.001,,
ATNO,-,-,3.500,-,-,-,-,-,-,-,-,,  opt apr14,,.001,-,-,.001,.001,.001,+.60,.002,.001,,
AKM,1186.45,202.628,109.387,.044,-,-,-1.34,-,-,-,-,,Aspire Min,,.067,-.8,.067,.072,.076,.066,-10.21,.20,.055,,
ARO,488.000,98.279,441.103,.003,-,-,-.07,-,-,-,-,,Astro Res,,.001,-,-,.001,.001,.001,+.60,.002,.001,,
AROOA,-,-,6.825,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,.001,.001,.001,+.60,.001,.001,,
AHN,159.202,4.380,4.004,.004,-,-,-.08,-,-,-,-,,Athena Res,,.03,+.5,.027,.03,.03,.025,+20.60,.07,.02,,
ATI,327.151,15.813,15.715,.033,-,-,-14.80,-,-,-,-,,Atlantic,,.215,+2.5,.18,.215,.22,.18,+13.76,.57,.12,,
ATV,-,11.843,21.725,.022,-,-,-.28,-,-,-,-,,Atlantic Gold,,.03,-,.024,.03,.03,.03,+.60,.043,.02,,
ATVCD,-,-,.533,-,-,-,-,-,-,-,-,,  ctg,,.003,-,.001,-,.003,.003,+.60,.003,.003,,
AGO,61266.0,1218.25,718.067,.782,1.60,.54,-42.00,-,3.00,-,3.49,,Atlas Iron,,.86,-14,.85,.86,1.01,.805,-13.40,2.25,.80,,
ATU,1158.23,62.816,-,.048,-,-,-3.31,-,-,-,-,,Atrum Coal,,.78,-7.5,.78,.80,.85,.715,-8.38,1.32,.15,,
AYA,11.000,2.635,.743,.032,-,-,-28.74,-,-,-,-,,Attila Res,,.62,-2.5,.55,.59,.645,.62,-3.27,1.05,.18,,
AYAO,-,.192,.145,.005,-,-,-,-,-,-,-,,  opt jun14,,.47,-,.13,.45,.47,.47,+.60,.77,.04,,
ACP,-,.005,.041,.005,-,-,-.31,-,-,-,-,,Audalia Res,,.25,-,.17,.22,.25,.25,+.60,.25,.16,,
ACPO,-,.025,-,-,-,-,-,-,-,-,-,,  opt apr14,,.02,-,-,.01,.02,.02,+.60,.03,.02,,
AUK,450.000,6.376,25.291,.005,-,-,-5.54,-,-,-,-,,Augur Res,,.023,-.2,.015,.021,.027,.023,-7.40,.07,.023,,
AEE,332.833,13.444,15.030,.013,-,-,-1.77,-,-,-,-,,Aura Energy,,.08,-,.08,.085,.085,.08,+.60,.18,.08,,
AEEO,105.000,7.010,5.833,-,-,-,-,-,-,-,-,,  opt dec14,,.015,-.2,.005,.012,.017,.01,-11.16,.05,.01,,
AOU,205.000,2.814,2.038,.004,-,-,-5.94,-,-,-,-,,Auroch Min,,.12,-,.12,.13,.12,.10,+.60,.41,.10,,
ARM,399.062,7.228,8.639,.005,-,-,-2.10,-,-,-,-,,Aurora Minerals,,.047,-.3,.048,.049,.05,.047,-5.40,.095,.045,,
AUT,5665.41,182.713,150.255,1.321,-,-,13.10,22.5,-,-,-,,Aurora Oil & Gas,,2.95,-30,2.90,3.00,3.105,2.78,-8.98,4.20,2.70,,
AIW,6322.13,144.945,35.199,.005,-,-,-4.25,-,-,-,-,,Aust-American Min,,.02,-.2,.021,.022,.022,.02,-8.49,.057,.02,,
AUC,9597.37,19.774,9.936,.005,-,-,-6.68,-,-,-,-,,Ausgold,,.032,-.2,.032,.038,.034,.025,-5.65,.74,.025,,
AOA,-,.525,.290,.001,-,-,-1.23,-,-,-,-,,Ausmon Resources,,.018,-,.011,.024,.018,.018,+.60,.16,.018,,
ANW,2458.58,18.281,3.523,.002,-,-,-.17,-,-,-,-,,AusNiCo,,.006,-.2,.005,.006,.008,.006,-21.62,.032,.006,,
AQC,4486.67,127.670,72.960,.009,-,-,-.30,-,-,-,-,,Aust Pacific Coal,,.014,-,.014,.015,.016,.014,+.60,.03,.011,,
AQD,254.252,13.208,8.090,.003,-,-,-2.57,-,-,-,-,,AusQuest,,.017,-.3,.016,.02,.02,.017,-14.40,.068,.017,,
ABZ,306.119,5.738,11.261,.022,-,-,-.81,-,-,-,-,,Aust Bauxite,,.195,-,.18,.195,.20,.185,+.60,.47,.17,,
AKA,751.734,14.239,7.871,.011,-,-,-.95,-,-,-,-,,Aust Minerals &  Min,,.10,-2,.105,.11,.11,.10,-16.06,.18,.067,,
