ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 1, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5100.9 at 2013-03-01T16:53:05. Report at Friday, March 1, 2013. Processed Monday at 2013-03-04T12:05:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AZY,25937.3,105.827,1.934,.025,-,-,-1.52,-,-,-,-,,Antipa Min,,.19,+7.5,.185,.19,.195,.115,+63.94,.195,.035,,
AZYO,4008.87,10.701,.240,-,-,-,-,-,-,-,-,,  opt mar13,,.016,+1.1,.016,.02,.022,.006,+218.7,.04,.002,,
AZYOA,5512.26,21.961,-,.004,-,-,-,-,-,-,-,,  opt dec14,,.10,+4.2,.095,.10,.11,.063,+71.14,.11,.01,,
AOM,1470.09,4.048,6.172,.003,-,-,-.08,-,-,-,-,,AO Energy,†,.06,+.5,.06,.07,.06,.055,+7.82,.065,.001,,
AAL,50.000,.125,.410,-,-,-,-.12,-,-,-,-,,APAC Coal,,.003,-.1,.003,.009,.004,.003,-26.27,.012,.002,,
AXM,878.386,30.249,31.960,.013,-,-,-66.10,-,-,-,-,,Apex Minerals,†,.042,-.4,.041,.04,.047,.042,-9.97,.210,.001,,
AQQ,13429.7,189.086,9.187,.012,-,-,-.40,-,-,-,-,,Aphrodite Gold,,.051,-.7,.051,.053,.058,.05,-13.34,.088,.033,,
AQQO,-,15.413,5.632,-,-,-,-,-,-,-,-,,  opt dec13,,.004,-,.003,.005,.004,.004,-1.27,.016,.002,,
AOP,12.383,1.075,-,.004,-,-,-9.17,-,-,-,-,,Apollo Cons,,.105,-,.105,.11,.105,.10,-1.27,.295,.006,,
AON,17122.8,27.073,6.491,.016,-,-,-1.35,-,-,-,-,,Apollo Minerals,,.052,+.7,.052,.053,.067,.046,+14.28,.067,.026,,
AQP,4027.29,46.668,53.440,.419,-,-,-46.34,-,-,-,-,,Aquarius Platinum,,.86,-,.85,.86,.92,.815,-1.27,2.46,.475,,
AQA,1622.64,25.954,13.478,1.054,-,-,-.06,-,-,-,-,,Aquila Res,,2.56,-9,2.52,2.60,2.74,2.50,-4.67,5.49,1.86,,
ARU,2027.92,20.346,82.961,.079,-,-,-2.30,-,-,-,-,,Arafura Resources,,.18,+1,.17,.185,.18,.165,+4.61,.35,.145,,
ARX,5755.91,26.750,142.366,.004,-,-,-.33,-,-,-,-,,ARC Explore,,.004,-,.004,.005,.004,.004,-1.27,.01,.004,,
AXE,789.985,5.240,7.032,.016,-,-,5.30,3.6,-,-,-,,Archer Explore,,.19,+.5,.18,.185,.19,.17,+1.43,.45,.14,,
ARD,803.780,3.268,7.978,.008,-,-,-4.10,-,-,-,-,,Argent Minerals,,.057,-.4,.057,.06,.062,.056,-7.83,.15,.05,,
AVK,10.000,.545,1.744,.002,-,-,-2.12,-,-,-,-,,Argentina Min,,.045,-.2,.045,.05,.047,.045,-5.53,.155,.045,,
AVKO,12.500,.152,.260,-,-,-,-,-,-,-,-,,  opt mar15,,.006,-,.001,.017,.006,.006,-1.27,.033,.006,,
AXT,3116.02,11.090,1.927,.003,-,-,-2.66,-,-,-,-,,Argo Explore,,.021,+.3,.02,.023,.023,.02,+15.39,.05,.009,,
ARE,712.829,11.044,15.618,.014,-,-,.71,7.2,-,-,-,,Argonaut Res,,.051,-.7,.052,.059,.058,.051,-13.34,.093,.038,,
AGY,295.352,.962,.932,.010,-,-,-.84,-,-,-,-,,Argosy Minerals,,.076,-.4,.08,.09,.085,.076,-6.27,.13,.041,,
AHK,-,1.014,1.889,.003,-,-,-7.01,-,-,-,-,,Ark Mines,,.12,-,.041,.12,.12,.12,-1.27,.24,.052,,
AJQ,1551.10,26.403,-,.080,-,-,-,-,-,-,-,,Armour Energy,,.36,+2,.35,.36,.36,.315,+4.61,.50,.165,,
AJQO,44.300,3.058,-,.007,-,-,-,-,-,-,-,,  opt aug14,,.12,+2,.11,.12,.135,.092,+18.73,.14,.03,,
ARV,1371.33,95.264,31.281,.005,-,-,-.35,-,-,-,-,,Artemis Res,,.011,-,.01,.012,.012,.01,-1.27,.032,.006,,
AAJ,525.000,5.061,.901,.004,-,-,-2.06,-,-,-,-,,Aruma Res,,.05,-,.051,.059,.055,.05,-1.27,.097,.05,,
AJY,5.000,.027,-,.006,-,-,-,-,-,-,-,,Asaplus Res,,.225,-,-,.225,.225,.225,-1.27,.225,.20,,
AZQ,675.222,2.365,2.864,.005,-,-,-1.23,-,-,-,-,,Ascot Res,,.175,-1,.165,.175,.185,.17,-6.68,.185,.07,,
ATN,5075.33,70.429,37.974,.003,-,-,-.60,-,-,-,-,,Ashburton Min,,.003,+.1,.002,.003,.003,.002,+48.73,.008,.001,,
ATNO,-,-,-,-,-,-,-,-,-,-,-,,  opt apr14,,.001,-,-,.001,.001,.001,-1.27,.002,.001,,
AKM,8411.38,172.422,63.225,.066,-,-,-.88,-,-,-,-,,Aspire Min,,.10,-,.10,.105,.13,.098,-1.27,.39,.055,,
ARO,1550.00,77.915,107.883,.003,-,-,-.11,-,-,-,-,,Astro Res,,.001,-,-,.001,.001,.001,-1.27,.003,.001,,
AROOA,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,.001,.001,.001,-1.27,.001,.001,,
AHN,187.350,.769,1.713,.005,-,-,-1.52,-,-,-,-,,Athena Res,,.04,-,.027,.042,.045,.04,-1.27,.095,.029,,
ATI,1398.46,5.837,3.357,.033,-,-,-14.80,-,-,-,-,,Atlantic,,.215,-1.5,.19,.215,.23,.195,-7.80,.895,.195,,
ATV,528.500,5.914,9.976,.021,-,-,-.23,-,-,-,-,,Atlantic Gold,,.032,-,.029,.032,.033,.03,-1.27,.043,.026,,
ATVCD,-,-,.533,-,-,-,-,-,-,-,-,,  ctg,,.003,-,.001,-,.003,.003,-1.27,.003,.003,,
AGO,65720.1,454.603,263.320,1.287,1.60,.88,-42.00,-,3.00,-,2.12,,Atlas Iron,,1.415,-18.5,1.415,1.425,1.63,1.395,-12.84,3.21,1.145,,
ATU,1119.09,35.006,-,.036,-,-,-,-,-,-,-,,Atrum Coal,,.615,+7,.59,.615,.615,.52,+11.57,.70,.15,,
AYA,82.703,2.047,.411,.037,-,-,-5.44,-,-,-,-,,Attila Res,,.75,-,.75,.77,.75,.74,-1.27,1.05,.13,,
AYAO,-,.158,.052,.005,-,-,-,-,-,-,-,,  opt jun14,,.50,-,.25,.55,.50,.50,-1.27,.77,.04,,
ACP,-,-,.018,.004,-,-,-.49,-,-,-,-,,Audalia Res,,.205,-,-,.18,.205,.205,-1.27,.23,.16,,
ACPO,-,.025,-,-,-,-,-,-,-,-,-,,  opt apr14,,.02,-,.02,-,.02,.02,-1.27,.03,.02,,
AUK,-,.882,6.363,.006,-,-,-5.56,-,-,-,-,,Augur Res,,.03,-,.026,.03,.03,.03,-1.27,.10,.024,,
AEE,1492.29,8.607,3.969,.023,-,-,-1.62,-,-,-,-,,Aura Energy,,.135,+.5,.12,.135,.14,.13,+2.57,.21,.095,,
AEEO,-,6.206,2.040,.001,-,-,-,-,-,-,-,,  opt dec14,,.035,-,.026,.033,.035,.035,-1.27,.053,.015,,
AOU,58.720,1.304,.839,.008,-,-,-5.36,-,-,-,-,,Auroch Min,,.23,-2,.22,.23,.25,.23,-9.27,.41,.21,,
ARM,313.465,3.324,2.778,.008,-,-,-3.55,-,-,-,-,,Aurora Minerals,,.075,-,.073,.076,.076,.073,-1.27,.12,.063,,
AUT,8538.73,56.191,71.826,1.724,-,-,13.10,29.4,-,-,-,,Aurora Oil & Gas,,3.85,+19,3.82,3.89,3.89,3.60,+3.92,4.26,2.84,,
AIW,5415.10,24.936,10.399,.007,-,-,-6.76,-,-,-,-,,Aust-American Min,,.036,-.3,.036,.04,.044,.034,-8.97,.073,.03,,
AUC,341.461,3.023,6.231,.013,-,-,-4.02,-,-,-,-,,Ausgold,,.085,-.5,.08,.085,.10,.085,-6.83,1.07,.07,,
AUCO,-,2.238,.573,-,-,-,-,-,-,-,-,,  opt mar13,,.003,-,-,.001,.003,.003,-1.27,.80,.003,,
AOA,-,.260,-,.002,-,-,-1.67,-,-,-,-,,Ausmon Resources,,.025,-,.024,.039,.025,.025,-1.27,.20,.021,,
ANW,90.000,5.203,1.432,.006,-,-,-.64,-,-,-,-,,AusNiCo,,.016,+.2,.009,.016,.016,.014,+13.01,.04,.014,,
AQC,9664.02,30.101,40.689,.010,-,-,.12,13.3,-,-,-,,Aust Pacific Coal,,.016,+.3,.016,.018,.02,.013,+21.80,.04,.012,,
AQD,520.492,9.403,3.151,.006,-,-,-3.97,-,-,-,-,,AusQuest,,.04,+.7,.036,.04,.04,.033,+19.94,.08,.023,,
ABZ,645.794,1.702,4.116,.028,-,-,-.81,-,-,-,-,,Aust Bauxite,,.25,-3,.23,.25,.28,.225,-11.99,.55,.225,,
AKA,488.677,1.411,1.149,.009,-,-,-.75,-,-,-,-,,Aust Minerals &  Min,,.079,+1.2,.077,.085,.08,.067,+16.64,.17,.067,,
AUZ,793.654,24.193,26.238,.013,-,-,-.44,-,-,-,-,,Aust Mines,,.02,-,.019,.023,.021,.02,-1.27,.03,.012,,
AUZO,800.000,4.488,.768,-,-,-,-,-,-,-,-,,  opt jun13,,.002,-.4,.002,.004,.006,.002,-67.94,.008,.002,,
AOC,2058.09,6.448,2.435,.004,-,-,-3.10,-,-,-,-,,Aust Oil Co,,.053,-.3,.053,.058,.055,.05,-6.63,.265,.041,,
ARW,4559.07,79.542,127.834,.021,.01,.70,.03,23.3,-,-,-,,Aust Renewable,,.007,-.2,.007,.008,.008,.007,-23.50,.015,.007,,
AOK,4418.58,48.954,10.464,.058,-,-,-1.70,-,-,-,-,,AusTex Oil,,.135,-,.13,.135,.14,.13,-1.27,.165,.093,,
AKK,17218.8,660.423,519.816,.032,-,-,-.29,-,-,-,-,,Austin Explore,,.021,-,.021,.022,.023,.021,-1.27,.036,.017,,
AKKOA,-,250.172,199.460,-,-,-,-,-,-,-,-,,  opt jul13,,.001,-,-,.001,.001,.001,-1.27,.008,.001,,
APG,2518.00,23.508,14.229,.033,-,-,.21,14.3,-,-,-,,Austpac Res,,.03,-,.029,.03,.03,.028,-1.27,.042,.028,,
AGD,-,.096,1.289,.030,-,-,-9.40,-,-,-,-,,Austral Gold,,.18,-,.17,.18,.18,.18,-1.27,.225,.13,,
