ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4842.6 at 16:47 16/10/2009  Report at 15:29 Saturday 17/10/2009. Processed 17:07 Sunday 18/10/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AFR,9276.38,75.411,10.846,0.039,-,-,-1.5,-,-,-,-,,African Energy Res cdi,,0.155,3.5,0.155,0.16,0.16,0.105,27.31,0.16,0.01
AAEDC,-,-,-,-,-,-,-,-,-,-,-,,Agri Energy Ltd def,,-,,-,-,-,-,-,-,-
ALG,-,0.422,0.599,0.004,-,-,-1.12,-,-,-,-,,Alamar Res Ltd,,0.18,,0.17,0.20,0.18,0.18,-1.85,0.195,0.14
AUQ,1605.29,13.553,13.465,0.009,-,-,-11.01,-,-,-,-,,Alara Res Ltd,,0.115,1,0.115,0.125,0.13,0.10,7.67,0.13,0.026
ALY,15632.1,108.809,10.089,0.051,-,-,-3.27,-,-,-,-,,Alchemy Resource,,1.10,16.5,1.10,1.125,1.27,0.95,15.79,1.27,0.03
ALYO,4016.37,21.58,1.43,0.017,-,-,-,-,-,-,-,,  opt aug10,,0.80,11,0.80,0.87,0.96,0.70,14.09,0.96,0.001
ALK,2349.27,59.428,70.849,0.117,-,-,-0.25,-,-,-,-,,Alkane Res Ltd,,0.47,0.5,0.46,0.47,0.485,0.44,-0.78,0.49,0.10
AGS,1852.05,152.27,90.716,0.237,-,-,-8.3,-,-,-,-,,Alliance Res,,0.695,-0.5,0.69,0.705,0.715,0.685,-2.57,0.98,0.333
ALD,2011.61,71.919,76.074,0.22,0.29,1.6,-1.92,-,-,-,-,,Allied Gold Ltd,,0.465,-1,0.46,0.465,0.50,0.465,-3.96,0.57,0.185
AYR,588,8.642,11.95,0.003,-,-,-0.82,-,-,-,-,,Alloy Res,,0.035,-0.2,0.034,0.035,0.037,0.034,-7.26,0.045,0.011
AWC,50725.5,3043.1,1604.43,4.478,1.30,1.4,9.42,19.5,12,0.79,6.54,,Alumina Ltd,,1.835,-4,1.835,1.84,1.935,1.835,-3.99,2.231,0.683
AMU,10811.8,79.431,37.422,0.093,0.48,0.7,3.5,9.0,-,-,-,,Amadeus Energy,,0.315,6,0.31,0.315,0.315,0.25,21.68,0.45,0.205
AXZ,150.79,3.552,4.088,0.009,-,-,-5.32,-,-,-,-,,Amex Res,,0.21,-1.5,0.20,0.215,0.225,0.20,-8.52,0.25,0.08
AMX,1114.68,53.854,20.211,0.068,-,-,-6.37,-,-,-,-,,Ampella Min,,0.53,-1.5,0.51,0.525,0.55,0.49,-4.61,0.66,0.043
AMXO,-,2.982,-,0.006,-,-,-,-,-,-,-,,  opt jul10,,0.39,,0.365,0.39,0.39,0.39,-1.85,0.405,0.03
AHR,358.367,4.303,2.161,0.005,-,-,-1.57,-,-,-,-,,Anchor Res,,0.16,0.5,0.16,0.175,0.175,0.155,1.37,0.20,0.033
AHRO,50,0.638,0.66,-,-,-,-,-,-,-,-,,  opt mar10,,0.025,-0.5,0.005,0.02,0.03,0.025,-18.52,0.03,0.01
AND,1360.91,92.237,61.04,1.055,-,-,-1.8,-,-,-,-,,Andean Res Ltd,,2.28,-4,2.25,2.35,2.42,2.26,-3.58,2.54,0.425
ATM,-,0.013,0.023,2.118,-,-,0.36,308.3,2.97,0.12,2.68,,Aneka Tambang cdi 1:5,,1.11,,1.11,-,1.11,1.11,-1.85,2.50,0.97
AAR,4905.62,152.021,297.067,0.017,-,-,-0.16,-,-,-,-,,Anglo Aust,,0.034,0.2,0.033,0.035,0.036,0.031,4.40,0.038,0.011
AGP,-,0.003,0.006,0.374,-,-,45.18,7.7,17.82,2.54,5.09,,Anglo Pacific Grp,,3.50,,2.65,3.55,3.50,3.50,-1.85,3.50,3.172
AGG,10.25,6.239,5.403,0.865,-,-,-71.44,-,3.36,-,0.35,,Anglogold Ashanti cdi 5:1,,9.70,-40,9.01,10.10,10.17,9.61,-5.81,11.50,4.25
AZZ,3656.02,98.243,114.793,0.06,-,-,0.26,96.2,-,-,-,,Antares Energy,,0.25,1.5,0.245,0.25,0.255,0.235,4.53,0.43,0.035
AVM,786.113,10.528,1.133,0.032,-,-,-370.7,-,-,-,-,,Anvil Min cdi,,3.30,34,3.28,3.30,3.37,2.95,9.63,4.20,0.52
AAL,308.35,3.219,3.868,0.007,-,-,-0.75,-,-,-,-,,Apac Coal,,0.065,-0.5,0.061,0.07,0.07,0.06,-9.00,0.115,0.03
AXM,40572.5,1070.84,178.201,0.027,-,-,-31.41,-,-,-,-,,Apex Min NL,*,0.045,-0.8,0.045,0.046,0.053,0.045,-16.95,0.414,0.039
AXMR,173595,258.781,-,0.003,-,-,-,-,-,-,-,,  rts 23oct,,0.001,-0.4,0.001,0.002,0.007,0.001,-81.85,0.009,0.001
AON,1855.78,16.139,20.24,0.025,-,-,-8.92,-,-,-,-,,Apollo Min Ltd,,0.375,1.5,0.35,0.375,0.40,0.35,2.31,0.40,0.125
AQP,6595.61,221.943,114.317,2.396,-,-,-16.39,-,12.08,-,2.33,,Aquarius Platinum,,5.19,-13,5.17,5.25,5.50,5.07,-4.30,6.39,1.925
AQA,2886.57,114.225,52.627,1.83,-,-,-10.5,-,-,-,-,,Aquila Res,,7.35,-40,7.30,7.45,7.89,7.23,-7.01,7.89,1.90
ARU,2147.26,130.061,66.61,0.25,-,-,-7.7,-,-,-,-,,Arafura Resource,,0.965,-3.5,0.955,0.97,1.02,0.95,-5.35,1.285,0.24
AAG,512.625,2.812,5.476,0.016,-,-,-3.81,-,-,-,-,,Aragon Res,,0.235,11,0.215,0.235,0.27,0.115,86.15,0.27,0.055
AAGO,192.436,0.935,1.972,-,-,-,-,-,-,-,-,,  opt sep10,,0.03,2.7,0.038,0.044,0.042,0.003,898.10,0.042,0.002
ARX,8121.61,33.694,594.247,0.007,-,-,16.13,0.2,-,-,-,,ARC Explore Ltd,,0.04,0.6,0.036,0.04,0.044,0.03,17.04,0.044,0.007
ARXO,132.032,4.674,16.954,-,-,-,-,-,-,-,-,,  opt jun12,,0.01,0.4,0.002,0.01,0.01,0.001,64.81,0.01,0.001
AXE,68.238,6.224,12.013,0.01,-,-,-1.8,-,-,-,-,,Archer Explore,,0.155,,0.14,0.155,0.155,0.155,-1.85,0.17,0.037
AXEO,-,1.711,1.762,-,-,-,-,-,-,-,-,,  opt feb10,,0.008,,0.005,0.015,0.008,0.008,-1.85,0.025,0.002
ARD,125,8.181,17.4,0.005,-,-,-3.8,-,-,-,-,,Argent Min,,0.135,1,0.135,0.14,0.135,0.13,6.15,0.20,0.04
ARDO,-,2.891,2.95,0.001,-,-,-,-,-,-,-,,  opt jun11,,0.025,,0.015,0.03,0.025,0.025,-1.85,0.05,0.01
AXT,366.399,11.923,15.431,0.004,-,-,-0.42,-,-,-,-,,Argo Explore,,0.05,0.4,0.046,0.05,0.05,0.046,6.84,0.06,0.025
ARE,1556.62,61.277,55.981,0.011,-,-,-0.79,-,-,-,-,,Argonaut Res,,0.067,0.4,0.064,0.067,0.067,0.059,4.50,0.105,0.035
AGY,209.4,3.22,7.99,0.005,-,-,-1.41,-,-,-,-,,Argosy Min cdi,,0.05,-1,0.05,0.06,0.06,0.05,-18.52,0.09,0.025
