ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ATC,71.750,24.920,35.241,.009,-,-,-3.40,-,-,-,-,,Altech Chemicals,,.085,-,.088,.092,.085,.08,-1.07,.11,.07,,
ATCO,-,2.662,-,-,-,-,-,-,-,-,-,,  opt may15,,.003,-,-,.005,.003,.003,-1.07,.02,.002,,
AOH,198.495,144.356,157.517,.126,-,-,2.40,9.8,-,-,-,,Altona Min,,.235,+1,.225,.235,.235,.225,+3.38,.245,.145,,
AJM,276.622,59.740,41.524,.028,-,-,-1.54,-,-,-,-,,Altura Min,,.06,+.9,.061,.065,.06,.051,+16.58,.245,.05,,
AWC,31092.8,3311.43,3085.42,5.037,1.00,1.79,-1.68,-,-,-,-,,Alumina,,1.795,-2.5,1.79,1.805,1.845,1.782,-2.44,1.845,1.065,,
AXZ,7.500,.738,2.731,.075,-,-,-17.05,-,-,-,-,,Amex Res,,.81,+3,.51,.84,.81,.80,+2.78,1.35,.70,,
AEK,22.000,46.069,34.212,.019,-,-,-1.00,-,-,-,-,,Anatolia Energy,,.062,+.3,.062,.073,.062,.059,+4.02,.105,.055,,
AEKO,-,-,.250,-,-,-,-,-,-,-,-,,  opt jun17,,.006,-,.002,-,.006,.006,-1.07,.006,.002,,
AHR,-,-,.023,.010,-,-,-2.05,-,-,-,-,,Anchor Res,,.19,-,.01,.19,.19,.19,-1.07,.19,.19,,
ATM,-,.005,.002,.001,-,-,-3998.73,-,.38,-,.35,,Aneka Tambang,,1.10,-,-,-,1.10,1.10,-1.07,1.10,1.075,,
AAR,15.000,19.789,152.389,.001,-,-,-.67,-,-,-,-,,Anglo Aust Res,,.009,-,.009,.01,.009,.009,-1.07,.037,.007,,
AGG,6.275,.788,9.316,.186,8.89,.23,-401.41,-,-,-,-,,Anglogold Ashanti,,2.08,+3,2.00,2.18,2.21,2.06,+.40,4.31,1.88,,
AWV,37.500,45.394,47.573,.007,-,-,-1.61,-,-,-,-,,Anova Metals,,.028,-,.027,.035,.028,.028,-1.07,.05,.019,,
AZZ,1130.87,158.705,126.993,.045,-,-,1.00,18.5,-,-,-,,Antares Energy,,.185,-2,.185,.195,.24,.185,-10.82,.68,.185,,
AVD,-,56.224,203.241,.003,-,-,-1120.00,-,-,-,-,,Antilles Oil & Gas,†,.12,-,.10,.11,.12,.12,-1.07,.21,.001,,
AZY,1000.00,55.290,229.271,.002,-,-,-.73,-,-,-,-,,Antipa Min,,.005,-,.004,.005,.005,.005,-1.07,.025,.004,,
AZYO,-,21.707,-,-,-,-,-,-,-,-,-,,  opt may16,,.004,-,-,.004,.004,.004,-1.07,.004,.002,,
AAL,-,4.533,.686,-,-,-,-.32,-,-,-,-,,APAC Coal,,.003,-,.002,.004,.003,.003,-1.07,.007,.002,,
AQQ,-,32.394,241.521,.002,-,-,-.12,-,-,-,-,,Aphrodite Gold,,.008,-,.008,.01,.008,.008,-1.07,.027,.007,,
AOP,-,8.412,4.531,-,-,-,-1.50,-,-,-,-,,Apollo Cons,,.011,-,.011,.019,.011,.011,-1.07,.08,.011,,
AON,100.000,513.330,103.229,.005,-,-,-3.78,-,-,-,-,,Apollo Minerals,,.009,+.1,.008,.009,.009,.008,+11.43,.044,.007,,
AQP,946.711,192.672,128.290,.406,-,-,-1.47,-,-,-,-,,Aquarius Platinum,,.27,+.5,.26,.285,.29,.265,+.82,.50,.235,,
ARU,614.474,73.098,87.798,.020,-,-,-1.60,-,-,-,-,,Arafura Resources,,.045,+.5,.043,.045,.046,.04,+11.43,.105,.037,,
ARX,-,115.056,232.309,.003,-,-,-.24,-,-,-,-,,ARC Explore,,.003,-,.003,.004,.003,.003,-1.07,.007,.003,,
AXE,217.464,44.380,55.545,.011,-,-,-.80,-,-,-,-,,Archer Explore,,.125,-1,.13,.145,.135,.125,-8.48,.235,.125,,
AWO,200.000,30.321,1.808,-,-,-,-.25,-,-,-,-,,Ardent Res,,.01,+.4,.006,.012,.01,.006,+65.60,.017,.005,,
ADV,91.667,69.451,132.822,.002,-,-,-.40,-,-,-,-,,Ardiden,†,.005,-,.005,.006,.005,.005,-1.07,.02,.004,,
ARD,215.000,35.269,25.035,.006,-,-,-.06,-,-,-,-,,Argent Minerals,,.036,+.9,.036,.043,.036,.033,+32.26,.057,.02,,
ARDO,100.000,4.462,-,-,-,-,-,-,-,-,-,,  opt mar16,,.011,+.1,.008,.013,.011,.01,+8.93,.015,.009,,
AXT,-,4.478,22.168,.003,-,-,-.06,-,-,-,-,,Argo Explore,,.024,-,.005,.022,.024,.024,-1.07,.025,.01,,
ARE,91.200,39.743,34.942,.006,-,-,-.72,-,-,-,-,,Argonaut Res,,.013,-.2,.013,.015,.015,.013,-14.40,.035,.012,,
AREO,-,.061,-,-,-,-,-,-,-,-,-,,  opt mar17,,.002,-,.002,-,.002,.002,-1.07,.005,.002,,
AGY,1954.20,54.414,5.485,-,-,-,-.60,-,-,-,-,,Argosy Minerals,,.001,-.1,.001,.002,.002,.001,-51.07,.017,.001,,
