ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:50 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AXT,4244.26,15.328,4.478,.007,-,-,.18,27.8,-,-,-,,Argo Explore,-,.05,+2.1,.046,.05,.06,.03,+74.26,.06,.008,
ARE,32.525,18.835,37.325,.002,-,-,-1.52,-,-,-,-,,Argonaut Res,-,.005,-,.005,.006,.005,.005,+1.85,.018,.004,
AREO,-,-,.053,-,-,-,-,-,-,-,-,,  opt mar17,-,.002,-,-,-,.002,.002,+1.85,.002,.002,
AGY,31293.6,120.731,47.713,.002,-,-,.08,5.0,-,-,-,,Argosy Minerals,-,.004,+.1,.003,.004,.004,.003,+35.18,.005,.001,
AHK,47.980,2.744,.974,.003,-,-,-2.50,-,-,-,-,,Ark Mines,-,.075,-,.075,.10,.077,.075,+1.85,.091,.01,
AJQ,3989.55,91.603,56.276,.055,-,-,-2.20,-,-,-,-,,Armour Energy,-,.18,+.5,.175,.18,.19,.18,+4.70,.195,.041,
AR1,77.043,47.119,135.595,-,-,-,-82.00,-,-,-,-,,Arrowhead Res,X,.028,-,.02,.029,.035,.028,+1.85,.40,.025,
ARV,600.000,113.106,107.735,.001,-,-,-.34,-,-,-,-,,Artemis Res,-,.001,-,-,.001,.001,.001,+1.85,.003,.001,
ARVOA,-,-,15.439,-,-,-,-,-,-,-,-,,  opt aug16,-,.002,-,-,.001,.002,.002,+1.85,.002,.002,
ARVOB,-,1.246,-,-,-,-,-,-,-,-,-,,  opt jul16,-,.001,-,-,.001,.001,.001,+1.85,.001,.001,
AAJ,13944.7,43.957,31.364,.001,-,-,-1.22,-,-,-,-,,Aruma Res,-,.009,-,.009,.011,.015,.009,+1.85,.029,.005,
AJY,-,-,.005,.021,-,-,-12.00,-,-,-,-,,Asaplus Res,-,.24,-,-,.12,.24,.24,+1.85,.24,.24,
AZQ,402.576,1.879,18.260,.002,-,-,-7.72,-,-,-,-,,Ascot Res,-,.015,-.5,.008,.018,.02,.015,-23.15,.18,.015,
AKM,382.337,44.949,51.025,.015,-,-,-2.15,-,-,-,-,,Aspire Min,-,.016,+.1,.015,.018,.016,.015,+8.51,.05,.013,
AKMO,-,.375,-,-,-,-,-,-,-,-,-,,  opt jun17,-,.004,-,.001,.004,.004,.004,+1.85,.004,.003,
ARO,-,14.120,11.410,-,-,-,-8.23,-,-,-,-,,Astro Res,X,.02,-,.02,.029,.02,.02,+1.85,.10,.007,
AHN,-,2.244,8.163,.002,-,-,-.48,-,-,-,-,,Athena Res,-,.011,-,.007,.015,.011,.011,+1.85,.026,.008,
ATE,235338,276.887,7.943,.064,-,-,.26,76.9,-,-,-,,Atherton Res,-,.20,-,.20,.205,.21,.20,+1.85,.21,.09,
AGO,34197.5,1795.38,2699.42,.075,.24,.12,-150.08,-,2.00,-,71.43,,Atlas Iron,-,.028,-.3,.028,.029,.031,.028,-7.83,.335,.018,
AGOO,2340.99,271.076,-,.005,-,-,-,-,-,-,-,,  opt jun17,-,.003,-.1,.003,.004,.004,.003,-23.15,.013,.003,
ATU,1738.94,16.615,26.776,.084,-,-,-11.30,-,-,-,-,,Atrum Coal,-,.45,-10,.45,.49,.59,.40,-16.33,1.482,.40,
ACP,-,.144,.242,.053,-,-,-.44,-,-,-,-,,Audalia Res,-,.225,-,.005,.20,.225,.225,+1.85,.225,.175,
AUK,1033.98,5.362,14.444,.003,-,-,-.23,-,-,-,-,,Augur Res,-,.011,-.3,.011,.019,.015,.01,-19.58,.033,.01,
AEE,175.500,93.701,64.982,.007,-,-,-.93,-,-,-,-,,Aura Energy,-,.018,-.1,.017,.019,.018,.016,-3.42,.041,.014,
AEEOA,-,5.314,-,-,-,-,-,-,-,-,-,,  opt jun17,-,.003,-,.003,.005,.003,.003,+1.85,.006,.003,
AMI,1121.47,127.077,62.688,.012,-,-,-33.01,-,-,-,-,,Aurelia Metals,-,.03,-1.3,.029,.038,.043,.03,-28.39,.294,.012,
AOU,-,6.797,1.760,.006,-,-,-1.80,-,-,-,-,,Auroch Min,-,.094,-,.07,.094,.094,.094,+1.85,.125,.02,
ARM,75.136,13.752,25.938,.004,-,-,-2.55,-,-,-,-,,Aurora Minerals,-,.03,-.2,.03,.035,.032,.03,-4.40,.045,.021,
AQJ,5207.00,36.368,5.657,.002,-,-,-2.63,-,-,-,-,,Aus Asia Minerals,-,.002,-.1,.001,.003,.003,.002,-31.49,.027,.001,
ANW,366.665,62.218,58.966,.008,-,-,-.12,-,-,-,-,,Aus Tin Mining,-,.006,+.1,.005,.006,.006,.005,+21.85,.006,.003,
AUC,34.200,17.142,38.415,.008,-,-,-.46,-,-,-,-,,Ausgold,-,.032,-.5,.032,.037,.037,.032,-11.67,.05,.02,
AOA,-,12.413,24.129,.001,-,-,-.35,-,-,-,-,,Ausmon Resources,-,.005,-,.005,.01,.005,.005,+1.85,.01,.005,
AQC,17383.2,164.165,451.640,.004,-,-,-.83,-,-,-,-,,Aust Pacific Coal,X,.007,+.2,.007,.008,.007,.005,+41.85,.012,.002,
AQD,725.000,294.011,97.550,.010,-,-,-.24,-,-,-,-,,AusQuest,-,.02,+.1,.019,.02,.02,.019,+7.11,.035,.007,
AQDO,-,18.258,11.162,-,-,-,-,-,-,-,-,,  opt nov16,-,.003,-,.003,.005,.003,.003,+1.85,.01,.002,
AQDOA,-,18.506,-,-,-,-,-,-,-,-,-,,  opt apr18,-,.008,-,.01,.012,.008,.008,+1.85,.013,.004,
ABX,1611.96,40.421,67.745,.037,-,-,-1.33,-,-,-,-,,Aust Bauxite,-,.26,-2.5,.26,.28,.32,.26,-6.92,.375,.145,
AUZ,29431.5,456.991,157.623,.011,-,-,-.34,-,-,-,-,,Aust Mines,-,.012,-,.011,.012,.014,.011,+1.85,.014,.004,
AOC,25.000,6.197,18.581,.004,-,-,-.98,-,-,-,-,,Aust Oil Co,-,.037,+.1,.038,.048,.037,.036,+4.62,.16,.035,
ARW,32.846,3.718,3.284,.008,.47,.39,1.11,16.7,-,-,-,,Aust Renewable,-,.185,+1.5,.17,.185,.185,.18,+10.67,.45,.076,
AOK,570.708,113.289,299.923,.039,.13,.53,-4.08,-,-,-,-,,AusTex Oil,-,.069,+.4,.065,.067,.069,.066,+8.00,.175,.062,
AKK,1618.50,136.728,2534.90,.005,-,-,-14.64,-,-,-,-,,Austin Explore,X,.013,-.1,.013,.015,.014,.013,-5.30,.146,.013,
APG,3272.25,165.562,106.422,.008,-,-,-.08,-,-,-,-,,Austpac Res,-,.006,+.1,.005,.006,.006,.005,+21.85,.019,.005,
AGD,25.000,1.322,1.807,.072,-,-,-2.06,-,-,-,-,,Austral Gold,-,.15,-,.08,.20,.15,.15,+1.85,.18,.081,
AVI,36.000,10.125,187.745,.005,-,-,-1.20,-,-,-,-,,Avalon Minerals,X,.02,-.6,.015,.019,.026,.02,-21.23,.04,.016,
AVB,4855.02,196.728,601.092,.150,-,-,-.05,-,-,-,-,,Avanco Res,-,.061,-.5,.06,.061,.066,.06,-5.73,.089,.055,
AVZ,575.000,31.397,62.230,.004,-,-,-.14,-,-,-,-,,AVZ Minerals,-,.009,+.2,.007,.009,.009,.007,+30.42,.012,.005,
AWE,24378.3,642.173,518.105,.332,1.20,.53,-43.84,-,-,-,-,f,AWE,-,.63,-10.5,.63,.64,.745,.63,-12.44,1.785,.555,
AVQ,2684.24,592.147,2653.95,.089,.27,1.24,-30.90,-,-,-,-,,Axiom Min,X,.335,+.5,.335,.345,.34,.31,+3.36,.51,.12,
APY,3197.29,747.557,153.381,.008,-,-,-4.03,-,-,-,-,,Azonto Petroleum,-,.007,-,.006,.007,.007,.007,+1.85,.01,.002,
AZM,506.666,48.618,125.780,.014,-,-,-1.10,-,-,-,-,,Azumah Res,-,.036,-,.035,.036,.037,.035,+1.85,.043,.018,
AZS,23546.7,555.839,418.000,.043,-,-,-.13,-,-,-,-,,Azure Minerals,-,.039,-.1,.039,.04,.042,.039,-.65,.047,.009,
BMN,647.860,38.304,66.173,.017,-,-,-1.21,-,-,-,-,,Bannerman Res,-,.043,-.3,.037,.041,.05,.038,-4.67,.082,.027,
BKP,5000.00,116.916,240.891,.004,-,-,.03,6.7,-,-,-,,Baraka Energy,-,.002,+.1,.001,.002,.002,.001,+101.8,.002,.001,
BAR,2206.34,26.572,22.945,.003,-,-,-.13,-,-,-,-,,Barra Res,-,.008,-.1,.008,.01,.009,.008,-9.26,.014,.005,
BSE,855.923,99.920,76.479,.034,-,-,-2.85,-,-,-,-,,Base Res,-,.06,-.5,.06,.074,.065,.06,-5.85,.30,.052,
BSM,4202.56,172.690,151.826,.005,-,-,-.15,-,-,-,-,,Bass Metals,-,.013,+.2,.012,.013,.015,.012,+20.03,.016,.002,
BAS,4406.82,86.238,169.753,.003,-,-,-.14,-,-,-,-,,Bass Strait Oil Co,-,.004,-,.004,.005,.005,.003,+1.85,.007,.003,
BSR,4002.62,295.372,596.030,.014,-,-,-.14,-,-,-,-,,Bassari Res,-,.01,-,.01,.011,.011,.01,+1.85,.019,.009,
BRL,3248.54,202.401,373.712,.017,-,-,-,-,-,-,-,,Bathurst Res NZ,-,.018,+.1,.018,.02,.019,.017,+7.73,.059,.011,
BAU,635.133,32.882,80.321,.017,-,-,-4.60,-,-,-,-,,Bauxite Resources,-,.074,-.6,.073,.078,.084,.072,-5.65,.13,.052,
