ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 21, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4860.9 at 2011-01-21T16:38:33. Report at Friday, January 21, 2011. Processed Saturday at 2011-01-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AGG,14.328,.037,.071,.799,8.69,1.0,-99.23,-,4.08,-,.46,,Anglogold Ashanti,,8.96,+3,8.51,9.00,9.30,8.37,+1.31,10.50,7.65,,
AZZ,6118.12,17.273,15.529,.109,-,-,-.54,-,-,-,-,,Antares Energy,,.365,-1.5,.36,.365,.385,.36,-2.98,.885,.29,,
AVM,173.451,.453,.702,.071,-,-,-23.97,-,-,-,-,,Anvil Min,,6.72,+29,6.65,7.20,7.30,6.59,+5.48,7.30,2.96,,
AAL,344.804,1.548,.124,.007,-,-,-.29,-,-,-,-,,APAC Coal,,.03,+.5,.03,.04,.031,.025,+20.97,.065,.021,,
AXM,21192.9,155.668,126.477,.093,-,-,-4.97,-,-,-,-,,Apex Min,,.026,-,.025,.026,.027,.025,+.97,.035,.014,,
AXMO,3419.99,16.491,53.831,.005,-,-,-,-,-,-,-,,  opt nov12,,.007,+.1,.006,.008,.007,.006,+17.64,.011,.004,,
AQQ,3167.90,7.293,-,.013,-,-,-,-,-,-,-,,Aphrodite Gold,,.11,-1.5,.105,.115,.13,.105,-11.03,.175,.10,,
AQQO,360.000,1.885,-,.002,-,-,-,-,-,-,-,,  opt dec13,,.031,-.3,.032,.036,.034,.031,-7.85,.042,.025,,
AZO,-,-,4.769,.072,-,-,-,-,-,-,-,,Apollo Gas,,.80,-,-,-,.80,.80,+.97,1.05,.40,,
AON,491.031,1.778,1.010,.014,-,-,-5.70,-,-,-,-,,Apollo Min,,.09,-.2,.087,.09,.092,.09,-1.20,.20,.08,,
AONO,-,.119,-,-,-,-,-,-,-,-,-,,  opt nov11,,.013,-,.013,.019,.013,.013,+.97,.025,.01,,
AQP,5857.82,15.077,20.790,2.631,-,-,7.15,79.4,6.59,1.08,1.16,,Aquarius Platinum,,5.68,-12,5.66,5.81,5.84,5.59,-1.10,7.66,3.89,,
AQA,2289.69,4.976,9.438,3.657,-,-,-10.90,-,-,-,-,,Aquila Res,,9.77,+18,9.49,9.90,9.94,9.35,+2.85,10.31,6.464,,
ARU,9895.97,40.630,10.588,.515,-,-,-3.90,-,-,-,-,,Arafura Resources,,1.40,-16,1.385,1.41,1.575,1.385,-9.29,1.79,.38,,
AAG,1034.28,3.971,3.890,.058,-,-,-1.77,-,-,-,-,,Aragon Res,,.25,-2.5,.245,.25,.27,.245,-8.12,.325,.12,,
ARX,88488.5,234.138,11.355,.029,-,-,7.67,.6,-,-,-,,ARC Explore,,.049,+.4,.049,.05,.053,.044,+9.86,.065,.015,,
ARXO,724.740,.725,-,-,-,-,-,-,-,-,-,,  opt jun12,,.016,+.9,.012,.017,.016,.01,+129.5,.016,.001,,
ARXOA,94060.0,200.522,2.053,.002,-,-,-,-,-,-,-,,  opt jan11,,.009,+.2,.009,.01,.012,.005,+29.54,.026,.001,,
AXE,240.969,.322,2.525,.009,-,-,-.74,-,-,-,-,,Archer Explore,,.14,-4.5,.14,.15,.185,.14,-23.35,.20,.085,,
ARD,2526.53,6.709,.622,.018,-,-,-3.40,-,-,-,-,,Argent Min,,.175,-.5,.175,.18,.19,.175,-1.81,.25,.10,,
ARDO,64.702,1.543,.729,.001,-,-,-,-,-,-,-,,  opt jun11,,.03,-.6,.03,.035,.036,.03,-15.70,.05,.015,,
AXT,1294.65,4.896,1.193,.011,-,-,.92,14.7,-,-,-,,Argo Explore,,.135,+.5,.135,.14,.145,.13,+4.82,.16,.034,,
ARE,17005.0,24.956,7.358,.032,-,-,.18,69.4,-,-,-,,Argonaut Res,,.125,-6,.125,.13,.14,.125,-31.46,.195,.047,,
AGY,324.438,.563,.217,.005,-,-,-.84,-,-,-,-,,Argosy Min,,.05,+.8,.045,.05,.05,.042,+20.02,.055,.018,,
ARV,5547.83,34.539,8.639,.021,-,-,-2.79,-,-,-,-,,Artemis Res,,.066,-.2,.066,.067,.069,.064,-1.97,.10,.034,,
ARVOB,2396.62,9.281,.923,.002,-,-,-,-,-,-,-,,  opt jun11,,.023,-.1,.023,.024,.025,.02,-3.20,.058,.009,,
AAJ,60.000,.109,-,.003,-,-,-,-,-,-,-,,Aruma Res Ltd,,.135,-.5,.13,.165,.135,.135,-2.60,.25,.13,,
ATN,10701.1,48.760,8.530,.019,-,-,-.06,-,-,-,-,,Ashburton Min,,.032,+.1,.032,.034,.035,.03,+4.20,.041,.011,,
AKM,17039.5,31.867,16.332,.282,-,-,-.40,-,-,-,-,,Aspire Min,,.735,+12,.725,.74,.825,.65,+20.48,.825,.065,,
AZT,664.651,5.373,-,1.749,-,-,-,-,-,-,-,,Aston Res Ltd,,8.55,+16,8.44,8.70,9.00,8.38,+2.88,9.00,5.49,,
ARO,20359.3,149.601,106.426,.009,-,-,-.11,-,-,-,-,,Astro Res,,.005,-,.005,.006,.006,.005,+.97,.016,.003,,
AROOB,7575.00,23.858,4.333,-,-,-,-,-,-,-,-,,  opt nov12,,.002,-,.002,.003,.002,.002,+.97,.007,.001,,
AHN,2969.33,4.617,.647,.009,-,-,-.70,-,-,-,-,,Athena Res,,.096,+1.1,.091,.096,.10,.086,+13.91,.20,.05,,
AHNOA,-,-,-,.001,-,-,-,-,-,-,-,,  opt apr12,,.04,-,.04,.06,.04,.04,+.97,.09,.017,,
ATV,2375.64,6.941,6.429,.023,-,-,-.22,-,-,-,-,,Atlantic Gold,,.051,-.5,.051,.058,.06,.05,-7.96,.078,.034,,
ATVCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,.03,-,-,-,.03,.03,+.97,.03,.012,,
ATVOA,-,2.531,.065,-,-,-,-,-,-,-,-,,  opt jan11,,.001,-,-,.001,.001,.001,+.97,.021,.001,,
ATI,997.444,3.595,30.346,.186,-,-,-.71,-,-,-,-,,Atlantic,†,1.68,+9,1.67,1.69,1.68,1.51,+6.63,1.85,.026,,
ATIO,83.027,.495,13.453,.012,-,-,-,-,-,-,-,,  opt dec11,†,1.40,+5,1.38,1.45,1.40,1.34,+4.67,1.55,.013,,
AGO,32733.8,74.334,53.311,1.734,-,-,-9.60,-,-,-,-,,Atlas Iron,,3.17,-12,3.15,3.17,3.42,3.14,-2.68,3.42,1.68,,
ATQ,2573.21,6.238,2.854,.079,-,-,-5.60,-,-,-,-,,Atomic Res,,.575,+4,.57,.575,.59,.53,+8.45,.59,.092,,
