ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 9, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5309.2 at 2015-10-09T16:37:35. Report at Friday, October 9, 2015. Processed Saturday at 2015-10-10T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AAR,200.000,10.929,13.825,.001,-,-,-4.11,-,-,-,-,,Anglo Aust Res,,.007,-.3,.005,.01,.01,.007,-34.32,.016,.006,,
AGG,21.753,.661,.658,.212,7.44,.32,-546.47,-,-,-,-,,Anglogold Ashanti,,2.38,+3,2.35,2.65,2.56,2.35,-3.05,3.39,1.50,,
AWV,285.000,39.284,38.416,.017,-,-,-1.40,-,-,-,-,,Anova Metals,,.051,+.1,.051,.052,.052,.049,-2.32,.06,.026,,
AZZ,-,80.738,107.110,.120,-,-,-58.18,-,-,-,-,,Antares Energy,,.50,-,-,-,.50,.50,-4.32,.535,.076,,
AVD,-,8.924,55.455,.002,-,-,3.38,1.1,-,-,-,,Antilles Oil & Gas,,.037,-,.037,.045,.037,.037,-4.32,.20,.02,,
AVDOB,-,.100,-,-,-,-,-,-,-,-,-,,  opt jan17,,.025,-,.002,.02,.025,.025,-4.32,.025,.025,,
AZY,3145.27,558.926,28.390,.004,-,-,-.21,-,-,-,-,,Antipa Min,,.008,-,.009,.008,.008,.008,-4.32,.023,.003,,
AZYO,1974.49,295.793,-,-,-,-,-,-,-,-,-,,  opt may16,,.002,-,.001,.003,.002,.002,-4.32,.013,.001,,
AAL,-,2.892,3.465,-,-,-,-.32,-,-,-,-,,APAC Coal,,.002,-,.002,.004,.002,.002,-4.32,.004,.002,,
AQQ,1048.20,13.935,25.865,.005,-,-,-.30,-,-,-,-,,Aphrodite Gold,,.01,-.1,.01,.011,.011,.009,-13.41,.013,.006,,
AOP,762.724,5.460,7.753,.005,-,-,-.50,-,-,-,-,,Apollo Cons,,.042,+.4,.04,.045,.042,.035,+6.20,.042,.01,,
AON,46.991,145.614,429.347,.003,-,-,-1.91,-,-,-,-,,Apollo Minerals,†,.042,-.2,.04,.055,.044,.04,-8.87,.20,.03,,
AQP,5382.48,84.855,108.417,.369,-,-,-8.58,-,-,-,-,,Aquarius Platinum,,.245,+10,.245,.25,.25,.15,+64.64,.385,.125,,
AQS,87.000,5.673,2.212,.003,-,-,-2.40,-,-,-,-,,Aquis Entertain,,.08,-3.5,.09,.12,.115,.08,-34.76,.19,.06,,
ARU,487.980,34.371,59.386,.021,-,-,-.95,-,-,-,-,,Arafura Resources,,.047,-.4,.047,.051,.053,.047,-12.17,.065,.037,,
ARX,181.000,90.929,96.842,.001,-,-,-.15,-,-,-,-,,ARC Explore,,.001,-,.001,.002,.001,.001,-4.32,.005,.001,,
AXE,118.433,17.609,39.915,.008,-,-,-1.16,-,-,-,-,,Archer Explore,,.095,-,.09,.095,.097,.093,-4.32,.18,.081,,
AWO,3799.92,80.259,25.475,.002,-,-,-1.28,-,-,-,-,,Ardent Res,,.016,-,.014,.016,.017,.013,-4.32,.042,.006,,
ADV,99471.3,459.818,38.583,.003,-,-,-.18,-,-,-,-,,Ardiden,,.008,+.2,.008,.009,.011,.005,+29.01,.013,.004,,
ARD,490.839,48.281,28.526,.005,-,-,-.91,-,-,-,-,,Argent Minerals,,.025,-.4,.025,.028,.029,.025,-18.12,.045,.019,,
ARDO,700.000,20.990,2.128,-,-,-,-,-,-,-,-,,  opt mar16,,.001,-,-,.001,.001,.001,-4.32,.015,.001,,
AXT,156.551,10.649,4.082,.004,-,-,.18,16.1,-,-,-,,Argo Explore,,.029,+.4,.018,.029,.029,.025,+11.68,.029,.008,,
ARE,-,18.189,36.151,.002,-,-,-1.52,-,-,-,-,,Argonaut Res,,.004,-,.004,.005,.004,.004,-4.32,.02,.004,,
AREO,-,-,.020,-,-,-,-,-,-,-,-,,  opt mar17,,.002,-,-,-,.002,.002,-4.32,.005,.002,,
AGY,3296.37,87.773,46.823,.001,-,-,.08,3.8,-,-,-,,Argosy Minerals,,.003,-,.003,.004,.003,.003,-4.32,.005,.001,,
AHK,-,2.696,.968,.003,-,-,-2.50,-,-,-,-,,Ark Mines,,.075,-,.077,.105,.075,.075,-4.32,.091,.01,,
AJQ,7420.11,78.024,51.406,.056,-,-,-2.20,-,-,-,-,,Armour Energy,,.185,+6.5,.175,.185,.185,.12,+49.84,.185,.041,,
ARV,3800.00,105.856,92.001,.001,-,-,-.34,-,-,-,-,,Artemis Res,*,.001,-,-,.001,.001,.001,-4.32,.004,.001,,
ARVOA,-,-,15.439,-,-,-,-,-,-,-,-,,  opt aug16,,.002,-,-,.001,.002,.002,-4.32,.002,.002,,
ARVOB,-,1.246,-,-,-,-,-,-,-,-,-,,  opt jul16,,.001,-,-,.001,.001,.001,-4.32,.001,.001,,
ARVR,-,.253,-,.003,-,-,-,-,-,-,-,,  rts 08oct,,.001,-,-,-,.001,.001,-4.32,.001,.001,,
AAJ,862.999,25.714,30.481,.001,-,-,-1.22,-,-,-,-,,Aruma Res,,.007,-,.006,.008,.007,.007,-4.32,.029,.005,,
AJY,-,-,.005,.021,-,-,-12.00,-,-,-,-,,Asaplus Res,,.24,-,-,.12,.24,.24,-4.32,.24,.24,,
AZQ,-,.932,17.907,.006,-,-,-7.72,-,-,-,-,,Ascot Res,,.045,-,-,.043,.045,.045,-4.32,.19,.045,,
AKM,898.331,43.529,48.566,.016,-,-,-2.15,-,-,-,-,,Aspire Min,,.017,-,.016,.018,.02,.016,-4.32,.051,.013,,
AKMO,-,.375,-,-,-,-,-,-,-,-,-,,  opt jun17,,.004,-,-,.005,.004,.004,-4.32,.004,.003,,
ARO,268.652,13.601,11.410,-,-,-,-8.23,-,-,-,-,,Astro Res,†,.02,+.7,.02,.03,.02,.014,+49.52,.10,.007,,
AHN,16.101,1.760,7.909,.002,-,-,-.48,-,-,-,-,,Athena Res,,.01,-,.009,.025,.01,.01,-4.32,.026,.008,,
ATE,450.965,34.311,7.460,.056,-,-,.22,90.9,-,-,-,,Atherton Res,,.20,-,.20,.205,.205,.20,-4.32,.205,.09,,
AGO,21541.4,1682.41,2547.30,.083,.24,.13,-150.08,-,2.00,-,64.52,,Atlas Iron,,.031,+.2,.031,.032,.032,.029,+2.57,.435,.018,,
AGOO,2565.00,231.078,-,.007,-,-,-,-,-,-,-,,  opt jun17,,.004,+.1,.004,.005,.004,.004,+29.01,.013,.003,,
ATU,312.254,14.349,25.787,.103,-,-,-11.30,-,-,-,-,,Atrum Coal,,.55,-7,.53,.55,.62,.54,-15.61,1.482,.45,,
ACP,-,.144,.203,.053,-,-,-.44,-,-,-,-,,Audalia Res,,.225,-,.02,.20,.225,.225,-4.32,.23,.14,,
AUK,6.000,4.328,14.444,.004,-,-,-.23,-,-,-,-,,Augur Res,,.014,-.3,.012,.028,.017,.014,-21.97,.033,.01,,
AEE,671.000,91.377,61.005,.007,-,-,-.93,-,-,-,-,,Aura Energy,,.018,+.1,.018,.019,.019,.017,+1.56,.041,.014,,
AEEOA,-,5.164,-,-,-,-,-,-,-,-,-,,  opt jun17,,.004,-,.003,-,.004,.004,-4.32,.006,.004,,
AMI,4256.03,121.437,60.225,.007,-,-,-33.01,-,-,-,-,,Aurelia Metals,,.019,+.4,.017,.019,.019,.015,+22.34,.353,.012,,
AOU,208.334,6.026,1.760,.005,-,-,-1.80,-,-,-,-,,Auroch Min,,.08,-.2,.08,.10,.082,.08,-6.76,.125,.02,,
ARM,100.000,13.141,23.566,.003,-,-,-2.55,-,-,-,-,,Aurora Minerals,,.024,-,.024,.032,.024,.024,-4.32,.045,.021,,
AQJ,-,30.894,5.457,.002,-,-,-2.63,-,-,-,-,,Aus Asia Minerals,,.003,-,.002,.004,.003,.003,-4.32,.027,.001,,
ANW,1401.27,61.013,44.068,.005,-,-,-.12,-,-,-,-,,Aus Tin Mining,,.004,-,.004,.005,.005,.004,-4.32,.006,.003,,
AUC,573.400,16.420,37.958,.009,-,-,-.46,-,-,-,-,,Ausgold,,.035,-.2,.032,.035,.037,.032,-9.73,.05,.02,,
AOA,-,12.413,24.058,.001,-,-,-.35,-,-,-,-,,Ausmon Resources,,.005,-,.005,.01,.005,.005,-4.32,.01,.005,,
AQC,13447.1,140.572,437.080,.003,-,-,-.83,-,-,-,-,,Aust Pacific Coal,†,.007,+.1,.006,.007,.009,.007,+12.34,.016,.002,,
AQD,100.100,292.567,94.372,.009,-,-,-.24,-,-,-,-,,AusQuest,,.019,-.1,.016,.019,.02,.019,-9.32,.035,.007,,
AQDO,-,18.040,11.162,-,-,-,-,-,-,-,-,,  opt nov16,,.003,-,.002,.008,.003,.003,-4.32,.01,.002,,
AQDOA,-,18.201,-,-,-,-,-,-,-,-,-,,  opt apr18,,.008,-,.008,.01,.008,.008,-4.32,.013,.004,,
ABX,1186.21,36.790,62.908,.039,-,-,-1.33,-,-,-,-,,Aust Bauxite,,.275,-.5,.275,.285,.29,.265,-6.11,.375,.145,,
AUZ,30232.1,391.360,145.812,.009,-,-,-.34,-,-,-,-,,Aust Mines,,.01,-,.01,.011,.011,.008,-4.32,.012,.004,,
AOC,40.000,4.302,17.556,.005,-,-,-.98,-,-,-,-,,Aust Oil Co,,.048,+.3,.048,.051,.048,.045,+2.34,.175,.035,,
ARW,111.479,3.656,2.897,.008,.47,.38,1.11,16.2,-,-,-,,Aust Renewable,,.18,+1,.17,.20,.18,.18,+1.56,.45,.076,,
AYM,-,10.570,5.418,-,.03,.03,-.37,-,-,-,-,,Aust United Mining,,.001,-,-,-,.001,.001,-4.32,.008,.001,,
AOK,1544.64,111.207,274.665,.044,.13,.60,-4.08,-,-,-,-,,AusTex Oil,,.078,+1.2,.077,.079,.079,.065,+13.86,.21,.062,,
AKK,2039.95,128.489,2406.03,.004,-,-,-14.64,-,-,-,-,,Austin Explore,†,.013,-.1,.013,.014,.014,.013,-11.46,.146,.013,,
APG,800.000,150.254,98.159,.006,-,-,-.08,-,-,-,-,,Austpac Res,,.005,-,.005,.006,.005,.005,-4.32,.02,.005,,
AGD,4.300,1.294,1.605,.072,-,-,-2.06,-,-,-,-,,Austral Gold,,.15,-,.08,.29,.15,.15,-4.32,.18,.081,,
AVI,92.210,9.848,152.966,.005,-,-,-1.20,-,-,-,-,,Avalon Minerals,†,.02,-1,.023,.03,.03,.016,-37.66,.06,.016,,
AVB,3147.57,184.948,588.170,.147,-,-,-.05,-,-,-,-,,Avanco Res,,.06,-.2,.059,.06,.065,.059,-7.55,.094,.055,,
AVZ,266.000,30.822,57.646,.003,-,-,-.14,-,-,-,-,,AVZ Minerals,,.007,-,.007,.01,.007,.007,-4.32,.012,.005,,
AWE,22115.4,590.370,473.853,.408,1.20,.65,-43.84,-,-,-,-,f,AWE,,.775,+12.5,.775,.78,.872,.65,+14.91,1.82,.555,,
AVQ,3541.44,585.129,2383.68,.100,.27,1.41,-30.90,-,-,-,-,,Axiom Min,†,.38,+4,.375,.385,.395,.34,+7.44,.51,.12,,
APY,7697.71,694.138,148.526,.007,-,-,-4.03,-,-,-,-,,Azonto Petroleum,,.006,-.1,.006,.007,.007,.006,-18.61,.013,.002,,
AZM,3393.44,43.415,122.387,.012,-,-,-1.10,-,-,-,-,,Azumah Res,,.031,+.5,.031,.033,.038,.026,+14.91,.04,.018,,
AZS,43130.6,450.165,411.745,.043,-,-,-.13,-,-,-,-,,Azure Minerals,,.039,+.1,.037,.039,.043,.033,-1.69,.043,.009,,
BMN,757.000,31.216,65.133,.011,-,-,-1.21,-,-,-,-,,Bannerman Res,,.028,-.3,.028,.032,.033,.027,-14.00,.082,.027,,
BKP,891.298,110.504,237.153,.002,-,-,.03,3.3,-,-,-,,Baraka Energy,,.001,-,.001,.002,.001,.001,-4.32,.002,.001,,
BAR,630.000,23.750,20.378,.004,-,-,-.13,-,-,-,-,,Barra Res,,.01,+.1,.01,.011,.011,.009,+6.79,.014,.005,,
BSE,1685.61,97.540,67.929,.034,-,-,-2.85,-,-,-,-,,Base Res,,.06,+.2,.053,.10,.06,.058,-.87,.31,.052,,
BSM,4817.38,164.528,131.653,.005,-,-,-.15,-,-,-,-,,Bass Metals,,.013,-.2,.013,.015,.016,.012,-17.66,.016,.002,,
BAS,4935.34,51.095,157.055,.002,-,-,-.14,-,-,-,-,,Bass Strait Oil Co,,.003,-,.003,.004,.004,.003,-4.32,.008,.003,,
BSR,4041.52,268.567,574.777,.016,-,-,-.14,-,-,-,-,,Bassari Res,,.011,-,.01,.012,.012,.01,-4.32,.019,.009,,
BRL,6238.34,192.724,368.051,.013,-,-,-,-,-,-,-,,Bathurst Res NZ,,.014,-,.014,.015,.015,.013,-4.32,.059,.011,,
BAU,1072.74,27.263,76.986,.013,-,-,-4.60,-,-,-,-,,Bauxite Resources,,.057,-.3,.056,.057,.06,.057,-9.32,.13,.052,,
BBX,1954.01,69.319,29.891,.004,-,-,-.66,-,-,-,-,,BBX Minerals,,.021,-.1,.02,.021,.022,.014,-8.87,.024,.006,,
BCI,2891.88,333.564,224.502,.052,.68,.39,-90.66,-,15.00,-,56.60,f,BC Iron,,.265,+4,.265,.27,.27,.225,+13.46,1.645,.215,,
BPT,62432.8,1463.28,1169.34,.795,1.04,.59,-39.64,-,.50,-,.82,f,Beach Energy,,.61,+15,.61,.62,.617,.465,+28.29,1.33,.455,,
BCN,554.843,187.254,194.131,.004,-,-,.34,.9,-,-,-,,Beacon Minerals,,.003,-,.003,.004,.004,.003,-4.32,.006,.003,,
BDR,28137.8,1204.23,1126.47,.124,.18,.86,-4.30,-,1.00,-,6.45,,Beadell Resources,,.155,+1,.15,.155,.17,.135,+2.57,.385,.10,,
BKY,457.016,38.378,21.765,.086,-,-,-4.36,-,-,-,-,,Berkeley Res,,.475,+2.5,.47,.475,.475,.43,+1.23,.475,.19,,
BGD,4564.78,91.089,-,.004,-,-,-.75,-,-,-,-,,BGD Corp,,.014,+.1,.014,.015,.016,.011,+3.37,.736,.008,,
BHP,57196.2,1632.53,1348.01,82.219,16.20,1.58,46.74,54.8,168.60,.28,6.59,f,BHP Billiton,,25.60,+300,25.50,25.61,25.77,23.35,+8.95,31.692,21.61,,
BIG,64.248,19.163,56.032,.011,.02,9.25,-9.80,-,-,-,-,,Big UN,†,.185,-1,.185,.195,.195,.185,-9.45,.34,.006,,
BGS,14942.3,334.250,339.787,.008,-,-,-.87,-,-,-,-,,Birimian Gold,,.009,+.3,.008,.009,.009,.007,+45.68,.021,.006,,
BGSO,-,.117,-,-,-,-,-,-,-,-,-,,  opt jun18,,.003,-,.001,.005,.003,.003,-4.32,.003,.003,,
BOK,294.069,6.895,158.984,.011,-,-,-44.88,-,-,-,-,,Black Oak Minerals,†,.24,+2,.225,.27,.24,.22,+4.77,.57,.205,,
BRD,3000.00,125.200,125.721,.001,-,-,-.16,-,-,-,-,,Black Ridge Min,,.001,-,.001,.002,.001,.001,-4.32,.004,.001,,
BKT,6124.55,55.048,1449.88,.018,-,-,-.75,-,-,-,-,,Black Rock Min,†,.086,+.4,.086,.089,.094,.076,+.56,.094,.002,,
BKTOC,533.000,2.442,-,.001,-,-,-,-,-,-,-,,  opt mar17,,.03,-.5,.011,.04,.04,.03,-18.61,.04,.007,,
BSP,1933.32,20.552,1.950,-,-,-,-2.36,-,-,-,-,,Black Star Pet,,.001,-,.001,.002,.001,.001,-4.32,.006,.001,,
BSPO,-,-,-,.005,-,-,-,-,-,-,-,,  opt dec17,,.05,-,-,.001,.05,.05,-4.32,.05,.05,,
BGG,615.000,5.959,10.340,.028,.25,.13,1.28,2.5,-,-,-,,Blackgold Int'l,,.032,-,.032,.033,.033,.032,-4.32,.09,.03,,
BGGO,-,-,.049,.002,-,-,-,-,-,-,-,,  opt jul16,,.017,-,-,.015,.017,.017,-4.32,.017,.017,,
BLK,6972.84,99.340,22.963,.046,-,-,-3.04,-,-,-,-,,Blackham Res,,.23,+4.5,.23,.235,.24,.185,+20.00,.24,.043,,
BLZ,5.300,16.494,1060.66,.002,-,-,-4.24,-,-,-,-,,Blaze Int'l,†,.05,-.3,.05,.053,.053,.05,-9.98,.25,.02,,
BGH,-,8.784,3.002,.002,-,-,-2.13,-,-,-,-,,Bligh Res,,.02,-,.02,.04,.02,.02,-4.32,.052,.012,,
BDI,-,77.438,262.081,.002,-,-,-.05,-,-,-,-,,Blina Minerals,,.001,-,-,.001,.001,.001,-4.32,.002,.001,,
BUL,837.686,133.574,127.882,.031,-,-,-.14,-,-,-,-,,Blue Energy,,.027,+.1,.026,.027,.027,.026,-.48,.05,.016,,
BMG,732.000,17.339,636.329,-,-,-,-1.45,-,-,-,-,,BMG Res,†,.007,+.2,.007,.011,.007,.004,+35.68,.033,.004,,
BOA,20.000,12.240,10.316,.010,-,-,-.39,-,-,-,-,,Boadicea Res,,.21,+1,.21,.215,.21,.20,+.68,.40,.10,,
BBR,451.056,8.325,11.365,.003,-,-,-7.57,-,-,-,-,,Bora Bora Res,,.089,+1.4,.089,.095,.089,.075,+14.34,.41,.075,,
BOE,7098.57,152.120,299.347,.013,-,-,-.20,-,-,-,-,,Boss Resources,,.021,+.4,.021,.022,.022,.017,+19.21,.023,.008,,
BML,5521.06,257.145,911.312,.004,-,-,-.13,-,-,-,-,,Botswana Metals,,.006,+.1,.006,.007,.007,.005,+15.68,.028,.005,,
BMLOB,1017.92,108.150,463.361,.001,-,-,-,-,-,-,-,,  opt dec16,,.003,+.1,.003,.004,.003,.003,+45.68,.015,.002,,
BOC,36.947,9.183,5.935,.112,.14,2.00,-24.02,-,-,-,-,,Bougainville Copper,,.28,-,.285,.30,.285,.28,-4.32,.43,.19,,
BUY,3638.32,87.668,91.091,.010,-,-,-1.17,-,-,-,-,,Bounty Oil & Gas,,.01,+.1,.009,.01,.011,.009,+6.79,.02,.009,,
BRN,39882.9,1263.39,35.972,.070,-,-,-5.59,-,-,-,-,,Brainchip,,.29,-2.5,.29,.295,.375,.285,-12.26,.625,.01,,
BZL,-,5.221,2.976,.008,-,-,-.43,-,-,-,-,,BrazIron,,.01,-,.004,.012,.01,.01,-4.32,.05,.01,,
BRB,-,10.891,3.753,.005,-,-,-1.30,-,-,-,-,,Breaker Res,*,.066,-,.035,.066,.062,.062,-4.32,.072,.023,,
BRBCA,-,.900,.328,-,-,-,-,-,-,-,-,,  ctg,*,.004,-,-,.03,.004,.004,-4.32,.015,.003,,
BGC,-,1.743,-,.007,7.21,.02,-.26,-,-,-,-,,Bridge Global Mgt,,.175,-,-,-,.175,.175,-4.32,.22,.039,,
BCK,66.000,10.343,22.819,.201,-,-,-2.48,-,-,-,-,,Brockman Min,,.024,+.2,.024,.027,.025,.022,+4.77,.053,.02,,
