ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:07 Friday 28/5/2010. Processed 15:12 Sunday 30/5/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AGG,61.724,1.256,3.795,0.885,8.69,1.1,-99.23,-,3.87,-,0.39,,Anglogold Ashanti,,9.92,67,9.40,10.14,10.30,9.30,3.70,11.00,7.65
AZZ,7096.13,151.71,21.3,0.171,-,-,-1.6,-,-,-,-,,Antares Energy,,0.62,5.5,0.615,0.62,0.635,0.575,6.19,0.885,0.19
AVM,101.456,2.735,2.3,0.034,-,-,-23.97,-,-,-,-,,Anvil Min cdi,,3.60,32,3.60,3.70,3.70,3.30,6.21,4.56,1.50
AAL,50,1.893,1.082,0.004,-,-,1.53,2.7,-,-,-,,Apac Coal,,0.041,0.2,0.039,0.051,0.043,0.039,1.59,0.08,0.035
AXM,88633.3,1447.9,309.747,0.063,-,-,-26.39,-,-,-,-,,Apex Min NL,,0.019,-0.1,0.018,0.019,0.021,0.017,-8.54,0.187,0.014
AXMO,3394.5,214.861,-,0.003,-,-,-,-,-,-,-,,  opt nov12,,0.005,-0.1,0.005,0.006,0.006,0.005,-20.21,0.025,0.005
AZO,216.677,27.029,-,0.05,-,-,-,-,-,-,-,,Apollo Gas Ltd,,0.60,,0.56,0.59,0.63,0.54,-3.54,0.87,0.35
AON,458.061,11.532,1.72,0.012,-,-,-6.59,-,-,-,-,,Apollo Min Ltd,,0.10,-3,0.105,0.12,0.13,0.10,-26.62,0.40,0.10
AONO,-,0.515,-,-,-,-,-,-,-,-,-,,  opt nov11,,0.02,,0.008,-,0.02,0.02,-3.54,0.025,0.012
AQP,10868.7,158.863,78.726,3.056,-,-,20.79,31.7,2.26,9.20,0.34,,Aquarius Platinum,,6.60,59,6.49,6.61,6.71,6.05,6.27,7.95,3.74
AQA,3411.12,82.687,30.879,2.9,-,-,-14.8,-,-,-,-,,Aquila Res,,9.00,63,8.82,9.12,9.40,8.13,3.98,11.38,4.036
ARU,2791.8,57.899,43.324,0.129,-,-,-5.1,-,-,-,-,,Arafura Resource,,0.445,3,0.44,0.445,0.46,0.38,3.69,1.285,0.38
AAG,540.183,50.096,0.879,0.044,-,-,-3.87,-,-,-,-,,Aragon Res,,0.215,2.5,0.205,0.22,0.215,0.175,9.62,0.27,0.072
AAGO,-,2.005,0.38,-,-,-,-,-,-,-,-,,  opt sep10,,0.022,,0.022,0.03,0.022,0.022,-3.54,0.05,0.003
ARX,2062.65,119.378,6.979,0.01,-,-,8.42,0.3,-,-,-,,ARC Explore Ltd,,0.029,-1,0.03,0.035,0.04,0.029,-29.18,0.065,0.009
ARXO,-,4.086,0.246,-,-,-,-,-,-,-,-,,  opt jun12,,0.002,,0.002,0.012,0.002,0.002,-3.54,0.016,0.001
ARXOA,3249.9,40.172,-,0.001,-,-,-,-,-,-,-,,  opt jan11,,0.006,-0.4,0.006,0.007,0.01,0.005,-43.54,0.026,0.005
AXE,45.5,4.983,2.084,0.007,-,-,-1.93,-,-,-,-,,Archer Explore,,0.11,,0.11,0.13,0.11,0.11,-3.54,0.21,0.056
ARD,10.14,11.172,5.15,0.007,-,-,-3.42,-,-,-,-,,Argent Min,,0.175,1.5,0.15,0.175,0.175,0.15,5.83,0.23,0.10
ARDO,-,4.632,1.777,0.002,-,-,-,-,-,-,-,,  opt jun11,,0.032,,0.025,0.035,0.032,0.032,-3.54,0.06,0.015
AXT,1164.24,32.027,5.228,0.003,-,-,0.76,5.3,-,-,-,,Argo Explore,,0.04,-0.1,0.04,0.043,0.047,0.037,-5.98,0.115,0.03
ARE,735.6,21.638,22.515,0.011,-,-,0.61,10.8,-,-,-,,Argonaut Res,,0.066,1,0.063,0.064,0.066,0.058,14.31,0.105,0.048
AGY,355.514,2.302,1.319,0.003,-,-,-0.53,-,-,-,-,,Argosy Min cdi,,0.031,-0.9,0.027,0.031,0.035,0.03,-26.04,0.13,0.03
AOE,39509.3,716.626,366.276,3.538,2.13,2.3,15.38,31.4,-,-,-,,Arrow Energy,,4.83,5,4.82,4.83,4.89,4.69,-2.50,5.31,3.04
ARV,1160,35.344,2.002,0.009,-,-,0.31,15.2,-,-,-,,Artemis Res,,0.047,-0.3,0.047,0.05,0.05,0.047,-9.54,0.199,0.037
ARVOB,1497.25,5.075,-,0.001,-,-,-,-,-,-,-,,  opt jun11,,0.016,-0.1,0.016,0.02,0.017,0.016,-9.42,0.058,0.01
ATN,2103.42,60.725,28.548,0.011,-,-,-0.83,-,-,-,-,,Ashburton Min,,0.021,0.2,0.02,0.023,0.025,0.02,6.98,0.099,0.008
AKM,2694.64,92.492,6.076,0.024,-,-,-7.45,-,-,-,-,,Aspire Min Ltd,,0.105,,0.10,0.105,0.12,0.096,-3.54,0.18,0.013
ARO,37743.6,1909.14,25.714,0.009,-,-,-0.2,-,-,-,-,,Astro Res NL,,0.007,0.1,0.006,0.007,0.007,0.005,13.12,0.016,0.005
AROOB,7339.5,152.487,10.796,-,-,-,-,-,-,-,-,,  opt nov12,,0.002,,0.002,0.003,0.002,0.002,-3.54,0.007,0.002
AHN,40,4.402,1.965,0.004,-,-,-0.62,-,-,-,-,,Athena Res,,0.065,-1.5,0.051,0.065,0.07,0.065,-22.29,0.12,0.032
AHNOA,-,1.051,-,0.001,-,-,-,-,-,-,-,,  opt apr12,,0.031,,0.012,0.035,0.031,0.031,-3.54,0.031,0.017
ATV,431.216,29.043,25.924,0.017,-,-,-0.25,-,-,-,-,,Atlantic Gold NL,,0.043,0.1,0.044,0.047,0.045,0.042,-1.16,0.10,0.04
ATVCD,-,0.132,-,-,-,-,-,-,-,-,-,,  ctg,,0.012,,0.001,0.03,0.012,0.012,-3.54,0.03,0.011
ATVOA,-,2.368,9.021,-,-,-,-,-,-,-,-,,  opt jan11,,0.008,,0.008,0.01,0.008,0.008,-3.54,0.045,0.008
AGO,37169.4,460.375,188.761,0.985,-,-,-15.5,-,-,-,-,,Atlas Iron Ltd,,2.08,13,2.06,2.09,2.15,1.77,3.12,3.05,1.475
