ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 28, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4775.4 at 2013-06-28T16:44:35. Report at Friday, June 28, 2013. Processed Saturday at 2013-06-29T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ARU,4896.56,56.808,192.722,.036,-,-,-1.41,-,-,-,-,,Arafura Resources,,.081,-.1,.075,.081,.083,.062,-2.31,.26,.062,,
ARX,9106.75,126.440,237.385,.002,-,-,-.13,-,-,-,-,,ARC Explore,,.002,-.1,.002,.003,.003,.002,-34.43,.008,.002,,
AXE,261.500,30.864,167.509,.011,-,-,5.30,2.5,-,-,-,,Archer Explore,,.13,-,.125,.13,.135,.12,-1.09,.28,.12,,
ARD,1434.48,13.735,20.585,.004,-,-,-3.07,-,-,-,-,,Argent Minerals,,.027,-1.6,.027,.034,.041,.027,-38.30,.105,.027,,
AVK,198.000,2.225,8.205,.001,-,-,-7.08,-,-,-,-,,Argentina Min,,.016,-,.009,.016,.016,.016,-1.09,.086,.01,,
AVKO,10.000,.364,1.677,-,-,-,-,-,-,-,-,,  opt mar15,,.001,-.1,.001,.016,.002,.001,-51.09,.02,.001,,
AXT,517.954,16.796,16.904,.003,-,-,-6.85,-,-,-,-,,Argo Explore,,.021,+.2,.015,.025,.022,.019,+8.91,.032,.009,,
ARE,421.496,21.889,34.379,.007,-,-,-.20,-,-,-,-,,Argonaut Res,,.025,+.4,.022,.025,.025,.021,+17.95,.093,.021,,
AGY,17.000,4.540,3.634,.008,-,-,-.78,-,-,-,-,,Argosy Minerals,,.061,-.2,.061,.10,.061,.06,-4.32,.145,.042,,
AHK,189.834,2.306,4.140,.003,-,-,-4.10,-,-,-,-,,Ark Mines,,.08,+3,.055,.09,.08,.05,+58.91,.14,.05,,
AJQ,1957.83,45.501,41.788,.050,-,-,-.50,-,-,-,-,,Armour Energy,,.225,+2.5,.215,.225,.225,.185,+11.41,.41,.165,,
AJQO,289.919,6.818,7.975,.003,-,-,-,-,-,-,-,,  opt aug14,,.05,+.5,.042,.06,.045,.035,+11.41,.14,.03,,
ARV,975.000,128.616,70.971,.004,-,-,-.17,-,-,-,-,,Artemis Res,,.009,+.1,.008,.01,.009,.008,+11.41,.024,.006,,
AAJ,75.000,12.663,2.429,.004,-,-,-1.72,-,-,-,-,,Aruma Res,,.032,-.5,.032,.035,.037,.032,-14.61,.097,.032,,
AJY,20.000,.061,-,.006,-,-,-,-,-,-,-,,Asaplus Res,,.235,-,.235,.24,.235,.235,-1.09,.235,.20,,
AZQ,254.025,4.618,5.728,.002,-,-,-3.60,-,-,-,-,,Ascot Res,,.06,-.6,.06,.068,.064,.062,-9.92,.19,.062,,
ATN,10019.0,217.732,232.112,.002,-,-,-.15,-,-,-,-,,Ashburton Min,,.002,-,.002,.003,.003,.002,-1.09,.005,.001,,
ATNO,-,-,9.253,-,-,-,-,-,-,-,-,,  opt apr14,,.001,-,-,.001,.001,.001,-1.09,.002,.001,,
AKM,1367.34,214.395,165.386,.033,-,-,-1.34,-,-,-,-,,Aspire Min,,.05,-,.05,.054,.043,.035,-1.09,.18,.035,,
ARO,-,98.279,512.911,.003,-,-,-.07,-,-,-,-,,Astro Res,,.001,-,-,.001,.001,.001,-1.09,.002,.001,,
AROOA,-,-,6.825,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,.001,.001,.001,-1.09,.001,.001,,
AHN,629.803,5.354,5.776,.003,-,-,-.08,-,-,-,-,,Athena Res,,.021,+.9,.005,.021,.03,.021,+41.76,.07,.02,,
ATI,82.707,17.194,20.644,.036,-,-,-14.80,-,-,-,-,,Atlantic,,.235,-.5,.215,.245,.27,.235,-3.18,.57,.12,,
ATV,404.259,15.084,31.952,.016,-,-,-.28,-,-,-,-,,Atlantic Gold,,.021,+.1,.018,.021,.024,.018,+3.91,.043,.018,,
ATVCD,-,-,.533,-,-,-,-,-,-,-,-,,  ctg,,.003,-,.001,-,.003,.003,-1.09,.003,.003,,
AGO,47799.6,1516.28,996.743,.678,1.60,.47,-42.00,-,3.00,-,4.03,,Atlas Iron,,.745,-3.5,.745,.75,.74,.685,-5.79,2.12,.685,,
ATU,453.188,65.945,-,.039,-,-,-3.31,-,-,-,-,,Atrum Coal,,.64,-9.5,.64,.655,.73,.62,-14.02,1.32,.15,,
AYA,63.500,3.552,3.366,.022,-,-,-28.74,-,-,-,-,,Attila Res,,.44,-1,.44,.45,.45,.42,-3.32,1.05,.41,,
AYAO,-,.192,.798,.005,-,-,-,-,-,-,-,,  opt jun14,,.47,-,.08,.24,.47,.47,-1.09,.77,.29,,
ACP,-,.005,.041,.005,-,-,-.31,-,-,-,-,,Audalia Res,,.25,-,.165,-,.25,.25,-1.09,.25,.16,,
ACPO,-,.025,-,-,-,-,-,-,-,-,-,,  opt apr14,,.02,-,-,.01,.02,.02,-1.09,.02,.02,,
AUK,1975.30,10.587,30.510,.003,-,-,-5.54,-,-,-,-,,Augur Res,,.013,-.3,.013,.015,.016,.013,-19.84,.07,.013,,
AEE,415.667,16.200,23.881,.012,-,-,-1.77,-,-,-,-,,Aura Energy,,.065,-1,.065,.075,.078,.065,-14.43,.18,.065,,
AEEO,3.334,7.509,6.356,-,-,-,-,-,-,-,-,,  opt dec14,,.009,-.2,.009,.03,.011,.009,-19.27,.05,.006,,
AOU,30.000,3.076,2.630,.003,-,-,-5.94,-,-,-,-,,Auroch Min,,.09,-,-,.098,.09,.084,-1.09,.41,.084,,
ARM,381.572,9.497,11.980,.005,-,-,-2.10,-,-,-,-,,Aurora Minerals,,.051,-.1,.051,.059,.054,.051,-3.02,.095,.045,,
AUT,10360.4,245.666,220.804,1.303,-,-,13.10,22.2,-,-,-,,Aurora Oil & Gas,,2.91,+12,2.83,2.94,2.94,2.63,+3.21,4.20,2.63,,
AIW,1003.55,156.444,41.706,.003,-,-,-4.25,-,-,-,-,,Aust-American Min,,.013,-.2,.013,.015,.013,.012,-14.43,.052,.011,,
AUC,945.411,24.841,11.176,.003,-,-,-6.68,-,-,-,-,,Ausgold,,.017,-.3,.017,.025,.018,.013,-16.09,.41,.013,,
AOA,-,.525,.290,.001,-,-,-1.23,-,-,-,-,,Ausmon Resources,,.018,-,.011,.039,.018,.018,-1.09,.16,.018,,
ANW,1719.83,24.956,6.083,.003,-,-,-.17,-,-,-,-,,AusNiCo,,.007,-,.004,.008,.006,.005,-1.09,.024,.005,,
AQC,12693.2,189.406,90.684,.007,-,-,-.30,-,-,-,-,,Aust Pacific Coal,,.01,-.4,.009,.011,.013,.01,-29.66,.027,.01,,
AQD,1404.55,20.966,13.123,.002,-,-,-2.57,-,-,-,-,,AusQuest,,.01,-,.009,.01,.012,.009,-1.09,.068,.009,,
ABZ,266.478,8.100,12.014,.020,-,-,-.81,-,-,-,-,,Aust Bauxite,,.18,-,.16,.18,.18,.16,-1.09,.41,.16,,
AKA,923.687,19.734,8.869,.009,-,-,-.95,-,-,-,-,,Aust Minerals &  Min,,.08,-2,.08,.082,.10,.08,-20.14,.18,.067,,
AKAOB,300.000,.350,-,-,-,-,-,-,-,-,-,,  opt mar14,,.008,+.2,.003,.015,.009,.008,+32.24,.009,.006,,
AUZ,2419.34,50.726,77.662,.004,-,-,-.15,-,-,-,-,,Aust Mines,,.006,-.2,.006,.007,.008,.006,-26.09,.03,.006,,
AOC,150.000,13.548,11.187,.003,-,-,-1.70,-,-,-,-,,Aust Oil Co,,.035,-.3,.023,.034,.038,.035,-8.99,.265,.023,,
ARW,18309.0,225.127,331.162,.034,.01,.80,.03,26.7,-,-,-,,Aust Renewable,,.008,-,.007,.008,.008,.007,-1.09,.013,.006,,
AOK,5032.26,164.641,80.691,.052,-,-,-1.00,-,-,-,-,,AusTex Oil,,.12,-1.5,.12,.125,.13,.12,-12.20,.175,.099,,
AKK,14738.9,1303.81,1515.68,.023,-,-,-.17,-,-,-,-,,Austin Explore,,.014,-,.014,.015,.015,.014,-1.09,.033,.012,,
AKKOA,-,261.517,563.918,-,-,-,-,-,-,-,-,,  opt jul13,,.001,-,-,.001,.001,.001,-1.09,.005,.001,,
APG,9579.66,78.733,76.006,.016,-,-,.55,2.7,-,-,-,,Austpac Res,,.015,-.1,.014,.015,.016,.013,-7.34,.042,.013,,
AGD,9.671,.301,1.807,.019,-,-,-5.81,-,-,-,-,,Austral Gold,,.11,-8,.11,.18,.19,.11,-43.20,.22,.11,,
AVI,1391.45,50.435,85.573,.007,-,-,-2.55,-,-,-,-,,Avalon Minerals,,.012,-.1,.012,.013,.014,.011,-8.79,.105,.01,,
AVB,8861.05,255.721,438.694,.062,-,-,-.21,-,-,-,-,,Avanco Res,,.056,-.2,.055,.056,.065,.054,-4.54,.135,.05,,
AVY,-,1.791,2.747,.003,-,-,-9.46,-,-,-,-,,Avenue Res,,.05,-,.01,.045,.05,.05,-1.09,.20,.045,,
AVA,938.457,60.642,27.378,.019,-,-,6.58,1.7,-,-,-,,Aviva Corp,,.11,-,.10,.11,.11,.10,-1.09,.185,.071,,
AYE,-,7.824,3.909,.004,-,-,-4.11,-,-,-,-,,Avocet Res,,.04,-,-,-,.04,.04,-1.09,.073,.025,,
AVZ,5000.00,14.467,9.153,.002,-,-,-3.65,-,-,-,-,,AVZ Minerals,,.006,-,.006,.009,.006,.005,-1.09,.030,.005,,
AWE,10662.8,266.235,306.651,.647,1.43,.87,-15.91,-,-,-,-,f,AWE,,1.24,+2,1.22,1.25,1.25,1.13,+.55,1.70,1.105,,
AXC,12493.2,43.713,92.699,-,-,-,-.40,-,-,-,-,,AXG Mining,,.001,-,.001,.002,.001,.001,-1.09,.005,.001,,
AVQ,29133.2,673.096,665.631,.024,-,-,-.26,-,-,-,-,,Axiom Min,,.011,-,.011,.012,.012,.01,-1.09,.038,.006,,
AZK,515.042,8.404,8.501,.008,.08,.55,-2.55,-,-,-,-,,Aziana,,.044,-.3,.038,.044,.044,.035,-7.48,.175,.035,,
AZKO,-,.205,1.394,-,-,-,-,-,-,-,-,,  opt sep13,,.005,-,-,.004,.005,.005,-1.09,.031,.005,,
AZH,7563.04,143.465,212.658,.112,-,-,-1.12,-,-,-,-,,Azimuth Res,,.26,-8.5,.22,.27,.33,.205,-26.85,.515,.205,,
AZM,5172.37,119.175,130.410,.009,-,-,-7.30,-,-,-,-,,Azumah Res,,.027,-.5,.026,.027,.03,.024,-17.76,.215,.024,,
AZS,47576.5,1484.93,45.654,.026,-,-,-.70,-,-,-,-,,Azure Minerals,,.042,-.2,.042,.046,.071,.045,-5.35,.096,.015,,
BMB,470.487,17.541,824.048,.016,-,-,-6.52,-,-,-,-,,Balamara Res,,.063,-1,.063,.071,.072,.06,-14.98,.155,.06,,
BND,5107.77,151.030,267.834,.053,-,-,-1.17,-,-,-,-,,Bandanna Energy,,.10,-.6,.10,.11,.11,.097,-6.81,.465,.097,,
BMN,805.380,35.638,78.959,.019,-,-,-2.76,-,-,-,-,,Bannerman Res,,.061,-.2,.057,.066,.066,.057,-4.22,.14,.05,,
BNX,-,.909,-,.002,-,-,-1.25,-,-,-,-,,Bannon,,.08,-,.085,.135,.08,.08,-1.09,.281,.08,,
BNXO,-,.195,-,-,-,-,-,-,-,-,-,,  opt aug15,,.015,-,.001,.055,.015,.015,-1.09,.045,.015,,
BKP,18342.3,211.215,494.661,.006,-,-,-.02,-,-,-,-,,Baraka Energy,,.003,-,.003,.004,.004,.003,-1.09,.016,.003,,
BAR,625.341,9.795,26.797,.002,-,-,-.15,-,-,-,-,,Barra Res,,.006,+.2,.007,.008,.01,.008,+23.91,.025,.008,,
BAC,-,4.576,3.270,.002,-,-,-3.75,-,-,-,-,,Baru Resources,,.051,-,.025,.038,.051,.051,-1.09,.085,.04,,
BACO,-,.203,.645,-,-,-,-,-,-,-,-,,  opt dec16,,.005,-,-,.005,.005,.005,-1.09,.021,.005,,
BSE,2378.20,56.789,94.373,.213,-,-,-1.89,-,-,-,-,,Base Res,,.38,+1,.37,.39,.38,.35,+1.61,.543,.22,,
BSM,1155.92,174.787,178.947,.003,-,-,-2.24,-,-,-,-,,Bass Metals,,.011,+.1,.011,.012,.012,.009,+8.91,.02,.004,,
BSMO,-,6.100,50.197,-,-,-,-,-,-,-,-,,  opt sep14,,.001,-,-,.001,.001,.001,-1.09,.002,.001,,
BAS,1290.57,26.164,119.491,.003,-,-,-.14,-,-,-,-,,Bass Strait Oil Co,,.006,-,.006,.008,.007,.007,-1.09,.02,.007,,
BSR,1957.13,73.609,170.494,.007,-,-,-.38,-,-,-,-,,Bassari Res,,.01,-.3,.009,.01,.01,.008,-24.17,.05,.008,,
BTU,-,416.933,505.110,.105,-,-,-1.44,-,-,-,-,,Bathurst Res,,.15,-,-,-,.15,.15,-1.09,.50,.14,,
BRL,4332.52,4.414,-,.087,-,-,-,-,-,-,-,,BatursT Resources NZ,,.125,-.5,.115,.13,.145,.11,-4.66,.15,.11,,
BAU,634.097,37.084,23.482,.025,-,-,-2.62,-,-,-,-,,Bauxite Resources,,.105,-,.105,.11,.11,.10,-1.09,.15,.095,,
BBX,63.000,2.996,1.056,.001,-,-,-1.71,-,-,-,-,,BBX Minerals,,.01,+.1,.01,.025,.01,.009,+10.02,.14,.009,,
BBXO,-,-,.041,-,-,-,-,-,-,-,-,,  opt jun14,,.011,-,-,.01,.011,.011,-1.09,.011,.011,,
BCI,473.321,51.486,16.528,.398,-,-,52.77,6.1,20.00,2.64,6.19,f,BC Iron,,3.23,-10,3.10,3.24,3.20,3.01,-4.22,4.18,2.24,,
BCD,31.000,13.462,174.873,.003,.08,.27,.46,4.8,-,-,-,,BCD Res,†,.022,-.4,.022,.029,.028,.024,-15.38,.065,.005,,
BPT,44691.0,901.160,1520.27,1.440,1.30,.87,12.83,8.8,2.25,5.70,1.98,f,Beach Energy,,1.135,-3.5,1.135,1.145,1.195,1.092,-4.01,1.562,.905,,
BHU,-,4.461,3.861,-,-,-,-8.22,-,-,-,-,,Beacon Hill Res,,.11,-,.063,.11,.11,.11,-1.09,.225,.09,,
BCN,1672.63,102.935,351.475,.004,-,-,-.11,-,-,-,-,,Beacon Minerals,,.003,-.1,.003,.004,.004,.003,-26.09,.008,.002,,
BCNO,814.118,13.364,-,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,.002,.001,.001,-1.09,.003,.001,,
BDR,25827.0,717.039,476.188,.393,-,-,-6.00,-,-,-,-,,Beadell Resources,,.50,-9.5,.495,.51,.605,.505,-16.42,1.135,.505,,
