ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5433.8 at 2014-11-14T16:38:06. Report at Friday, November 14, 2014. Processed Saturday at 2014-11-15T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AQDO,-,11.162,-,-,-,-,-,-,-,-,-,,  opt nov16,,.008,-,.002,.008,.008,.008,+1.60,.02,.004,,
ABX,426.838,69.376,26.095,.040,-,-,-2.68,-,-,-,-,,Aust Bauxite,,.315,-.5,.305,.31,.325,.305,+.04,.35,.17,,
AUZ,4298.68,166.447,113.611,.005,-,-,-.15,-,-,-,-,,Aust Mines,,.006,-.1,.006,.007,.007,.005,-12.69,.02,.003,,
AOC,46.503,18.664,26.127,.012,-,-,.38,35.5,-,-,-,,Aust Oil Co,,.135,-1,.09,.13,.145,.135,-5.30,.21,.085,,
ARW,4.500,3.307,773.774,.008,.46,.43,-13.00,-,-,-,-,,Aust Renewable,,.20,+1.5,.125,.18,.20,.18,+9.71,.77,.11,,
AYM,400.000,5.818,1.461,.005,-,-,-.41,-,-,-,-,,Aust United Mining,,.008,-,.004,.018,.008,.008,+1.60,.009,.003,,
AOK,3430.50,312.270,220.148,.089,.14,1.14,.41,39.0,-,-,-,,AusTex Oil,,.16,-1,.16,.17,.175,.155,-4.28,.29,.11,,
AKKDA,3004.12,3.004,-,.023,-,-,-1.00,-,-,-,-,,Austin Explore,†,.088,-,.087,.088,.105,.085,-,.105,.085,,
APG,4817.35,115.319,157.121,.018,-,-,-.25,-,-,-,-,,Austpac Res,,.015,-,.015,.018,.018,.015,+1.60,.035,.015,,
AGD,22.884,1.840,1.435,.022,-,-,-7.24,-,-,-,-,,Austral Gold,,.13,-,.12,.15,.13,.13,+1.60,.162,.065,,
AVIDA,6.002,.006,-,.004,-,-,-4.00,-,-,-,-,,Avalon Minerals,†,.03,-,.03,.04,.03,.03,-,.03,.03,,
AVB,3262.47,616.809,619.713,.138,-,-,-.08,-,-,-,-,,Avanco Res,,.083,+.3,.083,.084,.085,.081,+5.35,.12,.054,,
AVZ,701.724,64.117,15.938,.003,-,-,-.29,-,-,-,-,,AVZ Minerals,,.006,+.1,.006,.007,.006,.005,+21.60,.011,.005,,
AWE,13883.7,543.898,448.742,.815,1.55,1.00,11.96,13.0,-,-,-,f,AWE,,1.55,-19.5,1.545,1.57,1.785,1.535,-9.58,1.995,1.145,,
AXC,4679.55,93.911,98.478,.011,-,-,-.32,-,-,-,-,,AXG Mining,,.017,-.3,.015,.019,.02,.017,-13.40,.024,.002,,
AVQ,42237.7,2735.58,2221.03,.043,-,-,-.82,-,-,-,-,,Axiom Min,,.013,-.1,.013,.014,.015,.012,-5.54,.032,.012,,
