ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4972.9 at 16:33 9/4/2010  Report at 19:08 Friday 9/4/2010. Processed 19:28 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ALG,30,0.599,0.01,0.004,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.18,,0.165,0.22,0.18,0.18,-0.96,0.245,0.14
ALGO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar13,,-,,0.026,0.08,-,-,-,-,-
AUQ,109.249,3.005,2.831,0.01,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.12,-0.5,0.12,0.125,0.13,0.12,-4.96,0.25,0.048
ALY,1820.86,26.118,1.154,0.049,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.66,-2,0.655,0.665,0.685,0.64,-3.90,1.27,0.042
ALYO,120,2.119,0.84,0.009,-,-,-,-,-,-,-,,  opt aug10,,0.40,,0.39,0.42,0.42,0.40,-0.96,0.96,0.002
AYN,7165.95,78.839,-,0.017,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.028,-0.2,0.029,0.032,0.032,0.028,-7.62,0.06,0.028
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,-0.96,0.021,0.021
ALK,907.88,13.285,12.496,0.085,-,-,0.93,36.6,-,-,-,,Alkane Res Ltd,,0.34,4.5,0.34,0.345,0.345,0.28,14.30,0.49,0.225
AGS,2378.88,26.546,23.99,0.169,-,-,-1.97,-,-,-,-,,Alliance Res,,0.495,,0.49,0.495,0.55,0.48,-0.96,0.98,0.40
ALD,1661.87,58.529,21.064,0.348,0.26,1.3,-3.42,-,-,-,-,,Allied Gold Ltd,,0.335,1.5,0.335,0.34,0.35,0.32,3.73,0.55,0.25
AYR,121.952,6.297,2.942,0.003,-,-,-0.62,-,-,-,-,,Alloy Res,,0.03,0.4,0.028,0.035,0.03,0.026,14.43,0.042,0.013
AJM,1207.23,4.802,3.429,0.048,-,-,-5.11,-,-,-,-,,Altura Min Ltd,,0.245,1.5,0.245,0.26,0.26,0.225,5.57,0.37,0.067
AJMO,106.475,1.041,-,-,-,-,-,-,-,-,-,,  opt may10,,0.017,0.2,0.017,0.025,0.018,0.015,12.38,0.08,0.005
AWC,76341.1,1135.84,597.423,4.539,1.21,1.5,-1.2,-,2,-,1.08,f,Alumina Ltd,,1.86,9.5,1.855,1.865,1.87,1.785,4.43,2.06,1.08
AMU,2717.39,31.8,6.076,0.065,0.34,0.6,-10.17,-,-,-,-,,Amadeus Energy,,0.215,1,0.21,0.215,0.22,0.20,3.92,0.43,0.20
AXZ,-,0.436,0.104,0.008,-,-,-2.85,-,-,-,-,,Amex Res,,0.16,,0.12,0.15,0.16,0.16,-0.96,0.25,0.085
AMX,2590.06,57.745,8.425,0.243,-,-,-7,-,-,-,-,,Ampella Min,,1.485,18.5,1.485,1.49,1.535,1.29,13.28,1.535,0.19
AMXO,27,2.125,0.384,0.017,-,-,-,-,-,-,-,,  opt jul10,,1.22,10,1.27,1.35,1.22,1.12,7.97,1.22,0.065
AHR,193.166,4.949,0.38,0.009,-,-,-2.05,-,-,-,-,,Anchor Res,,0.24,1,0.23,0.24,0.24,0.215,3.39,0.28,0.032
AHRNA,-,-,-,-,-,-,-,-,-,-,-,,  def x opt,,-,,-,-,-,-,-,-,-
AND,3397.49,23.731,34.495,1.436,-,-,-4.64,-,-,-,-,,Andean Res Ltd,,3.05,24,3.05,3.07,3.16,3.01,7.59,3.16,1.45
ATM,-,0.004,0.011,2.175,0.10,11.4,0.7,162.9,2.94,0.24,2.58,,Aneka Tambang cdi  1:5,,1.14,,-,1.30,1.14,1.14,-0.96,1.14,0.97
AAR,491.75,16.893,33.872,0.013,-,-,-0.14,-,-,-,-,,Anglo Aust,,0.026,0.2,0.025,0.027,0.026,0.024,7.38,0.044,0.021
AGP,-,-,-,0.313,-,-,34.4,8.5,15.87,2.17,5.45,,Anglo Pacific Grp,,2.91,,2.91,-,2.91,2.91,-0.96,3.50,2.581
AGG,24.734,0.488,1.929,0.785,8.69,1.0,-99.23,-,3.87,-,0.44,,Anglogold Ashanti  5:1,,8.80,69,7.90,8.80,8.80,8.51,7.55,11.00,7.65
AZZ,5167.06,94.697,4.909,0.232,-,-,-1.6,-,-,-,-,,Antares Energy,,0.84,0.5,0.83,0.84,0.85,0.795,-0.36,0.885,0.05
AVM,39.5,2.011,0.337,0.041,-,-,-23.97,-,-,-,-,,Anvil Min cdi,,4.22,12,4.20,4.30,4.30,4.20,1.97,4.43,1.24
AAL,216.428,1.185,0.711,0.004,-,-,1.53,2.5,-,-,-,,Apac Coal,,0.039,0.4,0.039,0.043,0.039,0.035,10.47,0.08,0.035
AXM,49310.1,892.926,132.096,0.08,-,-,-26.39,-,-,-,-,,Apex Min NL,,0.024,-0.1,0.024,0.025,0.026,0.023,-4.96,0.223,0.022
AXMO,4394.43,148.228,-,0.004,-,-,-,-,-,-,-,,  opt nov12,,0.006,-0.1,0.006,0.008,0.008,0.006,-15.24,0.025,0.006
AZO,6182.61,18.961,-,0.061,-,-,-,-,-,-,-,,Apollo Gas Ltd,,0.725,19.5,0.725,0.73,0.725,0.51,35.84,0.76,0.35
AON,219.34,4.126,0.378,0.02,-,-,-6.59,-,-,-,-,,Apollo Min Ltd,,0.175,1,0.17,0.175,0.185,0.165,5.11,0.40,0.14
AONO,-,0.2,-,-,-,-,-,-,-,-,-,,  opt nov11,,0.012,,0.016,0.02,0.012,0.012,-0.96,0.012,0.012
AQP,7374.61,97.375,54.141,3.504,-,-,20.79,36.4,2.26,9.20,0.30,,Aquarius Platinum,,7.57,35,7.41,7.58,7.66,7.21,3.89,7.95,3.74
AQA,2624.99,61.777,16.765,3.503,-,-,-14.8,-,-,-,-,,Aquila Res,,10.87,22,10.80,10.95,11.05,10.42,1.11,11.38,2.60
ARU,3818.69,40.583,19.493,0.187,-,-,-5.1,-,-,-,-,,Arafura Resource,,0.645,6.5,0.64,0.645,0.66,0.585,10.25,1.285,0.33
AAG,5084.5,25.09,0.151,0.038,-,-,-3.87,-,-,-,-,,Aragon Res,,0.19,2,0.18,0.19,0.195,0.165,10.81,0.27,0.072
AAGO,254,0.428,0.018,-,-,-,-,-,-,-,-,,  opt sep10,,0.03,1,0.03,0.039,0.04,0.03,49.04,0.05,0.002
ARX,914.667,102.378,3.304,0.015,-,-,8.42,0.5,-,-,-,,ARC Explore Ltd,,0.043,-0.2,0.044,0.045,0.045,0.043,-5.40,0.065,0.009
ARXO,-,4.063,0.246,-,-,-,-,-,-,-,-,,  opt jun12,,0.003,,0.003,0.01,0.003,0.003,-0.96,0.016,0.001
ARXOA,361.995,29.924,-,0.003,-,-,-,-,-,-,-,,  opt jan11,,0.015,0.1,0.013,0.016,0.015,0.014,6.19,0.026,0.009
AXE,103.125,4.294,1.363,0.01,-,-,-1.93,-,-,-,-,,Archer Explore,,0.15,-1,0.135,0.15,0.16,0.15,-7.21,0.21,0.052
ARD,774.097,8.439,1.666,0.007,-,-,-3.42,-,-,-,-,,Argent Min,,0.175,-1.5,0.175,0.19,0.185,0.165,-8.85,0.23,0.053
ARDO,308,2.575,0.424,0.001,-,-,-,-,-,-,-,,  opt jun11,,0.03,-0.5,0.026,0.03,0.031,0.03,-15.24,0.06,0.01
AXT,1242.21,22.369,2.643,0.005,-,-,0.76,7.9,-,-,-,,Argo Explore,,0.06,-0.9,0.06,0.067,0.069,0.06,-14.00,0.115,0.03
ARE,606.331,16.168,11.96,0.013,-,-,0.61,12.8,-,-,-,,Argonaut Res,,0.078,-0.4,0.078,0.082,0.082,0.076,-5.83,0.105,0.048
AGY,67,1.145,0.997,0.004,-,-,-0.53,-,-,-,-,,Argosy Min cdi,,0.04,-0.5,0.04,0.045,0.045,0.04,-12.07,0.13,0.031
AOE,23632.1,456.31,230.711,3.787,2.13,2.4,15.38,33.6,-,-,-,,Arrow Energy,,5.17,10,5.13,5.18,5.18,5.03,1.02,5.31,2.91
ARV,412.048,24.678,0.713,0.012,-,-,0.31,20.0,-,-,-,,Artemis Res,,0.062,0.2,0.062,0.063,0.062,0.06,2.38,0.199,0.029
ARVOB,20,2.519,-,0.002,-,-,-,-,-,-,-,,  opt jun11,,0.025,0.5,0.023,0.025,0.025,0.02,24.04,0.058,0.019
ATN,791.07,28.851,20.416,0.01,-,-,-0.83,-,-,-,-,,Ashburton Min,,0.02,-0.1,0.02,0.021,0.021,0.018,-5.72,0.099,0.006
AKM,4236.18,51.276,4.589,0.028,-,-,-7.45,-,-,-,-,,Aspire Min Ltd,,0.125,3,0.125,0.13,0.13,0.096,30.62,0.13,0.012
ARO,48833.1,1430.05,19.376,0.012,-,-,-0.2,-,-,-,-,,Astro Res NL,,0.01,-0.2,0.01,0.011,0.012,0.01,-17.62,0.016,0.002
AROOB,4051.08,111.957,-,0.001,-,-,-,-,-,-,-,,  opt nov12,,0.004,-0.1,0.004,0.005,0.004,0.004,-20.96,0.007,0.001
AHN,32.3,3.191,1.615,0.005,-,-,-0.62,-,-,-,-,,Athena Res,,0.08,-3,0.085,0.09,0.085,0.08,-28.23,0.12,0.021
AHNOA,-,0.951,-,-,-,-,-,-,-,-,-,,  opt apr12,,0.029,,0.031,0.055,0.029,0.029,-0.96,0.03,0.017
