ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 3, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4243.0 at 2012-08-03T16:48:37. Report at Friday, August 3, 2012. Processed Saturday at 2012-08-04T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AAJ,-,2.616,4.912,.006,-,-,-.93,-,-,-,-,,Aruma Res,,.07,-,-,-,.07,.07,-.20,.10,.06,,
ATN,18757.9,309.627,378.361,.004,-,-,-.82,-,-,-,-,,Ashburton Min,,.004,-,.003,.004,.005,.003,-.20,.044,.003,,
ATNO,1080.00,16.766,-,-,-,-,-,-,-,-,-,,  opt apr14,,.001,-,-,-,.001,.001,-.20,.002,.001,,
AKM,2026.86,177.014,244.606,.071,-,-,-1.03,-,-,-,-,,Aspire Min,,.115,-.5,.105,.115,.12,.097,-4.37,.595,.097,,
ARO,2100.00,523.017,1044.37,.003,-,-,-.09,-,-,-,-,,Astro Res,,.001,-,.001,.002,.002,.001,-.20,.004,.001,,
AROOA,-,7.325,-,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,-,.001,.001,-.20,.001,.001,,
AROOB,-,7.118,42.492,-,-,-,-,-,-,-,-,,  opt nov12,,.001,-,-,-,.001,.001,-.20,.001,.001,,
AHN,-,6.105,47.640,.007,-,-,-1.44,-,-,-,-,,Athena Res,,.06,-,-,-,.06,.06,-.20,.123,.035,,
ATI,1075.58,23.458,28.744,.062,-,-,21.10,1.9,-,-,-,,Atlantic,,.40,-7,.405,.45,.485,.38,-15.10,1.74,.36,,
ATV,721.340,33.105,66.649,.017,-,-,-.25,-,-,-,-,,Atlantic Gold,,.029,-.4,.029,.03,.033,.028,-12.32,.051,.026,,
ATVCD,-,.533,-,-,-,-,-,-,-,-,-,,  ctg,,.003,-,-,-,.003,.003,-.20,.03,.001,,
AGO,30684.8,1179.56,959.951,1.520,.02,84.0,21.60,7.8,3.00,7.20,1.79,,Atlas Iron,,1.68,+1.5,1.68,1.685,1.765,1.66,+.70,3.97,1.615,,
ATU,485.750,3.575,-,.012,-,-,-,-,-,-,-,,Atrum Coal,,.20,-1,.195,.20,.205,.195,-4.97,.215,.17,,
AYA,74.181,4.747,2.782,.012,-,-,-1.75,-,-,-,-,,Attila Res,,.675,+7.5,.655,.675,.68,.60,+12.30,.72,.13,,
AYAO,40.000,1.192,.273,.004,-,-,-,-,-,-,-,,  opt jun14,,.40,+10,.23,.445,.42,.30,+33.13,.42,.035,,
ACP,-,.051,.443,.003,-,-,-.36,-,-,-,-,,Audalia Res,,.18,-,-,-,.18,.18,-.20,.26,.10,,
ACPO,-,.010,.040,-,-,-,-,-,-,-,-,,  opt apr14,,.02,-,-,-,.02,.02,-.20,.03,.02,,
AUK,197.630,34.208,52.635,.007,-,-,-1.34,-,-,-,-,,Augur Res,,.04,-.5,.038,.04,.045,.04,-11.31,.45,.033,,
AEE,633.909,27.917,112.581,.022,-,-,-1.47,-,-,-,-,,Aura Energy,,.14,-1,.13,.14,.15,.13,-6.87,.307,.12,,
AEEO,-,8.055,-,-,-,-,-,-,-,-,-,,  opt dec14,,.05,-,.036,.045,.05,.05,-.20,.07,.035,,
AGU,315.980,31.486,222.342,.004,-,-,-.13,-,-,-,-,,Aurium Res,,.013,+.3,.014,.018,.013,.011,+29.80,.034,.01,,
AGUOA,-,10.303,73.201,-,-,-,-,-,-,-,-,,  opt sep12,,.001,-,-,-,.001,.001,-.20,.029,.001,,
ARM,501.800,13.635,65.649,.007,-,-,-4.98,-,-,-,-,,Aurora Minerals,,.071,-.9,.071,.075,.082,.07,-11.45,.175,.07,,
AUT,3951.64,253.537,319.397,1.509,-,-,7.38,45.8,-,-,-,,Aurora Oil & Gas,,3.38,-2,3.37,3.41,3.47,3.32,-.79,4.26,2.11,,
AIW,462.480,49.491,248.029,.003,-,-,-5.40,-,-,-,-,,Aust-American Min,†,.036,-.4,.036,.038,.04,.035,-10.20,.14,.021,,
AIWO,-,2.354,49.300,-,-,-,-,-,-,-,-,,  opt dec12,†,.001,-,-,-,.001,.001,-.20,.01,.001,,
AUC,137.499,11.636,19.699,.050,-,-,-.34,-,-,-,-,,Ausgold,,.38,-1,-,-,.40,.38,-2.77,1.80,.325,,
AUCO,79.727,2.818,4.527,.010,-,-,-,-,-,-,-,,  opt mar13,,.14,-2.5,-,-,.165,.14,-15.35,1.50,.11,,
AOA,-,.290,1.122,.012,-,-,-2.00,-,-,-,-,,Ausmon Resources,,.155,-,-,-,.155,.155,-.20,.20,.12,,
ANW,385.900,6.719,3.361,.002,-,-,-1.20,-,-,-,-,,AusNiCo,,.022,-,.022,.026,.022,.021,-.20,.075,.02,,
AQC,1305.00,96.655,554.132,.010,.01,1.7,-.14,-,-,-,-,,Aust Pacific Coal,,.017,-.3,.014,.017,.018,.016,-15.20,.052,.016,,
AQD,620.784,17.177,33.019,.006,-,-,-5.73,-,-,-,-,,AusQuest,,.025,-.2,.025,.028,.03,.025,-7.61,.11,.025,,
AQR,-,7.748,16.536,.011,-,-,-3.33,-,-,-,-,,Aussie Q Res,,.07,-,-,-,.07,.07,-.20,.26,.06,,
ABZ,212.433,12.612,9.998,.037,-,-,-.81,-,-,-,-,,Aust Bauxite,,.35,-1,.33,.35,.37,.315,-2.98,.595,.315,,
AKA,15.000,9.204,13.166,.009,-,-,-1.07,-,-,-,-,,Aust Minerals &  Min,,.09,-.1,-,-,.095,.09,-1.30,.175,.09,,
AKAOA,-,12.858,-,-,-,-,-,-,-,-,-,,  opt nov12,,.004,-,-,-,.004,.004,-.20,.018,.003,,
AUZ,625.000,105.203,200.199,.009,-,-,-.71,-,-,-,-,,Aust Mines,,.014,-,-,-,.015,.014,-.20,.021,.012,,
AUZO,-,3.805,43.938,-,-,-,-,-,-,-,-,,  opt jun13,,.002,-,-,-,.002,.002,-.20,.007,.002,,
AOC,200.000,12.777,16.159,.003,-,-,-2.05,-,-,-,-,,Aust Oil Co,,.046,-.2,.03,.046,.048,.046,-4.37,.145,.041,,
AOM,11000.0,205.019,1934.16,.002,-,-,-.03,-,-,-,-,,Aust Oriental Min,,.001,-,-,-,.001,.001,-.20,.003,.001,,
ARW,300.000,347.441,389.499,.034,.01,1.4,-.37,-,-,-,-,,Aust Renewable,,.014,-,-,-,.014,.014,-.20,.02,.01,,
AOK,875.802,92.352,57.448,.039,-,-,-1.62,-,-,-,-,,AusTex Oil,,.12,-,.12,.125,.125,.115,-.20,.165,.065,,
AKK,21723.1,1702.40,512.613,.027,-,-,-,-,-,-,-,,Austin Explore,,.018,-.1,.018,.019,.02,.018,-5.47,.039,.017,,
AKKOA,1642.06,624.779,12.187,.003,-,-,-,-,-,-,-,,  opt jul13,,.003,-,.002,.003,.003,.002,-.20,.009,.002,,
