Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:06 Friday 3/9/2010. Processed 17:38 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.40,,,,,,,,,,,,
Sep,10,45.01,7.09,7.89,41,123,22.50,-1.00,18.59,,,
Sep,10,46.00,8.18,9.80,3,267,36.20,-1.00,22.90,,,
Oct,10,27.00,0.04,0.04,6,180,43.70,-0.01,0.68,,,
Oct,10,31.00,0.17,0.25,15,115,36.90,-0.05,2.81,,,
Oct,10,33.00,0.25,0.26,2,258,31.00,-0.09,4.17,,,
Oct,10,33.50,0.29,0.47,10,44,30.10,-0.10,4.93,,,
Oct,10,34.00,0.35,0.34,6,570,29.50,-0.12,5.95,,,
Oct,10,35.00,0.50,0.47,1,424,27.90,-0.17,8.50,,,
Oct,10,35.50,0.59,0.56,4,199,27.30,-0.20,10.12,,,
Oct,10,36.00,0.71,0.68,30,598,26.60,-0.23,12.16,,,
Oct,10,36.50,0.84,0.81,101,219,25.90,-0.27,14.37,,,
Oct,10,37.00,0.98,0.94,32,799,25.00,-0.31,16.75,,,
Oct,10,37.50,1.17,1.12,48,757,24.30,-0.36,19.81,,,
Oct,10,38.00,1.38,1.30,527,1124,23.70,-0.42,23.38,,,
Oct,10,38.50,1.61,1.54,43,213,23.10,-0.47,24.49,,,
Oct,10,39.00,1.88,1.75,3,697,22.40,-0.54,20.49,,,
Oct,10,39.50,2.19,2.05,2,128,21.90,-0.60,17.26,,,
Oct,10,40.50,2.90,3.65,5,53,21.00,-0.74,12.41,,,
Oct,10,41.00,3.31,3.23,4,345,20.60,-0.80,10.80,,,
Nov,10,31.00,0.28,0.26,15,47,34.60,-0.07,3.12,,,
Nov,10,33.00,0.47,0.43,1,29,31.50,-0.12,5.27,,,
Nov,10,34.00,0.60,0.62,1,177,29.90,-0.16,6.80,,,
Nov,10,36.00,1.03,1.51,4,440,27.50,-0.26,11.73,,,
Nov,10,36.50,1.17,1.13,6,68,26.60,-0.30,13.21,,,
Nov,10,37.00,1.33,1.27,4,146,26.10,-0.33,15.08,,,
Nov,10,38.00,1.73,2.30,8,139,25.00,-0.42,19.56,,,
Nov,10,38.50,1.95,1.90,165,111,24.40,-0.46,20.18,,,
Nov,10,39.00,2.21,2.16,5,939,23.90,-0.51,17.46,,,
Nov,10,40.50,3.13,2.05,12,31,22.50,-0.66,10.94,,,
Nov,10,41.00,3.52,3.00,5,211,22.70,-0.71,9.69,,,
Nov,10,41.50,3.88,4.97,4,27,21.40,-0.78,7.99,,,
Dec,10,32.00,0.48,0.47,10,215,31.90,-0.11,4.08,,,
Dec,10,36.00,1.32,1.23,24,689,28.10,-0.28,11.22,,,
Dec,10,36.50,1.46,1.38,15,251,27.40,-0.31,12.37,,,
Dec,10,37.00,1.63,1.56,7,1172,26.90,-0.34,13.82,,,
Dec,10,37.50,1.81,2.35,1,368,26.40,-0.38,15.43,,,
Dec,10,38.00,2.06,2.02,27,1291,26.30,-0.41,17.51,,,
Dec,10,39.00,2.52,2.46,2,1016,25.20,-0.49,15.69,,,
Dec,10,40.00,3.10,3.00,17,544,24.70,-0.57,12.16,,,
Dec,10,41.50,4.11,4.34,9,182,23.60,-0.71,7.99,,,
Dec,10,42.50,4.88,3.80,2,52,22.70,-0.80,5.99,,,
Dec,10,50.00,12.19,9.25,155,269,33.10,-1.00,4.42,,,
Mar,11,33.00,1.12,1.22,1,81,29.40,-0.18,5.23,,,
Mar,11,35.00,1.76,2.24,35,199,29.30,-0.26,8.26,,,
Mar,11,35.50,1.91,2.18,1,133,29.00,-0.28,8.96,,,
Mar,11,36.00,2.08,2.08,3,296,28.60,-0.30,9.73,,,
Mar,11,37.00,2.44,2.44,1,245,27.80,-0.35,11.45,,,
Mar,11,38.50,3.09,3.05,1,38,26.90,-0.43,13.70,,,
Mar,11,40.50,4.17,4.05,1,75,26.00,-0.55,9.41,,,
Mar,11,41.00,4.49,5.25,3,65,25.80,-0.58,8.51,,,
Mar,11,42.50,5.46,6.33,2,17,24.90,-0.68,6.03,,,
Mar,11,43.00,5.80,7.45,1,34,24.60,-0.71,5.30,,,
Mar,11,44.00,6.60,6.85,1,34,24.60,-0.78,4.36,,,
Mar,11,45.00,7.43,8.30,2,34,24.60,-0.84,3.59,,,
Jun,11,34.50,2.12,2.61,9,12,29.90,-0.25,6.85,,,
Jun,11,38.00,3.48,3.40,9,76,28.20,-0.39,11.26,,,
Jun,11,42.00,5.62,5.54,3,80,26.20,-0.59,6.32,,,
Jun,11,43.00,6.28,-,9,3,25.90,-0.65,5.21,,,
Sep,11,46.00,8.95,-,3,-,26.50,-0.74,3.10,,,
Dec,11,50.00,12.43,14.00,5,607,25.90,-0.90,1.51,,,
Boral Ltd Last Sale Price $4.65,,,,,,,,,,,,
Oct,10,4.43,0.11,0.13,4,707,29.60,-0.29,14.72,,,
BlueScope Steel Last Sale Price $2.24,,,,,,,,,,,,
Sep,10,2.06,0.01,0.03,80,321,30.90,-0.11,11.64,,,
Sep,10,2.25,0.10,0.10,65,1204,30.60,-0.50,65.95,,,
Sep,10,2.81,0.63,0.64,23,394,73.70,-0.89,46.56,,,
Oct,10,2.25,0.14,0.15,10,597,33.10,-0.47,37.83,,,
Oct,10,2.44,0.28,0.27,31,165,33.30,-0.72,21.82,,,
Dec,10,2.44,0.31,0.30,2,276,35.00,-0.62,16.00,,,
Jun,11,2.25,0.28,0.27,2,34,35.60,-0.41,14.69,,,
Brambles Ltd Last Sale Price $5.96,,,,,,,,,,,,
Sep,10,5.50,0.04,0.04,35,498,30.80,-0.12,13.12,,,
Sep,10,5.75,0.11,0.12,20,855,27.90,-0.27,32.08,,,
Oct,10,6.00,0.33,0.35,5,110,27.90,-0.48,31.71,,,
C'wlth Bank  of Aust  Last Sale Price $51.57,,,,,,,,,,,,
Sep,10,43.00,0.03,0.03,100,88,37.00,-0.01,0.84,,,
Sep,10,45.00,0.07,0.07,2,218,34.30,-0.04,2.19,,,
Sep,10,46.00,0.11,0.10,1,578,32.60,-0.06,3.54,,,
Sep,10,47.00,0.14,0.14,8,507,30.20,-0.08,4.89,,,
Sep,10,48.00,0.20,0.20,167,1714,27.70,-0.12,6.91,,,
Sep,10,49.00,0.29,0.26,13,1125,25.20,-0.17,9.94,,,
Sep,10,50.00,0.44,0.45,87,1600,22.80,-0.25,14.83,,,
Sep,10,50.01,0.46,1.85,2,25,23.20,-0.26,15.34,,,
Sep,10,51.00,0.66,0.68,78,795,20.10,-0.38,22.24,,,
Sep,10,52.00,1.09,1.07,7,243,19.00,-0.55,22.08,,,
Sep,10,52.01,1.15,0.90,2,52,20.40,-0.54,23.93,,,
Sep,10,53.00,1.74,1.65,20,341,19.00,-0.71,10.45,,,
Sep,10,53.01,1.78,1.58,10,41,20.40,-0.70,11.63,,,
Oct,10,33.00,0.01,0.02,50,178,45.20,-,0.13,,,
Oct,10,38.00,0.04,0.17,1,11,39.10,-0.02,0.57,,,
Oct,10,41.00,0.11,0.31,1,23,35.40,-0.04,1.39,,,
Oct,10,44.00,0.25,0.31,5,88,31.80,-0.08,3.10,,,
Oct,10,45.00,0.30,0.70,5,145,30.10,-0.10,3.79,,,
Oct,10,48.00,0.58,0.60,5,250,25.10,-0.19,7.39,,,
Oct,10,49.00,0.77,0.75,1,110,24.00,-0.25,9.73,,,
Oct,10,50.00,1.00,1.05,333,341,22.70,-0.32,12.64,,,
Oct,10,51.00,1.28,1.30,3,687,21.20,-0.40,16.24,,,
Oct,10,52.00,1.68,1.70,5,159,20.10,-0.50,15.74,,,
Oct,10,53.00,2.21,2.32,3,43,19.50,-0.61,9.92,,,
Nov,10,43.00,0.27,0.36,6,13,29.60,-0.07,2.23,,,
Nov,10,45.00,0.51,0.53,12,504,29.30,-0.13,4.30,,,
Nov,10,47.00,0.76,0.70,2,50,26.90,-0.19,6.40,,,
Nov,10,49.00,1.15,1.13,10,138,24.80,-0.28,9.69,,,
Nov,10,52.00,2.13,2.15,3,260,21.70,-0.48,14.28,,,
Dec,10,22.00,0.01,0.02,30,207,57.60,-,-,,,
Dec,10,40.00,0.33,0.35,25,565,34.90,-0.07,2.05,,,
Dec,10,42.00,0.45,0.73,25,257,32.50,-0.09,2.81,,,
Dec,10,45.51,0.80,0.79,2,17,28.80,-0.17,5.02,,,
Dec,10,50.00,1.84,3.16,217,327,25.20,-0.35,11.60,,,
Dec,10,51.00,2.12,3.17,20,275,23.70,-0.40,13.37,,,
Dec,10,52.00,2.61,3.55,22,199,23.70,-0.46,13.74,,,
Dec,10,52.01,2.44,2.48,7,9,22.80,-0.47,12.61,,,
Jan,11,46.00,1.15,1.15,2,14,28.10,-0.20,5.54,,,
Jan,11,51.00,2.48,3.67,2,64,24.20,-0.40,11.94,,,
Feb,11,52.00,3.68,3.73,58,-,24.70,-0.45,13.14,,,
Mar,11,51.00,3.54,3.92,20,116,25.70,-0.40,12.34,,,
Mar,11,52.00,3.94,4.87,19,31,24.90,-0.44,12.24,,,
Jun,11,40.00,1.23,1.22,2,50,32.30,-0.12,2.95,,,
Jun,11,42.00,1.54,1.50,15,26,30.80,-0.15,3.71,,,
Dec,11,38.00,1.97,1.90,3,-,33.20,-0.14,2.92,,,
Coca-Cola Amatil Last Sale Price $11.94,,,,,,,,,,,,
Oct,10,12.00,0.34,0.34,15,15,18.30,-0.48,15.01,,,
Dec,10,9.75,0.06,0.04,1,35,27.10,-0.06,1.50,,,
Computershare Ltd Last Sale Price $9.66,,,,,,,,,,,,
Sep,10,10.00,0.41,0.41,39,132,23.80,-0.72,13.49,,,
Jun,11,9.50,0.72,1.32,2,11,26.10,-0.38,9.25,,,
CSL Ltd Last Sale Price $33.10,,,,,,,,,,,,
Sep,10,32.00,0.25,0.24,14,526,17.40,-0.18,12.87,,,
Sep,10,32.50,0.42,0.50,3,180,17.10,-0.29,22.05,,,
Oct,10,31.50,0.39,0.53,20,88,18.20,-0.20,7.58,,,
Oct,10,32.50,0.71,0.76,1,37,17.20,-0.34,13.98,,,
Oct,10,33.00,0.95,1.00,2,164,17.20,-0.43,18.81,,,
Nov,10,31.50,0.56,0.55,5,94,18.80,-0.24,7.35,,,
Dec,10,31.50,0.72,1.70,20,34,19.20,-0.26,7.09,,,
Jan,11,30.50,0.64,0.64,1,-,20.70,-0.20,4.80,,,
Mar,11,32.50,1.66,1.60,5,18,20.60,-0.37,9.02,,,
CSR Ltd Last Sale Price $1.76,,,,,,,,,,,,
Sep,10,1.77,0.04,0.05,116,321,25.20,-0.51,34.56,,,
Nov,10,1.70,0.06,0.07,16,130,26.50,-0.34,14.81,,,
David Jones Ltd Last Sale Price $5.19,,,,,,,,,,,,
Oct,10,4.75,0.10,0.12,12,59,28.00,-0.17,11.93,,,
Oct,10,5.00,0.18,-,6,-,26.30,-0.31,22.61,,,
