Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
Jun,10,3.00,0.15,0.14,45,830,29.20,-0.45,22.81,,,
Aug,10,3.00,0.21,0.20,20,-,31.10,-0.43,17.87,,,
Dec,10,2.63,0.15,0.16,5,47,35.30,-0.24,6.97,,,
Dec,10,2.81,0.20,0.20,1,110,32.90,-0.31,9.29,,,
Mar,11,2.63,0.19,0.20,10,10,35.20,-0.25,6.55,,,
Dec,12,6.38,3.38,-,4,20,2.00,-1.00,-,,,
Brambles Ltd Last Sale Price $7.24,,,,,,,,,,,,
Apr,10,7.00,0.06,0.08,135,276,22.20,-0.24,12.60,,,
Apr,10,7.25,0.16,0.17,86,1536,21.70,-0.48,30.46,,,
Apr,10,7.50,0.32,0.32,50,141,23.10,-0.71,12.60,,,
May,10,7.00,0.15,0.14,15,57,24.90,-0.31,14.54,,,
Jun,10,7.05,0.22,0.22,5,1823,25.00,-0.35,13.86,,,
Dec,10,6.00,0.18,0.18,7,71,28.70,-0.15,3.46,,,
Dec,10,7.00,0.48,0.47,1,60,26.70,-0.35,9.33,,,
C'wlth Bank  of Aust  Last Sale Price $57.24,,,,,,,,,,,,
Apr,10,50.00,0.01,0.01,6,344,25.10,-0.01,0.40,,,
Apr,10,52.00,0.04,0.04,3,261,21.80,-0.03,1.20,,,
Apr,10,53.00,0.07,0.07,17,320,20.20,-0.05,1.86,,,
Apr,10,54.00,0.13,0.27,15,958,18.90,-0.09,3.32,,,
Apr,10,55.00,0.22,0.30,2,254,17.30,-0.15,5.71,,,
Apr,10,55.01,0.22,0.42,5,53,17.50,-0.16,5.85,,,
Apr,10,55.50,0.30,0.52,5,62,16.90,-0.20,7.97,,,
Apr,10,56.00,0.41,0.40,14,273,16.50,-0.27,10.89,,,
Apr,10,57.00,0.72,0.82,22,89,15.60,-0.42,19.26,,,
Apr,10,58.00,1.23,1.17,1,75,15.00,-0.61,12.35,,,
May,10,52.00,0.17,0.17,5,80,20.30,-0.08,2.15,,,
May,10,54.00,0.38,0.43,9,285,18.60,-0.16,4.60,,,
May,10,55.00,0.55,0.57,7,170,17.70,-0.23,6.68,,,
May,10,57.00,1.18,1.17,1,91,16.70,-0.42,14.41,,,
Jun,10,50.00,0.12,0.20,8,396,19.70,-0.05,0.96,,,
Jun,10,51.00,0.20,0.28,2,77,19.60,-0.08,1.55,,,
Jun,10,54.00,0.62,0.63,12,121,18.80,-0.20,4.94,,,
Jul,10,61.00,4.15,4.17,1,-,16.40,-0.76,2.16,,,
Aug,10,35.50,0.02,0.02,150,8,31.20,-,-,,,
Aug,10,52.00,1.05,1.10,6,-,21.60,-0.18,4.68,,,
Sep,10,40.00,0.13,0.86,20,2,29.00,-0.02,0.47,,,
Dec,10,20.00,-,0.01,15,867,24.30,-,-,,,
Dec,10,26.00,-,0.02,20,50,24.30,-,-,,,
Dec,10,48.00,1.01,1.18,1,133,24.10,-0.13,2.46,,,
Dec,10,50.50,1.62,3.31,3,31,24.00,-0.19,3.94,,,
Dec,10,55.00,2.96,3.98,1,75,22.40,-0.32,7.22,,,
Coca-Cola Amatil Last Sale Price $11.26,,,,,,,,,,,,
Apr,10,11.00,0.08,0.14,5,82,16.70,-0.26,10.81,,,
Computershare Ltd Last Sale Price $12.69,,,,,,,,,,,,
Sep,10,12.50,0.62,0.68,18,14,22.70,-0.38,10.43,,,
