Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:06 Wednesday 16/6/2010. Processed 19:17 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.84,,,,,,,,,,,,
Jun,10,38.50,0.41,0.42,289,678,31.90,-0.33,42.39,,,
Jun,10,39.00,0.60,0.57,415,2452,31.60,-0.43,62.54,,,
Jun,10,39.01,0.59,1.78,10,52,30.80,-0.43,60.99,,,
Jun,10,39.50,0.79,0.83,23,617,28.70,-0.55,53.76,,,
Jun,10,40.00,1.10,1.12,148,2734,28.60,-0.66,34.12,,,
Jun,10,41.00,1.87,1.95,16,410,28.20,-0.85,10.34,,,
Jun,10,41.50,2.34,3.17,3,922,29.80,-0.90,6.72,,,
Jun,10,42.00,2.81,2.98,43,1439,31.50,-0.93,4.14,,,
Jun,10,42.50,3.28,5.61,23,1827,30.60,-0.98,1.03,,,
Jun,10,42.51,3.27,-,2,10,30.80,-0.98,-,,,
Jul,10,30.00,0.06,0.09,103,372,42.10,-0.02,1.16,,,
Jul,10,32.00,0.16,0.16,3,419,41.70,-0.06,3.38,,,
Jul,10,33.00,0.22,0.23,25,745,39.50,-0.08,4.55,,,
Jul,10,35.00,0.40,0.51,511,1002,35.70,-0.15,8.46,,,
Jul,10,36.00,0.55,0.54,118,1060,34.10,-0.20,11.63,,,
Jul,10,36.50,0.62,0.65,11,503,32.70,-0.23,13.11,,,
Jul,10,37.00,0.75,0.75,470,860,32.30,-0.26,15.75,,,
Jul,10,37.50,0.86,0.87,53,634,31.50,-0.30,18.29,,,
Jul,10,38.00,1.01,1.05,135,657,30.80,-0.34,21.46,,,
Jul,10,38.50,1.17,1.19,33,1000,29.80,-0.39,24.63,,,
Jul,10,39.00,1.37,1.42,95,1192,29.30,-0.44,28.97,,,
Jul,10,39.50,1.59,1.63,10,211,28.80,-0.49,27.91,,,
Jul,10,40.00,1.84,1.84,51,416,28.20,-0.54,22.52,,,
Jul,10,40.50,2.12,2.29,30,184,27.60,-0.60,17.87,,,
Jul,10,41.50,2.75,3.48,25,1168,26.70,-0.71,10.26,,,
Jul,10,42.00,3.12,4.61,16,404,26.20,-0.76,7.30,,,
Jul,10,42.50,3.49,5.68,6,159,25.40,-0.82,4.65,,,
Aug,10,29.00,0.09,0.15,13,5,39.20,-0.03,1.10,,,
Aug,10,29.50,0.11,-,11,-,39.20,-0.04,1.36,,,
Aug,10,30.00,0.14,0.46,10,29,39.20,-0.04,1.74,,,
Aug,10,32.00,0.30,-,23,-,38.60,-0.09,3.88,,,
Aug,10,33.50,0.51,-,11,-,37.90,-0.14,6.53,,,
Aug,10,34.00,0.57,1.05,37,118,37.20,-0.15,7.43,,,
Aug,10,34.50,0.64,0.77,23,185,36.40,-0.17,8.21,,,
Aug,10,35.00,0.72,0.71,306,97,35.60,-0.19,9.30,,,
Aug,10,35.50,0.81,1.66,10,11,34.70,-0.21,10.40,,,
Aug,10,36.50,1.03,1.03,1,865,33.60,-0.27,13.31,,,
Aug,10,37.00,1.14,1.16,21,627,32.60,-0.29,14.67,,,
Aug,10,37.50,1.35,1.32,1,170,32.90,-0.33,17.38,,,
Aug,10,38.00,1.49,1.85,203,1388,32.10,-0.36,19.25,,,
Aug,10,38.50,1.66,1.68,25,52,31.30,-0.39,21.45,,,
Aug,10,39.00,1.86,2.37,19,140,30.90,-0.43,24.04,,,
Aug,10,40.00,2.30,2.33,22,109,29.60,-0.51,19.77,,,
Aug,10,40.50,2.54,2.57,2,80,29.00,-0.55,16.48,,,
Aug,10,41.00,2.85,4.06,4,57,28.90,-0.59,13.96,,,
Aug,10,41.50,3.17,-,4,78,28.70,-0.63,11.63,,,
Aug,10,42.50,3.82,3.95,5,65,27.50,-0.72,7.11,,,
Sep,10,28.00,0.20,0.19,1,20,42.60,-0.04,1.91,,,
Sep,10,30.00,0.34,0.38,1,227,40.30,-0.07,3.12,,,
Sep,10,32.00,0.56,0.99,4,1130,38.20,-0.12,5.16,,,
Sep,10,33.00,0.70,1.39,4,128,37.20,-0.14,6.51,,,
