Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4586.3 at 16:37 6/8/2010  Report at 19:05 Friday 6/8/2010. Processed 18:04 Saturday 7/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.18,,,,,,,,,,,,
Sep,10,52.00,1.95,1.76,4,166,22.40,-0.40,27.55,,,
Sep,10,53.00,2.54,2.40,1,278,22.00,-0.50,30.17,,,
Sep,10,54.00,3.25,3.35,10,59,22.10,-0.59,26.13,,,
Oct,10,45.00,0.50,0.57,1,19,28.10,-0.09,4.09,,,
Oct,10,48.00,1.04,1.00,1,47,26.10,-0.19,8.63,,,
Oct,10,49.01,1.25,1.30,1,-,25.00,-0.23,10.33,,,
Oct,10,50.00,1.59,1.63,1,208,24.30,-0.28,13.10,,,
Dec,10,28.00,0.01,0.06,20,194,35.40,-,-,,,
Dec,10,36.00,0.13,0.26,10,84,33.40,-0.02,0.62,,,
Dec,10,44.00,0.83,0.85,5,220,29.70,-0.12,4.14,,,
Dec,10,45.00,1.00,1.00,17,89,29.00,-0.14,4.98,,,
Jan,11,53.00,3.89,-,1,-,24.30,-0.44,13.80,,,
Jun,11,44.00,2.31,2.28,1,35,29.70,-0.18,4.97,,,
Jun,12,16.00,0.17,0.18,4,284,44.80,-,0.18,,,
Dec,13,20.00,0.69,0.69,4,111,37.10,-0.02,0.39,,,
Computershare Ltd Last Sale Price $10.33,,,,,,,,,,,,
Aug,10,9.75,0.09,0.11,20,73,28.20,-0.17,14.30,,,
Aug,10,10.00,0.16,0.19,20,587,28.10,-0.28,26.92,,,
Aug,10,11.00,0.82,0.80,4,43,31.30,-0.79,26.08,,,
Sep,10,9.50,0.13,0.13,50,50,28.60,-0.18,9.37,,,
Oct,10,9.50,0.19,0.30,40,91,26.30,-0.21,7.78,,,
Oct,10,9.75,0.27,-,40,-,26.60,-0.27,11.36,,,
Oct,10,10.50,0.57,0.57,31,20,24.20,-0.50,17.04,,,
Mar,11,9.50,0.50,0.53,1,6,28.00,-0.27,7.65,,,
CSL Ltd Last Sale Price $33.68,,,,,,,,,,,,
Aug,10,31.00,0.05,0.04,14,145,24.00,-0.06,2.58,,,
Aug,10,31.50,0.07,0.07,20,340,22.10,-0.08,3.61,,,
Aug,10,32.00,0.13,0.12,30,753,21.60,-0.14,6.45,,,
Aug,10,32.50,0.20,0.23,10,201,20.50,-0.20,10.06,,,
Aug,10,32.51,0.18,0.76,5,47,19.90,-0.20,9.29,,,
Aug,10,33.00,0.29,0.35,10,204,19.30,-0.30,15.22,,,
Aug,10,33.50,0.47,0.49,314,99,18.70,-0.42,24.25,,,
Sep,10,32.00,0.36,0.36,2,181,19.30,-0.19,7.96,,,
Oct,10,30.50,0.27,-,6,11,20.50,-0.12,3.48,,,
Oct,10,31.50,0.48,1.12,5,51,20.40,-0.20,6.26,,,
Oct,10,32.00,0.60,0.59,4,43,19.80,-0.24,7.74,,,
Oct,10,32.50,0.75,0.90,11,26,19.30,-0.29,9.68,,,
CSR Ltd Last Sale Price $1.72,,,,,,,,,,,,
Sep,10,1.77,0.07,0.07,5,284,16.80,-0.65,6.50,,,
David Jones Ltd Last Sale Price $4.72,,,,,,,,,,,,
Sep,10,4.50,0.10,0.08,15,146,29.10,-0.29,14.99,,,
Mar,11,4.50,0.36,0.37,1,32,31.30,-0.34,12.22,,,
Foster's Grp Last Sale Price $5.70,,,,,,,,,,,,
Aug,10,5.75,0.14,0.13,750,420,21.60,-0.54,25.92,,,
Aug,10,6.00,0.34,0.31,10,73,26.50,-0.79,10.67,,,
Sep,10,5.50,0.10,0.08,5,4059,17.10,-0.24,13.07,,,
