Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 20:36 Friday 30/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.77,,,,,,,,,,,,
Aug,10,3.78,0.03,0.03,10,2428,27.40,-0.14,8.01,,,
Aug,10,4.01,0.08,0.09,13,5678,25.10,-0.38,25.62,,,
Sep,10,4.00,0.12,0.12,2018,1789,26.00,-0.39,19.22,,,
Sep,10,4.25,0.26,0.28,5,2579,26.10,-0.63,12.81,,,
Lend Lease Grp Last Sale Price $7.29,,,,,,,,,,,,
Aug,10,7.25,0.19,0.18,40,101,27.40,-0.44,33.08,,,
Macq Grp Ltd Last Sale Price $37.20,,,,,,,,,,,,
Aug,10,25.00,0.03,0.03,134,-,66.90,-0.01,0.88,,,
Aug,10,30.00,0.14,0.14,8,8,52.90,-0.06,4.73,,,
Aug,10,31.00,0.17,0.17,12,10,48.90,-0.07,5.78,,,
Aug,10,32.00,0.23,0.24,72,83,46.40,-0.10,8.23,,,
Aug,10,33.00,0.36,0.32,50,35,45.30,-0.14,12.62,,,
Aug,10,34.00,0.51,0.53,22,44,43.10,-0.19,17.70,,,
Aug,10,34.50,0.56,0.56,5,14,40.80,-0.22,19.80,,,
Aug,10,35.00,0.63,0.60,173,141,38.60,-0.25,21.90,,,
Aug,10,35.50,0.76,0.78,49,14,37.70,-0.29,26.46,,,
Aug,10,36.00,0.89,0.84,133,160,36.40,-0.34,31.01,,,
Aug,10,36.50,1.03,1.21,22,42,35.10,-0.39,36.09,,,
Aug,10,37.00,1.25,1.35,88,91,34.70,-0.44,43.80,,,
Aug,10,37.50,1.47,1.59,16,147,33.80,-0.50,41.00,,,
Aug,10,38.00,1.75,1.80,70,132,33.70,-0.56,33.11,,,
Aug,10,38.50,1.97,2.07,11,79,31.40,-0.63,23.48,,,
Aug,10,39.00,2.29,2.30,70,141,30.50,-0.69,17.17,,,
Aug,10,39.50,2.71,3.00,3,62,31.80,-0.74,14.19,,,
Aug,10,40.00,3.02,3.00,17,169,28.90,-0.81,7.53,,,
Aug,10,41.00,3.92,4.22,2,116,30.60,-0.88,4.21,,,
Aug,10,42.00,4.87,3.73,12,76,32.30,-0.93,2.28,,,
Aug,10,42.01,4.77,4.88,1,6,29.50,-0.96,-,,,
Aug,10,43.00,5.83,4.72,21,75,34.10,-0.97,1.05,,,
Aug,10,44.00,6.82,5.58,19,98,36.70,-0.98,0.70,,,
Aug,10,45.00,7.83,7.94,6,76,41.30,-0.98,0.88,,,
Sep,10,29.00,0.17,0.30,38,-,44.60,-0.06,3.07,,,
Sep,10,30.00,0.27,0.45,6,10,44.40,-0.08,4.73,,,
Sep,10,33.00,0.72,0.80,2,-,42.00,-0.19,12.62,,,
Sep,10,34.00,0.89,0.83,9,1,39.80,-0.24,15.51,,,
Sep,10,35.00,1.15,1.22,9,120,38.50,-0.30,20.06,,,
Sep,10,35.50,1.30,1.43,5,17,37.80,-0.33,22.78,,,
Sep,10,36.50,1.64,1.55,5,1,36.40,-0.40,28.73,,,
Sep,10,38.00,2.30,2.36,6,46,34.40,-0.52,26.28,,,
Sep,10,39.00,2.86,2.96,1,53,33.40,-0.60,18.48,,,
Sep,10,39.50,3.18,3.60,2,25,33.20,-0.64,15.42,,,
Sep,10,40.00,3.52,2.22,3,25,32.90,-0.68,12.53,,,
Sep,10,41.00,4.25,3.15,12,48,32.30,-0.76,7.88,,,
Sep,10,44.00,6.87,6.71,1,95,32.40,-0.94,1.23,,,
Sep,10,50.00,12.80,11.26,3,51,32.60,-1.00,-,,,
Oct,10,30.00,0.38,0.81,5,-,38.70,-0.10,4.04,,,
Oct,10,32.00,0.73,1.05,1,-,38.60,-0.17,7.87,,,
Oct,10,33.00,0.98,1.21,23,-,38.50,-0.22,10.57,,,
Oct,10,35.00,1.64,1.71,17,7,38.40,-0.32,17.68,,,
Oct,10,36.00,1.99,2.40,3,7,37.50,-0.37,21.46,,,
Oct,10,37.00,2.38,2.46,11,6,36.40,-0.43,25.66,,,
Oct,10,37.50,2.62,2.68,8,-,36.00,-0.46,24.96,,,
Oct,10,38.00,2.86,2.92,3,2,35.60,-0.49,22.21,,,
Oct,10,43.00,6.16,6.42,1,9,32.00,-0.81,3.88,,,
Oct,10,44.00,7.01,-,1,21,31.60,-0.87,2.26,,,
Nov,10,30.00,1.00,0.95,2,169,45.00,-0.15,8.20,,,
Nov,10,41.00,5.45,4.45,5,50,34.40,-0.64,13.60,,,
Nov,10,42.00,6.18,-,11,35,34.10,-0.70,11.42,,,
Nov,10,44.00,7.76,-,2,8,33.70,-0.80,7.96,,,
Nov,10,55.75,18.71,19.55,3,37,41.70,-1.00,1.32,,,
Nov,10,57.00,19.91,20.92,3,113,33.70,-1.00,0.87,,,
Nov,10,64.00,26.80,14.74,3,5,33.70,-1.00,-,,,
