Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4409.7 at 17:32 28/6/2010  Report at 19:06 Monday 28/6/2010. Processed 19:41 Monday 28/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.53,,,,,,,,,,,,
Jul,10,53.00,3.31,3.25,5,537,23.60,-0.80,6.05,,,
Jul,10,55.00,5.11,2.90,8,236,24.80,-0.94,1.37,,,
Jul,10,57.00,7.05,5.49,2,21,27.10,-1.00,0.11,,,
Aug,10,40.00,0.36,0.36,13,270,40.50,-0.07,4.45,,,
Aug,10,46.00,1.30,1.29,2,56,33.00,-0.23,15.83,,,
Aug,10,47.00,1.57,1.55,8,54,31.50,-0.27,19.12,,,
Aug,10,48.00,1.94,1.93,33,366,30.70,-0.33,23.63,,,
Aug,10,50.00,2.82,2.80,3,391,28.40,-0.46,33.74,,,
Aug,10,52.00,4.08,3.75,2,174,27.60,-0.60,24.72,,,
Aug,10,57.00,8.26,7.71,28,93,27.40,-0.91,14.74,,,
Sep,10,44.00,0.94,0.94,4,81,30.80,-0.16,7.85,,,
Sep,10,45.00,1.22,1.10,4,14,30.70,-0.20,10.13,,,
Sep,10,48.00,2.36,2.34,5,244,30.40,-0.34,19.56,,,
Sep,10,50.00,3.27,3.35,7,281,29.10,-0.45,26.74,,,
Sep,10,56.00,7.56,6.95,2,214,27.70,-0.79,12.54,,,
Oct,10,50.00,3.71,3.49,1,151,29.50,-0.44,21.77,,,
Nov,10,52.00,5.05,5.00,11,34,28.20,-0.52,14.54,,,
Dec,10,28.00,0.16,0.17,5,150,45.50,-0.02,0.65,,,
Dec,10,47.00,3.09,2.11,6,31,32.10,-0.32,12.59,,,
Dec,10,50.00,4.30,2.97,23,190,29.90,-0.43,17.37,,,
Dec,10,52.00,5.36,3.65,8,130,28.80,-0.51,13.51,,,
Mar,11,46.00,3.74,2.80,2,84,32.20,-0.29,10.12,,,
Mar,11,49.00,5.01,4.60,12,60,30.90,-0.38,13.56,,,
Mar,11,50.00,5.50,4.15,30,58,30.60,-0.41,14.74,,,
Dec,13,22.00,1.02,1.00,5,-,36.00,-0.03,0.59,,,
Dec,13,24.00,1.34,1.31,5,-,35.60,-0.05,0.77,,,
Dec,13,29.00,2.50,2.28,1,24,35.30,-0.10,1.43,,,
Coca-Cola Amatil Last Sale Price $11.92,,,,,,,,,,,,
Jul,10,10.50,0.04,0.04,40,29,31.00,-0.07,3.35,,,
Jul,10,11.50,0.15,0.17,45,663,24.30,-0.27,14.35,,,
Jul,10,12.00,0.33,0.37,9,109,22.10,-0.51,23.44,,,
Aug,10,12.00,0.51,0.53,10,44,21.60,-0.48,21.69,,,
Computershare Ltd Last Sale Price $10.80,,,,,,,,,,,,
Aug,10,9.75,0.13,0.13,10,-,29.20,-0.16,7.32,,,
Dec,10,10.50,0.65,0.68,5,112,28.50,-0.37,12.27,,,
Mar,11,10.00,0.67,0.67,8,-,30.60,-0.29,8.39,,,
CSL Ltd Last Sale Price $32.86,,,,,,,,,,,,
Jul,10,30.50,0.13,0.20,20,117,23.20,-0.11,4.51,,,
Jul,10,31.00,0.19,0.71,8,96,22.30,-0.16,6.60,,,
Jul,10,31.50,0.26,0.28,27,126,21.10,-0.21,9.03,,,
Jul,10,32.00,0.41,0.46,61,196,21.60,-0.30,14.41,,,
Jul,10,32.50,0.59,0.69,42,222,21.20,-0.39,20.48,,,
Jul,10,33.50,1.09,0.66,4,77,20.40,-0.60,15.45,,,
Jul,10,34.00,1.42,1.47,80,226,20.40,-0.70,9.55,,,
Aug,10,31.00,0.41,0.45,3,28,22.70,-0.22,7.50,,,
Aug,10,32.50,0.86,0.94,3,44,21.50,-0.40,15.92,,,
Sep,10,28.00,0.19,0.19,2,53,25.70,-0.08,2.34,,,
Sep,10,32.00,1.01,1.14,3,74,22.10,-0.34,12.81,,,
Dec,10,32.00,1.56,0.95,2,64,22.90,-0.36,9.68,,,
