Stocks that moved by more than 5% for the day,,,,
,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,
,,,,
,,,,
,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%)
Talisman Min,TLM,0.845,5.5,6.96
Latin Res Ltd,LRS,0.31,2,6.9
Padbury Min Ltd,PDY,0.031,0.2,6.9
Rocklands Rich,RCI,0.155,1,6.9
Zambezi Res cdi,ZRL,0.031,0.2,6.9
Tiger Res,TGS,0.55,3.5,6.8
Medusa Min Ltd,MML,7.24,46,6.78
Boss Energy Ltd,BOE,0.16,1,6.67
Carabella Res Ltd,CLR,2.4,15,6.67
Comet Ridge Ltd,COI,0.16,1,6.67
STH Boulder Mines,STB,4.81,30,6.65
Pancontinental Oil,PCL,0.081,0.5,6.58
Carbine Res,CRB,0.33,2,6.45
Prairie Downs Metals,PDZ,0.165,1,6.45
Manas Res Ltd,MSR,0.25,1.5,6.38
Heemskirk Cons,HSK,0.17,1,6.25
Laconia Res Ltd,LCR,0.085,0.5,6.25
NEW Guinea Energy,NGE,0.17,1,6.25
Uramet Min,URM,0.17,1,6.25
Nupower Res,NUP,0.035,0.2,6.06
Northern Energy,NEC,1.85,10.5,6.02
Aurium Res,AGU,0.071,0.4,5.97
Alchemy Resource,ALY,0.36,2,5.88
Amex Res,AXZ,0.45,2.5,5.88
Rubianna Res Ltd,RRE,0.18,1,5.88
Syngas Ltd,SYS,0.018,0.1,5.88
Trafford Res opt jul12,TRFO,0.09,0.5,5.88
WHL Energy Ltd,WHN,0.036,0.2,5.88
ST Barbara Ltd,SBM,2.17,12,5.85
Jupiter Energy,JPR,0.055,0.3,5.77
Nuenergy Capital,NGY,0.275,1.5,5.77
Gold Anomaly Ltd,GOA,0.037,0.2,5.71
Hastings Rare Metals,HAS,0.37,2,5.71
Mithril Res,MTH,0.185,1,5.71
Royal Res,ROY,0.185,1,5.71
AED Oil Ltd,AED,0.28,1.5,5.66
Doray Min Ltd,DRM,0.84,4.5,5.66
Bounty Oil & Gas,BUY,0.038,0.2,5.56
Cullen Res,CUL,0.038,0.2,5.56
Liberty Resource,LBY,0.095,0.5,5.56
Navigator Res,NAV,0.19,1,5.56
Samson Oil & Gas,SSN,0.19,1,5.56
Silver Mines Ltd opt may11,SVLO,0.19,1,5.56
Oceanagold Corp cdi,OGC,2.53,13,5.42
Energy And Min,EMA,0.195,1,5.41
Flinders Mines,FMS,0.195,1,5.41
Sumatra Copper&Gold cdi,SUM,0.295,1.5,5.36
Winmar Res Ltd,WFE,0.295,1.5,5.36
Aphrodite Gold,AQQ,0.1,0.5,5.26
Ausamerican Min opt dec12,AIWO,0.02,0.1,5.26
Emerald Oil & Gas,EMR,0.04,0.2,5.26
Lawson Gold Ltd,LSN,0.2,1,5.26
Papillon Res Ltd opt dec12,PIROA,0.6,3,5.26
Pioneer Res Ltd,PIO,0.04,0.2,5.26
Greenland Min En,GGG,1.005,5,5.24
Thundelarra Explor,THX,0.41,2,5.13
Metrocoal Ltd,MTE,0.31,1.5,5.08
Middle Island Res,MDI,0.62,3,5.08
Noble Min Res,NMG,0.625,3,5.04
Barra Res,BAR,0.042,0.2,5
Excelsior Gold,EXG,0.042,0.2,5
Legend Min,LEG,0.042,0.2,5
FALLS - INDUSTRIALS,,,,
Thomas & Coffey rts 23mar,THOR,0.003,-0.2,-40
Buderim Ginger,BUG,0.14,-8,-36.36
Datamotion Asia,DMN,0.002,-0.1,-33.33
Strathfield Grp,SRA,0.002,-0.1,-33.33
Holista Colltech,HCT,0.105,-3.5,-25
Phylogica Ltd opt aug11,PYCO,0.007,-0.2,-22.22
Hyro Ltd,HYO,0.004,-0.1,-20
Westoz Inv Ltd opt jun12,WICO,0.08,-2,-20
Commstrat Ltd,COJ,0.005,-0.1,-16.67
Eyecare Partners,EPL,0.05,-1,-16.67
ISS Grp Ltd,ISS,0.125,-2.5,-16.67
Leaf Energy Ltd,LER,0.1,-2,-16.67
MY Atm Hldgs Ltd,MYA,0.1,-2,-16.67
Tyrian Diagnostics,TDX,0.005,-0.1,-16.67
Adcorp Aust,AAU,0.21,-4,-16
APN Prop Grp,APD,0.185,-3.5,-15.91
