Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 5024.1 at 16:35 15/4/2010  Report at 19:05 Thursday 15/4/2010. Processed 19:12 Thursday 15/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Cloncurry Metals,CLU,0.058,0.4,7.41,,,,,,,,
Hazelwood Res,HAZ,0.29,2,7.41,,,,,,,,
Venture Min,VMS,0.365,2.5,7.35,,,,,,,,
Roc Oil Co,ROC,0.445,3,7.23,,,,,,,,
Amadeus Energy,AMU,0.225,1.5,7.14,,,,,,,,
Carnavale Res,CAV,0.30,2,7.14,,,,,,,,
Central Asia Res,CVR,0.045,0.3,7.14,,,,,,,,
Genesis Res,GES,0.15,1,7.14,,,,,,,,
Nuenergy Capital,NGY,0.15,1,7.14,,,,,,,,
Alkane Res Ltd,ALK,0.38,2.5,7.04,,,,,,,,
Red Fork Energy,RFE,0.76,5,7.04,,,,,,,,
Nexus Energy Ltd,NXS,0.305,2,7.02,,,,,,,,
Richmond Min,RHM,0.23,1.5,6.98,,,,,,,,
Avalon Min,AVI,0.235,1.5,6.82,,,,,,,,
Exoma Energy Ltd,EXE,0.32,2,6.67,,,,,,,,
Lachlan Star Ltd,LSA,0.016,0.1,6.67,,,,,,,,
New Standard Energy,NSE,0.16,1,6.67,,,,,,,,
Resource Base,RBX,0.048,0.3,6.67,,,,,,,,
Texon Pet Ltd,TXN,0.485,3,6.59,,,,,,,,
Kimberley Metals,KBL,0.245,1.5,6.52,,,,,,,,
Sun Res NL,SUR,0.066,0.4,6.45,,,,,,,,
Caledon Res cdi,CCD,1.00,6,6.38,,,,,,,,
Coventry Res,CVY,0.255,1.5,6.25,,,,,,,,
Ethan Min Ltd,ETH,0.17,1,6.25,,,,,,,,
Gold Anomaly Ltd,GOA,0.034,0.2,6.25,,,,,,,,
Sihayo Gold Ltd,SIH,0.085,0.5,6.25,,,,,,,,
Sylvania Res,SLV,0.94,5.5,6.21,,,,,,,,
Robust Res,ROL,2.26,13,6.10,,,,,,,,
Northern Uranium opt sep12,NTUOA,0.035,0.2,6.06,,,,,,,,
Bougainville Copper,BOC,0.53,3,6.00,,,,,,,,
Beacon Min opt aug10,BCNOA,0.018,0.1,5.88,,,,,,,,
Energy World Corp,EWC,0.54,3,5.88,,,,,,,,
Condor Nickel,CNK,0.185,1,5.71,,,,,,,,
Victory West Moly opt feb12,VWMOA,0.074,0.4,5.71,,,,,,,,
Alamar Res Ltd,ALG,0.19,1,5.56,,,,,,,,
Azure Min,AZS,0.038,0.2,5.56,,,,,,,,
Territory Uranium,TUC,0.095,0.5,5.56,,,,,,,,
YTC Res,YTC,0.285,1.5,5.56,,,,,,,,
Nex Metals Explor,NME,0.195,1,5.41,,,,,,,,
Phosphate Aus Ltd,POZ,0.195,1,5.41,,,,,,,,
Crusader Res,CAS,0.295,1.5,5.36,,,,,,,,
Carpentaria Exp,CAP,0.20,1,5.26,,,,,,,,
First Aust Res,FAR,0.06,0.3,5.26,,,,,,,,
Gondwana Res,GDA,0.02,0.1,5.26,,,,,,,,
Padbury Min Ltd,PDY,0.02,0.1,5.26,,,,,,,,
Resolute Min,RSG,1.21,6,5.22,,,,,,,,
Aragon Res,AAG,0.205,1,5.13,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Datamotion Asia,DMN,0.001,-0.1,-50.00,,,,,,,,
Genesis Research,GEN,0.031,-1.7,-35.42,,,,,,,,
GSF Corp Ltd,GSF,0.003,-0.1,-25.00,,,,,,,,
Multi Channel,MUT,0.004,-0.1,-20.00,,,,,,,,
Medigard Ltd,MGZ,0.105,-2.5,-19.23,,,,,,,,
Careers Multilist,CGR,0.155,-3.5,-18.42,,,,,,,,
Sterling Biofuels,SBI,0.033,-0.7,-17.50,,,,,,,,
Cervantes Corp,CVS,0.025,-0.5,-16.67,,,,,,,,
Argus Solutions,ASV,0.12,-2,-14.29,,,,,,,,
Cape Range Ltd,CAG,0.006,-0.1,-14.29,,,,,,,,
Freshtel Hldgs,FRE,0.006,-0.1,-14.29,,,,,,,,
ASF Grp Ltd,AFA,0.16,-2.5,-13.51,,,,,,,,
Medical Corp,MOD,0.02,-0.3,-13.04,,,,,,,,
Grandbridge Ltd,GBA,0.185,-2.5,-11.90,,,,,,,,
Alcoa Inc cdi,AAI,31.03,-397,-11.34,,,,,,,,
Structural Monitor cdi,SMN,0.008,-0.1,-11.11,,,,,,,,
Marine Produce Aust,MPA,0.025,-0.3,-10.71,,,,,,,,
Adultshop Com,ASC,0.009,-0.1,-10.00,,,,,,,,
Robe Aust Ltd,ROB,0.009,-0.1,-10.00,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.018,-0.2,-10.00,,,,,,,,
ENV Clean Tech opt jan14,ESIO,0.02,-0.2,-9.09,,,,,,,,
Stirling Products,STI,0.01,-0.1,-9.09,,,,,,,,
Carnegie Wave Energy,CWE,0.105,-1,-8.70,,,,,,,,
Hot Rock Ltd,HRL,0.11,-1,-8.33,,,,,,,,
Mesa Min Ltd,MAS,0.11,-1,-8.33,,,,,,,,
Orchid Capital,ORC,0.023,-0.2,-8.00,,,,,,,,
Stanfield Funds,SFN,0.012,-0.1,-7.69,,,,,,,,
Landmark White,LMW,0.37,-3,-7.50,,,,,,,,
RTL Corp Ltd,RTL,0.037,-0.3,-7.50,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.039,-0.3,-7.14,,,,,,,,
Pharmanet Grp,PNO,0.013,-0.1,-7.14,,,,,,,,
Sino Strategic Intl,SSI,0.40,-3,-6.98,,,,,,,,
Benitec Ltd,BLT,0.041,-0.3,-6.82,,,,,,,,
Euroz Ltd opt mar14,EZLO,0.70,-5,-6.67,,,,,,,,
Phosphagenics Ltd,POH,0.14,-1,-6.67,,,,,,,,
Capral Ltd,CAA,0.215,-1.5,-6.52,,,,,,,,
Altera Res Ltd,AEA,0.30,-2,-6.25,,,,,,,,
Panorama Synergy,PSY,0.30,-2,-6.25,,,,,,,,
Vmoto Ltd,VMT,0.155,-1,-6.06,,,,,,,,
Reclaim Ind,RCM,0.047,-0.3,-6.00,,,,,,,,
Novogen Ltd,NRT,0.40,-2.5,-5.88,,,,,,,,
Neuren Pharmaceut,NEU,0.033,-0.2,-5.71,,,,,,,,
Alexium Int Grp,AJX,0.17,-1,-5.56,,,,,,,,
IPGA Ltd,IPP,0.34,-2,-5.56,,,,,,,,
Genetic Tech,GTG,0.035,-0.2,-5.41,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.27,-1.5,-5.26,,,,,,,,
Phoslock Water,PHK,0.09,-0.5,-5.26,,,,,,,,
Quay Magnesium,QMG,0.018,-0.1,-5.26,,,,,,,,
Antisense Therapeutic,ANP,0.019,-0.1,-5.00,,,,,,,,
Moko Mobi Ltd,MKB,0.095,-0.5,-5.00,,,,,,,,
MINING FALLS,,,,,,,,,,,,
Sino Gas Energy opt jun10,SEHO,0.001,-0.3,-75.00,,,,,,,,
Frontier Res opt dec10,FNTO,0.027,-1.8,-40.00,,,,,,,,
Mantle Min Corp opt dec10,MNMOA,0.006,-0.4,-40.00,,,,,,,,
Beach Energy Ltd opt jun10,BPTO,0.002,-0.1,-33.33,,,,,,,,
Black Fire Min opt jun10,BFEO,0.022,-0.8,-26.67,,,,,,,,
