Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:05 Wednesday 16/6/2010. Processed 19:11 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
WCP Res Ltd,WCP,0.055,0.5,10.00,,,,,,,,
Imperial Corp Ltd,IMP,0.10,0.9,9.89,,,,,,,,
Mincor Res NL,MCR,1.95,17.5,9.86,,,,,,,,
Grange Res,GRR,0.51,4.5,9.68,,,,,,,,
Aurox Res,AXO,0.69,6,9.52,,,,,,,,
Ironclad Min,IFE,1.05,9,9.38,,,,,,,,
Carpentaria Exp opt jun10,CAPO,0.06,0.5,9.09,,,,,,,,
Rawson Res,RAW,0.18,1.5,9.09,,,,,,,,
Straits Res,SRL,1.395,11.5,8.98,,,,,,,,
Gindalbie Metals,GBG,1.165,9.5,8.88,,,,,,,,
Cudeco Ltd,CDU,4.74,38,8.72,,,,,,,,
REY Res Ltd,REY,0.125,1,8.70,,,,,,,,
Sihayo Gold Ltd,SIH,0.125,1,8.70,,,,,,,,
Triangle Energy,TEG,0.025,0.2,8.70,,,,,,,,
Capital Min,CMY,0.038,0.3,8.57,,,,,,,,
Acclaim Explore,AEX,0.013,0.1,8.33,,,,,,,,
Golden Gate Pet opt aug12,GGPO,0.013,0.1,8.33,,,,,,,,
Ironbark Zinc Ltd,IBG,0.195,1.5,8.33,,,,,,,,
Kingsrose Min Ltd opt dec12,KRMO,0.65,5,8.33,,,,,,,,
European Gas,EPG,0.205,1.5,7.89,,,,,,,,
Golden West Res,GWR,0.69,5,7.81,,,,,,,,
Crusader Res,CAS,0.35,2.5,7.69,,,,,,,,
Moby Oil & Gas,MOG,0.099,0.7,7.61,,,,,,,,
Matsa Res,MAT,0.285,2,7.55,,,,,,,,
Aragon Res,AAG,0.215,1.5,7.50,,,,,,,,
Macq Harbour,MHM,0.215,1.5,7.50,,,,,,,,
Mt Isa Metals,MET,0.145,1,7.41,,,,,,,,
Crescent Gold,CRE,0.15,1,7.14,,,,,,,,
GME Res Ltd,GME,0.06,0.4,7.14,,,,,,,,
India Res,IRL,0.015,0.1,7.14,,,,,,,,
Cazaly Res opt feb11,CAZO,0.32,2,6.67,,,,,,,,
Lonrho Min Ltd,LOM,0.016,0.1,6.67,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.016,0.1,6.67,,,,,,,,
Rimfire Pacific,RIM,0.016,0.1,6.67,,,,,,,,
Uran Ltd,URA,0.016,0.1,6.67,,,,,,,,
Silver Swan Grp,SWN,0.33,2,6.45,,,,,,,,
Whitehaven Coal,WHC,4.90,29,6.29,,,,,,,,
Metrocoal Ltd,MTE,0.255,1.5,6.25,,,,,,,,
Phoenix Copper,PNX,0.17,1,6.25,,,,,,,,
RMA Energy Ltd,RMT,0.034,0.2,6.25,,,,,,,,
Thor Min Plc cdi,THR,0.017,0.1,6.25,,,,,,,,
Boulder Steel,BGD,0.086,0.5,6.17,,,,,,,,
Brockman Res,BRM,3.44,20,6.17,,,,,,,,
Western Areas NL,WSA,4.33,25,6.13,,,,,,,,
Augur Res Ltd,AUK,0.175,1,6.06,,,,,,,,
Sthn Uranium,SNU,0.088,0.5,6.02,,,,,,,,
Botswana Metals,BML,0.053,0.3,6.00,,,,,,,,
Pac Ore Ltd,PSF,0.053,0.3,6.00,,,,,,,,
Buru Energy,BRU,0.355,2,5.97,,,,,,,,
Altura Min Ltd,AJM,0.18,1,5.88,,,,,,,,
Ferrum Crescent,FCR,0.18,1,5.88,,,,,,,,
Planet Metals Ltd,PMQ,0.09,0.5,5.88,,,,,,,,
Pryme Oil & Gas,PYM,0.054,0.3,5.88,,,,,,,,
Amadeus Energy,AMU,0.185,1,5.71,,,,,,,,
Firestone Energy,FSE,0.019,0.1,5.56,,,,,,,,
Gleneagle Gold,GLN,0.019,0.1,5.56,,,,,,,,
Royal Res,ROY,0.19,1,5.56,,,,,,,,
Sabre Res,SBR,0.38,2,5.56,,,,,,,,
Sumatra Copper cdi,SUM,0.19,1,5.56,,,,,,,,
Tasmania Mines,TMM,0.95,5,5.56,,,,,,,,
Yellow Rock,YRR,0.019,0.1,5.56,,,,,,,,
Carpentaria Exp,CAP,0.385,2,5.48,,,,,,,,
Hillgrove Res Ltd,HGO,0.295,1.5,5.36,,,,,,,,
BC Iron Ltd,BCI,1.58,8,5.33,,,,,,,,
Kingsrose Min Ltd,KRM,0.895,4.5,5.29,,,,,,,,
Riversdale Min,RIV,10.78,54,5.27,,,,,,,,
Chameleon Min NL,CHM,0.02,0.1,5.26,,,,,,,,
Latin Gold Ltd,LAT,0.02,0.1,5.26,,,,,,,,
Zinc Co Aust,ZNC,0.20,1,5.26,,,,,,,,
Carbon Energy,CNX,0.405,2,5.19,,,,,,,,
Minara Res,MRE,0.725,3.5,5.07,,,,,,,,
Macarthur Coal,MCC,12.50,60,5.04,,,,,,,,
Copper Range Ltd,CRJ,0.021,0.1,5.00,,,,,,,,
Emerald Oil & Gas,EMR,0.021,0.1,5.00,,,,,,,,
Mount Magnet South,MUM,0.084,0.4,5.00,,,,,,,,
Uranium Explore,UXA,0.042,0.2,5.00,,,,,,,,
Westgold Res,WGR,0.315,1.5,5.00,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Medic Vision Ltd opt jan12,MVHOA,0.001,-0.2,-66.67,,,,,,,,
Webspy Ltd,WSY,0.015,-1.4,-48.28,,,,,,,,
Medic Vision Ltd,MVH,0.011,-0.9,-45.00,,,,,,,,
Broad Invest,BRO,0.002,-0.1,-33.33,,,,,,,,
Cardia Bioplastics opt jun11,CNNO,0.002,-0.1,-33.33,,,,,,,,
Future Corp,FUT,0.002,-0.1,-33.33,,,,,,,,
MDS Financial Grp,MWS,0.021,-0.9,-30.00,,,,,,,,
Aacl Hldgs Ltd,AAY,0.15,-6,-28.57,,,,,,,,
Authorised Invest,AIY,0.04,-1.5,-27.27,,,,,,,,
TWT Grp Ltd,TWT,0.075,-2.5,-25.00,,,,,,,,
LBT Innovations,LBT,0.06,-1.8,-23.08,,,,,,,,
Commstrat Ltd,COJ,0.004,-0.1,-20.00,,,,,,,,
Montec Intl,MTI,0.004,-0.1,-20.00,,,,,,,,
Pac Energy,PEA,0.20,-5,-20.00,,,,,,,,
Transol Corp,TNC,0.004,-0.1,-20.00,,,,,,,,
Biodiem Ltd,BDM,0.12,-2.5,-17.24,,,,,,,,
