Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4981.2 at 16:34 11/1/2010  Report at 19:05 Monday 11/1/2010. Processed 20:40 Monday 11/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Connxion Ventures,CXN,0.044,-0.4,-8.33,,,,,,,,
Alternative Invest unt,AIQ,1.06,-9,-7.83,,,,,,,,
Adcorp Aust,AAU,0.24,-2,-7.69,,,,,,,,
India Equities Fund opt aug10,INEO,0.12,-1,-7.69,,,,,,,,
Intrapower Ltd,IPX,0.12,-1,-7.69,,,,,,,,
Multiplex Acumen unt,MPF,0.12,-1,-7.69,,,,,,,,
Viridis Clean stpld,VIR,0.185,-1.5,-7.50,,,,,,,,
Advanced Share,ASW,0.39,-3,-7.14,,,,,,,,
Black Ridge Min,BRD,0.013,-0.1,-7.14,,,,,,,,
Hot Rock Ltd,HRL,0.13,-1,-7.14,,,,,,,,
Prime Financial,PFG,0.26,-2,-7.14,,,,,,,,
TPL Corp Ltd,TPL,0.026,-0.2,-7.14,,,,,,,,
Biotech Capital,BTC,0.28,-2,-6.67,,,,,,,,
Carnegie Wave Energy,CWE,0.14,-1,-6.67,,,,,,,,
Cedar Woods Prop,CWP,2.66,-19,-6.67,,,,,,,,
Oncard Intl,ONC,0.14,-1,-6.67,,,,,,,,
BSA Ltd,BSA,0.30,-2,-6.25,,,,,,,,
Tyrian Diagnostics,TDX,0.015,-0.1,-6.25,,,,,,,,
IOR Grp Ltd,IOR,1.22,-8,-6.15,,,,,,,,
Namoi Cotton ccu,NAM,0.46,-3,-6.12,,,,,,,,
Solagran Ltd,SLA,0.235,-1.5,-6.00,,,,,,,,
Thakral Hldgs unt,THG,0.395,-2.5,-5.95,,,,,,,,
Circadian Tech,CIR,0.66,-4,-5.71,,,,,,,,
Diploma Grp Ltd,DGX,0.33,-2,-5.71,,,,,,,,
Halcygen Pharma,HGN,0.66,-4,-5.71,,,,,,,,
Legacy Iron Ore,LCY,0.17,-1,-5.56,,,,,,,,
GEO Prop Grp stpld,GPM,0.18,-1,-5.26,,,,,,,,
Headline Grp Ltd,HLD,0.18,-1,-5.26,,,,,,,,
Style Ltd,SYP,0.018,-0.1,-5.26,,,,,,,,
MINING FALLS,,,,,,,,,,,,
Pegasus Metals opt mar10,PUNO,0.001,-0.1,-50.00,,,,,,,,
Stonehenge Metals opt dec12,SHEOA,0.034,-2.6,-43.33,,,,,,,,
Frontier Res opt dec10,FNTO,0.01,-0.5,-33.33,,,,,,,,
Sthn Cross Expl,SXX,0.026,-1.3,-33.33,,,,,,,,
