Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:34 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
QLD Min Corp opt may12,QMNO,0.03,0.2,7.14,,,,,,,,
Syngas Ltd,SYS,0.015,0.1,7.14,,,,,,,,
Richmond Min,RHM,0.235,1.5,6.82,,,,,,,,
Kingsrose Min Ltd,KRM,1.02,6.5,6.81,,,,,,,,
Ironbark Zinc Ltd,IBG,0.16,1,6.67,,,,,,,,
Marengo Min,MGO,0.096,0.6,6.67,,,,,,,,
Uran Ltd,URA,0.016,0.1,6.67,,,,,,,,
Zambezi Res cdi,ZRL,0.016,0.1,6.67,,,,,,,,
Innamincka Pet,INP,0.065,0.4,6.56,,,,,,,,
Energy World Corp,EWC,0.41,2.5,6.49,,,,,,,,
A-Cap Res,ACB,0.33,2,6.45,,,,,,,,
Ausamerican Min,AIW,0.034,0.2,6.25,,,,,,,,
NKWE Platinum com,NKP,0.60,3.5,6.19,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.035,0.2,6.06,,,,,,,,
Golden West Res,GWR,0.795,4.5,6.00,,,,,,,,
Victory West Moly,VWM,0.089,0.5,5.95,,,,,,,,
Emmerson Res,ERM,0.18,1,5.88,,,,,,,,
Golden State Res,GDN,0.037,0.2,5.71,,,,,,,,
Austral Gold,AGD,0.19,1,5.56,,,,,,,,
Carnavale Res opt feb13,CAVO,0.19,1,5.56,,,,,,,,
3D Oil Ltd,TDO,0.195,1,5.41,,,,,,,,
Bendigo Min Ltd,BDG,0.195,1,5.41,,,,,,,,
Rocklands Rich,RCI,0.195,1,5.41,,,,,,,,
Curnamona Energy,CUY,0.20,1,5.26,,,,,,,,
Fox Res,FXR,0.10,0.5,5.26,,,,,,,,
Lonrho Min Ltd,LOM,0.02,0.1,5.26,,,,,,,,
Orion Gold NL,ORN,0.02,0.1,5.26,,,,,,,,
Macarthur Coal,MCC,12.75,63,5.20,,,,,,,,
Sylvania Res,SLV,0.81,4,5.19,,,,,,,,
Whitehaven Coal,WHC,4.75,23,5.09,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Swish Grp Ltd,SWG,0.001,-0.1,-50.00,,,,,,,,
Clever Com Aus,CVA,0.07,-5,-41.67,,,,,,,,
Run Corp Ltd,RNC,0.037,-1.3,-26.00,,,,,,,,
Prima BioMed Ltd opt dec11,PRRO,0.068,-1.6,-19.05,,,,,,,,
Laserbond Ltd,LBL,0.051,-1,-16.39,,,,,,,,
Prima BioMed Ltd,PRR,0.09,-1.5,-14.29,,,,,,,,
ZYL Ltd,ZYL,0.019,-0.3,-13.64,,,,,,,,
Cordlife Ltd,CBB,0.32,-4.5,-12.33,,,,,,,,
Medical Develop,MVP,0.19,-2.5,-11.63,,,,,,,,
XRF Scientific,XRF,0.125,-1.5,-10.71,,,,,,,,
TPL Corp Ltd,TPL,0.017,-0.2,-10.53,,,,,,,,
Healthlinx Ltd opt dec13,HTXOA,0.05,-0.5,-9.09,,,,,,,,
Neuren Pharmaceut,NEU,0.02,-0.2,-9.09,,,,,,,,
Tandou Ltd,TAN,0.30,-3,-9.09,,,,,,,,
Vita Grp Ltd,VTG,0.20,-2,-9.09,,,,,,,,
Mission Newenergy,MBT,0.265,-2.5,-8.62,,,,,,,,
Avita Medical Ltd,AVH,0.11,-1,-8.33,,,,,,,,
BioProspect Ltd,BPO,0.012,-0.1,-7.69,,,,,,,,
E & A Ltd,EAL,0.24,-2,-7.69,,,,,,,,
Integrated Research,IRI,0.375,-3,-7.41,,,,,,,,
Wasabi Energy Ltd,WAS,0.013,-0.1,-7.14,,,,,,,,
Trojan Equity,TJN,0.465,-3.5,-7.00,,,,,,,,
Healthlinx Ltd,HTX,0.098,-0.7,-6.67,,,,,,,,
Pan Asia Corp Ltd,PZC,0.014,-0.1,-6.67,,,,,,,,
Centro Retail stp,CER,0.15,-1,-6.25,,,,,,,,
Multiplex Acumen unt,MPF,0.047,-0.3,-6.00,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.016,-0.1,-5.88,,,,,,,,
Rivercity Motorway stp,RCY,0.049,-0.3,-5.77,,,,,,,,
Prime Infr Grp stp,PIH,3.10,-18,-5.49,,,,,,,,
Coretrack Ltd,CKK,0.175,-1,-5.41,,,,,,,,
Hawkley Oil And Gas,HOG,0.175,-1,-5.41,,,,,,,,
Connxion Ventures,CXN,0.036,-0.2,-5.26,,,,,,,,
Geodynamics Ltd,GDY,0.36,-2,-5.26,,,,,,,,
Quantum Energy,QTM,0.072,-0.4,-5.26,,,,,,,,
Cougar Energy,CXY,0.076,-0.4,-5.00,,,,,,,,
Progen Pharmaceutic,PGL,0.38,-2,-5.00,,,,,,,,
MINING FALLS,,,,,,,,,,,,
Burleson Energy opt aug10,BURO,0.001,-0.4,-80.00,,,,,,,,
Monax Min Ltd opt nov11,MOXO,0.011,-1,-47.62,,,,,,,,
Paramount Min,PCP,0.057,-3.9,-40.63,,,,,,,,
Northern Uranium opt sep12,NTUOA,0.015,-1,-40.00,,,,,,,,
Millennium Min opt feb13,MOYOA,0.005,-0.3,-37.50,,,,,,,,
Burleson Energy,BUR,0.059,-3.2,-35.16,,,,,,,,
Sino Gas Energy opt dec11,SEHOA,0.002,-0.1,-33.33,,,,,,,,
Panax Geothermal,PAX,0.06,-2.9,-32.58,,,,,,,,
Cluff Res,CFR,0.003,-0.1,-25.00,,,,,,,,
Redbank Copper,RCP,0.028,-0.8,-22.22,,,,,,,,
New Standard Energy,NSE,0.16,-4.5,-21.95,,,,,,,,
EMU Nickel NL,EMU,0.11,-3,-21.43,,,,,,,,
Boulder Steel opt mar12,BGDO,0.049,-1.3,-20.97,,,,,,,,
Augur Res Ltd,AUK,0.16,-4,-20.00,,,,,,,,
Sino Gas Energy opt dec12,SEHOC,0.004,-0.1,-20.00,,,,,,,,
Sierra Min,SRM,0.115,-2.5,-17.86,,,,,,,,
Blaze Intl,BLZ,0.005,-0.1,-16.67,,,,,,,,
Green Rock Energy,GRK,0.017,-0.3,-15.00,,,,,,,,
Mantle Min Corp,MNM,0.023,-0.4,-14.81,,,,,,,,
West African Res,WAF,0.235,-4,-14.55,,,,,,,,
Admiralty Res,ADY,0.006,-0.1,-14.29,,,,,,,,
Avanco Res Ltd opt apr12,AVBOB,0.006,-0.1,-14.29,,,,,,,,
Olympus Pacific Min,OYM,0.30,-5,-14.29,,,,,,,,
Panax Geothermal opt dec11,PAXO,0.012,-0.2,-14.29,,,,,,,,
White Canyon Uranium,WCU,0.069,-1.1,-13.75,,,,,,,,
Luiri Gold Ltd cdi,LGM,0.19,-3,-13.64,,,,,,,,
East Energy Resource,EER,0.16,-2.5,-13.51,,,,,,,,
Aurora Min Ltd,ARM,0.40,-6,-13.04,,,,,,,,
Sihayo Gold Ltd opt jan11,SIHO,0.02,-0.3,-13.04,,,,,,,,
Heemskirk Cons,HSK,0.305,-4.5,-12.86,,,,,,,,
ADX Energy Ltd opt mar11,ADXO,0.07,-1,-12.50,,,,,,,,
Aust Min Min opt oct11,AKAO,0.015,-0.2,-11.76,,,,,,,,
Chameleon Min NL,CHM,0.015,-0.2,-11.76,,,,,,,,
Pancontinental Oil,PCL,0.038,-0.5,-11.63,,,,,,,,
ARC Explore Ltd,ARX,0.016,-0.2,-11.11,,,,,,,,
Global Nickel Invest opt jun12,GNIOA,0.008,-0.1,-11.11,,,,,,,,
Intermin Res opt may12,IRCO,0.04,-0.5,-11.11,,,,,,,,
Cauldron Energy,CXU,0.245,-3,-10.91,,,,,,,,
