Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:05 Friday 21/5/2010. Processed 19:13 Friday 21/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Sonic Healthcare,SHL,10.07,-255,-20.21,,,,,,,,
Actinogen Ltd,ACW,0.028,-0.7,-20.00,,,,,,,,
AWH Corp Ltd,AWL,0.004,-0.1,-20.00,,,,,,,,
Eastland Medical opt may11,EMSO,0.004,-0.1,-20.00,,,,,,,,
E-Com Multi Ltd,ECE,0.008,-0.2,-20.00,,,,,,,,
Quay Magnesium,QMG,0.012,-0.3,-20.00,,,,,,,,
Transol Corp,TNC,0.004,-0.1,-20.00,,,,,,,,
Medical Develop,MVP,0.20,-4.5,-18.37,,,,,,,,
Legacy Iron Ore opt dec12,LCYOB,0.051,-1.1,-17.74,,,,,,,,
Ellex Medical Lasers,ELX,0.14,-3,-17.65,,,,,,,,
Farmworks Aust,FWA,0.155,-3,-16.22,,,,,,,,
Electro Optic Sys,EOS,1.31,-24,-15.48,,,,,,,,
Brierty Ltd,BYL,0.255,-4.5,-15.00,,,,,,,,
Laserbond Ltd,LBL,0.051,-0.9,-15.00,,,,,,,,
Rubicor Grp,RUB,0.046,-0.8,-14.81,,,,,,,,
Progen Pharmaceutic,PGL,0.415,-7,-14.43,,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.03,-0.5,-14.29,,,,,,,,
Manaccom Corp Ltd,MNL,0.24,-4,-14.29,,,,,,,,
Paragon Care Ltd,PGC,0.03,-0.5,-14.29,,,,,,,,
Pulse Health Ltd,PHG,0.048,-0.8,-14.29,,,,,,,,
Quickflix Ltd,QFX,0.048,-0.8,-14.29,,,,,,,,
Ruralaus Invest,RUR,0.12,-2,-14.29,,,,,,,,
"""Sunshine Heart, cdi",SHC,0.032,-0.5,-13.51,"""",,,,,,,
Enerji Ltd,ERJ,0.039,-0.6,-13.33,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.013,-0.2,-13.33,,,,,,,,
Cyclopharm Ltd,CYC,0.10,-1.5,-13.04,,,,,,,,
Mission Newenergy,MBT,0.245,-3.5,-12.50,,,,,,,,
Pan Asia Corp Ltd,PZC,0.021,-0.3,-12.50,,,,,,,,
Smarttrans Hldgs,SMA,0.021,-0.3,-12.50,,,,,,,,
Supply Net,SNL,0.315,-4.5,-12.50,,,,,,,,
Two Way Ltd,TTV,0.035,-0.5,-12.50,,,,,,,,
Wellcom Grp Ltd,WLL,1.755,-24.5,-12.25,,,,,,,,
Xtek Ltd,XTE,0.029,-0.4,-12.12,,,,,,,,
Ambertech Ltd,AMO,0.44,-6,-12.00,,,,,,,,
Frigrite Ltd,FRR,0.11,-1.5,-12.00,,,,,,,,
Webfirm Grp Ltd,WFM,0.059,-0.8,-11.94,,,,,,,,
ENV Clean Tech opt jan14,ESIO,0.015,-0.2,-11.76,,,,,,,,
MobileActive Ltd,MBA,0.03,-0.4,-11.76,,,,,,,,
Quantum Energy,QTM,0.075,-1,-11.76,,,,,,,,
ETFS Metals etfs pd,ETPMPD,49.41,-644,-11.53,,,,,,,,
Sino Strategic Intl,SSI,0.35,-4.5,-11.39,,,,,,,,
K2 Asset Mgmt,KAM,0.55,-7,-11.29,,,,,,,,
Galileo Japan Tr unt,GJT,0.032,-0.4,-11.11,,,,,,,,
Greencap Ltd,GCG,0.08,-1,-11.11,,,,,,,,
Medivac Ltd,MDV,0.008,-0.1,-11.11,,,,,,,,
Kip McGrath Edu Cntr,KME,0.33,-4,-10.81,,,,,,,,
