Market Action,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4307.0 at 2012-08-15T16:44:07. Report at Wednesday, August 15, 2012. Processed Thursday at 2012-08-16T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Bone Medical,BNE,.003,-.1,-25.00,,
Robe Aust opt dec14,ROBO,.003,-.1,-25.00,,
Aeris Environmental,AEI,.13,-3.5,-21.21,,
Quantum Energy,QTM,.019,-.5,-20.83,,
Benitec Biopharma opt dec13,BLTOB,.004,-.1,-20.00,,
Cardia Bioplastics,CNN,.004,-.1,-20.00,,
Artist & Entertain,AEM,.014,-.3,-17.65,,
ICSGlobal,ICS,.01,-.2,-16.67,,
ENV Clean Tech opt jan14,ESIO,.006,-.1,-14.29,,
GoConnect,GCN,.018,-.3,-14.29,,
Globe Int'l,GLB,.33,-5,-13.16,,
ImpediMed,IPD,.165,-2.5,-13.16,,
Paperlinx Sps Tr pref,PXUPA,9.85,-147,-12.99,,
NeuroDiscovery,NDL,.021,-.3,-12.50,,
Axiom Prop,AXI,.022,-.3,-12.00,,
Consegna Grp,CGP,.015,-.2,-11.76,,
Avexa,AVX,.016,-.2,-11.11,,
Cellmid,CDY,.016,-.2,-11.11,,
Novarise Renewable,NOE,.16,-2,-11.11,,
Adv Braking Tech,ABV,.018,-.2,-10.00,,
HGL,HNG,.65,-7,-9.72,,
IFS Construct,IFS,.03,-.3,-9.09,,
Mint Wireless,MNW,.02,-.2,-9.09,,
SAI Global,SAI,3.94,-37,-8.58,,
WAM Capital opt jul13,WAMO,.033,-.3,-8.33,,
Sims Metal Mgt,SGM,8.67,-76,-8.06,,
Phylogica,PYC,.025,-.2,-7.41,,
Wasabi Energy,WAS,.015,-.1,-6.25,,
Arrium,ARI,.79,-5,-5.95,,
Bentley Capital,BEL,.16,-1,-5.88,,
Charter Pacific,CHF,.08,-.5,-5.88,,
ENV Clean Tech,ESI,.016,-.1,-5.88,,
Quest Invest,QST,.16,-1,-5.88,,
Blue Sky Alt Invest,BLA,.82,-5,-5.75,,
OBJ,OBJ,.017,-.1,-5.56,,
CMI,CMI,1.94,-11,-5.37,,
Energio,EIO,.18,-1,-5.26,,
Titan Energy Service,TTN,.45,-2.5,-5.26,,
Orbital Corp,OEC,.19,-1,-5.00,,
FALLS - MINING,,
Panax Geothermal opt jul14,PAXOA,.001,-.1,-50.00,,
Cove Res opt jan14,CVEO,.006,-.5,-45.45,,
Ausmon Resources,AOA,.10,-6,-37.50,,
Grand Gulf Energy,GGE,.002,-.1,-33.33,,
Erongo Energy,ERN,.033,-1.3,-28.26,,
Ashburton Min,ATN,.003,-.1,-25.00,,
Jacka Res opt dec12,JKAO,.015,-.5,-25.00,,
Kaboko Min opt jun13,KABO,.003,-.1,-25.00,,
Regal Resources,RER,.003,-.1,-25.00,,
Sabre Res,SBR,.27,-9,-25.00,,
Mutiny Gold opt jul13,MYGOA,.05,-1.5,-23.08,,
Voyager Res opt dec14,VORO,.01,-.3,-23.08,,
Avonlea Minerals,AVZ,.024,-.7,-22.58,,
World Oil Res,WLR,.011,-.3,-21.43,,
Aleator Energy opt jan15,AWDO,.004,-.1,-20.00,,
Midas Res,MDS,.008,-.2,-20.00,,
Mining Projects,MPJ,.008,-.2,-20.00,,
Odyssey Energy,ODY,.02,-.5,-20.00,,
Paynes Find Gold opt jun15,PNEOA,.004,-.1,-20.00,,
Rawson Res,RAW,.063,-1.4,-18.18,,
Dourado Res,DUO,.05,-1.1,-18.03,,
Copper Range opt dec13,CRJOA,.005,-.1,-16.67,,
Eden Energy,EDE,.01,-.2,-16.67,,
MHM Metals opt aug12,MHMO,.05,-1,-16.67,,
Musgrave Min,MGV,.065,-1.3,-16.67,,
Barra Res,BAR,.016,-.3,-15.79,,
Aphrodite Gold opt dec13,AQQO,.006,-.1,-14.29,,
Azure Minerals,AZS,.018,-.3,-14.29,,
Callabonna Uranium,CUU,.018,-.3,-14.29,,
Gippsland,GIP,.006,-.1,-14.29,,
Hawthorn Res,HAW,.006,-.1,-14.29,,
Panax Geothermal,PAX,.006,-.1,-14.29,,
Aust Oil Co,AOC,.185,-3,-13.95,,
ST George Min opt nov14,SGQO,.013,-.2,-13.33,,
Horseshoe Metals,HOR,.165,-2.5,-13.16,,
Rum Jungle Resources,RUM,.20,-3,-13.04,,
Lindian Res,LIN,.135,-2,-12.90,,
ARC Explore,ARX,.007,-.1,-12.50,,
Armour Energy opt aug14,AJQO,.105,-1.5,-12.50,,
Firestone Energy,FSE,.007,-.1,-12.50,,
Ord River Res,ORD,.014,-.2,-12.50,,
Rand Mining,RND,.35,-5,-12.50,,
Alcyone Res opt may15,AYNO,.008,-.1,-11.11,,
Pioneer Res,PIO,.024,-.3,-11.11,,
Alacer Gold cdi,AQG,5.10,-60,-10.53,,
Global Metals Expl,GXN,.009,-.1,-10.00,,
Lonrho Mining,LOM,.009,-.1,-10.00,,
Malachite Res,MAR,.009,-.1,-10.00,,
Aura Energy,AEE,.145,-1.5,-9.38,,
Acacia Coal,AJC,.02,-.2,-9.09,,
Aust Pacific Coal,AQC,.02,-.2,-9.09,,
Buxton Res,BUX,.15,-1.5,-9.09,,
Prospect Res,PSC,.01,-.1,-9.09,,
Tellus Res,TLU,.10,-1,-9.09,,
Chinalco Yunnan Copper,CYU,.105,-1,-8.70,,
Clean Global Energy,CGV,.022,-.2,-8.33,,
Earth Heat Res cdi,EHR,.011,-.1,-8.33,,
View Res,VRE,.022,-.2,-8.33,,
Terramin Aust,TZN,.046,-.4,-8.00,,
Galilee Energy,GLL,.12,-1,-7.69,,
Moly Mines,MOL,.18,-1.5,-7.69,,
Pancontinental Oil,PCL,.18,-1.5,-7.69,,
Phoenix Gold opt nov14,PXGOA,.06,-.5,-7.69,,
Range Res,RRS,.072,-.6,-7.69,,
Red Emperor Res,RMP,.125,-1,-7.41,,
Bulletin Res,BNR,.051,-.4,-7.27,,
Elemental Min,ELM,.715,-5.5,-7.14,,
Global Strat Met,GSZ,.065,-.5,-7.14,,
Latrobe Magnesium,LMG,.013,-.1,-7.14,,
Pacrim Energy,PRE,.065,-.5,-7.14,,
Syndicated Metals,SMD,.065,-.5,-7.14,,
Venture Minerals,VMS,.33,-2.5,-7.04,,
Northern Manganese,NTM,.04,-.3,-6.98,,
OZ Minerals,OZL,7.37,-55,-6.94,,
Falcon Minerals,FCN,.027,-.2,-6.90,,
NSL Consolidated,NSL,.055,-.4,-6.78,,
Emerald Oil & Gas,EMR,.014,-.1,-6.67,,
Great Western Expl,GTE,.21,-1.5,-6.67,,
Mutiny Gold,MYG,.098,-.7,-6.67,,
Sthn Hem Min cdi,SUH,.14,-1,-6.67,,
Gullewa,GUL,.072,-.5,-6.49,,
Diatreme Res,DRX,.029,-.2,-6.45,,
Aleator Energy,AWD,.015,-.1,-6.25,,
Armour Energy,AJQ,.30,-2,-6.25,,
Empire Oil & Gas,EGO,.015,-.1,-6.25,,
Energy & Minerals,EMA,.075,-.5,-6.25,,
Kaboko Min,KAB,.015,-.1,-6.25,,
Spitfire Res,SPI,.063,-.4,-5.97,,
Crucible Gold,CUG,.16,-1,-5.88,,
Galaxy Res,GXY,.48,-3,-5.88,,
Triple Energy,TNP,.016,-.1,-5.88,,
North Aust Diamonds,NAD,.165,-1,-5.71,,
Brumby Res,BMY,.05,-.3,-5.66,,
Crossland Uranium,CUX,.05,-.3,-5.66,,
Waratah Res,WGO,.05,-.3,-5.66,,
Aviva Corp,AVA,.085,-.5,-5.56,,
Gascoyne Res,GCY,.17,-1,-5.56,,
Bass Strait Oil Co,BAS,.018,-.1,-5.26,,
Sovereign Metals,SVM,.36,-2,-5.26,,
Apollo Minerals,AON,.037,-.2,-5.13,,
Kangaroo Res,KRL,.075,-.4,-5.06,,
Dragon Mountain Gold,DMG,.019,-.1,-5.00,,
,
