Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
NABIZA,13.00,29/04/10,1:1,14.69,14.74,14.72,38,3,,,,
NABIZB,16.00,29/04/10,1:1,11.71,11.76,11.85,49,75,,,,
NABIYH,33.30,14/05/10,1:1,-,0.385,0.16,-,-,,,,
NABIMC,11.50,19/05/10,1:1,16.23,16.55,14.89,-,-,,,,
NABIMD,16.50,19/05/10,1:1,11.28,11.6,11.42,-,-,,,,
NABISI,12.50,25/05/10,1:1,15.19,-,-,-,-,,,,
NABIZQ,13.00,14/06/10,1:1,14.8,14.85,14.44,-,-,,,,
NABIOA,18.00,23/06/10,1:1,10,10.02,10.20,27,40,,,,
NABIOS,22.00,23/06/10,1:1,6.39,6.41,6.49,-,-,,,,
NABSSR,8.33,30/06/10,1:1,19.42,19.43,18.63,-,-,,,,
NABSMU,13.69,30/06/10,1:1,14.15,-,13.75,-,-,,,,
NABSSS,14.27,30/06/10,1:1,13.61,13.62,13.75,-,-,,,,
NABJMJ,17.20,30/06/10,1:1,11.22,11.54,14.39,-,-,,,,
NABJMG,23.81,30/06/10,1:1,5.22,-,6.41,-,-,,,,
NABMMH,26.99,30/06/10,1:1,2.53,-,4.40,-,-,,,,
NABMMI,26.99,30/06/10,1:1,1.84,-,0.74,-,-,,,,
NABJMH,30.36,30/06/10,1:1,2.25,-,3.45,-,-,,,,
NABISM,19.95,30/07/10,1:1,8.11,-,7.60,-,-,,,,
NABIMS,24.00,23/09/10,1:1,5.95,6.19,5.85,-,-,,,,
NABIOK,25.00,23/09/10,1:1,5.1,5.12,5.18,-,-,,,,
NABIMF,15.00,17/11/10,1:1,13.57,13.89,13.45,-,-,,,,
NABIMG,22.00,17/11/10,1:1,7.84,8.1,7.80,-12,120,,,,
NABIOG,20.00,24/03/11,1:1,9.89,9.91,10.03,18,46,,,,
NABISQ,15.89,31/05/11,1:1,14.1,-,12.67,-,-,,,,
NABIZR,15.90,03/06/11,1:1,14.18,14.23,14.24,-,-,,,,
