Warrant Market - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:17 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
RIOVMH,76.00,23/09/10,4:1,0.47,0.5,0.465,14,348,,,,
RIOUMM,80.00,23/09/10,4:1,0.37,0.385,0.365,13,1905,,,,
RIOWMH,95.00,23/09/10,4:1,0.032,0.038,0.033,-0.1,2350,,,,
RIOWMI,100.00,23/09/10,4:1,0.009,-,0.025,-,-,,,,
RIOVMI,65.00,27/01/11,4:1,2.74,2.8,-,-,-,,,,
RIOVMJ,70.00,27/01/11,4:1,2.05,2.11,-,-,-,,,,
RIOVMK,75.00,27/01/11,4:1,1.49,1.535,-,-,-,,,,
RIOVML,80.00,27/01/11,4:1,1.055,1.095,1.08,-,80,,,,
RIOVMM,85.00,27/01/11,4:1,0.89,0.92,0.595,-,-,,,,
Santos Ltd Last Sale Price $13.84,,,,,,,,,,,,
STOWOC,13.50,26/08/10,4:1,0.21,0.215,0.185,-,-,,,,
STOWOD,15.00,26/08/10,4:1,0.074,0.079,0.043,-,-,,,,
STOUMC,13.00,23/09/10,4:1,0.33,0.35,0.32,-3.5,1000,,,,
STOUMD,14.00,23/09/10,4:1,0.2,0.215,0.26,-,-,,,,
Suncorp-Metway Last Sale Price $8.52,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.185,0.2,-,-,-,,,,
Ten Network Hldgs Last Sale Price $1.67,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.105,0.12,-,-,-,,,,
Telstra Corp Last Sale Price $3.20,,,,,,,,,,,,
TLSWOE,3.10,26/08/10,2:1,0.048,0.053,0.08,-,-,,,,
TLSWOF,3.35,26/08/10,2:1,0.02,0.025,-,-,-,,,,
TLSUMD,2.92,23/09/10,1:1,0.3,0.315,0.375,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,0.135,0.145,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.09,0.099,0.11,-,-,,,,
TLSVMF,3.40,23/09/10,1:1,0.039,0.044,-,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.023,-,0.039,-3.7,700,,,,
Toll Hldgs Ltd Last Sale Price $5.98,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.097,-,0.13,-,-,,,,
Westpac Banking Last Sale Price $22.73,,,,,,,,,,,,
WBCVZF,24.00,28/07/10,4:1,0.018,0.04,-,-,-,,,,
WBCVZG,24.00,25/08/10,4:1,0.155,0.18,-,-,-,,,,
WBCVMF,20.00,23/09/10,4:1,0.81,0.855,0.59,-,-,,,,
WBCUMG,22.00,23/09/10,4:1,0.445,0.48,0.455,-3,260,,,,
WBCUMH,24.00,23/09/10,4:1,0.205,0.23,0.175,-7,70,,,,
WBCWOH,24.50,23/09/10,4:1,0.14,0.145,0.14,-,-,,,,
WBCUMI,26.00,23/09/10,4:1,0.078,0.09,0.077,-3.3,75,,,,
WBCWOI,26.00,23/09/10,4:1,0.066,0.071,0.072,-2,800,,,,
WBCWOJ,28.00,23/09/10,4:1,0.025,0.03,0.12,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,0.01,0.012,0.012,-4.6,640,,,,
WBCWMI,31.00,23/09/10,4:1,0.001,-,0.18,-,-,,,,
WBCVMG,21.00,27/01/11,4:1,0.805,0.845,0.80,1,30,,,,
WBCVMH,25.00,27/01/11,4:1,0.35,0.375,0.375,-,-,,,,
WBCVMI,28.00,27/01/11,4:1,0.14,0.155,0.15,-,-,,,,
WBCVMJ,32.00,27/01/11,4:1,0.039,0.046,-,-,-,,,,
Wesfarmers Ltd Last Sale Price $29.14,,,,,,,,,,,,
WESWOC,30.00,26/08/10,5:1,0.11,0.115,0.084,-,-,,,,
WESWOA,32.00,26/08/10,5:1,0.038,0.043,0.046,-,-,,,,
WESUMB,28.00,23/09/10,4:1,0.59,0.615,0.49,-13.5,11,,,,
WESUMC,31.00,23/09/10,4:1,0.225,0.23,0.23,12,150,,,,
WorleyParsons Ltd Last Sale Price $22.49,,,,,,,,,,,,
WORUMB,26.00,23/09/10,4:1,0.087,0.099,0.083,-9.7,47,,,,
Woolworths Ltd Last Sale Price $25.67,,,,,,,,,,,,
WOWWOB,28.50,26/08/10,4:1,0.016,0.021,0.10,-,-,,,,
