Warrant Market - Weekly
"Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:51 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
FMGWOQ,1.75,17/12/15,2:1,.055,-,-,-,-,
FMGWOP,2.00,17/12/15,2:1,.105,-,-,-,-,

Macquarie Grp Last Sale Price $85.70,
MQGWOQ,73.00,17/12/15,4:1,.15,-,1.31,-,-,
MQGWOP,78.00,17/12/15,4:1,.38,.385,.37,-22,200,

National Aust Bank Last Sale Price $30.15,
NABWOQ,30.00,17/12/15,4:1,.47,-,.655,-,-,
NABWOP,32.00,17/12/15,4:1,.81,.815,.89,-,-,

Newcrest Min Last Sale Price $12.31,
NCMWOQ,9.50,17/12/15,4:1,.052,-,-,-,-,
NCMWOP,10.50,17/12/15,4:1,.11,-,.33,-,-,

Rio Tinto Last Sale Price $50.65,
RIOWOQ,45.00,17/12/15,5:1,.24,.245,.17,-2,1000,
RIOWOP,50.00,17/12/15,5:1,.58,.585,.58,-,60,

Telstra Corp Last Sale Price $5.40,
TLSWOQ,5.75,17/12/15,2:1,.225,.23,.22,-,400,
TLSWOP,6.00,17/12/15,2:1,.32,.325,.275,-,-,

Westpac Banking Last Sale Price $31.38,
WBCWOQ,29.80,17/12/15,4:1,.315,.32,.515,-,-,
WBCWOP,32.00,17/12/15,4:1,.60,.605,.65,-,-,

Basket Call Warrants,
Equity Endowment Warrants,
Equity Installment Warrants,
Adelaide Brighton Last Sale Price $4.19,
ABCSSO,4.60,28/06/16,1:1,.28,.325,-,-,-,

Aust Foundation Last Sale Price $5.83,
AFISZB,2.22,30/06/16,1:1,3.68,-,3.85,-,-,
AFIJOH,3.70,12/12/17,1:1,2.13,2.14,2.16,-2,135,

AGL Energy Last Sale Price $16.73,
AGLIOV,8.79,15/12/15,1:1,8.05,8.06,7.57,-,-,
AGLIYA,7.84,22/03/16,1:1,8.98,-,8.14,-,-,
AGLIYB,10.55,22/03/16,1:1,6.48,-,5.63,-,-,
AGLISA,15.65,31/03/16,1:1,1.75,1.76,1.83,-,-,
AGLISI,7.20,08/06/16,1:1,9.69,9.70,-,-,-,
AGLSSA,8.11,08/06/16,1:1,8.85,8.86,6.70,-,-,
AGLSSW,17.68,15/06/16,1:1,1.185,1.33,-,-,-,
AGLIYE,7.65,21/06/16,1:1,9.45,-,8.51,-,-,
AGLIYF,9.78,21/06/16,1:1,7.38,-,7.52,-,-,
AGLSOB,12.37,23/06/16,1:1,4.92,4.93,-,-,-,
AGLSSR,5.72,24/06/16,1:1,11.18,11.19,9.74,-,-,
AGLSWG,4.73,30/06/16,1:1,12.21,12.23,10.57,-,-,
AGLSSN,16.10,30/06/16,1:1,1.63,1.64,1.735,-,-,
AGLSSP,16.10,30/06/16,1:1,1.60,1.61,-,-,-,
AGLSSM,16.89,30/06/16,1:1,1.35,1.36,1.165,-,-,
AGLJOC,8.92,22/06/17,1:1,7.81,7.82,7.61,+72,3,
AGLSZC,5.93,30/06/17,1:1,10.93,-,8.05,-,-,
AGLSMY,9.87,30/06/17,1:1,7.15,-,6.86,-,-,
AGLSZX,7.18,04/02/19,1:1,9.52,-,9.12,-,-,
AGLJOP,10.13,30/05/19,1:1,6.60,6.61,6.13,-,-,
AGLJOQ,12.70,30/05/19,1:1,4.03,4.04,3.75,+28,5,
AGLSO1,7.32,06/12/19,1:1,9.41,9.42,9.48,-,-,
AGLSWR,8.19,30/06/20,1:1,9.99,10.01,10.15,-,-,
AGLSRU,5.60,06/08/21,1:1,11.10,-,9.56,-,-,
AGLSRT,7.18,06/08/21,1:1,9.52,-,7.64,-,-,

Atlas Iron Last Sale Price $0.03,
AGOSWG,1.74,30/06/16,1:1,.02,-,.05,-,-,

Asciano Last Sale Price $8.20,
AIOIOV,3.85,15/12/15,1:1,4.41,4.42,4.41,-18,20,
AIOISI,3.05,08/06/16,1:1,5.22,5.23,5.20,-,-,
AIOSSA,3.64,08/06/16,1:1,4.67,4.68,-,-,-,
AIOSZC,36.32,30/06/17,1:1,1.44,-,3.68,-,-,
AIOSZX,2.95,04/02/19,1:1,5.23,-,1.97,-,-,
AIOSWR,3.79,30/06/20,1:1,5.74,-,-,-,-,
AIOSRX,2.46,06/08/21,1:1,5.73,-,4.10,-,-,

Aristocrat Leisure Last Sale Price $9.32,
ALLIOV,3.10,15/12/15,1:1,6.27,6.28,2.91,-,-,
ALLSMY,17.10,30/06/17,1:1,.11,-,.93,-,-,

Amcor Last Sale Price $13.65,
AMCIOV,5.48,15/12/15,1:1,8.26,8.27,7.88,-,-,
AMCISI,5.83,08/06/16,1:1,8.00,8.01,7.71,-,-,
AMCSSA,6.57,08/06/16,1:1,7.32,7.33,6.56,-,-,
AMCSSL,7.80,08/06/16,1:1,6.14,6.15,-,-,-,
AMCIYE,6.59,21/06/16,1:1,7.26,-,-,-,-,
AMCSOE,1.08,23/06/16,1:1,12.61,12.62,7.69,-,-,
AMCISQ,11.45,24/06/16,1:1,3.56,3.67,-,-,-,
AMCSSO,14.83,28/06/16,1:1,.755,.865,-,-,-,
AMCSWG,4.72,30/06/16,1:1,9.22,9.24,9.80,-,-,
AMCSSN,13.99,30/06/16,1:1,1.085,1.095,-,-,-,
AMCSSP,13.99,30/06/16,1:1,1.05,1.06,-,-,-,
AMCSSM,14.61,30/06/16,1:1,.87,.88,-,-,-,
AMCSZX,1.15,04/02/19,1:1,12.53,-,11.98,-,-,
AMCSWR,8.05,30/06/20,1:1,7.57,7.59,6.90,-,-,

AMP Last Sale Price $5.73,
AMPIOV,2.75,15/12/15,1:1,3.03,3.04,2.92,-,-,
AMPIOZ,3.80,15/12/15,1:1,1.985,1.995,2.52,-,-,
AMPJRB,3.97,16/12/15,1:1,1.75,-,.95,-,-,
AMPISA,6.05,31/03/16,1:1,.42,.43,.525,-,-,
AMPIOL,5.75,20/05/16,1:1,.80,.81,1.32,-,-,
AMPISI,2.74,08/06/16,1:1,3.06,3.07,3.01,-,-,
AMPSSA,3.03,08/06/16,1:1,2.79,2.80,2.75,-,-,
AMPSSL,3.40,08/06/16,1:1,2.44,2.45,-,-,-,
AMPIYE,3.18,21/06/16,1:1,2.64,-,3.15,-,-,
AMPIYF,4.33,21/06/16,1:1,1.59,-,2.58,-,-,
AMPSOF,1.98,23/06/16,1:1,3.83,3.84,2.83,-,-,
AMPSOE,2.96,23/06/16,1:1,2.90,2.91,3.75,-,-,
AMPSSR,1.96,24/06/16,1:1,3.83,3.84,3.81,-,-,
AMPISN,4.74,24/06/16,1:1,1.285,1.335,-,-,-,
AMPISQ,5.85,24/06/16,1:1,1.085,1.145,-,-,-,
AMPSWB,1.09,30/06/16,1:1,4.64,-,5.46,-,-,
AMPSWH,1.32,30/06/16,1:1,4.51,4.53,2.98,-,-,
AMPSWG,2.05,30/06/16,1:1,3.78,3.80,3.81,-,-,
AMPSMX,3.80,30/06/16,1:1,2.03,-,2.81,-,-,
AMPSWC,4.19,30/06/16,1:1,1.53,-,1.97,-,-,
AMPSZB,4.19,30/06/16,1:1,1.70,-,2.30,-,-,
AMPSSN,6.26,30/06/16,1:1,.405,.415,-,-,-,
AMPSSP,6.26,30/06/16,1:1,.38,.39,.58,-,-,
AMPSSM,6.42,30/06/16,1:1,.34,.35,.615,-,-,
AMPSWD,8.86,30/06/16,1:1,-,-,.021,-,-,
AMPSMY,7.38,30/06/17,1:1,.145,-,.365,-,-,
AMPJOJ,3.12,31/05/18,1:1,2.61,2.62,2.51,-,-,
AMPJOK,4.08,31/05/18,1:1,1.645,1.655,1.87,-,-,
AMPSZD,3.65,28/06/18,1:1,2.32,-,3.18,-,-,
AMPSMB,5.30,29/06/18,1:1,.90,-,1.19,-,-,
AMPSZX,1.92,04/02/19,1:1,3.80,-,4.38,-,-,
AMPSZW,3.14,04/02/19,1:1,2.58,-,2.02,-,-,
AMPSOG,2.73,13/12/19,1:1,3.27,3.28,3.40,-,-,
AMPJOE,3.63,14/04/20,1:1,2.10,2.11,-,-,-,
AMPJOF,4.57,14/04/20,1:1,1.16,1.17,1.16,-23.5,225,
AMPSWR,3.71,30/06/20,1:1,2.92,2.94,3.63,-,-,
AMPSRT,1.92,06/08/21,1:1,3.80,-,4.19,-,-,

Ansell Last Sale Price $20.12,
ANNSWG,9.97,30/06/16,1:1,10.56,10.61,11.65,-,-,
ANNSWR,15.62,30/06/20,1:1,10.74,10.76,12.48,-,-,

ANZ Banking Grp Last Sale Price $27.21,
ANZIO2,15.50,06/11/15,1:1,11.89,11.90,12.58,-,-,
ANZIOV,20.35,15/12/15,1:1,7.07,7.08,7.09,-174,168,
ANZIOZ,28.20,15/12/15,1:1,1.41,1.42,1.42,-77,1155,
ANZISZ,36.80,15/12/15,1:1,1.055,1.065,1.07,-2,70,
ANZJRA,16.57,16/12/15,1:1,10.70,-,18.85,-,-,
ANZJRB,23.20,16/12/15,1:1,4.08,-,12.54,-,-,
ANZISY,33.50,17/12/15,1:1,1.05,1.06,1.335,-,-,
ANZSOC,23.50,04/03/16,1:1,4.75,4.76,4.60,-124,3,
ANZSWQ,23.50,04/03/16,1:1,4.65,4.67,4.65,-163,150,
ANZIO1,18.50,06/05/16,1:1,10.33,10.34,14.23,-,-,
ANZIOL,31.00,20/05/16,1:1,3.09,3.10,3.11,-53,288,
ANZISB,28.50,31/05/16,1:1,3.10,3.11,3.11,-,5,
ANZISA,31.70,31/05/16,1:1,2.52,2.53,2.86,+1,35,
ANZISI,16.58,08/06/16,1:1,11.39,11.40,11.37,-114,9,
ANZSSL,17.00,08/06/16,1:1,10.99,11.00,10.83,-,30,
ANZSSA,18.13,08/06/16,1:1,9.97,9.98,9.94,-131,5,
ANZIYZ,29.50,15/06/16,1:1,2.73,-,5.84,-,-,
ANZSSW,36.94,15/06/16,1:1,.81,1.10,1.45,-,-,
ANZIYE,15.41,21/06/16,1:1,12.38,-,17.75,-,-,
ANZIYF,21.35,21/06/16,1:1,7.03,-,12.29,-,-,
ANZIYG,27.29,21/06/16,1:1,3.37,-,4.25,-,-,
ANZSOE,5.73,23/06/16,1:1,21.72,21.73,25.82,-,-,
ANZSOF,8.43,23/06/16,1:1,19.13,19.14,19.01,-,-,
ANZSSS,8.74,24/06/16,1:1,18.84,18.85,23.48,-,-,
ANZSST,11.44,24/06/16,1:1,16.24,16.25,16.26,-,-,
ANZISN,30.12,24/06/16,1:1,2.95,3.20,3.26,-43,10,
ANZSOB,31.24,24/06/16,1:1,1.755,1.765,2.25,-,-,
ANZISQ,36.98,24/06/16,1:1,4.02,4.34,-,-,-,
ANZSSO,35.44,28/06/16,1:1,.73,.975,-,-,-,
ANZSWS,29.44,29/06/16,1:1,2.10,2.25,2.26,-71,62,
ANZSWB,4.71,30/06/16,1:1,22.68,-,22.99,-,-,
ANZSWH,4.92,30/06/16,1:1,22.86,22.88,27.65,-,-,
ANZSWG,7.66,30/06/16,1:1,20.02,20.04,21.63,-,-,
ANZSWC,11.04,30/06/16,1:1,16.38,-,18.62,-,-,
ANZSMX,11.68,30/06/16,1:1,15.84,-,17.06,-,-,
ANZSZB,11.78,30/06/16,1:1,15.82,-,22.64,-,-,
ANZSWE,16.13,30/06/16,1:1,11.36,-,16.98,-,-,
ANZSWD,19.48,30/06/16,1:1,8.18,-,14.38,-,-,
ANZSSN,34.90,30/06/16,1:1,.99,1.00,-,-,-,
ANZSSP,34.90,30/06/16,1:1,.85,.86,-,-,-,
ANZSSM,35.23,30/06/16,1:1,.855,.865,2.47,-,-,
ANZIOA,15.00,21/10/16,1:1,13.25,13.26,13.27,-120,100,
ANZJOC,14.36,22/06/17,1:1,12.85,12.86,12.72,-196,8,
ANZSWJ,6.65,30/06/17,1:1,21.22,21.24,26.50,-,-,
ANZSWK,12.70,30/06/17,1:1,15.70,15.72,15.50,-116,13,
ANZSMY,17.41,30/06/17,1:1,10.29,-,16.88,-,-,
ANZJOH,21.44,12/12/17,1:1,5.78,5.79,5.86,-167,1020,
ANZJOJ,17.49,31/05/18,1:1,9.73,9.74,9.71,-130,42,
ANZSZD,2.15,28/06/18,1:1,25.18,-,29.84,-,-,
ANZSMB,13.54,29/06/18,1:1,14.04,-,20.36,-,-,
ANZSZW,6.12,04/02/19,1:1,21.15,-,21.39,-,-,
ANZSZV,9.63,04/02/19,1:1,17.64,-,18.07,-,-,
ANZSO1,17.72,06/12/19,1:1,9.49,9.50,9.43,-188,23,
ANZSOG,16.08,13/12/19,1:1,13.63,13.64,13.51,-148,2,
ANZJOA,11.86,14/04/20,1:1,15.35,15.36,16.75,-,-,
ANZSO2,15.14,14/04/20,1:1,12.07,12.08,-,-,-,
ANZJOE,19.19,14/04/20,1:1,8.02,8.03,9.05,-70,19,
ANZJOT,22.27,14/04/20,1:1,4.95,4.96,5.00,-171,106,
ANZSOH,18.00,23/06/20,1:1,12.98,12.99,13.74,-,-,
ANZSWR,20.31,30/06/20,1:1,13.25,13.39,14.71,-,-,
ANZSRX,4.96,06/08/21,1:1,22.31,-,23.41,-,-,
ANZSRW,6.12,06/08/21,1:1,21.15,-,27.54,-,-,
ANZSRV,9.63,06/08/21,1:1,17.64,-,18.04,-,-,
ANZSRT,13.74,06/08/21,1:1,13.54,-,14.75,-,-,

APA Grp Last Sale Price $9.20,
APAJOH,3.34,12/12/17,1:1,5.86,5.87,4.94,-,-,
APASRX,1.34,06/08/21,1:1,7.84,-,4.51,-,-,

Argo Invest Last Sale Price $7.74,
ARGSZB,4.22,30/06/16,1:1,3.63,-,3.94,-,-,
ARGJOH,4.93,12/12/17,1:1,2.81,2.82,2.84,-73,20,
ARGJOM,5.86,30/05/19,1:1,1.87,1.88,2.19,-,-,

Arrium Last Sale Price $0.10,
ARIIOV,0.10,15/12/15,1:1,.037,.047,-,-,-,
ARIIOL,0.13,20/05/16,1:1,.046,.056,-,-,-,

ASX Last Sale Price $41.22,
ASXIOV,21.50,15/12/15,1:1,19.94,19.95,21.04,-,-,
ASXIOZ,28.50,15/12/15,1:1,13.00,13.01,10.09,-,-,
ASXIOL,36.00,20/05/16,1:1,8.15,8.16,5.96,-,-,
ASXISI,18.13,08/06/16,1:1,23.53,23.54,21.62,-,-,
ASXSSA,20.19,08/06/16,1:1,21.65,21.66,-,-,-,
ASXIYF,27.86,21/06/16,1:1,14.29,-,13.87,-,-,
ASXSOE,10.29,23/06/16,1:1,31.38,31.39,31.18,-,-,
ASXSSR,6.70,24/06/16,1:1,34.72,34.73,27.70,-,-,
ASXSSO,41.06,28/06/16,1:1,3.17,3.46,-,-,-,
ASXSWS,35.21,29/06/16,1:1,8.41,8.42,-,-,-,
ASXSWB,10.20,30/06/16,1:1,31.24,-,16.57,-,-,
ASXSWG,11.56,30/06/16,1:1,30.33,30.37,24.54,-,-,
ASXSZB,13.33,30/06/16,1:1,28.23,-,22.58,-,-,
ASXSWL,15.98,30/06/17,1:1,26.92,26.94,20.64,-,-,
ASXSMY,28.81,30/06/17,1:1,13.14,-,11.77,-,-,
ASXSMB,28.78,29/06/18,1:1,13.16,-,6.92,-,-,
ASXSZX,6.67,04/02/19,1:1,34.51,-,28.54,-,-,
ASXSZW,14.25,04/02/19,1:1,26.93,-,24.99,-,-,
ASXSO1,23.07,06/12/19,1:1,18.16,18.17,17.22,-,-,
ASXSOG,17.40,13/12/19,1:1,24.76,24.77,-,-,-,
ASXSWR,23.75,30/06/20,1:1,23.22,23.24,21.87,-,-,
ASXSRW,14.25,06/08/21,1:1,26.93,-,21.05,-,-,

Alumina Last Sale Price $1.09,
AWCIOV,0.60,15/12/15,1:1,.515,.525,1.16,-,-,
AWCIOZ,0.80,15/12/15,1:1,.32,.33,.985,-,-,
AWCSOE,1.05,23/06/16,1:1,.24,.245,.27,-12,200,

Aurizon Hldgs Last Sale Price $5.17,
AZJIYB,3.50,22/03/16,1:1,1.725,-,1.83,-,-,
AZJISI,2.31,08/06/16,1:1,2.91,2.92,-,-,-,
AZJSSA,2.52,08/06/16,1:1,2.72,2.73,-,-,-,
AZJSOE,1.69,23/06/16,1:1,3.56,3.57,3.12,-,-,
AZJSZX,1.29,04/02/19,1:1,3.87,-,1.53,-,-,
AZJSWR,2.69,30/06/20,1:1,3.21,3.23,-,-,-,

Billabong Int'l Last Sale Price $0.73,
BBGSWB,8.09,30/06/16,1:1,.01,-,.011,-,-,

Bendigo&Adelaide Bk Last Sale Price $10.70,
BENIOV,6.45,15/12/15,1:1,4.34,4.35,3.99,-,-,
BENIOZ,8.80,15/12/15,1:1,2.04,2.05,1.59,-,-,
BENIYE,7.17,21/06/16,1:1,3.78,-,6.12,-,-,
BENIYF,9.40,21/06/16,1:1,1.93,-,1.435,-,-,
BENSWS,10.85,29/06/16,1:1,1.19,1.21,1.15,-,-,
BENIOA,5.00,21/10/16,1:1,6.03,6.04,-,-,-,
BENJOP,6.87,30/05/19,1:1,3.83,3.84,3.82,-149,5,
BENJOT,5.06,14/04/20,1:1,5.64,5.65,5.62,+50,4,
BENJOF,7.78,14/04/20,1:1,2.92,2.93,3.08,+23,23,
BENJOE,8.42,14/04/20,1:1,2.28,2.29,2.30,-,-,
BENSWR,6.73,30/06/20,1:1,6.54,6.57,7.01,-,-,
BENSRX,4.16,06/08/21,1:1,6.50,-,6.09,-,-,

BHP Billiton Last Sale Price $23.02,
BHPIO2,14.35,06/11/15,1:1,8.96,8.97,-,-,-,
BHPIOV,20.85,15/12/15,1:1,2.83,2.84,4.31,-,-,
BHPIOZ,27.75,15/12/15,1:1,.305,.315,1.025,-,-,
BHPISA,27.75,31/03/16,1:1,1.40,1.41,1.67,-,-,
BHPIO1,13.33,06/05/16,1:1,11.27,11.28,10.99,-,-,
BHPIOM,19.50,20/05/16,1:1,5.65,5.66,6.26,-64,8,
BHPIOL,25.50,20/05/16,1:1,2.88,2.89,2.91,-47,40,
BHPSSL,15.10,08/06/16,1:1,8.67,8.68,-,-,-,
BHPISI,15.81,08/06/16,1:1,8.08,8.09,8.10,-64,50,
BHPSSA,18.13,08/06/16,1:1,6.17,6.18,6.84,-55,40,
BHPSSW,30.75,15/06/16,1:1,.805,1.05,1.31,-,-,
BHPIYE,14.77,21/06/16,1:1,8.92,-,10.06,-,-,
BHPIYH,18.30,21/06/16,1:1,5.93,-,-,-,-,
BHPIYF,20.63,21/06/16,1:1,4.26,-,7.06,-,-,
BHPIYG,24.87,21/06/16,1:1,2.25,-,5.12,-,-,
BHPSOE,17.98,23/06/16,1:1,6.56,6.57,12.10,-,-,
BHPSOF,24.72,23/06/16,1:1,2.78,2.79,4.05,-,-,
BHPSSR,14.17,24/06/16,1:1,9.55,9.56,10.59,-,-,
BHPSOB,26.97,24/06/16,1:1,1.99,2.00,2.03,-47,80,
BHPISN,31.79,24/06/16,1:1,1.715,1.975,-,-,-,
BHPISQ,38.01,24/06/16,1:1,2.95,3.28,-,-,-,
BHPSSO,29.21,28/06/16,1:1,.835,1.04,-,-,-,
BHPSWS,24.68,29/06/16,1:1,2.37,2.38,2.38,-,-,
BHPSWB,5.89,30/06/16,1:1,17.07,-,17.99,-,-,
BHPSWC,11.82,30/06/16,1:1,11.25,-,15.50,-,-,
BHPSWH,14.07,30/06/16,1:1,9.79,9.81,12.35,-,-,
BHPSMX,15.19,30/06/16,1:1,8.27,-,12.52,-,-,
BHPSWE,18.54,30/06/16,1:1,5.07,-,5.07,-,-,
BHPSZB,19.00,30/06/16,1:1,5.54,-,7.14,-,-,
BHPSWG,21.12,30/06/16,1:1,4.12,4.14,5.61,-,-,
BHPSWF,24.17,30/06/16,1:1,1.39,-,4.80,-,-,
BHPSSN,28.11,30/06/16,1:1,1.21,1.22,-,-,-,
BHPSSP,28.11,30/06/16,1:1,1.10,1.11,2.55,-,-,
BHPSSM,29.22,30/06/16,1:1,.965,.975,1.40,-,-,
BHPISB,23.70,22/09/16,1:1,3.78,3.79,-,-,-,
BHPIOA,15.00,21/10/16,1:1,9.73,9.74,-,-,-,
BHPJOC,18.23,22/06/17,1:1,4.80,4.81,4.76,-141,30,
BHPSWJ,12.25,30/06/17,1:1,12.16,12.18,13.83,-,-,
BHPSMY,18.45,30/06/17,1:1,5.59,-,5.07,-,-,
BHPSZC,31.90,30/06/17,1:1,1.73,-,6.00,-,-,
BHPJOJ,18.79,31/05/18,1:1,4.23,4.24,5.16,-65,382,
BHPSMB,25.68,29/06/18,1:1,2.10,-,3.21,-,-,
BHPSZX,11.25,04/02/19,1:1,11.72,-,12.35,-,-,
BHPSZW,16.69,04/02/19,1:1,6.29,-,10.64,-,-,
BHPSZU,18.61,04/02/19,1:1,4.37,-,6.04,-,-,
BHPJOP,15.35,30/05/19,1:1,7.67,7.68,8.80,-,-,
BHPJOQ,15.78,30/05/19,1:1,7.25,7.26,8.65,-,-,
BHPSO1,14.19,06/12/19,1:1,8.83,8.84,9.92,-,-,
BHPSOG,15.08,13/12/19,1:1,11.23,11.24,12.63,+49,10,
BHPJOT,13.16,14/04/20,1:1,9.86,9.87,10.90,-,-,
BHPJOA,17.16,14/04/20,1:1,5.86,5.87,7.10,-,-,
BHPSOH,15.01,23/06/20,1:1,11.80,11.81,-,-,-,
BHPSWR,15.03,30/06/20,1:1,12.14,12.16,13.55,-,-,
BHPSRT,11.25,06/08/21,1:1,11.72,-,11.53,-,-,
BHPSRX,15.26,06/08/21,1:1,7.71,-,10.33,-,-,
BHPSRW,16.69,06/08/21,1:1,6.29,-,7.93,-,-,
BHPSRU,18.61,06/08/21,1:1,4.37,-,9.29,-,-,

BKI Invest Last Sale Price $1.67,
BKIJOH,0.99,12/12/17,1:1,.67,.68,.60,-,-,

Boral Last Sale Price $5.39,
BLDIOV,3.40,15/12/15,1:1,2.04,2.05,2.08,+6,51,
BLDSWR,3.54,30/06/20,1:1,2.96,2.97,3.19,-,-,

Bank of Qld Last Sale Price $13.07,
BOQJOA,5.83,26/11/15,1:1,7.24,7.25,5.85,-,-,
BOQJOB,8.24,26/11/15,1:1,4.83,4.84,4.78,+25,75,
BOQIOV,7.01,15/12/15,1:1,6.15,6.16,6.23,-,-,
BOQIOZ,9.91,15/12/15,1:1,3.28,3.29,3.25,-57,40,
BOQJRA,7.84,16/12/15,1:1,5.21,-,6.70,-,-,
BOQIYE,6.58,21/06/16,1:1,6.68,-,6.95,-,-,
BOQIYF,9.08,21/06/16,1:1,4.32,-,4.92,-,-,
BOQSOE,6.15,23/06/16,1:1,7.18,7.19,6.29,-,-,
BOQSWS,11.26,29/06/16,1:1,2.81,2.82,2.96,+10,20,
BOQSZB,9.92,30/06/16,1:1,3.52,-,5.63,-,-,
BOQIOA,6.00,21/10/16,1:1,7.36,7.37,7.88,-,10,
BOQSMY,9.20,30/06/17,1:1,4.19,-,3.12,-,-,
BOQJOP,6.92,30/05/19,1:1,6.14,6.15,6.86,+80,5,
BOQJOQ,9.74,30/05/19,1:1,3.33,3.34,3.86,+30,82,
BOQSO1,6.42,06/12/19,1:1,6.64,6.65,5.96,-,-,
BOQSWR,7.36,30/06/20,1:1,8.41,8.44,-,-,-,
BOQSRU,3.05,06/08/21,1:1,10.00,-,8.93,-,-,

BlueScope Steel Last Sale Price $4.46,
BSLIOV,2.75,15/12/15,1:1,1.76,1.77,-,-,-,
BSLIOZ,4.15,15/12/15,1:1,.56,.57,.505,-15.5,70,
BSLIOL,2.22,20/05/16,1:1,2.39,2.40,-,-,-,
BSLSWH,2.51,30/06/16,1:1,2.22,2.24,.24,-,-,
BSLSWI,3.13,30/06/16,1:1,1.57,1.58,.87,-,-,
BSLSWG,8.47,30/06/16,1:1,.20,.21,.20,-,-,
BSLSWB,17.27,30/06/16,1:1,.01,-,.01,-,-,
BSLSMX,27.39,30/06/16,1:1,.001,-,.37,-,-,
BSLSZB,38.97,30/06/16,1:1,.61,-,.24,-,-,
BSLSMY,46.21,30/06/17,1:1,.013,-,.435,-,-,
BSLSMB,48.43,29/06/18,1:1,.038,-,4.80,-,-,
BSLSWR,2.22,30/06/20,1:1,3.33,3.35,-,-,-,

Brambles Last Sale Price $10.38,
BXBIOV,5.50,15/12/15,1:1,4.96,4.97,-,-,-,
BXBIOZ,7.65,15/12/15,1:1,2.84,2.85,4.50,-,-,
BXBIOL,7.00,20/05/16,1:1,3.75,3.76,-,-,-,
BXBISI,4.88,08/06/16,1:1,5.65,5.66,-,-,-,
BXBSSA,5.61,08/06/16,1:1,4.99,5.00,4.80,-,-,
BXBSSL,6.10,08/06/16,1:1,4.52,4.53,-,-,-,
BXBIYE,5.54,21/06/16,1:1,5.00,-,6.15,-,-,
BXBSOF,2.93,23/06/16,1:1,7.57,7.58,6.94,-,-,
