Warrant Market - Weekly
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
AGLSSM,16.89,30/06/16,1:1,1.385,1.395,1.165,-,-,
AGLJOC,8.85,22/06/17,1:1,7.51,7.52,6.89,-,-,
AGLSZC,5.93,30/06/17,1:1,10.67,-,8.05,-,-,
AGLSMY,9.87,30/06/17,1:1,6.83,-,6.86,-,-,
AGLSZX,7.12,04/02/19,1:1,9.28,-,9.12,-,-,
AGLJOP,10.05,30/05/19,1:1,6.31,6.32,6.75,-,-,
AGLJOQ,12.60,30/05/19,1:1,3.76,3.77,-,-,-,
AGLSO1,7.26,06/12/19,1:1,9.10,9.11,9.48,-,-,
AGLSWR,8.19,30/06/20,1:1,9.75,9.77,8.80,-,-,
AGLSRU,5.55,06/08/21,1:1,10.84,-,9.56,-,-,
AGLSRT,7.12,06/08/21,1:1,9.28,-,7.64,-,-,

Atlas Iron Last Sale Price $0.03,
AGOSWG,1.74,30/06/16,1:1,.02,-,.05,-,-,

Asciano Last Sale Price $8.45,
AIOIOV,3.85,15/12/15,1:1,4.69,4.70,-,-,-,
AIOISI,3.05,08/06/16,1:1,5.53,5.54,5.20,-,-,
AIOSSA,3.64,08/06/16,1:1,4.98,4.99,-,-,-,
AIOSZC,36.32,30/06/17,1:1,1.53,-,3.68,-,-,
AIOSZW,2.02,04/02/19,1:1,6.46,-,1.07,-,-,
AIOSZX,2.93,04/02/19,1:1,5.55,-,1.97,-,-,
AIOSWR,3.79,30/06/20,1:1,6.45,-,-,-,-,
AIOSRX,2.44,06/08/21,1:1,6.04,-,4.10,-,-,

Aristocrat Leisure Last Sale Price $8.43,
ALLIOV,3.10,15/12/15,1:1,5.41,5.42,2.91,-,-,
ALLSMY,17.10,30/06/17,1:1,.13,-,.93,-,-,

Amcor Last Sale Price $13.06,
AMCIOV,5.48,15/12/15,1:1,7.71,7.72,7.88,-,-,
AMCISI,5.83,08/06/16,1:1,7.45,7.46,7.71,-,-,
AMCSSA,6.57,08/06/16,1:1,6.78,6.79,6.56,-,-,
AMCIYE,6.59,21/06/16,1:1,6.73,-,-,-,-,
AMCSOE,1.08,23/06/16,1:1,12.03,12.04,7.69,-,-,
AMCISQ,11.45,24/06/16,1:1,3.26,3.39,-,-,-,
AMCSSO,14.83,28/06/16,1:1,.715,.845,-,-,-,
AMCSWG,4.72,30/06/16,1:1,8.67,8.70,9.80,-,-,
AMCSSN,13.99,30/06/16,1:1,1.01,1.02,-,-,-,
AMCSSP,13.99,30/06/16,1:1,.96,.97,-,-,-,
AMCSSM,14.61,30/06/16,1:1,.825,.835,-,-,-,
AMCSZX,1.14,04/02/19,1:1,11.95,-,11.98,+434,150,
AMCSWR,8.05,30/06/20,1:1,7.16,7.18,6.90,-,-,

AMP Last Sale Price $5.79,
AMPIOV,2.75,15/12/15,1:1,3.11,3.12,2.92,-,-,
AMPIOZ,3.80,15/12/15,1:1,2.08,2.09,2.52,-,-,
AMPJRB,3.94,16/12/15,1:1,1.85,-,.95,-,-,
AMPISA,6.05,31/03/16,1:1,.52,.53,.525,-,-,
AMPIOL,5.75,20/05/16,1:1,.925,.935,1.32,-,-,
AMPISI,2.74,08/06/16,1:1,3.15,3.17,3.01,-,-,
AMPSSA,3.03,08/06/16,1:1,2.90,2.92,2.75,-,-,
AMPIYE,3.18,21/06/16,1:1,2.74,-,3.15,-,-,
AMPIYF,4.33,21/06/16,1:1,1.73,-,2.58,-,-,
AMPSOF,1.98,23/06/16,1:1,3.90,3.91,2.83,-,-,
AMPSOE,2.96,23/06/16,1:1,2.99,3.00,3.75,-,-,
AMPSSR,1.96,24/06/16,1:1,3.92,3.94,1.575,-,-,
AMPISN,4.74,24/06/16,1:1,1.44,1.50,-,-,-,
AMPISQ,5.85,24/06/16,1:1,1.215,1.285,-,-,-,
AMPSWB,1.09,30/06/16,1:1,3.80,-,5.46,-,-,
AMPSWH,1.32,30/06/16,1:1,4.59,4.62,2.98,-,-,
AMPSWG,2.05,30/06/16,1:1,3.87,3.90,3.81,-,-,
AMPSMX,3.80,30/06/16,1:1,2.11,-,2.81,-,-,
AMPSWC,4.19,30/06/16,1:1,.71,-,1.97,-,-,
AMPSZB,4.19,30/06/16,1:1,1.815,-,2.30,-,-,
AMPSSN,6.26,30/06/16,1:1,.505,.515,-,-,-,
AMPSSP,6.26,30/06/16,1:1,.48,.49,.58,-,-,
AMPSSM,6.42,30/06/16,1:1,.44,.45,.615,-,-,
AMPSWD,8.86,30/06/16,1:1,.02,-,.021,-,-,
AMPSMY,7.38,30/06/17,1:1,.25,-,.365,-,-,
AMPJOJ,3.10,31/05/18,1:1,2.69,2.70,2.51,-,-,
AMPJOK,4.05,31/05/18,1:1,1.735,1.745,1.665,-4.5,300,
AMPSZD,3.65,28/06/18,1:1,2.42,-,3.18,-,-,
AMPSMB,5.30,29/06/18,1:1,1.055,-,1.19,-,-,
AMPSZX,1.90,04/02/19,1:1,3.88,-,4.38,-,-,
AMPSZW,3.12,04/02/19,1:1,2.67,-,2.02,-,-,
AMPSOG,2.73,13/12/19,1:1,3.35,3.36,3.32,-,-,
AMPJOE,3.60,14/04/20,1:1,2.18,2.19,-,-,-,
AMPJOF,4.53,14/04/20,1:1,1.255,1.265,1.30,-,-,
AMPSWR,3.71,30/06/20,1:1,3.02,3.04,3.63,-,-,
AMPSRT,1.90,06/08/21,1:1,3.88,-,4.19,-,-,

Ansell Last Sale Price $19.84,
