S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:13 Friday 18/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
5.57,3.25,4.39,4.26,FMG,Fortescue Metals Grp,4.37,6,"55,392",4.36,4.38,-,,-,-,-,-16.13,-
6.01,4.93,5.87,5.77,FGL,Foster's Grp,5.81,2,"130,796",5.79,5.83,27.25,f,0.73,0.52,4.69,19.8,29.3
1.45,0.695,1.165,1.14,GBG,Gindalbie Metals,1.16,2.5,"15,137",1.15,1.16,-,,-,-,-,-0.95,-
1.78,1.205,1.40,1.36,GFF,Goodman Fielder,1.37,-3.5,"47,666",1.365,1.375,11.25,,1.28,-0.16,8.21,14.4,9.5
0.75,0.322,0.685,0.67,GMG,Goodman Grp forus,0.685,0.5,"383,710",0.68,0.685,1.5,,-,0.50,2.19,-31.3,-
2.99,0.45,2.97,2.89,GPT,GPT Grp stp,2.89,-5,"154,123",2.88,2.90,3.6,,-,0.69,1.25,-14.5,-
8.85,5.10,5.53,5.42,GNC,Graincorp Ltd,5.51,-1,"8,276",5.46,5.52,22.27,f,2.86,4.78,4.04,63.62,8.7
10.62,6.12,8.83,8.60,GUD,GUD Hldgs,8.65,-20,"3,003",8.65,8.80,61,f,1.18,1.09,7.05,71.73,12.1
1.325,0.26,0.72,0.66,GNS,Gunns Ltd,0.685,4,"257,553",0.68,0.69,2,,0.75,1.59,2.92,1.5,45.7
3.50,2.21,3.25,3.18,GWT,GWA Intl,3.25,5,"5,604",3.18,3.25,18,f,0.89,0.28,5.54,15.94,20.4
4.85,2.81,3.54,3.45,HVN,Harvey Norman,3.48,1,"29,741",3.46,3.48,13,f,1.98,2.10,3.74,25.78,13.5
2.30,1.08,1.52,1.47,HST,Hastie Grp Ltd,1.47,-2,"24,449",1.47,1.50,10,f,2.22,-0.26,6.80,22.2,6.6
1.38,0.80,1.335,1.31,HDF,Hastings Divers stp,1.32,,"24,282",1.315,1.32,12,,-,1.23,9.09,-12.55,-
5.62,4.07,5.43,5.35,HSP,Healthscope Ltd,5.39,,"4,493",5.34,5.40,22.5,f,1.32,0.66,4.17,29.78,18.1
2.67,1.705,2.29,2.21,HGG,Henderson Grp cdi,2.26,1,"13,325",2.24,2.26,10.69,,0.30,-0.18,4.73,3.23,70.0
2.93,1.45,2.39,2.31,HIL,Hills Ind Ltd,2.31,-8,"7,968",2.31,2.33,9,f,0.66,1.39,3.90,5.9,39.2
5.10,2.70,5.06,4.99,ILU,Iluka Res,5.05,4,"24,871",5.00,5.05,-,,-,2.58,-,-26.8,-
3.83,2.14,3.09,3.06,IPL,Incitec Pivot,3.06,,"46,821",3.06,3.07,4.1,,-,0.27,1.34,-10.2,-
5.52,3.65,4.87,4.74,IGO,Independence Grp,4.85,12,"2,367",4.69,4.86,5,f,5.04,1.30,1.03,25.18,19.3
1.55,0.775,0.86,0.825,IFN,Infigen Energy stp,0.86,-1,"51,087",0.85,0.865,4.5,,6.88,0.55,5.23,30.95,2.8
