S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:18 Wednesday 27/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.712,0.191,0.575,0.55,GPT,GPT Grp stpld,0.57,2,"471,481",0.57,0.575,5.6,,-,0.71,9.82,-107.6,-
8.85,3.863,5.77,5.62,GNC,Graincorp Ltd,5.70,-7,"10,841",5.70,5.72,7.27,f,11.96,6.79,1.28,86.92,6.6
9.67,4.87,9.42,8.94,GUD,GUD Hldgs,9.30,19,"2,016",9.06,9.40,60,f,1.00,0.66,6.45,60,15.5
1.325,0.605,0.89,0.87,GNS,Gunns Ltd,0.87,-1.5,"19,449",0.87,0.88,4,f,2.02,1.80,4.60,8.1,10.7
3.30,1.67,3.05,2.93,GWT,GWA Intl,3.02,,"7,898",2.99,3.10,18,f,0.94,0.27,5.96,16.9,17.9
4.85,1.805,3.74,3.64,HVN,Harvey Norman,3.70,-4,"47,400",3.69,3.71,11,f,1.83,2.01,2.97,20.18,18.3
2.30,0.993,1.845,1.775,HST,Hastie Grp Ltd,1.79,-5,"19,840",1.785,1.80,12,f,2.70,-0.26,6.70,32.4,5.5
1.786,0.255,1.13,1.10,HDF,Hastings Divers stpld,1.115,-2.5,"19,045",1.11,1.12,12,,0.15,2.06,10.76,1.8,61.9
5.18,3.61,4.74,4.66,HSP,Healthscope Ltd,4.66,-10,"9,518",4.65,4.69,21.5,f,1.34,0.06,4.61,28.88,16.1
2.67,1.34,2.24,2.21,HGG,Henderson Grp cdi 1:1,2.22,-6,"18,337",2.21,2.35,12.15,,-,-0.22,5.47,-0.17,-
2.40,1.145,2.01,1.955,HIL,Hills Ind Ltd,1.975,-1.5,"4,510",1.96,2.00,10,f,0.49,1.40,5.06,4.9,40.3
4.66,2.70,3.37,3.28,ILU,Iluka Res,3.31,-7,"17,962",3.27,3.36,-,,-,2.70,-,3.7,89.5
3.83,1.63,3.38,3.27,IPL,Incitec Pivot,3.36,2,"200,847",3.34,3.36,4.4,,-,0.14,1.31,-11.7,-
5.52,2.06,4.38,4.11,IGO,Independence Grp,4.22,-20,"4,638",4.21,4.35,5,f,2.83,1.34,1.18,14.14,29.8
1.55,0.79,1.35,1.33,IFN,Infigen Energy stpld,1.335,-1.5,"27,613",1.33,1.35,4.5,,5.02,0.58,3.37,22.6,5.9
0.603,0.057,0.45,0.435,IIF,ING Industrial Fd unt,0.445,0.5,"70,486",0.44,0.445,5.3,,-,0.96,11.91,-103.8,-
0.67,0.184,0.59,0.58,IOF,ING Office Fd stpld,0.59,,"71,248",0.585,0.59,6.2,,-,0.99,10.51,-49.8,-
4.21,2.94,3.86,3.78,IAG,Insurance Aust Grp,3.85,-2,"123,477",3.84,3.86,10,f,0.93,1.16,2.60,9.32,41.3
6.48,4.48,5.80,5.62,IVC,Invocare Ltd,5.66,-19,"3,330",5.65,5.66,24.5,f,1.22,0.35,4.33,29.9,18.9
6.68,2.112,6.19,5.90,IFL,IOOF Hldgs Ltd,5.91,-26,"8,540",5.88,5.94,4,f,4.17,0.55,0.68,16.7,35.4
8.95,4.58,8.03,7.77,IRE,IRESS Market Tech,7.79,-25,"2,854",7.78,7.89,32,f,0.98,0.67,4.11,31.29,24.9
0.93,0.561,0.70,0.685,ISF,iSOFT Group Ltd,0.685,-1,"11,954",0.685,0.695,1,,4.30,-0.27,1.46,4.3,15.9
8.86,2.89,7.90,7.72,JHX,James Hardie Ind cdi,7.86,-16,"16,090",7.85,7.90,-,,-,-0.40,-,18.89,41.6
23.71,8.48,21.60,20.66,JBH,JB Hi-Fi Ltd,20.69,-95,"17,285",20.67,20.87,44,f,2.01,1.21,2.13,88.26,23.4
1.32,0.23,1.035,0.96,KZL,Kagara Ltd,0.96,-8.5,"79,536",0.96,0.975,-,,-,0.74,-,-34.98,-
12.10,2.48,7.62,7.18,KAR,Karoon Gas Aust,7.19,-38,"12,977",7.19,7.28,-,,-,-,-,3.02,238.1
10.30,3.42,9.48,9.24,KCN,Kingsgate Cons,9.31,-18,"6,047",9.22,9.40,15,f,2.33,2.55,1.61,34.9,26.7
41.70,16.40,38.46,38.01,LEI,Leighton Hldgs,38.40,-5,"7,162",38.25,38.45,115,f,1.30,7.43,2.99,149.5,25.7
11.29,4.85,9.59,9.43,LLC,Lend Lease Grp stpld,9.49,-20,"13,803",9.48,9.55,41,f,-,4.20,4.32,-164.7,-
3.77,2.41,3.04,2.91,LGL,Lihir Gold Ltd,2.92,-13,"372,814",2.91,2.92,1.45,,-,1.29,0.50,-9.97,-
2.68,0.975,1.58,1.52,LNC,Linc Energy Ltd,1.52,-4,"13,727",1.52,1.55,-,,-,-,-,-10.36,-
0.72,0.075,0.595,0.565,LYC,Lynas Corp,0.575,-2,"144,699",0.57,0.575,-,,-,-,-,-4.5,-
12.41,2.32,10.45,10.04,MCC,Macarthur Coal,10.18,-22,"19,505",10.15,10.23,13,f,6.10,4.03,1.28,79.3,12.8
0.755,0.276,0.60,0.585,MAH,Macmahon Hldgs,0.59,-1.5,"37,618",0.59,0.595,1.5,,2.05,0.37,2.54,3.07,19.2
0.735,0.10,0.575,0.55,MCW,Macq Country unt,0.55,-1,"40,367",0.55,0.555,7,,-,0.77,12.73,-101.81,-
58.80,15.00,51.71,50.51,MQG,Macq Grp Ltd,51.34,4,"30,306",51.30,51.44,126,,1.93,23.72,2.45,243.2,21.1
1.71,0.95,1.28,1.24,MIG,Macq Infra stpld,1.245,-0.5,"173,412",1.24,1.25,12,,-,1.73,9.64,-73.72,-
0.355,0.071,0.305,0.29,MOF,Macq Office unt,0.295,-0.5,"141,464",0.29,0.295,3.75,,-,0.49,12.71,-42,-
3.19,1.291,2.94,2.88,MAP,MAP Grp forus,2.89,-5,"71,544",2.88,2.92,21,,5.66,-,7.27,118.92,2.4
4.40,1.05,3.30,3.20,MML,Medusa Min Ltd,3.23,-17,"4,786",3.22,3.25,-,,-,-,-,25,12.9
3.25,0.95,2.78,2.66,MRM,Mermaid Marine,2.73,-5,"6,897",2.68,2.77,6,f,2.42,0.92,2.20,14.5,18.8
4.74,3.80,4.44,4.36,MTS,Metcash Ltd,4.40,-5,"32,498",4.38,4.41,25,f,1.21,0.11,5.68,30.28,14.5
1.39,0.255,0.725,0.68,MRE,Minara Res,0.68,-5.5,"50,739",0.68,0.695,-,,-,0.70,-,-14.52,-
2.92,0.59,1.66,1.56,MCR,Mincor Res NL,1.56,-11,"15,266",1.56,1.565,6,f,-,1.00,3.85,-8.4,-
3.43,1.03,2.25,2.13,MBN,Mirabela Nickel,2.16,-14,"19,109",2.15,2.18,-,,-,-,-,-22.86,-
1.745,0.542,1.455,1.405,MGR,Mirvac Grp stpld,1.445,-1.5,"324,638",1.42,1.445,4.2,,-,1.73,2.91,-65.21,-
15.20,5.93,13.20,12.88,MND,Monadelphous Grp,12.88,-32,"3,010",12.85,13.00,74,f,1.18,1.40,5.75,87.48,14.7
1.87,0.375,1.56,1.49,MGX,Mount Gibson Iron,1.515,-4,"54,419",1.51,1.515,-,,-,0.73,-,4.56,33.2
2.94,0.495,2.36,2.22,MMX,Murchison Metals,2.28,-13,"23,373",2.26,2.29,-,,-,-,-,0.18,1266.7
32.37,15.85,26.45,26.24,NAB,National Aust Bank,26.30,-24,"59,705",26.29,26.32,146,f,1.80,12.66,5.55,262.7,10.0
39.75,27.64,32.92,32.14,NCM,Newcrest Min,32.30,-101,"27,568",32.29,32.36,15,,3.53,8.95,0.46,53,60.9
18.41,8.93,16.88,16.58,NWS,News Corp b voting,16.70,18,"30,555",16.65,16.70,5.14,,14.51,-0.04,0.31,74.58,22.4
14.46,8.71,10.35,10.12,NUF,Nufarm Ltd,10.19,-9,"15,933",10.17,10.19,27,,1.24,3.59,2.65,33.5,30.4
6.93,4.23,5.53,5.40,OSH,Oil Search Ltd,5.42,-14,"50,636",5.42,5.47,7.85,,2.52,-,1.45,19.77,27.4
2.05,0.965,1.885,1.79,OMH,OM Hldgs Ltd,1.81,-9,"11,528",1.81,1.85,3,,2.03,0.51,1.66,6.08,29.8
3.65,1.40,3.16,3.10,OST,OneSteel Ltd,3.14,-4,"57,181",3.11,3.15,10,,2.26,1.66,3.18,22.59,13.9
26.77,10.75,24.67,24.25,ORI,Orica Ltd,24.32,-63,"19,079",24.25,24.49,97,p,1.50,1.71,3.99,145.2,16.7
17.94,12.34,16.34,16.07,ORG,Origin Energy,16.26,-12,"30,317",16.25,16.31,50,f,15.82,8.31,3.08,791,2.1
1.325,0.40,1.165,1.13,OZL,OZ Minerals,1.13,-5,"194,310",1.13,1.135,-,,-,0.80,-,-123.36,-
1.52,0.127,1.13,1.11,PBG,Pac Brands,1.12,-0.5,"94,580",1.115,1.135,-,,-,-0.06,-,-39.9,-
5.52,2.68,3.81,3.46,PDN,Paladin Energy,3.71,-17,"115,078",3.70,3.72,-,,-,1.20,-,-96.13,-
0.65,0.118,0.545,0.51,PNA,PanAust Ltd,0.515,-3.5,"333,253",0.51,0.515,-,,-,0.16,-,-4.95,-
