S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
Trading data for Monday, March 21,2011,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
3.33,2.25,3.3,3.23,CQO,Charter Hall Off REIT unt,3.3,-,14580,3.18,3.31,17.75,,0.04,3.96,5.38,0.78,423.1
3.33,2.35,3.16,3.05,CQR,Charter Hall Ret REIT unt,3.12,-4,7090,3.07,3.16,23.5,,0.58,3.51,7.53,13.7,22.8
12.74,10.67,11.49,11.31,CCL,Coca-Cola Amatil,11.45,5,14368,11.43,11.51,48.5,f,1.36,1.64,4.24,66,17.3
83.2,66.49,78.26,76.7,COH,Cochlear,77.87,-62,1350,77.1,77.88,210,p,1.41,4.98,2.7,296,26.3
60,47.05,50.72,50.01,CBA,C'wlth Bank  of Aust,50.65,33,37027,50.6,50.7,302,f,1.16,-,5.96,350.7,14.4
1.002,0.81,0.845,0.82,CPA,C'wlth Prop Office ord unt,0.845,1,158159,0.84,0.845,5.65,,1.76,1.1,6.69,9.97,8.5
12.9,8.7,9.26,9.16,CPU,Computershare,9.2,7,12020,9.18,9.24,28,p,1.74,-1.27,3.04,48.85,18.8
0.48,0.355,0.44,0.43,CEU,ConnectEast stp,0.435,-0.5,74800,0.435,0.44,2,,-,-,4.6,-0.25,-
9.95,6.761,9.89,9.78,CRG,Crane Grp,9.88,4,9837,9.88,9.89,44,f,1.01,4.36,4.45,44.4,22.3
8.94,7.41,8.12,7.99,CWN,Crown,8.03,-2,24048,8.01,8.13,37,p,1.18,3.18,4.61,43.53,18.4
38.07,30.45,34.08,33.77,CSL,CSL,33.92,7,13623,33.86,33.97,80,,2.14,5.54,2.36,170.88,19.9
3.895,3.12,3.31,3.23,CSR,CSR,3.26,-4,21711,3.25,3.28,9,f,0.9,1,2.76,8.1,40.2
5.42,1.63,-,-,CDU,CuDECO,3.09,-,-,-,-,-,,-,-,-,-5.07,-
1.395,0.745,0.84,0.81,DTE,Dart Energy,0.84,1,47536,0.83,0.84,-,,-,-,-,9,9.3
5.29,4.1,4.59,4.5,DJS,David Jones,4.51,-4,13879,4.5,4.52,30,f,1.13,1.27,6.65,34,13.3
0.905,0.715,0.835,0.815,DXS,DEXUS Prop Grp stp,0.835,0.5,133318,0.83,0.835,5.04,,1.79,0.98,6.04,9.01,9.3
7.388,3.216,3.64,3.58,DOW,Downer EDI,3.62,4,25743,3.6,3.64,16,,-,1.5,4.42,-55.6,-
1.845,1.455,1.585,1.525,DUE,DUET Grp forus,1.565,4.5,45022,1.555,1.58,20,p,0.56,-,12.78,11.3,13.8
2.84,2.41,2.66,2.6,DLX,DuluxGroup,2.65,-,12309,2.65,2.66,-,f,-,-,-,-,-
1.045,0.615,0.715,0.69,ESG,Eastern Star Gas,0.705,1,118908,0.705,0.715,-,,-,-,-,-0.62,-
22.3,12.86,16.08,15.93,EAU,Eldorado Gold cdi,15.99,17,374,15,16.08,4.25,,8.8,-,0.27,37.39,42.8
1.22,0.431,1.175,1.105,EHL,Emeco Hldgs,1.12,-3.5,34832,1.11,1.125,4,f,-,0.71,3.57,-3.76,-
20.1,6.76,8.49,8.02,ERA,Energy Res,8.12,12,12089,8.11,8.12,8,,3.07,5,0.99,24.6,33
0.6,0.34,0.455,0.425,EWC,Energy World Corp,0.425,-0.5,28235,0.425,0.43,-,,-,-,-,1.8,23.6
0.64,0.48,0.58,0.565,ENV,Envestra,0.58,1,14247,0.575,0.58,5.5,,0.53,-0.05,9.48,2.9,20
6.83,3.4,5.42,5.23,EQN,Equinox Minerals cdi,5.34,3,39765,5.33,5.35,-,,-,-,-,37.39,14.3
10.8,5.96,8.01,7.46,EXT,Extract Res,8.01,101,24124,8,8.02,-,,-,-,-,-22.97,-
1.855,1.17,1.265,1.23,FXJ,Fairfax Media,1.25,0.5,79928,1.24,1.265,2.9,f,4.29,-0.22,2.32,12.43,10.1
0.995,0.66,0.83,0.8,FKP,FKP Prop Grp stp,0.83,1,14054,0.815,0.83,2.4,p,1.97,1.24,2.89,4.73,17.5
14.25,8,11.81,11.42,FWD,Fleetwood Corp,11.56,-16,2346,11.42,11.68,70,f,1.2,2.1,6.06,84.1,13.7
6.8,5.61,6.42,6.31,FBU,Fletcher Bldg,6.4,2,32473,6.4,6.41,20.86,f,1.75,2.35,3.26,36.57,17.5
