S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4465.4 at 16:35 16/8/2010  Report at 19:05 Monday 16/8/2010. Processed 19:19 Monday 16/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
10.90,6.32,9.98,9.71,KCN,Kingsgate Cons,9.87,7,"4,758",9.82,9.89,30,,2.73,2.69,3.04,82,12.0
41.70,27.61,30.98,29.50,LEI,Leighton Hldgs,30.60,170,"15,054",30.55,30.75,120,f,1.73,7.52,3.92,208.2,14.7
10.907,6.97,7.19,7.02,LLC,Lend Lease Grp stp,7.12,3,"14,099",7.11,7.13,36,f,1.20,3.99,5.06,43.1,16.5
4.48,2.41,4.39,4.31,LGL,Lihir Gold Ltd,4.36,5,"119,938",4.36,4.37,2.96,,-,1.22,0.68,-10.93,-
2.04,0.95,1.755,1.725,LNC,Linc Energy Ltd,1.725,-1.5,"19,948",1.71,1.735,-,,-,-,-,-16.12,-
0.95,0.367,0.92,0.885,LYC,Lynas Corp,0.91,1.5,"198,964",0.91,0.915,-,,-,-,-,-7.07,-
17.17,7.84,12.66,12.36,MCC,Macarthur Coal,12.55,-14,"6,815",12.53,12.66,21,f,2.16,4.15,1.67,45.3,27.7
0.885,0.45,0.60,0.58,MAH,Macmahon Hldgs,0.59,0.5,"35,254",0.585,0.595,1.5,,2.27,0.39,2.54,3.4,17.4
1.335,0.51,1.26,1.20,MQA,Macq Atlas Roads stp,1.25,1.5,"10,256",1.245,1.275,-,,-,-,-,-,-
58.80,35.01,38.16,37.65,MQG,Macq Grp Ltd,37.94,-51,"12,369",37.94,37.95,186,,1.72,25.82,4.90,320.2,11.8
3.38,2.265,3.01,2.97,MAP,MAP Grp forus,2.97,-5,"33,236",2.97,3.00,19,,-,-0.30,6.40,-33.11,-
4.89,2.227,3.92,3.80,MML,Medusa Min Ltd,3.90,12,"12,526",3.87,3.92,-,,-,0.91,-,35.43,11.0
3.25,1.935,2.66,2.62,MRM,Mermaid Marine,2.63,-3,"2,349",2.62,2.65,7,f,2.66,0.95,2.66,18.59,14.1
4.74,3.84,4.40,4.34,MTS,Metcash Ltd,4.37,-2,"24,061",4.35,4.38,26,f,1.14,0.12,5.95,29.74,14.7
2.72,1.30,1.86,1.815,MCR,Mincor Res NL,1.835,-4,"9,221",1.835,1.875,7,f,1.45,0.98,3.81,10.12,18.1
8.92,4.62,8.69,8.36,MIN,Mineral Res,8.58,8,"1,793",8.58,8.73,18.75,f,2.04,2.39,2.19,38.3,22.4
3.43,1.82,1.85,1.82,MBN,Mirabela Nickel,1.84,-8.5,"19,977",1.83,1.845,-,,-,1.59,-,9.15,20.1
1.745,1.19,1.315,1.30,MGR,Mirvac Grp stp,1.31,-1,"114,283",1.305,1.315,8,,-,-,6.11,-11.58,-
15.98,11.45,14.26,14.07,MND,Monadelphous Grp,14.20,-6,"3,731",14.18,14.26,79,f,1.15,1.52,5.56,91.08,15.6
2.09,0.955,1.73,1.655,MGX,Mount Gibson Iron,1.705,-1,"34,756",1.705,1.71,-,,-,0.86,-,12.3,13.9
3.12,1.33,1.66,1.625,MMX,Murchison Metals,1.64,-3.5,"16,946",1.64,1.65,-,,-,-,-,-8.73,-
3.98,2.86,3.71,3.65,MYR,Myer Hldgs Ltd,3.70,-1,"45,090",3.69,3.70,-,f,-,-0.21,-,-,-
32.37,22.23,23.72,23.36,NAB,National Aust Bank,23.65,-22,"62,654",23.63,23.70,147,f,1.36,12.41,6.22,199.3,11.9
39.75,28.47,35.40,34.85,NCM,Newcrest Min,35.20,50,"38,475",35.17,35.21,20,,2.77,9.20,0.57,55.4,63.5
20.18,14.66,16.39,16.21,NWS,News Corp b voting,16.34,-24,"17,452",16.30,16.46,5.14,,14.51,1.56,0.31,74.58,21.9
11.819,3.20,4.18,3.98,NUF,Nufarm Ltd,4.15,12,"20,704",4.13,4.19,15,,-,3.07,3.61,-17.4,-
6.93,4.97,5.89,5.78,OSH,Oil Search Ltd,5.88,4,"41,274",5.79,5.89,4.47,,2.88,-,0.76,12.86,45.7
2.13,1.335,1.43,1.365,OMH,OM Hldgs Ltd,1.41,0.5,"7,703",1.365,1.425,2,,2.79,0.54,1.42,5.59,25.2
4.15,2.76,3.20,3.11,OST,OneSteel Ltd,3.18,7,"61,427",3.17,3.19,9,,0.61,1.72,2.83,5.45,58.3
