ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4546.3 at 16:47 2/11/2009  Report at 19:05 Monday 2/11/2009. Processed 19:21 Monday 2/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.13,0.025,0.13,0.11,AGY,Argosy Min cdi,0.115,1.5,1510,0.11,0.12,-,,-,-,-,-1.41,-
4.73,1.845,4.06,3.96,AOE,Arrow Energy,4.01,-10,27993,4.01,4.03,-,,-,0.82,-,52,7.7
0.199,0.026,0.056,0.053,ARV,Artemis Res,0.055,-0.2,14686,0.054,0.055,-,,-,-,-,-8.47,-
0.027,0.027,-,-,ARVOB,  opt jun11,0.027,,-,0.012,-,-,,-,-,-,-,-
0.099,0.004,0.034,0.03,ATN,Ashburton Min,0.033,-0.2,63617,0.031,0.033,-,,-,-,-,-0.78,-
0.07,0.001,0.019,0.018,ATNO,  opt dec09,0.018,-0.1,3440,0.018,0.033,-,,-,-,-,-,-
0.025,0.001,0.006,0.003,ATNOA,  opt feb10,0.003,-0.3,19835,0.002,0.004,-,,-,-,-,-,-
0.015,0.002,0.01,0.009,ARO,Astro Res NL,0.01,,9350,0.01,0.011,-,,-,-,-,-0.24,-
0.005,0.005,-,-,AROOA,  opt dec09,0.005,,-,-,0.05,-,,-,-,-,-,-
0.004,0.001,-,-,AROOB,  opt nov12,0.003,,-,0.002,0.003,-,,-,-,-,-,-
0.056,0.017,-,-,AHN,Athena Res,0.04,,-,0.04,0.053,-,,-,-,-,-4.08,-
0.02,0.001,-,-,AHNO,  opt nov09,0.002,,-,-,0.001,-,,-,-,-,-,-
0.11,0.04,0.06,0.058,ATV,Atlantic Gold NL,0.058,0.1,4101,0.057,0.058,-,,-,-,-,-0.74,-
0.07,0.011,-,-,ATVCD,  ctg,0.011,,-,0.023,-,-,,-,-,-,-,-
0.045,0.016,-,-,ATVOA,  opt jan11,0.025,,-,0.02,0.025,-,,-,-,-,-,-
2.10,0.405,1.75,1.685,AGO,Atlas Iron Ltd,1.72,-8.5,12197,1.715,1.735,-,,-,-,-,-21.3,-
0.125,0.017,0.105,0.096,AXY,Atom Energy Ltd,0.105,-0.5,2645,0.096,0.105,-,,-,-,-,-3.02,-
0.009,0.001,-,-,AXYO,  opt oct10,0.008,,-,0.005,0.008,-,,-,-,-,-,-
0.17,0.066,0.12,0.105,ATQ,Atomic Res,0.11,-0.5,4534,0.11,0.12,-,,-,-,-,-4.7,-
