ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
7.66,3.89,5.67,5.54,AQP,Aquarius Platinum,5.6,-,11603,5.54,5.78,8.27,,3.18,-,1.48,26.29,21.3
10.31,6.26,8.04,7.65,AQA,Aquila Res,7.77,-2,4577,7.68,7.9,-,,-,-,-,-10.5,-
1.79,0.38,1.175,1.115,ARU,Arafura Resources,1.175,5,30932,1.155,1.175,-,,-,-,-,-3,-
0.325,0.13,0.27,0.265,AAG,Aragon Res,0.27,0.5,4104,0.265,0.27,-,,-,-,-,1.6,16.9
0.055,0.015,0.035,0.032,ARX,ARC Explore,0.035,0.1,20826,0.034,0.036,-,,-,-,-,7.67,0.5
0.016,0.001,-,-,ARXO,  opt jun12,0.002,-,-,0.005,0.01,-,,-,-,-,-,-
0.32,0.085,0.22,0.215,AXE,Archer Explore,0.22,0.5,600,0.21,0.22,-,,-,-,-,-1.07,-
0.25,0.14,0.215,0.21,ARD,Argent Minerals,0.21,0.5,2840,0.21,0.22,-,,-,-,-,-7.23,-
0.05,0.011,0.019,0.016,ARDO,  opt jun11,0.016,-0.3,3255,0.016,0.025,-,,-,-,-,-,-
0.375,0.23,0.29,0.27,AVK,Argentina Min,0.27,-2,1229,0.27,0.28,-,,-,-,-,-,-
0.22,0.061,0.12,0.115,AVKO,  opt mar15,0.12,-0.5,575,0.115,0.14,-,,-,-,-,-,-
0.16,0.034,0.105,0.1,AXT,Argo Explore,0.105,1,1350,0.105,0.11,-,,-,-,-,-0.91,-
0.195,0.047,0.105,0.1,ARE,Argonaut Res,0.1,-0.5,4294,0.095,0.1,-,,-,-,-,-1.15,-
0.365,0.018,0.25,0.235,AGY,Argosy Minerals,0.235,-0.5,1402,0.23,0.235,-,,-,-,-,-0.84,-
0.1,0.034,0.049,0.045,ARV,Artemis Res,0.048,-0.1,612,0.048,0.049,-,,-,-,-,-2.79,-
0.049,0.007,0.01,0.007,ARVOB,  opt jun11,0.007,-0.3,4901,0.007,0.01,-,,-,-,-,-,-
0.25,0.091,-,-,AAJ,Aruma Res,0.094,-,-,0.092,0.094,-,,-,-,-,-,-
0.055,0.011,0.04,0.04,ATN,Ashburton Min,0.04,-,20495,0.039,0.04,-,,-,-,-,-0.06,-
0.87,0.068,0.87,0.795,AKM,Aspire Min,0.87,12,146307,0.87,0.875,-,,-,-,-,-0.44,-
9.3,5.49,8.92,8.62,AZT,Aston Res,8.91,14,7714,8.75,8.95,-,,-,-,-,36,24.8
0.015,0.003,0.004,0.004,ARO,Astro Res,0.004,-,2000,0.004,0.005,-,,-,-,-,-0.03,-
0.007,0.001,-,-,AROOB,  opt nov12,0.002,-,-,0.001,0.002,-,,-,-,-,-,-
0.225,0.05,0.12,0.12,AHN,Athena Res,0.12,-,836,0.115,0.12,-,,-,-,-,-0.78,-
0.09,0.029,0.065,0.06,AHNOA,  opt apr12,0.065,-,100,0.04,0.065,-,,-,-,-,-,-
0.078,0.034,0.045,0.042,ATV,Atlantic Gold,0.042,-,7600,0.042,0.044,-,,-,-,-,-0.22,-
0.03,0.012,-,-,ATVCD,  ctg,0.03,-,-,-,-,-,,-,-,-,-,-
2,0.029,1.95,1.9,ATI,Atlantic,1.91,-1,2866,1.91,1.945,-,,-,-,-,-17.66,-
1.75,0.02,1.72,1.65,ATIO,  opt dec11,1.65,-3,970,1.52,1.7,-,,-,-,-,-,-
4.09,1.68,3.33,3.24,AGO,Atlas Iron,3.26,-6,57716,3.25,3.28,-,,-,-,-,2,163
0.59,0.1,0.48,0.45,ATQ,Atomic Res,0.48,5,7937,0.48,0.53,-,,-,-,-,-2.3,-
0.31,0.015,0.2,0.2,ATQO,  opt aug11,0.2,-5,50,0.2,0.23,-,,-,-,-,-,-
0.24,0.12,-,-,ACZ,Atticus Resources,0.18,-,-,0.16,0.18,-,,-,-,-,0.33,54.5
0.06,0.03,-,-,ACZO,  opt sep12,0.04,-,-,0.03,0.045,-,,-,-,-,-,-
1.23,0.25,0.55,0.55,AYA,Attila Res,0.55,-,-,0.45,0.65,-,,-,-,-,-,-
0.35,0.12,0.245,0.24,AUK,Augur Res,0.245,0.5,3300,0.245,0.25,-,,-,-,-,-1.86,-
0.56,0.118,0.35,0.32,AEE,Aura Energy,0.345,3.5,20766,0.335,0.345,-,,-,-,-,-2.64,-
0.097,0.015,0.074,0.07,AGU,Aurium Res,0.071,0.4,3230,0.071,0.073,-,,-,-,-,-1.9,-
0.062,0.006,0.043,0.041,AGUOA,  opt sep12,0.041,0.1,22614,0.04,0.042,-,,-,-,-,-,-
1.175,0.25,0.26,0.255,ARM,Aurora Minerals,0.26,0.5,785,0.255,0.26,-,,-,-,-,-7.92,-
3.37,0.41,3.03,2.92,AUT,Aurora Oil & Gas,2.99,-5,17087,2.94,3,-,,-,-,-,-1.19,-
0.105,0.03,0.056,0.05,AIW,Aust-American Min,0.056,0.9,89953,0.057,0.059,-,,-,-,-,-5.07,-
0.036,0.019,0.02,0.019,AIWO,  opt dec12,0.02,0.1,3158,0.02,0.026,-,,-,-,-,-,-
1.75,0.12,1.35,1.25,AUC,Ausgold,1.28,16.5,2794,1.28,1.31,-,,-,-,-,-1.39,-
1.46,0.035,1.05,1,AUCO,  opt mar13,1,15,553,1,1.26,-,,-,-,-,-,-
0.27,0.14,-,-,AOA,Ausmon Resources,0.18,-,-,0.18,0.205,-,,-,-,-,-4.46,-
0.23,0.13,-,-,ANW,AusNiCo,0.13,-,-,0.125,0.17,-,,-,-,-,-0.6,-
0.081,0.01,0.062,0.059,AQC,Aust Pacific Coal,0.06,0.4,8520,0.057,0.06,-,,-,0.68,-,-0.51,-
0.22,0.115,0.13,0.13,AQD,AusQuest,0.13,0.5,668,0.13,0.135,-,,-,-,-,-0.96,-
0.7,0.26,0.38,0.37,AQR,Aussie Q Res,0.38,2.5,405,0.38,0.39,-,,-,-,-,-0.79,-
0.89,0.3,0.67,0.65,ABZ,Aust Bauxite,0.655,-1.5,805,0.655,0.69,-,,-,-,-,-0.49,-
0.235,0.1,-,-,AKA,Aust Minerals &  Min,0.16,-,-,0.16,0.195,-,,-,-,-,-0.5,-
0.045,0.01,-,-,AKAO,  opt oct11,0.025,-,-,0.025,0.03,-,,-,-,-,-,-
0.04,0.017,0.022,0.019,AUZ,Aust Mines,0.021,-0.1,2481,0.019,0.021,-,,-,-,-,-0.38,-
0.017,0.001,-,-,AUZO,  opt jun13,0.007,-,-,0.005,0.007,-,,-,-,-,-,-
0.16,0.08,0.13,0.125,AOC,Aust Oil Co,0.125,-0.5,560,0.125,0.13,-,,-,-,-,-1.63,-
0.03,0.007,-,-,AOCOA,  opt dec11,0.02,-,-,0.02,0.025,-,,-,-,-,-,-
