ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:06 Thursday 18/3/2010. Processed 19:26 Thursday 18/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
5.31,2.48,5.31,5.24,AOE,Arrow Energy,5.29,4,41555,5.28,5.29,-,,-,2.13,-,15.38,34.4
0.199,0.029,0.069,0.069,ARV,Artemis Res,0.069,,65,0.069,0.072,-,,-,-,-,0.31,22.3
0.058,0.019,0.04,0.037,ARVOB,  opt jun11,0.04,0.5,150,0.035,0.038,-,,-,-,-,-,-
0.099,0.004,-,-,ATN,Ashburton Min,0.02,,-,0.018,0.021,-,,-,-,-,-0.78,-
-,-,-,-,ATNNA,  def x opt,-,,-,-,-,-,,-,-,-,-,-
0.10,0.012,0.10,0.09,AKM,Aspire Min Ltd,0.095,1,21992,0.095,0.10,-,,-,-,-,-7.45,-
0.016,0.002,0.011,0.01,ARO,Astro Res NL,0.011,0.1,142030,0.01,0.011,-,,-,-,-,-0.2,-
0.006,0.001,0.004,0.004,AROOB,  opt nov12,0.004,,6770,0.004,0.005,-,,-,-,-,-,-
0.12,0.021,-,-,AHN,Athena Res,0.11,,-,0.10,0.11,-,,-,-,-,-0.62,-
0.03,0.017,-,-,AHNOA,  opt apr12,0.029,,-,0.025,0.06,-,,-,-,-,-,-
0.10,0.04,0.052,0.05,ATV,Atlantic Gold NL,0.05,-0.3,2530,0.05,0.054,-,,-,-,-,-0.74,-
0.03,0.011,-,-,ATVCD,  ctg,0.03,,-,-,0.03,-,,-,-,-,-,-
0.045,0.015,0.02,0.02,ATVOA,  opt jan11,0.02,0.5,100,0.013,0.027,-,,-,-,-,-,-
2.55,1.15,2.48,2.41,AGO,Atlas Iron Ltd,2.44,-1,24486,2.43,2.44,-,,-,-,-,-15.5,-
0.125,0.017,0.075,0.071,AXY,Atom Energy Ltd,0.071,-0.3,2000,0.071,0.073,-,,-,-,-,-0.88,-
0.01,0.001,-,-,AXYO,  opt oct10,0.001,,-,0.001,0.005,-,,-,-,-,-,-
0.17,0.088,0.10,0.10,ATQ,Atomic Res,0.10,,2000,0.10,0.115,-,,-,-,-,-4.7,-
0.035,0.001,-,-,ATQO,  opt aug11,0.015,,-,0.015,0.029,-,,-,-,-,-,-
0.26,0.125,-,-,ACZ,Atticus Resource,0.18,,-,0.18,0.20,-,,-,-,-,-0.49,-
0.09,0.03,-,-,ACZO,  opt sep12,0.04,,-,0.02,0.07,-,,-,-,-,-,-
0.175,0.034,0.15,0.125,ADX,Audax Res,0.15,2,49125,0.145,0.155,-,,-,-,-,-1.6,-
0.20,0.014,0.095,0.095,AUK,Augur Res Ltd,0.095,0.5,1750,0.091,0.095,-,,-,-,-,-0.82,-
0.03,0.009,-,-,AUKO,  opt jun10,0.03,,-,0.005,0.025,-,,-,-,-,-,-
0.345,0.10,0.345,0.30,AUJ,Augustus Min,0.325,2.5,541,0.30,0.32,-,,-,-,-,-0.66,-
0.26,0.08,0.145,0.14,AEE,Aura Energy,0.14,-0.5,534,0.14,0.15,-,,-,-,-,-3.57,-
0.075,0.013,0.034,0.032,AGU,Aurium Res,0.032,0.1,573,0.032,0.033,-,,-,-,-,-4.35,-
0.01,0.001,-,-,AGUO,  opt may10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.025,0.008,-,-,AGUOA,  opt sep12,0.008,,-,0.01,0.02,-,,-,-,-,-,-
1.26,0.07,0.98,0.94,ARM,Aurora Min Ltd,0.95,-1.5,810,0.94,0.95,-,,-,-,-,-5.78,-
0.47,0.10,0.405,0.395,AUT,Aurora Oil & Gas,0.395,-1,2017,0.395,0.41,-,,-,-,-,-1.8,-
0.81,0.11,0.785,0.76,AXO,Aurox Res,0.76,-1,15443,0.76,0.765,-,,-,-,-,-7.57,-
0.248,0.155,0.17,0.165,AUC,Ausgold Ltd,0.17,1,1960,0.16,0.185,-,,-,-,-,-0.39,-
0.07,0.036,0.058,0.058,AUCO,  opt mar13,0.058,,51,0.045,0.058,-,,-,-,-,-,-
0.34,0.18,-,-,AOA,Ausmon Resources,0.27,,-,0.25,0.26,-,,-,-,-,0.86,31.4
-,-,-,-,AOAO,  opt jun14,-,,-,0.002,-,-,,-,-,-,-,-
0.195,0.08,0.12,0.12,AQD,Ausquest Ltd,0.12,,903,0.115,0.125,-,,-,-,-,-2.98,-
0.79,0.03,0.70,0.665,AQR,Aussie Q Res,0.67,-0.5,6949,0.67,0.69,-,,-,-,-,-0.74,-
0.49,0.25,0.39,0.38,ABZ,Aust Bauxite Ltd,0.38,,3905,0.38,0.39,-,,-,-,-,-,-
0.10,0.018,-,-,AGV,Aust Gold Invest,0.018,,-,0.02,0.027,-,,-,-,-,-2.62,-
0.245,0.19,0.21,0.21,AKA,Aust Min Min,0.21,,25,0.20,0.21,-,,-,-,-,-,-
0.02,0.001,0.002,0.001,AUZ,Aust Mines Ltd,0.001,,175356,0.001,0.002,-,,-,-,-,0.05,2.0
0.001,0.001,-,-,AUZO,  opt jun13,0.001,,-,-,0.001,-,,-,-,-,-,-
0.135,0.05,0.095,0.095,AOC,Aust Oil Co,0.095,0.1,200,0.087,0.10,-,,-,-,-,-3.81,-
0.016,0.012,-,-,AOCOA,  opt dec11,0.012,,-,0.011,-,-,,-,-,-,-,-
0.009,0.003,-,-,AOM,Aust Oriental,0.004,,-,0.004,0.005,-,,-,-,-,-0.16,-
