AFR MINOIL MARKETS excluding fixed interest,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4085.6 at 2012-06-28T16:40:36. Report at Thursday, June 28, 2012. Processed Friday at 2012-06-29T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
.125,.051,.053,.052,BOE,Boss Resources,.052,-.1,4215,.052,.055,-,,-,-,-,-.86,-,,
.145,.016,.019,.018,BML,Botswana Metals,.019,+.2,4806,.018,.022,-,,-,-,-,-1.35,-,,
.06,.001,-,-,BMLO,  opt jun13,.001,-,-,-,-,-,,-,-,-,-,-,,
1.22,.60,.685,.63,BOC,Bougainville Copper,.64,+1,155,.64,.75,-,,-,.37,-,-.42,-,,
.12,.023,.027,.026,BGD,Boulder Steel,.027,-,96,.027,.03,-,,-,.02,-,-.19,-,,
.043,.016,.021,.019,BUY,Bounty Oil & Gas,.02,+.1,11161,.02,.021,-,,-,-,-,.11,18.2,,
.043,.025,-,-,BWN,Bowen Energy,.035,-,-,-,-,-,,-,-,-,-1.44,-,,
.12,.015,.026,.025,BMG,Brazilian Metal Grp,.025,-.1,4911,.026,.046,-,,-,-,-,-4.30,-,,
.039,.004,.004,.004,BMGO,  opt mar14,.004,-,250,.004,.025,-,,-,-,-,-,-,,
.125,.029,-,-,BZL,BrazIron,.04,-,-,-,-,-,,-,-,-,-1.18,-,,
.091,.015,.016,.016,BRW,Breakaway Res,.016,-,4652,.016,.02,-,,-,-,-,-1.32,-,,
.22,.17,-,-,BRB,Breaker Res,.19,-,-,-,-,-,,-,-,-,-,-,,
.06,.03,-,-,BRBO,  opt dec14,.035,-,-,.034,.05,-,,-,-,-,-,-,,
.14,.08,.105,.10,BUT,Bright Star Res,.10,-.5,6480,.095,.10,-,,-,-,-,-.79,-,,
.05,.015,-,-,BUTO,  opt oct12,.016,-,-,.003,.016,-,,-,-,-,-,-,,
.145,.05,-,-,BTN,Brighton Min,.05,-,-,-,-,-,,-,-,-,-6.65,-,,
3.90,1.60,-,-,BRM,Brockman Res,2.53,-,-,-,-,-,,-,-,-,-30.63,-,,
.155,.08,.11,.105,BPL,Broken Hill Prospecting,.11,-.5,460,.105,.11,-,,-,.03,-,-.48,-,,
.03,.018,-,-,BPLOA,  opt feb14,.02,-,-,-,-,-,,-,-,-,-,-,,
.15,.048,.058,.055,BMY,Brumby Res,.055,-1.5,500,.055,.06,-,,-,-,-,-2.40,-,,
.105,.042,.044,.042,BCC,Buccaneer Energy,.043,-.1,13339,.042,.044,-,,-,-,-,-2.13,-,,
.053,.009,-,-,BCCO,  opt nov12,.01,-,-,.01,.016,-,,-,-,-,-,-,,
.40,.18,-,-,BAB,Bullabulling Gold,.195,-,-,.18,.19,-,,-,-,-,-,-,,
.16,.08,.081,.08,BNR,Bulletin Res,.081,+.1,1277,.08,.09,-,,-,-,-,-11.91,-,,
.14,.033,.037,.033,BYR,Burey Gold,.035,-,1380,.034,.039,-,,-,-,-,-.26,-,,
.054,.02,.025,.024,BUR,Burleson Energy,.025,-,11000,.025,.027,-,,-,-,-,-.36,-,,
.012,.002,.005,.005,BUROA,  opt sep13,.005,-,15682,.004,.005,-,,-,-,-,-,-,,
3.85,.52,3.36,3.12,BRU,Buru Energy,3.15,-12,16182,3.15,3.16,-,,-,-,-,-8.30,-,,
.32,.095,-,-,BUX,Buxton Res,.095,-,-,.096,.11,-,,-,-,-,-5.35,-,,
.105,.02,-,-,BUXO,  opt jan16,.02,-,-,-,-,-,,-,-,-,-,-,,
.155,.038,-,-,CBS,Cabral Res,.04,-,-,.04,.046,-,,-,-,-,-1.21,-,,
.072,.023,.023,.023,CUU,Callabonna Uranium,.023,-.3,278,.023,.026,-,,-,-,-,-16.66,-,,
.70,.285,.36,.35,CAY,Canyon Res,.35,-,150,.35,.40,-,,-,-,-,-10.00,-,,
.25,.077,-,-,CBX,Cape Alumina,.08,-,-,.081,.11,-,,-,-,-,-1.74,-,,
.63,.295,.32,.315,CFE,Cape Lambert Res,.315,-.5,2366,.315,.32,-,,-,-,-,1.26,25.0,,
.047,.014,.014,.014,CMY,Capital Min,.014,-.1,1000,.011,.014,-,,-,-,-,-.27,-,,
2.35,.535,.56,.55,CLR,Carabella Res,.56,-.5,2058,.56,.565,-,,-,-,-,-6.31,-,,
.23,.04,.041,.04,CRB,Carbine Res,.04,-.1,1300,.04,.041,-,,-,-,-,-5.88,-,,
.14,.07,.095,.095,CNQ,Carbine Tungsten,.095,-,400,.094,.097,-,,-,-,-,-1.58,-,,
.261,.067,.072,.068,CNX,Carbon Energy,.068,-.2,5159,.068,.069,-,,-,-,-,-2.66,-,,
2.45,1.645,-,-,CRM,Carbon Minerals,1.67,-,-,-,-,-,,-,-,-,55.33,3.0,,
.267,.031,.046,.046,CBP,Carbon Polymers,.046,-,1000,.043,.05,-,,-,.02,-,-2.48,-,,
.012,.01,-,-,CBPO,  opt apr14,.01,-,-,-,-,-,,-,-,-,-,-,,
.245,.086,.11,.10,CVN,Carnarvon Pet,.105,-,14757,.10,.105,-,,-,.02,-,-.76,-,,
.08,.024,-,-,CAV,Carnavale Res,.024,-,-,.027,.03,-,,-,-,-,-12.05,-,,
.023,.003,-,-,CAVO,  opt feb13,.003,-,-,-,.009,-,,-,-,-,-,-,,
.43,.175,.35,.34,CAP,Carpentaria Expl,.35,+1,686,.34,.35,-,,-,-,-,-1.36,-,,
.56,.24,.275,.245,CRK,Carrick Gold,.245,-,120,.245,.275,-,,-,-,-,-1.50,-,,
.017,.003,.003,.003,CIG,Caspian Oil & Gas,.003,-,110,.003,.004,-,,-,-,-,-.15,-,,
