ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:18 Tuesday 6/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.12,0.021,0.085,0.08,AHN,Athena Res,0.08,-3,225,0.08,0.09,-,,-,-,-,-0.62,-
0.03,0.017,-,-,AHNOA,  opt apr12,0.029,,-,0.03,0.055,-,,-,-,-,-,-
0.10,0.04,-,-,ATV,Atlantic Gold NL,0.052,,-,0.052,0.054,-,,-,-,-,-0.25,-
0.03,0.011,-,-,ATVCD,  ctg,0.03,,-,0.015,0.03,-,,-,-,-,-,-
0.045,0.013,-,-,ATVOA,  opt jan11,0.014,,-,0.012,0.016,-,,-,-,-,-,-
2.80,1.165,2.80,2.64,AGO,Atlas Iron Ltd,2.76,18,68191,2.76,2.79,-,,-,-,-,-15.5,-
0.125,0.019,0.069,0.064,AXY,Atom Energy Ltd,0.066,-0.3,6685,0.066,0.067,-,,-,-,-,-0.88,-
0.01,0.001,-,-,AXYO,  opt oct10,0.001,,-,0.001,0.005,-,,-,-,-,-,-
0.185,0.088,0.185,0.17,ATQ,Atomic Res,0.185,1.5,6413,0.185,0.20,-,,-,-,-,-6.9,-
0.04,0.001,0.04,0.04,ATQO,  opt aug11,0.04,1,300,0.031,0.10,-,,-,-,-,-,-
0.26,0.125,-,-,ACZ,Atticus Resource,0.18,,-,0.17,0.19,-,,-,-,-,-0.49,-
0.09,0.03,0.042,0.042,ACZO,  opt sep12,0.042,,500,0.018,0.06,-,,-,-,-,-,-
0.175,0.06,0.16,0.15,ADX,Audax Res,0.155,1.5,24560,0.15,0.16,-,,-,-,-,-0.89,-
0.20,0.014,0.18,0.17,AUK,Augur Res Ltd,0.17,-2,1080,0.17,0.18,-,,-,-,-,-0.82,-
0.03,0.009,-,-,AUKO,  opt jun10,0.025,,-,0.01,0.024,-,,-,-,-,-,-
0.39,0.10,0.37,0.35,AUJ,Augustus Min,0.37,2,710,0.37,0.385,-,,-,-,-,-0.66,-
0.295,0.08,0.295,0.26,AEE,Aura Energy,0.275,2.5,15022,0.27,0.275,-,,-,-,-,-3.57,-
0.075,0.014,0.028,0.026,AGU,Aurium Res,0.026,-0.1,16477,0.026,0.027,-,,-,-,-,-4.35,-
0.01,0.001,-,-,AGUO,  opt may10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.025,0.008,-,-,AGUOA,  opt sep12,0.01,,-,0.006,0.012,-,,-,-,-,-,-
1.26,0.07,0.98,0.96,ARM,Aurora Min Ltd,0.98,3,1183,0.97,0.98,-,,-,-,-,-5.78,-
0.485,0.10,0.485,0.465,AUT,Aurora Oil & Gas,0.475,1.5,5281,0.47,0.475,-,,-,-,-,-1.8,-
0.90,0.125,0.90,0.855,AXO,Aurox Res,0.87,3,43845,0.865,0.87,-,,-,-,-,-7.57,-
0.248,0.155,0.185,0.175,AUC,Ausgold Ltd,0.185,,5500,0.16,0.185,-,,-,-,-,-0.39,-
0.07,0.036,0.055,0.05,AUCO,  opt mar13,0.055,0.5,20255,0.057,0.06,-,,-,-,-,-,-
0.34,0.18,-,-,AOA,Ausmon Resources,0.18,,-,0.19,0.26,-,,-,-,-,0.86,20.9
-,-,-,-,AOAO,  opt jun14,-,,-,0.004,-,-,,-,-,-,-,-
0.195,0.105,0.145,0.13,AQD,Ausquest Ltd,0.135,1,11802,0.135,0.14,-,,-,-,-,-2.98,-
0.79,0.032,0.61,0.57,AQR,Aussie Q Res,0.60,,6555,0.60,0.605,-,,-,-,-,-0.74,-
