ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 19:02 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.025,0.001,0.001,0.001,ATNOA,  opt feb10,0.001,,76914,0.001,0.002,-,,-,-,-,-,-
0.016,0.002,0.011,0.01,ARO,Astro Res NL,0.011,0.1,86500,0.01,0.011,-,,-,-,-,-0.24,-
0.005,0.005,-,-,AROOA,  opt dec09,0.005,,-,-,0.05,-,,-,-,-,-,-
0.004,0.001,-,-,AROOB,  opt nov12,0.003,,-,0.002,0.003,-,,-,-,-,-,-
0.08,0.017,0.08,0.07,AHN,Athena Res,0.08,0.5,700,0.077,0.08,-,,-,-,-,-4.08,-
0.10,0.04,0.064,0.064,ATV,Atlantic Gold NL,0.064,,1948,0.062,0.064,-,,-,-,-,-0.74,-
0.023,0.011,-,-,ATVCD,  ctg,0.023,,-,0.03,0.048,-,,-,-,-,-,-
0.045,0.016,-,-,ATVOA,  opt jan11,0.03,,-,0.025,0.03,-,,-,-,-,-,-
2.10,0.73,1.84,1.795,AGO,Atlas Iron Ltd,1.81,5,34449,1.805,1.825,-,,-,-,-,-21.3,-
-,-,-,-,AGON,  def x wrk,-,,-,-,-,-,,-,-,-,-,-
0.125,0.017,0.10,0.092,AXY,Atom Energy Ltd,0.092,-0.8,12505,0.092,0.096,-,,-,-,-,-3.02,-
0.01,0.001,-,-,AXYO,  opt oct10,0.01,,-,0.009,0.025,-,,-,-,-,-,-
0.17,0.068,0.11,0.105,ATQ,Atomic Res,0.105,-0.5,3755,0.105,0.12,-,,-,-,-,-4.7,-
0.035,0.001,-,-,ATQO,  opt aug11,0.035,,-,0.028,0.049,-,,-,-,-,-,-
0.26,0.125,-,-,ACZ,Atticus Resource,0.17,,-,0.14,0.20,-,,-,-,-,-0.71,-
0.09,0.02,-,-,ACZO,  opt sep12,0.043,,-,0.043,0.12,-,,-,-,-,-,-
0.175,0.017,0.099,0.096,ADX,Audax Res,0.096,,4060,0.096,0.10,-,,-,-,-,-1.6,-
