ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4776.7 at 16:47 2/12/2009  Report at 19:05 Wednesday 2/12/2009. Processed 19:32 Wednesday 2/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.06,0.01,-,-,ARDO,  opt jun11,0.04,,-,0.025,0.06,-,,-,-,-,-,-
0.08,0.025,0.077,0.077,AXT,Argo Explore,0.077,-0.3,125,0.067,0.074,-,,-,-,-,-0.42,-
0.105,0.042,0.06,0.06,ARE,Argonaut Res,0.06,,1230,0.06,0.064,-,,-,-,-,-0.79,-
0.13,0.025,0.056,0.053,AGY,Argosy Min cdi,0.053,0.3,5419,0.051,0.053,-,,-,-,-,-1.41,-
4.73,1.865,3.96,3.85,AOE,Arrow Energy,3.90,5,31379,3.89,3.91,-,,-,0.82,-,52,7.5
0.199,0.026,0.059,0.058,ARV,Artemis Res,0.059,0.1,2734,0.058,0.06,-,,-,-,-,-8.47,-
0.027,0.019,0.024,0.021,ARVOB,  opt jun11,0.024,,2222,0.022,0.028,-,,-,-,-,-,-
0.099,0.004,0.027,0.026,ATN,Ashburton Min,0.026,,6478,0.025,0.026,-,,-,-,-,-0.78,-
0.07,0.001,0.015,0.015,ATNO,  opt dec09,0.015,-0.3,250,0.015,0.019,-,,-,-,-,-,-
0.025,0.001,-,-,ATNOA,  opt feb10,0.002,,-,0.002,0.003,-,,-,-,-,-,-
0.016,0.002,0.013,0.012,ARO,Astro Res NL,0.013,0.2,272138,0.012,0.013,-,,-,-,-,-0.24,-
0.005,0.005,-,-,AROOA,  opt dec09,0.005,,-,-,0.05,-,,-,-,-,-,-
0.004,0.001,-,-,AROOB,  opt nov12,0.003,,-,0.002,0.004,-,,-,-,-,-,-
0.056,0.017,-,-,AHN,Athena Res,0.05,,-,0.05,0.055,-,,-,-,-,-4.08,-
0.10,0.04,0.063,0.061,ATV,Atlantic Gold NL,0.062,0.1,4635,0.061,0.062,-,,-,-,-,-0.74,-
0.023,0.011,-,-,ATVCD,  ctg,0.023,,-,0.03,0.045,-,,-,-,-,-,-
0.045,0.016,0.029,0.029,ATVOA,  opt jan11,0.029,,1000,0.028,0.031,-,,-,-,-,-,-
2.10,0.615,1.90,1.87,AGO,Atlas Iron Ltd,1.875,2,24093,1.865,1.88,-,,-,-,-,-21.3,-
0.125,0.017,0.10,0.10,AXY,Atom Energy Ltd,0.10,0.9,1000,0.093,0.10,-,,-,-,-,-3.02,-
0.01,0.001,-,-,AXYO,  opt oct10,0.01,,-,0.01,0.02,-,,-,-,-,-,-
0.17,0.068,0.12,0.11,ATQ,Atomic Res,0.11,-1,10645,0.11,0.12,-,,-,-,-,-4.7,-
0.035,0.001,-,-,ATQO,  opt aug11,0.035,,-,0.025,0.049,-,,-,-,-,-,-
0.26,0.125,-,-,ACZ,Atticus Resource,0.17,,-,0.16,0.20,-,,-,-,-,-0.71,-
0.09,0.02,-,-,ACZO,  opt sep12,0.043,,-,0.043,0.12,-,,-,-,-,-,-
0.175,0.017,0.10,0.098,ADX,Audax Res,0.098,0.1,2400,0.097,0.098,-,,-,-,-,-1.6,-
0.09,0.007,-,-,AUK,Augur Res Ltd,0.08,,-,0.076,0.09,-,,-,-,-,-1.34,-
0.012,0.009,-,-,AUKO,  opt jun10,0.012,,-,0.001,0.011,-,,-,-,-,-,-
0.22,0.10,-,-,AUJ,Augustus Min,0.195,,-,0.195,0.21,-,,-,-,-,0.26,75.0
0.26,0.08,0.145,0.145,AEE,Aura Energy,0.145,-0.5,100,0.145,0.155,-,,-,-,-,-4.46,-
0.075,0.011,0.045,0.033,AGU,Aurium Res,0.033,-0.2,39078,0.034,0.036,-,,-,-,-,-4.41,-
0.024,0.001,-,-,AGUO,  opt may10,0.004,,-,0.003,0.005,-,,-,-,-,-,-
0.575,0.07,0.505,0.48,ARM,Aurora Min Ltd,0.485,-1,1668,0.475,0.485,-,,-,-,-,-5,-
0.305,0.10,0.295,0.29,AUT,Aurora Oil & Gas,0.295,0.5,683,0.29,0.295,-,,-,-,-,-8.9,-
0.49,0.07,0.29,0.275,AXO,Aurox Res,0.275,-0.5,4176,0.275,0.28,-,,-,-,-,-19.38,-
0.305,0.18,0.305,0.285,AOA,Ausmon Resources,0.305,1,1704,0.295,0.305,-,,-,-,-,-,-
-,-,-,-,AOAO,  opt jun14,-,,-,-,-,-,,-,-,-,-,-
0.195,0.08,0.15,0.145,AQD,Ausquest Ltd,0.15,1,78,0.145,0.15,-,,-,-,-,-1.92,-
-,-,-,-,AQDNA,  def x opt,-,,-,-,-,-,,-,-,-,-,-
0.10,0.03,0.08,0.08,AQR,Aussie Q Res,0.08,,1170,0.08,0.09,-,,-,-,-,-0.9,-
0.115,0.03,-,-,AGV,Aust Gold Invest,0.037,,-,0.037,0.046,-,,-,-,-,-2.4,-
0.02,0.001,0.002,0.002,AUZ,Aust Mines Ltd,0.002,0.1,77150,0.001,0.002,-,,-,-,-,-0.75,-
0.001,0.001,-,-,AUZO,  opt jun13,0.001,,-,-,0.001,-,,-,-,-,-,-
0.135,0.036,-,-,AOC,Aust Oil Co,0.09,,-,0.09,0.099,-,,-,-,-,-4.1,-
0.01,0.002,0.003,0.003,AOCO,  opt dec09,0.003,,250,0.003,0.004,-,,-,-,-,-,-
0.009,0.003,-,-,AOM,Aust Oriental,0.006,,-,0.006,0.007,-,,-,-,-,-0.16,-
0.033,0.004,0.019,0.018,ARW,Aust Renewable,0.018,-0.1,28362,0.018,0.019,-,,-,0.01,-,-2.65,-
0.195,0.05,0.175,0.155,AOK,Austex Oil Ltd,0.175,2.5,19114,0.175,0.18,-,,-,-,-,-4.05,-
0.096,0.02,0.06,0.058,AKK,Austin Explore,0.058,-0.1,13943,0.058,0.06,-,,-,-,-,-3.44,-
-,-,-,-,AKKN,  def,-,,-,-,-,-,,-,-,-,-,-
-,-,-,-,AKKO,  optnov11d,-,,-,0.015,-,-,,-,-,-,-,-
0.063,0.028,0.053,0.052,APG,Austpac Res NL,0.053,0.2,3037,0.052,0.053,-,,-,-,-,-0.28,-
0.007,0.001,0.005,0.005,AAF,Austral Africa Res,0.005,0.1,20000,0.004,0.005,-,,-,-,-,-0.6,-
0.23,0.065,-,-,AGD,Austral Gold,0.13,,-,0.075,0.18,-,,-,-,-,-2.53,-
