ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.25,0.023,0.16,0.16,AUK,Augur Res Ltd,0.16,-2,1469,0.16,0.185,-,,-,-,-,-0.82,-
0.47,0.10,0.30,0.30,AUJ,Augustus Min,0.30,5,33,0.245,0.30,-,,-,-,-,-0.66,-
0.215,0.015,0.02,0.02,AUJO,  opt jul10,0.02,-1.1,300,0.017,0.031,-,,-,-,-,-,-
0.33,0.11,0.145,0.145,AEE,Aura Energy,0.145,-0.5,330,0.13,0.145,-,,-,-,-,-3.57,-
0.075,0.016,0.016,0.016,AGU,Aurium Res,0.016,,3000,0.015,0.016,-,,-,-,-,-4.35,-
0.025,0.007,-,-,AGUOA,  opt sep12,0.008,,-,0.006,0.008,-,,-,-,-,-,-
1.26,0.19,0.40,0.39,ARM,Aurora Min Ltd,0.40,1,1550,0.39,0.41,-,,-,-,-,-5.78,-
0.88,0.11,0.81,0.795,AUT,Aurora Oil & Gas,0.81,1,7459,0.79,0.81,-,,-,-,-,-1.8,-
0.985,0.235,0.70,0.675,AXO,Aurox Res,0.675,-2,950,0.675,0.685,-,,-,-,-,-7.57,-
0.155,0.03,0.032,0.032,AIW,Ausamerican Min,0.032,-0.5,2114,0.032,0.037,-,,-,-,-,3.36,1.0
0.248,0.12,0.14,0.14,AUC,Ausgold Ltd,0.14,1.5,200,0.125,0.175,-,,-,-,-,-0.39,-
0.07,0.035,-,-,AUCO,  opt mar13,0.045,,-,0.036,0.047,-,,-,-,-,-,-
0.34,0.18,-,-,AOA,Ausmon Resources,0.18,,-,0.19,0.225,-,,-,-,-,0.86,20.9
0.20,0.105,0.13,0.13,AQD,Ausquest Ltd,0.13,,709,0.125,0.13,-,,-,-,-,-2.98,-
0.79,0.042,0.30,0.29,AQR,Aussie Q Res,0.30,1,548,0.29,0.31,-,,-,-,-,-0.74,-
0.49,0.25,0.33,0.33,ABZ,Aust Bauxite Ltd,0.33,,174,0.325,0.33,-,,-,-,-,-,-
0.05,0.015,0.046,0.046,AGV,Aust Gold Invest,0.046,-0.4,150,0.046,0.05,-,,-,-,-,-2.62,-
