ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:23 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.125,0.017,0.11,0.10,AXY,Atom Energy Ltd,0.11,0.5,7710,0.105,0.11,-,,-,-,-,-3.02,-
0.01,0.001,-,-,AXYO,  opt oct10,0.007,,-,0.006,0.01,-,,-,-,-,-,-
0.17,0.068,0.105,0.10,ATQ,Atomic Res,0.10,-0.5,3786,0.10,0.105,-,,-,-,-,-4.7,-
0.035,0.001,-,-,ATQO,  opt aug11,0.023,,-,0.018,0.049,-,,-,-,-,-,-
0.26,0.125,0.18,0.15,ACZ,Atticus Resource,0.15,-3,1800,0.15,0.20,-,,-,-,-,-0.71,-
0.09,0.03,0.04,0.04,ACZO,  opt sep12,0.04,-0.3,2000,0.04,0.10,-,,-,-,-,-,-
0.175,0.017,0.105,0.098,ADX,Audax Res,0.10,,7417,0.098,0.10,-,,-,-,-,-1.6,-
0.20,0.007,0.20,0.18,AUK,Augur Res Ltd,0.185,1,2035,0.175,0.20,-,,-,-,-,-1.34,-
0.03,0.009,-,-,AUKO,  opt jun10,0.022,,-,0.025,0.029,-,,-,-,-,-,-
0.22,0.10,-,-,AUJ,Augustus Min,0.18,,-,0.16,0.20,-,,-,-,-,0.26,69.2
0.26,0.08,0.195,0.17,AEE,Aura Energy,0.19,2,25223,0.18,0.20,-,,-,-,-,-4.46,-
0.075,0.011,0.036,0.034,AGU,Aurium Res,0.034,-0.1,2200,0.034,0.036,-,,-,-,-,-4.41,-
0.024,0.001,0.001,0.001,AGUO,  opt may10,0.001,,375,0.001,0.002,-,,-,-,-,-,-
0.025,0.025,-,-,AGUOA,  opt sep12,0.025,,-,0.015,0.025,-,,-,-,-,-,-
1.01,0.07,0.98,0.955,ARM,Aurora Min Ltd,0.975,1.5,1623,0.96,0.975,-,,-,-,-,-5,-
0.305,0.10,0.30,0.285,AUT,Aurora Oil & Gas,0.285,-0.5,1420,0.29,0.295,-,,-,-,-,-8.9,-
0.49,0.09,0.435,0.40,AXO,Aurox Res,0.41,-2,34254,0.405,0.41,-,,-,-,-,-19.38,-
0.28,0.20,0.28,0.235,AUC,Ausgold Ltd,0.265,3,11495,0.26,0.265,-,,-,-,-,-,-
0.34,0.18,0.33,0.31,AOA,Ausmon Resources,0.325,-0.5,870,0.315,0.325,-,,-,-,-,-,-
-,-,-,-,AOAO,  opt jun14,-,,-,0.006,-,-,,-,-,-,-,-
0.195,0.08,0.135,0.13,AQD,Ausquest Ltd,0.135,,1009,0.135,0.14,-,,-,-,-,-1.92,-
0.52,0.03,0.44,0.37,AQR,Aussie Q Res,0.37,-8.5,59997,0.37,0.375,-,,-,-,-,-0.9,-
0.49,0.25,0.38,0.38,ABZ,Aust Bauxite Ltd,0.38,1,1412,0.37,0.38,-,,-,-,-,-,-
0.115,0.024,-,-,AGV,Aust Gold Invest,0.04,,-,0.032,0.039,-,,-,-,-,-2.4,-
0.02,0.001,0.002,0.001,AUZ,Aust Mines Ltd,0.002,,338700,0.001,0.002,-,,-,-,-,-0.75,-
0.001,0.001,0.001,0.001,AUZO,  opt jun13,0.001,,5000,-,0.001,-,,-,-,-,-,-
0.135,0.036,0.095,0.095,AOC,Aust Oil Co,0.095,,1620,0.083,0.095,-,,-,-,-,-4.1,-
0.016,0.015,-,-,AOCOA,  opt dec11,0.015,,-,0.015,0.03,-,,-,-,-,-,-
0.009,0.003,-,-,AOM,Aust Oriental,0.004,,-,0.004,0.005,-,,-,-,-,-0.16,-
0.033,0.004,0.019,0.018,ARW,Aust Renewable,0.019,-0.1,28405,0.018,0.019,-,,-,0.01,-,-2.65,-
0.22,0.05,0.22,0.195,AOK,Austex Oil Ltd,0.195,,34846,0.195,0.205,-,,-,-,-,-4.22,-
0.096,0.02,0.057,0.054,AKK,Austin Explore,0.055,-0.2,21440,0.055,0.057,-,,-,-,-,-3.44,-
0.031,0.015,0.024,0.022,AKKO,  opt nov11,0.024,-0.1,3300,0.023,0.025,-,,-,-,-,-,-
0.059,0.028,0.048,0.043,APG,Austpac Res NL,0.044,-0.3,17795,0.046,0.047,-,,-,-,-,-0.28,-
0.007,0.001,0.005,0.005,AAF,Austral Africa Res,0.005,0.1,1500,0.004,0.005,-,,-,-,-,-0.6,-
0.23,0.065,0.135,0.135,AGD,Austral Gold,0.135,0.5,60,0.135,0.17,-,,-,-,-,-2.53,-
0.26,0.11,-,-,AZX,Auzex Res,0.17,,-,0.17,0.20,-,,-,-,-,-15.3,-
0.07,0.006,-,-,AZXO,  opt sep10,0.009,,-,0.005,0.026,-,,-,-,-,-,-
0.297,0.054,0.225,0.21,AVI,Avalon Min,0.21,-0.5,10092,0.21,0.23,-,,-,-,-,-5.87,-
0.045,0.006,0.034,0.031,AVB,Avanco Res Ltd,0.033,,51165,0.033,0.034,-,,-,-,-,-1.45,-
0.15,0.001,-,-,AVBO,  opt jun10,0.001,,-,0.001,0.003,-,,-,-,-,-,-
