100 Leading Industrial Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5221.3 at 2015-11-02T16:40:05. Report at Monday, November 2, 2015. Processed Tuesday at 2015-11-03T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
86.72,54.81,Macquarie Grp,81.93,-377,81.92,81.93,360.00,p,1.49,38.19,4.39,15.2,,
22.86,13.45,Magellan Fin Grp,22.11,-42,22.11,22.19,74.90,f,1.46,1.78,3.39,20.2,,
2.59,1.99,Medibank Private,2.34,-2,2.34,2.35,5.30,f,1.96,.43,2.26,22.5,,
2.29,1.85,Meridian Energy,2.12,+3,2.05,2.10,6.31,,1.32,,2.98,25.4,,
3.49,2.19,Mighty River Power,2.65,+1,2.65,2.80,12.84,,.24,2.11,4.85,87.5,,
4.89,4.03,Milton Corp,4.27,-2,4.26,4.28,18.40,f,1.09,4.10,4.31,21.3,,
2.19,1.66,Mirvac Grp stp,1.795,-1,1.79,1.795,9.40,,1.76,1.74,5.24,10.9,,
39.15,29.15,National Aust Bank,29.62,-53,29.62,29.64,198.00,f,1.28,,6.68,11.7,,
8.72,4.28,Nufarm,8.35,-2,8.35,8.39,10.00,,1.17,2.58,1.20,71.4,,
22.73,14.75,Orica,16.30,-18,16.29,16.32,96.00,p,1.64,5.50,5.89,10.3,,
12.763,5.28,Origin Energy,5.35,-15,5.35,5.36,50.00,,-,6.08,9.35,,,
2.46,1.715,Orora,2.33,-1,2.32,2.33,7.50,p,1.45,.96,3.22,21.4,,
58.48,37.25,Perpetual,44.40,-51,44.32,44.41,240.00,f,1.14,5.16,5.41,16.2,,
9.50,6.38,Platinum Asset,7.25,-15,7.25,7.27,37.00,f,.99,.59,5.10,19.8,,
14.62,9.37,Premier Invest,13.46,-23,13.46,13.52,42.00,f,1.35,3.09,3.12,23.8,,
4.03,3.79,Qantas Airways def,3.84,-11,3.84,3.87,,,-,1.05,,15.1,,
15.00,10.13,QBE Insurance Grp,13.00,-25,13.00,13.01,42.00,f,1.98,6.91,3.23,15.6,,
3.05,1.955,Qube Holdings,2.30,+1,2.30,2.31,5.50,f,1.49,.72,2.39,28.0,,
69.22,51.32,Ramsay Health Care,61.45,-56,61.42,61.54,101.00,f,1.83,.30,1.64,33.2,,
51.38,37.33,REA Grp,48.87,+84,48.85,49.02,70.00,f,2.28,,1.43,30.7,,
8.09,5.86,Recall Hldgs,7.62,-4,7.61,7.64,19.00,p,1.42,-1.09,2.49,28.3,,
36.50,30.05,Reece Aust,34.07,+1,34.06,34.89,76.00,f,2.18,6.87,2.23,20.5,,
9.84,5.86,ResMed Inc cdi,8.07,+3,8.05,8.07,12.46,,2.62,,1.54,24.7,,
4.205,3.38,Scentre Grp stp,4.11,-3,4.10,4.11,20.65,,2.15,3.11,5.02,9.2,,
18.99,11.40,Seek,13.02,+19,13.02,13.03,36.00,f,1.60,-.13,2.76,22.6,,
39.95,14.80,Sirtex Medical,37.85,-20,37.79,37.89,20.00,f,3.57,1.36,.53,53.0,,
4.18,3.36,SkyCity Entertain,3.76,-5,3.76,3.78,15.96,,1.22,6.36,4.24,19.3,,
23.73,17.00,Sonic Healthcare,18.98,-30,18.98,18.99,70.00,p,1.29,-2.70,3.69,21.0,,
16.41,12.18,Soul Pattinson WH,15.92,-18,15.92,15.97,50.00,f,.70,12.31,3.14,45.7,,
2.29,1.70,Spark Infrastructure forus,2.09,+1,2.08,2.10,11.75,,.44,1.92,5.62,40.4,,
3.35,2.35,Spark New Zealand,3.19,,3.19,3.21,18.76,,.94,.32,5.88,18.0,,
2.515,1.74,Spotless Group,2.13,-2,2.12,2.14,10.00,,1.30,-.23,4.69,16.4,,
4.82,3.715,Stockland stp,4.00,-5,3.99,4.02,24.00,,1.60,3.68,6.00,10.4,,
15.08,11.88,Suncorp Grp,12.95,-16,12.94,12.96,76.00,f,1.17,,5.87,14.6,,
6.54,4.36,Sydney Airport forus,6.41,-4,6.40,6.42,24.50,,.25,2.80,3.82,103.9,,
5.23,3.656,Tabcorp Hldgs,4.48,-24,4.48,4.49,20.00,f,2.12,-1.13,4.46,10.6,,
4.20,3.335,Tatts Grp,3.86,-10,3.86,3.88,16.50,f,1.06,,4.27,22.2,,
6.735,5.275,Telstra Corp,5.30,-10,5.30,5.31,30.50,f,1.13,.39,5.75,15.4,,
11.14,6.05,TPG Telecom,11.02,-4,11.01,11.03,11.50,f,2.45,.40,1.04,39.1,,
10.62,8.09,Transurban Grp stp,10.46,+2,10.44,10.46,40.00,p,-,2.89,3.82,,,
7.52,4.206,Treasury Wine,7.02,-6,7.01,7.04,14.00,,.85,3.47,1.99,59.0,,
2.80,1.992,Veda Grp,2.62,,2.62,2.63,10.00,,.93,-.20,3.82,28.2,,
3.19,2.58,Vicinity Centres stp,2.90,,2.89,2.92,16.90,,1.51,2.45,5.83,11.3,,
46.95,38.06,Wesfarmers,38.91,-50,38.90,38.92,200.00,f,1.08,4.85,5.14,18.0,,
10.66,7.90,Westfield Corp stp,10.11,-14,10.11,10.12,32.85,,1.65,4.99,3.25,18.6,,
39.579,28.743,Westpac Banking,30.61,-77,30.60,30.63,185.00,f,1.31,11.84,6.04,12.6,,
34.71,23.56,Woolworths,23.60,-51,23.59,23.64,139.00,f,1.23,3.62,5.89,13.8,,
25.60,11.90,Xero,15.10,+10,15.10,15.22,,,-,,,,,
6.46,3.75,Z Energy,6.35,-7,6.35,6.41,22.30,,.08,.56,3.51,369.2,,
,
