100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4401.2 at 16:37 8/6/2010  Report at 19:05 Tuesday 8/6/2010. Processed 21:06 Tuesday 8/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
4.57,0.034,Prime Infr Grp stp,3.73,3,3.72,3.80,-,,-,-,-,-
3.06,1.85,Qantas Airways,2.51,5,2.50,2.51,6,,-,2.25,2.39,-
25.70,18.42,QBE Insurance Grp,19.02,31,18.99,19.04,128,p,1.54,5.16,6.73,9.7
14.67,10.20,Ramsay Health Care,14.46,9,14.35,14.52,40,f,1.61,1.70,2.77,22.5
12.60,5.14,REA Grp,10.49,-9,10.30,10.49,10,,1.00,0.45,0.95,104.5
26.65,17.50,Reece Aust Ltd,23.79,,23.42,23.95,53,f,2.06,5.41,2.23,21.8
7.97,4.73,ResMed Inc cdi,7.58,-24,7.47,7.61,-,,-,-,-,30.2
8.57,3.62,Seek Ltd,7.30,17,7.18,7.35,9.9,f,1.86,0.55,1.36,39.7
7.60,6.01,Seven Grp Hldgs,6.23,17,6.05,6.39,-,,-,-,-,-
29.15,18.11,Sims Metal Mgmt,18.55,32,18.55,18.58,20,f,-,8.87,1.08,-
2.94,2.25,Singapore Tel cdi,2.51,2,2.43,2.52,4.94,,3.87,0.65,1.97,13.1
15.64,9.53,Sonic Healthcare,10.45,12,10.39,10.50,59,p,0.81,-1.48,5.65,22.0
15.38,9.736,Soul Pattinson,13.00,,12.75,13.15,33,f,3.76,11.11,2.54,10.5
0.975,0.725,SP AusNet stp,0.835,2.5,0.83,0.835,8,p,1.01,0.94,9.58,10.3
1.445,1.025,Spark Infrastructure stp,1.125,2.5,1.12,1.125,13.56,,0.89,1.78,12.05,9.3
4.23,2.75,Stockland stp,3.86,,3.84,3.87,27.8,,-,-,7.20,-
9.59,6.01,Suncorp-Metway,8.09,18,8.05,8.09,35,f,0.98,5.43,4.33,23.6
7.52,6.28,Tabcorp Hldgs Ltd,6.42,-8,6.42,6.43,60,f,1.44,-1.53,9.35,7.5
2.67,2.19,Tatts Grp Ltd,2.24,-2,2.24,2.26,21,f,1.04,-0.51,9.37,10.2
3.71,2.88,Telstra Corp,3.11,7,3.10,3.11,28,f,1.16,0.36,9.00,9.6
1.94,1.00,Ten Network Hldgs,1.685,-2,1.685,1.69,2,,2.31,-0.29,1.19,36.5
9.33,5.39,Toll Hldgs Ltd,5.69,-1,5.68,5.72,25,f,1.26,1.44,4.39,18.1
2.58,0.31,TPG Telecom Ltd,2.16,4,2.11,2.16,3,f,1.90,0.06,1.39,37.9
4.80,2.10,Transfield Services,3.60,2,3.53,3.63,12.25,f,-,0.29,3.40,-
5.61,3.839,Transurban stp,4.41,10,4.39,4.42,24,,0.08,2.75,5.44,238.4
15.97,9.63,UGL Ltd,13.05,20,12.95,13.10,64,f,1.26,-0.43,4.90,16.1
33.21,21.05,Wesfarmers Ltd,28.30,1,28.21,28.34,115,f,1.13,3.47,4.06,21.8
8.48,4.13,West Aust News,6.55,7,6.55,6.60,29,f,1.29,-,4.43,17.6
14.33,10.50,Westfield Grp stp,12.54,3,12.45,12.55,94,,-,10.47,7.50,-
28.43,18.76,Westpac Banking,22.59,41,22.59,22.60,125,f,1.11,8.42,5.53,16.3
30.57,25.19,Woolworths Ltd,26.87,3,26.82,26.87,109,f,1.46,1.99,4.06,16.9
31.79,20.23,WorleyParsons Ltd,23.25,12,23.23,23.34,90.5,f,1.51,0.16,3.89,17.1
