Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-16T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aditya Birla,ordinary,ABY,F,5.0,-,5.0,-,-,-,-,9.0,5 Jun,12 Jun,26 Jun,0,,
Goodman Plus Tr,step-up units,GMPPA,F,159.8027,-,657.8674,-,-,-,509.3652,170.7243,7 Jun,14 Jun,21 Jun,0,,
GrainCorp,a class ordinary,GNC,I,30.0,-,30.0,100,-,-,20.0,-,2 Jul,6 Jul,20 Jul,0,,
HGL,ordinary,HNG,I,4.0,-,4.0,100,3,-,6.0,-,25 Jun,29 Jun,13 Jul,0,,
Incitec Pivot,ordinary,IPL,I,3.3,-,3.3,50.00,4,-,3.3,-,18 May,24 May,3 Jul,0,,
ING Private Equity,ordinary,IPE,I,2.5,-,2.5,100,-,-,-,-,12 Jun,18 Jun,28 Jun,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,282.01,-,282.01,100,-,-,-,-,18 Oct,24 Oct,1 Nov,0,,
Ironbark Capital,ordinary,IBC,F,1.0,-,1.0,100,4,-,1.5,-,15 Jun,21 Jun,29 Jun,0,,
James Hardie Ind,chess depositary int,JHX,F,-,-,4.0132,-,-,-,-,-,25 Jun,29 Jun,23 Jul,0,,
Joyce Corp,ordinary,JYC,I,1.5,-,1.5,-,4,-,2.0,-,8 Jun,15 Jun,2 Jul,0,,
Kathmandu Hldgs,ordinary,KMD,I,2.3359,-,2.3359,100,-,-,2.199,-,4 Jun,8 Jun,19 Jun,0,,
Kingsrose Min,ordinary,KRM,I,4.0,-,4.0,-,-,-,-,-,13 Jun,19 Jun,4 Jul,0,,
Macquarie CPS Tr,conv pref,MQCPA,F,553.23,-,1112.54,-,-,-,559.31,550.19,15 Jun,21 Jun,2 Jul,1,,
Macquarie Grp,ordinary,MQG,F,75.0,-,140.0,-,3,-,86.0,100.0,7 May,11 May,2 Jul,0,,
National Aust Bank,ordinary,NAB,I,90.0,-,90.0,100,3,3,84.0,-,31 May,6 Jun,16 Jul,0,,
Newhaven Hotels,ordinary,NHH,F,2.0,-,4.0,100,-,-,4.0,2.0,31 May,6 Jun,20 Jun,0,,
Norfolk Grp,ordinary,NFK,F,2.0,-,3.5,-,-,-,-,2.0,10 Jul,16 Jul,31 Jul,0,,
Orica,ordinary,ORI,I,38.0,-,38.0,36.85,3,-,37.0,-,28 May,1 Jun,2 Jul,0,,
Preferred Capital,perls iii,PCAPA,F,177.25,-,792.93,100,-,-,622.85,207.5,25 Jun,29 Jun,6 Jul,0,,
Programmed Maint,ordinary,PRG,F,8.0,-,13.0,100,-,-,3.0,6.0,2 Jul,6 Jul,27 Jul,0,,
Ruralco Hldgs,ordinary,RHL,I,10.0,-,10.0,100,4,-,9.0,-,28 May,1 Jun,19 Jun,0,,
Singapore Tel,chess depositary int,SGT,F,-,-,5.2291,-,-,-,5.2141,14.9357,1 Aug,8 Aug,24 Aug,0,,
SP AusNet,stapled securities,SPN,F,4.0,-,8.0,33.30,3,-,4.0,4.0,24 May,30 May,29 Jun,0,,
SPDR 200 Financials,etf units,OZF,F,-,-,58.5034,-,3,-,-,-,25 Jun,29 Jun,9 Jul,1,,
SPDR 200 Fund,etf units,STW,F,-,-,105.7899,-,3,-,78.1209,97.6375,25 Jun,29 Jun,9 Jul,1,,
SPDR 200 Resources,etf units,OZR,F,-,-,7.6064,-,3,-,-,-,25 Jun,29 Jun,9 Jul,1,,
SPDR 50 Fund,etf units,SFY,F,-,-,121.0718,-,3,-,82.2733,87.8142,25 Jun,29 Jun,9 Jul,1,,
SPDR Prop Fund,etf units,SLF,F,-,-,34.4427,-,4,-,28.6243,11.4888,25 Jun,29 Jun,28 Aug,1,,
SPDR Small Ords,etf units,SSO,F,-,-,26.1698,-,3,-,-,3.7828,25 Jun,29 Jun,9 Jul,1,,
SPDR MSCI Aus Sel HDY,etf units,SYI,F,-,-,118.5493,-,3,-,18.0572,27.268,25 Jun,29 Jun,9 Jul,1,,
Suncorp-Metway,pref shares,SBKPB,Q1,119.1,-,119.1,100,-,-,420.05,135.5,27 Aug,31 Aug,14 Sep,0,,
Sydney Airport,stapled us prohibit.,SYD,I,11.0,-,11.0,-,4,-,-,-,25 Jun,29 Jun,16 Aug,0,,
Technology One,ordinary,TNE,I,1.61,-,1.61,100,-,-,1.46,-,4 Jun,8 Jun,22 Jun,0,,
Thorn Grp,ordinary,TGA,F,5.5,-,9.5,100,-,-,3.54,4.95,8 Jun,15 Jun,18 Jul,0,,
Tower,ordinary,TWR,I,3.2885,-,3.2885,-,3,-,3.052,-,8 Jun,15 Jun,2 Jul,0,,
Trafalgar Corp,stapled securities,TGP,I,13.0,-,13.0,-,4,-,20.0,-,18 Jun,22 Jun,28 Jun,1,,
Transmetro Corp,ordinary,TCO,F,5.0,-,5.0,100,-,-,15.0,5.0,7 Jun,14 Jun,29 Jun,0,,
Transpacific SPS Tr,non-cum setup pref.,TPAPA,F,-,-,369.0,-,-,-,300.0,297.0,24 Sep,28 Sep,15 Oct,0,,
TTA Hldgs,ordinary,TTA,F,0.4,-,0.4,100,-,-,-,0.4,9 Jul,13 Jul,27 Jul,0,,
Viterra Inc,cdi 1:1,VTA,I,-,-,-,-,-,-,4.1225,-,2 Jul,6 Jul,26 Jul,1,,
Westpac Banking,ordinary,WBC,I,82.0,-,82.0,100,3,-,76.0,-,14 May,18 May,2 Jul,0,,
Westpac Banking,preferred,WBCPA,F,-,116.23,-,-,-,-,-,-,18 Jun,22 Jun,2 Jul,0,,
Westpac Banking,preferred ii,WBCPB,F,-,140.66,-,-,-,-,-,-,18 Jun,22 Jun,2 Jul,0,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,F,-,91.8,300.99,100,-,-,103.75,102.76,8 Jun,15 Jun,2 Jul,0,,
,
