Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-30T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
8I Hldgs,cdi 1:1,8IH,F,0.9397,-,0.9397,-,-,-,-,-,10 Jul,14 Jul,31 Aug,0,,
Bendigo&Adelaide Bk,cn 6m per q rd t,BENPD,I,271.2,-,271.2,100,4,4,-,266.49,26 May,28 May,15 Jun,0,,
Bendigo&Adelaide Bk,cn 6m per q rd t,BENPE,I,209.6,-,209.6,100,4,4,-,-,18 May,20 May,1 Jun,0,,
BetaShares DivHarv,etf units,HVST,I,-,-,-,-,3,-,-,-,1 Jun,3 Jun,17 Jun,1,,
BetaShares HighIntCash,etf units,AAA,I,-,-,-,-,3,-,14.3274,-,1 Jun,3 Jun,17 Jun,1,,
BT Invest Mgt,ordinary,BTT,I,17.0,-,17.0,40.00,3,-,16.0,-,13 May,15 May,2 Jul,0,,
C'wlth Bank  of Aust,cn 3m per q rd t,CBAPC,I,107.98,-,107.98,100,4,-,337.71,113.71,3 Jun,5 Jun,15 Jun,0,,
C'wlth Bank  of Aust,cn 3m per q rd t,CBAPD,I,90.34,-,90.34,100,4,-,-,-,3 Jun,5 Jun,15 Jun,0,,
CSR,ordinary,CSR,F,11.5,-,20.0,-,3,-,5.0,5.0,2 Jun,4 Jun,7 Jul,0,,
Desane Grp Hldgs,ordinary,DGH,I,15.0,-,15.0,100,3,-,2.0,-,11 Jun,15 Jun,30 Jun,0,,
DuluxGroup,ordinary,DLX,I,11.0,-,11.0,100,3,-,10.0,-,27 May,29 May,19 Jun,0,,
Gentrack Grp,ordinary,GTK,I,3.8621,-,3.8621,30.00,-,-,-,-,10 Jun,12 Jun,19 Jun,1,,
GrainCorp,a class ordinary,GNC,I,7.5,-,7.5,100,-,-,15.0,-,1 Jul,3 Jul,17 Jul,0,,
Incitec Pivot,ordinary,IPL,I,4.4,-,4.4,-,3,-,3.5,-,19 May,21 May,1 Jul,0,,
Infratil,ordinary,IFZ,F,13.3581,-,31.3566,-,4,-,3.3266,6.3903,3 Jun,5 Jun,15 Jun,0,,
Insurance Aust Grp,ctg pre 6m per q t,IAGPC,I,222.1,-,222.1,100,-,-,239.42,-,21 Oct,23 Oct,2 Nov,0,,
James Hardie Ind,chess depositary int,JHX,F,61.9078,-,71.7782,-,-,-,30.8756,55.4424,9 Jun,11 Jun,7 Aug,1,,
Kathmandu Hldgs,ordinary,KMD,I,2.9288,-,2.9288,100,-,-,2.3205,-,3 Jun,5 Jun,19 Jun,0,,
Macquarie Bank,cn 6m per q rd t,MBLPA,I,241.21,-,241.21,40.00,-,-,-,-,14 Sep,16 Sep,24 Sep,0,,
Macquarie Grp,ordinary,MQG,F,200.0,-,330.0,40.00,3,-,100.0,160.0,18 May,20 May,2 Jul,0,,
Macquarie Grp,tr pre 6m per q t,MQGPA,I,288.47,-,288.47,40.00,-,-,291.63,283.12,28 May,1 Jun,9 Jun,0,,
National Aust Bank,ordinary,NAB,I,99.0,-,99.0,100,3,3,99.0,-,15 May,19 May,3 Jul,0,,
National Aust Bank,cn 3m per q rd t,NABPA,I,98.79,-,98.79,100,-,-,306.67,103.3,2 Jun,4 Jun,22 Jun,0,,
National Aust Bank,cn 3m per q rd t,NABPB,I,98.19,-,98.19,100,-,-,100.8,104.01,28 May,1 Jun,17 Jun,0,,
National Aust Bank,cn 3mth per t-03-22,NABPC,I,101.72,-,101.72,100,-,-,-,-,11 Jun,15 Jun,23 Jun,0,,
Newhaven Hotels,ordinary,NHH,F,3.0,-,6.0,100,-,-,2.0,4.0,10 Jun,12 Jun,23 Jun,1,,
Orica,ordinary,ORI,I,40.0,-,40.0,35.00,3,-,40.0,-,28 May,1 Jun,1 Jul,0,,
OzForex Grp,ordinary,OFX,F,3.584,-,7.084,100,-,-,-,2.375,10 Jun,12 Jun,26 Jun,1,,
Preferred Capital,tr pre 3m per q su,PCAPA,I,110.29,-,110.29,100,4,-,390.04,130.6,24 Jun,26 Jun,6 Jul,0,,
Programmed Maint,ordinary,PRG,F,11.5,-,18.0,100,4,-,6.0,11.0,1 Jul,3 Jul,24 Jul,1,,
PTB Grp,ordinary,PTB,F,5.0,-,5.0,100,3,-,-,-,20 May,22 May,16 Jun,0,,
Ramsay Health Care,tr pre 6m per q rd t,RHCPA,I,250.94,-,250.94,100,-,-,261.93,263.29,30 Sep,2 Oct,20 Oct,0,,
ResMed Inc,cdi  10:1,RMD,I,3.0175,-,3.0175,-,-,-,2.3605,2.705,19 May,21 May,18 Jun,0,,
Ruralco Hldgs,ordinary,RHL,I,9.0,-,9.0,100,3,-,8.0,-,3 Jun,5 Jun,26 Jun,0,,
Sandon Capital Invest,ordinary,SNC,I,2.0,-,2.0,100,-,-,-,-,1 Jun,3 Jun,12 Jun,0,,
Seven Grp Hldgs,tr pre 3m per q rd,SVWPA,F,263.7,-,525.46,100,-,-,264.27,256.08,13 May,15 May,1 Jun,0,,
Suncorp Grp,cn 3m per q rd t,SUNPC,I,122.89,-,122.89,100,4,-,382.19,128.71,5 Jun,10 Jun,17 Jun,0,,
Suncorp Grp,cn 3m per q rd,SUNPD,I,128.25,-,128.25,-,-,-,407.88,140.02,12 Aug,14 Aug,24 Aug,1,,
Suncorp Grp,cn 3m per q rd t,SUNPE,I,100.83,-,100.83,100,4,-,-,46.67,29 May,2 Jun,17 Jun,0,,
Sunland Grp,ordinary,SDG,I,2.0,-,2.0,100,4,-,2.0,-,1 Jun,3 Jun,25 Jun,0,,
Sydney Airport,stapled us prohibit.,SYD,I,12.5,-,12.5,-,3,-,11.5,-,26 Jun,30 Jun,14 Aug,0,,
Tamawood,ordinary,TWD,I,10.0,-,10.0,100,4,-,8.0,-,11 May,13 May,3 Jun,0,,
Technology One,ordinary,TNE,I,2.15,-,2.15,100,-,-,1.95,-,1 Jun,3 Jun,17 Jun,1,,
Thorn Grp,ordinary,TGA,F,6.75,-,11.75,100,3,-,4.5,6.5,30 Jun,2 Jul,16 Jul,1,,
Tower,ordinary,TWR,I,6.7467,-,6.7467,-,4,-,5.0278,-,10 Jun,12 Jun,30 Jun,1,,
Transurban Grp,triple stapled sec.,TCL,F,20.5,-,40.0,17.07,3,-,17.0,18.0,26 Jun,30 Jun,14 Aug,0,,
Utd Overseas Aust,ordinary,UOS,F,2.0,-,2.5,-,3,-,0.5,2.0,13 May,15 May,5 Jun,0,,
Westpac Banking,ordinary,WBC,I,93.0,-,93.0,100,3,-,90.0,-,13 May,15 May,2 Jul,0,,
Westpac Banking,ctg pre 6m per rd t,WBCPC,F,191.45,-,400.87,100,-,-,-,208.94,18 Sep,22 Sep,30 Sep,0,,
Westpac Banking,cn 3m per q rd t,WBCPD,I,97.57,-,97.57,100,-,-,-,-,27 May,29 May,9 Jun,0,,
Westpac Banking,cn 3m per q rd t,WBCPE,I,93.6,-,93.6,100,-,-,-,-,11 Jun,15 Jun,23 Jun,0,,
Westpac TPS Tr,c pre 3m 09-55 q rd,WCTPA,I,55.73,-,55.73,100,-,-,67.18,-,11 Jun,15 Jun,30 Jun,0,,
Whitefield,ordinary,WHF,F,8.5,-,17.0,100,3,3,8.5,8.5,22 May,26 May,12 Jun,0,,
Whitefield,8.0% cumulative prf,WHFPA,F,4.0,-,8.0,100,-,-,4.0,4.0,22 May,26 May,12 Jun,0,,
Whitefield,con pre 7.00% per q,WHFPB,I,350.0,-,350.0,100,-,-,350.0,350.0,22 May,26 May,12 Jun,0,,
Z Energy,ordinary,ZNZ,F,15.4102,-,22.3061,-,-,-,6.8923,13.2175,20 May,22 May,3 Jun,0,,
,
