Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 11/9/2010|. Processed 16:43 Sunday 12/9/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Centennial Coal,ordinary,CEY,F,4,-,8,40,4,-,7,4,30/7/10,6/8/10,8/10/10,,,,,,,,,
Centrebet Intl,ordinary,CIL,F,8,-,13.5,100,-,-,-,5,3/9/10,9/9/10,23/9/10,,,,,,,,,
Century Aust,ordinary,CYA,F,5,-,8.5,100,4,-,-,-,7/9/10,13/9/10,30/9/10,,,,,,,,,
Challenger FSG,ordinary,CGF,F,8.5,-,14.5,-,4,-,-,7.5,17/9/10,23/9/10,15/10/10,,,,,,,,,
Chalmers Ltd,ordinary,CHR,F,8,-,15,100,-,-,-,7,10/9/10,16/9/10,4/10/10,,,,,,,,,
Chandler Macleod,ordinary,CMG,F,1,-,1.35,100,-,-,-,-,24/9/10,30/9/10,14/10/10,,,,,,,,,
CI Res Ltd,ordinary,CII,F,2,-,4,-,-,-,-,-,3/9/10,9/9/10,23/9/10,,,,,,,,,
CIC Aust Ltd,ordinary,CNB,I,1,-,1,100,3,-,1,-,14/9/10,20/9/10,19/10/10,,,,,,,,,
Clarius Grp Ltd,ordinary,CND,F,2,-,2,100,3,-,-,-,13/9/10,17/9/10,15/10/10,,,,,,,,,
Clime Invest,ordinary,CIW,F,1.25,-,2.25,100,-,-,1,-,24/9/10,30/9/10,8/10/10,,,,,,,,,
Clough Ltd,ordinary,CLO,F,2.2,-,2.2,9.09,-,-,-,2,9/9/10,15/9/10,6/10/10,,,,,,,,,
Clover Corp,ordinary,CLV,F,1.25,-,1.25,100,-,-,-,1,29/11/10,3/12/10,15/12/10,,,,,,,,,
Coca-Cola Amatil,ordinary,CCL,I,20.5,-,20.5,100,3,-,18.5,-,17/8/10,23/8/10,5/10/10,,,,,,,,,
Cochlear Ltd,ordinary,COH,F,105,-,200,60,-,-,-,95,27/8/10,2/9/10,23/9/10,,,,,,,,,
Codan Ltd,ordinary,CDA,F,4.5,-,8,100,-,-,-,3.5,9/9/10,15/9/10,1/10/10,,,,,,,,,
Coffey Intl,ordinary,COF,F,3.5,-,11,100,3,-,-,4.5,11/10/10,15/10/10,29/10/10,,,,,,,,,
Collection House,ordinary,CLH,F,3,-,5.8,100,-,-,-,2.6,8/11/10,12/11/10,26/11/10,,,,,,,,,
Colorpak Ltd,ordinary,CKL,F,2.75,-,4.25,100,4,-,-,1.75,3/9/10,9/9/10,5/10/10,,,,,,,,,
Commonwealth Bank,ordinary,CBA,F,170,-,290,100,3,-,-,115,16/8/10,20/8/10,1/10/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls v),CBAPA,I,280.59,-,573.19,100,-,-,306.57,256.97,19/10/10,25/10/10,1/11/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls iv),CBAPB,I,199.47,-,406.44,100,-,-,471.63,177.65,19/10/10,25/10/10,1/11/10,,,,,,,,,
Computershare Ltd,ordinary,CPU,F,14,-,28,60,-,-,-,11,17/8/10,23/8/10,14/9/10,,,,,,,,,
Consolidated Media,ordinary,CMJ,F,6,-,16.5,-,-,-,-,6,27/9/10,1/10/10,15/10/10,,,,,,,,,
Contango Capital,ordinary,CCQ,F,4,-,5,100,-,-,-,-,6/9/10,10/9/10,5/10/10,,,,,,,,,
Contango Microcap,ordinary,CTN,F,5,-,7,100,3,-,-,-,6/9/10,10/9/10,5/10/10,,,,,,,,,
Count Financial,ordinary,COU,I,2,-,4,100,-,-,5,2,22/11/10,26/11/10,15/12/10,,,,,,,,,
Country Road Ltd,ordinary,CTY,F,3.62,-,8.81,100,-,-,-,8.13,9/9/10,15/9/10,29/9/10,,,,,,,,,
Coventry Grp,ordinary,CYG,F,8,-,14,100,4,-,-,5,31/8/10,6/9/10,21/9/10,,,,,,,,,
Crane Grp Ltd,ordinary,CRG,F,22,-,40,100,3,-,-,28,10/8/10,16/8/10,30/9/10,,,,,,,,,
Credit Corp Grp,ordinary,CCP,F,5,-,8,100,3,-,-,2,6/9/10,10/9/10,8/10/10,,,,,,,,,
Crown Ltd,ordinary,CWN,F,19,-,37,60,-,-,-,19,27/9/10,1/10/10,15/10/10,,,,,,,,,
CSG Ltd,ordinary,CSV,F,3,-,5.5,100,-,-,-,2.5,9/9/10,15/9/10,1/10/10,,,,,,,,,
CSL Ltd,ordinary,CSL,F,45,-,80,11.74,4,-,-,40,13/9/10,17/9/10,8/10/10,,,,,,,,,
CTI Logistics,ordinary,CLX,F,3,-,6,100,4,4,-,3,29/10/10,5/11/10,19/11/10,,,,,,,,,
Customers Ltd,ordinary,CUS,F,8,-,8,-,-,-,-,-,24/11/10,30/11/10,14/12/10,,,,,,,,,
Data#3 Ltd,ordinary,DTL,F,33,-,56,100,4,-,-,30,10/9/10,16/9/10,30/9/10,,,,,,,,,
Desane Grp Hldings,ordinary,DGH,F,2,-,2,-,-,-,-,2,9/11/10,15/11/10,26/11/10,,,,,,,,,
Devine Ltd,ordinary,DVN,F,1,-,1,100,4,-,3,-,29/9/10,6/10/10,22/10/10,,,,,,,,,
Diploma Grp Ltd,ordinary,DGX,F,1,-,2,100,3,-,-,1,27/9/10,1/10/10,29/10/10,,,,,,,,,
Diversified United,ordinary,DUI,F,7,-,13,100,3,-,-,7,23/8/10,27/8/10,24/9/10,,,,,,,,,
DKN Financial Grp,ordinary,DKN,F,2.5,-,4.5,-,-,-,-,2,9/9/10,15/9/10,30/9/10,,,,,,,,,
Dolomatrix Internat,ordinary,DMX,F,1,-,1,100,-,-,-,-,13/9/10,17/9/10,29/10/10,,,,,,,,,
Dominion Min,ordinary,DOM,F,4,-,6,-,3,-,-,8,13/9/10,17/9/10,30/9/10,,,,,,,,,
Domino Pizza Enterpr,ordinary,DMP,F,11.8,-,17.8,100,4,-,-,8,24/8/10,30/8/10,15/9/10,,,,,,,,,
Downer Edi Ltd,ordinary,DOW,F,16,-,29.1,-,3,-,-,16,26/8/10,1/9/10,1/10/10,,,,,,,,,
DWS Advanced,ordinary,DWS,F,6.25,-,11.25,100,-,-,-,6,13/9/10,17/9/10,4/10/10,,,,,,,,,
Embelton Ltd,ordinary,EMB,F,19,-,30,100,-,-,-,13,16/9/10,22/9/10,14/10/10,,,,,,,,,
Emeco Hldgs,ordinary,EHL,F,2,-,2,100,-,-,-,2,31/8/10,6/9/10,30/9/10,,,,,,,,,
Emerging Leaders,ordinary,ELI,F,4.25,-,8,100,-,-,-,-,6/9/10,10/9/10,24/9/10,,,,,,,,,
Envestra Ltd,ordinary,ENV,F,2.75,-,5.5,-,3,-,2.75,-,13/9/10,17/9/10,29/10/10,,,,,,,,,
Equity Tr,ordinary,EQT,F,60,-,110,100,3,-,50,60,10/9/10,16/9/10,14/10/10,,,,,,,,,
Essa Aust,ordinary,ESS,F,1.75,-,1.75,100,-,-,-,-,20/9/10,24/9/10,11/10/10,,,,,,,,,
Ethane Pipeline,stapled securities,EPX,Q1,3.9,-,3.9,-,-,-,11.17,4.42,24/9/10,30/9/10,15/10/10,,,,,,,,,
FFI Hldgs,ordinary,FFI,F,15,-,65,100,3,-,-,11,29/10/10,5/11/10,12/11/10,,,,,,,,,
Fairfax Media Ltd,ordinary,FXJ,F,1.4,-,2.5,100,4,-,-,-,3/9/10,9/9/10,23/9/10,,,,,,,,,
Fantastic Hldgs,ordinary,FAN,F,4,-,10.25,100,-,-,-,5.5,27/9/10,1/10/10,15/10/10,,,,,,,,,
Fiducian Portfolio,ordinary,FPS,F,4.75,-,8.5,100,-,-,-,3,2/9/10,8/9/10,15/9/10,,,,,,,,,
Finbar Grp Ltd,ordinary,FRI,F,5.5,-,7.5,100,3,-,-,5,6/8/10,12/8/10,20/9/10,,,,,,,,,
FKP Prop Grp,stapled securities,FKP,F,1,-,1.5,-,3,-,-,1.45,24/6/10,30/6/10,30/9/10,,,,,,,,,
Fleetwood Corp,ordinary,FWD,F,38,-,68,100,3,-,-,36,1/9/10,7/9/10,30/9/10,,,,,,,,,
Fletcher Bld,ordinary,FBU,F,-,-,9.8878,-,4,-,17.8841,10.7436,27/9/10,1/10/10,20/10/10,,,,,,,,,
Flexigrp Ltd,ordinary,FXL,F,4.5,-,7.5,100,4,-,-,3,10/9/10,16/9/10,15/10/10,,,,,,,,,
Flight Centre,ordinary,FLT,F,44,-,70,100,-,-,-,-,10/9/10,16/9/10,7/10/10,,,,,,,,,
Forge Grp Ltd,ordinary,FGE,F,5,-,7,100,-,-,-,3,6/9/10,10/9/10,24/9/10,,,,,,,,,
GUD Hldgs,ordinary,GUD,F,34,-,62,100,3,-,-,33,10/9/10,16/9/10,30/9/10,,,,,,,,,
G8 Education Ltd,ordinary,GEM,Q1,1,-,1,-,-,-,-,-,24/9/10,30/9/10,7/10/10,,,,,,,,,
Gale Pacific Ltd,ordinary,GAP,F,2,-,2,100,4,-,-,-,20/9/10,24/9/10,22/10/10,,,,,,,,,
Garratt's Ltd,ordinary,GRT,F,2,-,3,-,-,-,-,2,24/9/10,30/9/10,15/10/10,,,,,,,,,
Gazal Corp,ordinary,GZL,F,7,-,11,100,4,-,-,4,1/9/10,7/9/10,1/10/10,,,,,,,,,
Gbst Hldgs,ordinary,GBT,F,2,-,2,100,-,-,-,-,10/9/10,16/9/10,30/9/10,,,,,,,,,
Gerard Lighting,ordinary,GLG,F,2,-,2,100,-,-,-,-,7/10/10,13/10/10,22/10/10,,,,,,,,,
Global Construct,ordinary,GCS,F,3.25,-,5.5,100,3,-,-,3.5,8/9/10,14/9/10,29/9/10,,,,,,,,,
Global Min,ordinary,GMI,F,4,-,5,100,4,-,-,-,6/9/10,10/9/10,24/9/10,,,,,,,,,
Globe Intl,ordinary,GLB,F,5,-,5,100,-,-,-,-,24/9/10,30/9/10,14/10/10,,,,,,,,,
Goodman Fielder,ordinary,GFF,F,5.5,-,10.75,20,3,-,4.5,6,29/9/10,6/10/10,28/10/10,,,,,,,,,
Goodman Plus Tr,step-up units,GMPPA,Q1,171.3973,-,171.3973,-,-,-,405.344,153.9097,8/9/10,14/9/10,21/9/10,,,,,,,,,
GPT Grp,stapled sec.,GPT,Q1,4.1,-,4.1,-,4,-,3.5,1,27/8/10,2/9/10,24/9/10,,,,,,,,,
Gunns Ltd,forests,GNSPA,Q1,172.43,-,172.43,100,-,-,458.56,169.2,24/9/10,30/9/10,14/10/10,,,,,,,,,
GWA Intl,ordinary,GWT,F,8.5,-,18,100,4,-,-,8.5,9/9/10,15/9/10,6/10/10,,,,,,,,,
Halcygen Pharma,ordinary,HGN,F,2,-,2,100,-,-,-,-,25/10/10,29/10/10,18/11/10,,,,,,,,,
Hansen Tech,ordinary,HSN,F,3,-,5,100,3,-,-,3,6/9/10,10/9/10,27/9/10,,,,,,,,,
Harvey Norman,ordinary,HVN,F,7,-,14,100,-,-,-,6,29/10/10,5/11/10,6/12/10,,,,,,,,,
Hastie Grp Ltd,ordinary,HST,F,4,-,9,100,4,-,7,5,30/8/10,3/9/10,18/10/10,,,,,,,,,
Healthscope Ltd,ordinary,HSP,F,12,-,23.5,100,4,-,-,11,27/9/10,1/10/10,4/10/10,,,,,,,,,
Henderson Grp,cdi 1:1,HGG,I,3.1365,-,3.1365,-,-,-,3.6025,-,30/8/10,3/9/10,24/9/10,,,,,,,,,
Hills Ind Ltd,ordinary,HIL,F,5.5,-,12.5,100,4,4,-,2,7/9/10,13/9/10,27/9/10,,,,,,,,,
Homeloans Ltd,ordinary,HOM,F,3.5,-,7,100,4,-,-,5.5,8/9/10,14/9/10,21/9/10,,,,,,,,,
Hunter Hall Global,ordinary,HHV,F,6,-,6,100,4,-,-,-,21/9/10,27/9/10,8/10/10,,,,,,,,,
Hunter Hall Inter,ordinary,HHL,F,24.7,-,45.3,100,3,-,-,26.4,2/9/10,8/9/10,20/9/10,,,,,,,,,
Hydromet Corp Ltd,ordinary,HMC,F,0.1,-,0.1,100,4,-,-,-,27/9/10,1/10/10,15/10/10,,,,,,,,,
Hyperion Flagship,ordinary,HIP,F,4.25,-,8.5,100,3,-,-,4.25,23/8/10,27/8/10,28/9/10,,,,,,,,,
iiNet Ltd,ordinary,IIN,F,6,-,9,100,-,-,-,5,31/8/10,6/9/10,1/10/10,,,,,,,,,
Independence Grp,ordinary,IGO,F,3,-,5,100,-,-,-,3,9/9/10,15/9/10,30/9/10,,,,,,,,,
Industrea Ltd,ordinary,IDL,F,1,-,1.3,100,3,-,-,1,8/10/10,14/10/10,5/11/10,,,,,,,,,
Infigen Energy,stapled securities,IFN,F,2,-,2,-,3,-,-,4.5,24/6/10,30/6/10,16/9/10,,,,,,,,,
Infomedia Ltd,ordinary,IFM,F,1.2,-,2.4,-,-,-,-,2.1,1/9/10,7/9/10,21/9/10,,,,,,,,,
Insurance Aust,ordinary,IAG,F,4.5,-,13,100,3,-,4,6,2/9/10,8/9/10,6/10/10,,,,,,,,,
Integrated Legal,ordinary,IAW,F,0.5,-,0.75,100,4,-,-,-,11/10/10,15/10/10,5/11/10,,,,,,,,,
Integrated Research,ordinary,IRI,F,1,-,3,45,-,-,-,2.5,19/8/10,25/8/10,17/9/10,,,,,,,,,
Invocare Ltd,ordinary,IVC,I,13,-,13,100,3,-,11.5,-,13/9/10,17/9/10,8/10/10,,,,,,,,,
Ioof Hldgs Ltd,ordinary,IFL,F,18,-,35,100,-,-,13,4,1/9/10,7/9/10,13/10/10,,,,,,,,,
Iress Market Tech,ordinary,IRE,I,14,-,14,100,-,-,13,-,10/9/10,16/9/10,30/9/10,,,,,,,,,
Ironbark Capital,ordinary,IBC,F,2,-,3.2,100,4,-,1.3,-,8/9/10,14/9/10,21/9/10,,,,,,,,,
ISS Grp Ltd,ordinary,ISS,F,0.5,-,0.5,100,4,-,-,-,20/9/10,24/9/10,29/10/10,,,,,,,,,
Jumbuck Entertainmnt,ordinary,JMB,F,1,-,1.5,100,-,-,-,2,10/9/10,16/9/10,30/9/10,,,,,,,,,
K & S Corp,ordinary,KSC,F,7,-,14,100,3,-,-,5,11/10/10,15/10/10,29/10/10,,,,,,,,,
Katana Capital,ordinary,KAT,F,1.25,-,2.75,100,-,-,-,-,16/9/10,22/9/10,4/10/10,,,,,,,,,
Keycorp Ltd,ordinary,KYC,F,2,-,3.5,100,-,-,6,1.5,2/9/10,8/9/10,24/9/10,,,,,,,,,
Kingsgate Cons,ordinary,KCN,F,20,-,35,-,3,-,-,15,6/9/10,10/9/10,24/9/10,,,,,,,,,
Konekt Ltd,ordinary,KKT,F,0.5,-,0.5,-,-,-,-,-,27/9/10,1/10/10,15/10/10,,,,,,,,,
Kresta Hldgs,ordinary,KRS,F,1.5,-,3.5,100,-,-,-,1,6/10/10,12/10/10,22/10/10,,,,,,,,,
Landmark White,ordinary,LMW,F,2,-,3.5,100,-,-,-,2,20/9/10,24/9/10,8/10/10,,,,,,,,,
Legend Corp,ordinary,LGD,F,1,-,1,100,-,-,-,-,27/9/10,1/10/10,27/10/10,,,,,,,,,
Leighton Hldgs,ordinary,LEI,F,85,-,150,100,-,-,-,55,6/9/10,10/9/10,30/9/10,,,,,,,,,
Lemarne Corp,ordinary,LMC,F,20,-,86,40,-,-,-,50,1/10/10,8/10/10,18/10/10,,,,,,,,,
Lend Lease Grp,unit/ord stapled,LLC,F,12,-,32,100,4,-,-,16,6/9/10,10/9/10,24/9/10,,,,,,,,,
Linc Energy Ltd,ordinary,LNC,I,10,-,10,100,-,-,-,-,6/9/10,10/9/10,8/10/10,,,,,,,,,
Lindsay Aust,ordinary,LAU,F,0.6,-,1.35,100,3,-,-,1,7/9/10,13/9/10,30/9/10,,,,,,,,,
Little World Bev,ordinary,LWB,F,5,-,9.5,100,-,-,-,2.5,14/9/10,20/9/10,30/9/10,,,,,,,,,
Logicamms Ltd,ordinary,LCM,F,3.5,-,6.25,100,-,-,-,3.5,13/9/10,17/9/10,30/9/10,,,,,,,,,
London City Equ,ordinary,LCE,F,1,-,1,100,3,-,-,1,24/9/10,30/9/10,20/10/10,,,,,,,,,
Ludowici Ltd,ordinary,LDW,I,10,-,10,-,3,-,6,-,8/9/10,14/9/10,24/9/10,,,,,,,,,
Lycopodium Ltd,ordinary,LYL,F,22,-,27,100,-,-,-,20,27/9/10,1/10/10,15/10/10,,,,,,,,,
M2 Telecomms,ordinary,MTU,F,5,-,10,100,3,-,-,3,1/10/10,8/10/10,29/10/10,,,,,,,,,
MAC Services (The),ordinary,MSL,F,4.75,-,9.25,100,-,-,-,4.25,27/9/10,1/10/10,15/10/10,,,,,,,,,
Macarthur Coal,ordinary,MCC,F,17,-,25,100,3,-,-,13,20/9/10,24/9/10,18/10/10,,,,,,,,,
Macmahon Hldgs,ordinary,MAH,F,1.5,-,3,-,-,-,-,-,9/9/10,15/9/10,13/10/10,,,,,,,,,
Macq Radio,ordinary,MRN,F,4,-,8,100,-,-,-,-,20/9/10,24/9/10,15/10/10,,,,,,,,,
