Weekly Roundup - ASX Dividends Declared
"Processed Monday at 21/09/2015 3:58:12 PM."



Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable
Bellamys Aust,ordinary,BAL,F,2.865,-,2.865,100,-,-,-,-,28 Aug,1 Sep,30 Sep,
Bendigo&Adelaide Bk,ordinary,BEN,F,33.0,-,66.0,100,3,3,31.0,33.0,18 Aug,20 Aug,30 Sep,
Bendigo&Adelaide Bk,ctg pre 6m per rd t,BENPD,I,253.52,-,253.52,100,4,4,273.9,-,25 Nov,27 Nov,14 Dec,
Bendigo&Adelaide Bk,ctg pre 6m per rd t,BENPE,I,189.53,-,189.53,100,4,4,59.29,-,16 Nov,18 Nov,30 Nov,
Bendigo&Adelaide Bk,ctg pre 6m per rd t,BENPF,I,219.82,-,219.82,100,4,4,-,-,1 Dec,3 Dec,15 Dec,
Bentley Capital,ordinary,BEL,F,0.5,-,1.05,100,3,-,1.0,0.95,9 Sep,11 Sep,25 Sep,
Beyond Int'l,ordinary,BYI,F,5.0,-,10.0,-,-,-,4.0,5.0,16 Sep,18 Sep,16 Oct,
BHP Billiton,ordinary,BHP,F,87.7814,-,168.6053,100,-,-,64.7236,66.1994,9 Sep,11 Sep,29 Sep,
BigAir Grp,ordinary,BGL,F,1.2,-,1.2,100,-,-,-,1.1,26 Aug,28 Aug,30 Sep,
Bisalloy Steel,ordinary,BIS,F,4.0,-,4.0,100,3,-,-,-,4 Nov,6 Nov,30 Nov,
Blackmores,ordinary,BKL,F,135.0,-,203.0,100,-,-,44.0,83.0,4 Sep,8 Sep,22 Sep,
Blackwall Prop Tr,ordinary units,BWR,F,6.0,-,11.5,-,-,-,-,0.35,14 Oct,16 Oct,6 Nov,
Blackwall Property,ordinary,BWF,F,1.7,-,3.0,100,-,-,1.2,1.3,14 Oct,16 Oct,6 Nov,
Blue Sky Access Fd,ordinary,BAF,F,3.0,-,3.0,100,3,-,-,-,20 Oct,22 Oct,6 Nov,
Blue Sky Alt Invest,ordinary,BLA,F,11.0,-,11.0,100,-,-,-,7.0,9 Sep,11 Sep,2 Oct,
BlueScope Steel,ordinary,BSL,F,3.0,-,6.0,100,4,-,-,-,17 Sep,21 Sep,19 Oct,
Boral,ordinary,BLD,F,9.5,-,18.0,100,4,-,7.0,8.0,2 Sep,4 Sep,28 Sep,
BPS Technology,ordinary,BPS,F,3.25,-,5.5,-,-,-,-,-,30 Sep,2 Oct,23 Oct,
Brambles,ordinary,BXB,F,14.0,-,28.0,30.00,3,-,13.5,13.5,9 Sep,11 Sep,8 Oct,
Breville Grp,ordinary,BRG,F,13.0,-,27.0,100,4,-,14.0,13.0,16 Sep,18 Sep,9 Oct,
Burson Grp Ltd,ordinary,BAP,F,4.7,-,8.7,100,-,-,-,-,8 Sep,10 Sep,30 Sep,
Cabcharge Aust,ordinary,CAB,F,10.0,-,20.0,100,-,-,15.0,10.0,28 Sep,30 Sep,29 Oct,
Cadence Capital,ordinary,CDM,F,6.0,-,11.0,100,3,-,5.0,5.0,20 Oct,22 Oct,29 Oct,
Caltex Aust,ordinary,CTX,I,47.0,-,47.0,100,-,-,20.0,-,4 Sep,8 Sep,30 Sep,
Capitol Health,ordinary,CAJ,F,0.65,-,1.25,100,3,-,0.4,0.5,23 Sep,25 Sep,23 Oct,
Cardno,ordinary,CDD,F,7.0,-,20.0,100,3,-,19.0,17.0,4 Sep,8 Sep,2 Oct,
Carlton Invest,ordinary,CIN,F,65.0,-,108.0,100,4,-,37.0,63.0,31 Aug,2 Sep,21 Sep,
Carlton Invest,7% cum.pref.,CINPA,F,7.0,-,14.0,100,4,-,7.0,7.0,31 Aug,2 Sep,21 Sep,
Carsales.com,ordinary,CAR,F,19.1,-,35.3,100,3,-,-,-,16 Sep,18 Sep,15 Oct,
CBG Capital,ordinary,CBC,F,1.5,-,1.5,100,3,-,-,-,18 Nov,20 Nov,27 Nov,
Cedar Woods Prop,ordinary,CWP,F,16.0,-,16.0,100,3,3,12.0,15.5,30 Sep,2 Oct,30 Oct,
Cellnet Grp,ordinary,CLT,F,1.0,-,1.0,100,-,-,-,-,7 Sep,9 Sep,23 Sep,
Centrepoint Alliance,ordinary,CAF,F,1.2,-,2.2,100,3,-,-,2.2,23 Sep,25 Sep,16 Oct,
Century Aust,ordinary,CYA,F,1.75,-,3.25,100,-,-,3.0,2.0,10 Sep,14 Sep,30 Sep,
Challenger,ordinary,CGF,F,15.5,-,30.0,100,3,-,12.5,13.5,31 Aug,2 Sep,30 Sep,
Challenger,ctg pre 3m per q t,CGFPA,I,97.0,-,97.0,100,-,-,-,-,13 Nov,17 Nov,25 Nov,
CI Res,ordinary,CII,F,5.0,-,7.5,100,-,-,-,-,24 Sep,28 Sep,26 Oct,
Cimic Grp,ordinary,CIM,I,46.0,-,46.0,100,-,-,-,-,14 Sep,16 Sep,2 Oct,
Clime Capital,ordinary,CAM,I,1.2,-,1.2,100,3,-,1.15,-,1 Oct,6 Oct,23 Oct,
Clime Capital,ctg pre 7.50% per 3m,CAMPA,I,4.5,-,4.5,100,-,-,4.75,-,1 Oct,6 Oct,22 Oct,
Clime Invest,ordinary,CIW,F,3.0,-,6.0,100,-,-,2.5,3.0,16 Sep,18 Sep,25 Sep,
Coca-Cola Amatil,ordinary,CCL,I,20.0,-,20.0,75.00,3,-,20.0,-,26 Aug,28 Aug,6 Oct,
Cochlear,ordinary,COH,F,100.0,-,190.0,100,-,-,127.0,127.0,8 Sep,10 Sep,1 Oct,
Codan,ordinary,CDA,F,2.0,-,3.5,100,-,-,1.5,1.5,11 Sep,15 Sep,1 Oct,
Collection House,ordinary,CLH,F,4.7,-,9.1,100,3,-,3.9,4.1,22 Sep,24 Sep,16 Oct,
Colorpak,ordinary,CKL,F,1.25,-,2.5,100,3,-,1.75,1.75,8 Sep,10 Sep,7 Oct,
C'wlth Bank  of Aust,ordinary,CBA,F,222.0,-,420.0,100,3,-,183.0,218.0,18 Aug,20 Aug,1 Oct,
C'wlth Bank  of Aust,cn 3m per q rd t-20,CBAPC,I,104.36,-,104.36,100,4,-,112.51,-,3 Dec,7 Dec,15 Dec,
C'wlth Bank  of Aust,cn 3m per q rd t-24,CBAPD,I,86.91,-,86.91,100,4,-,79.08,-,3 Dec,7 Dec,15 Dec,
Contango Microcap,ordinary,CTN,F,3.7,-,7.7,50.00,3,-,4.0,4.6,7 Sep,9 Sep,30 Sep,
Corporate Travel,ordinary,CTD,F,10.0,-,16.0,100,-,-,4.5,7.5,8 Sep,10 Sep,9 Oct,
Countplus,ordinary,CUP,I,2.0,-,2.0,100,-,-,9.0,2.0,27 Oct,29 Oct,16 Nov,
Coventry Grp,ordinary,CYG,F,2.5,-,24.25,100,4,-,11.0,11.0,9 Oct,13 Oct,27 Oct,
Cover-More Grp,ordinary,CVO,F,4.1,-,9.1,100,-,-,-,7.2,26 Aug,28 Aug,20 Oct,
Credit Corp Grp,ordinary,CCP,F,22.0,-,44.0,100,3,-,20.0,20.0,19 Oct,21 Oct,30 Oct,
Crown Resorts,ordinary,CWN,F,19.0,-,37.0,50.00,-,-,18.0,19.0,23 Sep,25 Sep,9 Oct,
Cryosite,ordinary,CTE,F,0.5,-,1.0,-,-,-,0.5,1.0,8 Sep,10 Sep,1 Oct,
CSL,ordinary,CSL,F,89.991,-,164.376,-,4,-,58.883,64.848,7 Sep,9 Sep,2 Oct,
CTI Logistics,ordinary,CLX,F,4.0,-,8.0,100,3,3,4.0,4.0,4 Nov,6 Nov,20 Nov,
Cyclopharm,ordinary,CYC,I,0.5,-,0.5,100,-,-,-,-,2 Oct,7 Oct,14 Oct,
Data#3,ordinary,DTL,F,4.2,-,6.3,100,-,-,1.5,3.0,14 Sep,16 Sep,30 Sep,
Decmil Grp,ordinary,DCG,F,8.5,-,13.0,100,-,-,4.5,8.5,2 Sep,4 Sep,25 Sep,
Desane Grp Hldgs,ordinary,DGH,F,2.0,-,17.0,100,3,-,2.0,2.0,10 Nov,12 Nov,26 Nov,
Dick Smith Hldgs,ordinary,DSH,F,5.0,-,12.0,100,-,-,-,8.0,27 Aug,31 Aug,30 Sep,
Diversified United Inv,ordinary,DUI,F,7.5,-,14.0,100,3,-,6.5,7.5,2 Sep,4 Sep,25 Sep,
DWS,ordinary,DWS,F,3.75,-,7.5,100,-,-,4.5,4.25,2 Sep,4 Sep,2 Oct,
eBet,ordinary,EBT,F,14.0,-,14.0,25.00,-,-,-,5.5,25 Aug,27 Aug,25 Sep,
EBOS Grp,ordinary,EBO,F,20.0447,-,38.8814,-,3,-,17.7585,16.4969,30 Sep,2 Oct,16 Oct,
Ellerston Global,ordinary,EGI,F,1.0,-,1.0,100,3,-,-,-,17 Sep,21 Sep,8 Oct,
Embelton,ordinary,EMB,F,20.0,-,34.0,100,-,-,13.0,17.5,16 Sep,18 Sep,9 Oct,
Energy Action Ltd,ordinary,EAX,F,1.06,-,3.65,100,-,-,3.73,3.62,24 Aug,26 Aug,21 Oct,
Equity Trustees,ordinary,EQT,F,48.0,-,94.0,100,3,-,46.0,48.0,15 Sep,17 Sep,16 Oct,
ERM Power,ordinary,EPW,F,6.0,-,12.0,33.00,3,-,6.0,6.0,9 Sep,11 Sep,7 Oct,
Estia Health Ltd,ordinary,EHE,F,13.6,-,13.6,100,3,-,-,-,28 Sep,30 Sep,26 Oct,
Ethane Pipeline,stapled securities,EPX,I,3.25,-,3.25,76.79,-,-,3.2,-,28 Sep,30 Sep,15 Oct,
Eumundi Grp,ordinary,EBG,F,0.3,-,0.5,100,3,-,0.5,-,8 Oct,12 Oct,19 Oct,
Evolution Mining,ordinary,EVN,F,1.0,-,2.0,-,3,-,1.0,1.0,3 Sep,7 Sep,2 Oct,
FFI Hldgs,ordinary,FFI,F,11.0,-,19.0,100,3,-,10.0,7.5,14 Sep,16 Sep,25 Sep,
Fantastic Hldgs,ordinary,FAN,F,5.0,-,15.0,100,-,-,3.0,3.0,29 Sep,1 Oct,15 Oct,
Fatfish Internet Grp,ordinary,FFG,I,14.0,-,14.0,-,-,-,-,-,23 Sep,25 Sep,11 Mar,
Fiducian Grp,ordinary fully paid,FID,F,5.5,-,10.0,100,-,-,-,-,8 Sep,10 Sep,24 Sep,
Finbar Grp,ordinary,FRI,F,6.0,-,10.0,100,3,-,4.0,6.0,11 Aug,13 Aug,24 Sep,
Fletcher Bldg,ordinary,FBU,F,17.0445,-,31.9943,-,3,-,14.4626,16.4504,23 Sep,25 Sep,14 Oct,
FlexiGroup,ordinary,FXL,F,9.0,-,17.75,100,-,-,8.0,8.5,9 Sep,11 Sep,16 Oct,
Flight Centre Travel,ordinary,FLT,F,97.0,-,152.0,100,-,-,55.0,97.0,16 Sep,18 Sep,16 Oct,
Fortescue Metals Grp,ordinary,FMG,F,2.0,-,5.0,100,3,-,10.0,10.0,3 Sep,7 Sep,5 Oct,
Freedom Foods Grp,ordinary,FNP,F,1.5,-,3.0,100,3,-,1.5,1.5,29 Oct,2 Nov,30 Nov,
Future Generation Inv,ordinary,FGX,F,2.0,-,2.0,100,3,-,-,-,12 Oct,14 Oct,23 Oct,
G8 Education,ordinary,GEM,I,6.0,-,6.0,100,3,-,5.0,-,16 Sep,18 Sep,7 Oct,
Gale Pacific,ordinary,GAP,F,1.0,-,1.0,-,4,-,1.3,1.35,13 Nov,17 Nov,1 Dec,
Garda Div Prop Fund,ordinary units,GDF,I,2.25,-,2.25,-,-,-,-,-,28 Sep,30 Sep,22 Oct,
Gazal Corp,ordinary,GZL,F,8.0,-,14.0,100,4,-,7.0,11.0,15 Sep,17 Sep,2 Oct,
GBST Hldgs,ordinary,GBT,F,5.5,-,10.5,100,-,-,4.0,4.5,28 Sep,30 Sep,14 Oct,
Genesis Energy,ordinary,GNE,F,7.2184,-,14.89,-,-,-,-,5.903,30 Sep,2 Oct,16 Oct,
Global Value Fnd,ordinary,GVF,F,2.0,-,2.0,100,-,-,-,-,21 Oct,23 Oct,6 Nov,
Globe Int'l,ordinary,GLB,F,4.0,-,7.0,100,-,-,-,-,28 Aug,1 Sep,15 Oct,
Godfreys Grp,ordinary,GFY,I,15.4,-,15.4,29.69,-,-,-,-,23 Sep,25 Sep,9 Oct,
Goodman Plus Tr,hy 3m per q t sd,GMPPA,I,152.2411,-,152.2411,-,-,-,165.726,-,21 Sep,23 Sep,30 Sep,
GR Engineering,ordinary,GNG,F,5.0,-,9.5,100,-,-,3.0,4.0,9 Sep,11 Sep,25 Sep,
Hansen Tech,ordinary,HSN,F,3.0,-,6.0,83.33,3,-,3.0,3.0,7 Sep,9 Sep,30 Sep,
Harvey Norman,ordinary,HVN,F,11.0,-,20.0,100,-,-,14.0,-,29 Oct,2 Nov,1 Dec,
Healthscope,ordinary,HSO,F,3.7,-,7.0,-,-,-,-,-,10 Sep,14 Sep,29 Sep,
Homeloans,ordinary,HOM,F,2.0,-,4.0,100,4,-,3.0,2.0,11 Sep,15 Sep,5 Oct,
Hunter Hall Int'l,ordinary,HHL,F,9.5,-,15.5,100,3,-,7.0,6.4,8 Sep,10 Sep,24 Sep,
ICSGlobal,ordinary,ICS,F,2.5,-,4.0,-,-,-,0.1,0.1,7 Oct,9 Oct,6 Nov,
Iluka Res,ordinary,ILU,I,6.0,-,6.0,100,-,-,6.0,-,31 Aug,2 Sep,29 Sep,
IMF Bentham,ordinary,IMF,F,5.0,-,10.0,100,3,-,5.0,5.0,23 Sep,25 Sep,9 Oct,
Imperial Pacific,ordinary,IPC,F,5.0,-,5.0,100,4,-,-,5.0,29 Sep,1 Oct,15 Oct,
Insurance Aust Grp,ordinary,IAG,F,16.0,-,29.0,100,3,-,13.0,26.0,7 Sep,9 Sep,7 Oct,
Insurance Aust Grp,ctg pre 6m per q t,IAGPC,I,222.1,-,222.1,100,-,-,239.42,-,21 Oct,23 Oct,2 Nov,
Integrated Research,ordinary,IRI,F,4.0,-,7.5,35.00,-,-,2.5,2.5,3 Sep,7 Sep,22 Sep,
Intueri Edu Grp,ordinary,IQE,F,5.3801,-,12.81,12.80,-,-,-,-,9 Sep,11 Sep,25 Sep,
InvoCare,ordinary,IVC,I,15.75,-,15.75,100,3,-,15.75,-,15 Sep,17 Sep,9 Oct,
IOOF Hldgs,ordinary,IFL,F,28.0,-,53.0,100,-,-,22.5,25.0,22 Sep,24 Sep,15 Oct,
IPH,ordinary,IPH,F,10.0,-,13.5,50.00,3,-,-,-,3 Sep,7 Sep,7 Oct,
IRESS,ordinary,IRE,I,16.0,-,16.0,50.00,-,-,16.0,-,9 Sep,11 Sep,25 Sep,
Japara Healthcare,ordinary,JHC,F,5.5,-,11.0,100,-,-,-,-,7 Oct,9 Oct,30 Oct,
Joyce Corp,ordinary,JYC,F,3.0,-,5.5,100,-,-,1.5,2.1,1 Oct,6 Oct,23 Oct,
Jumbo Interactive,ordinary,JIN,F,1.5,-,3.0,100,4,-,1.5,1.5,2 Sep,4 Sep,25 Sep,
K & S Corp,ordinary,KSC,F,3.5,-,7.0,100,3,-,3.0,3.0,15 Oct,19 Oct,2 Nov,
Keybridge Capital,ordinary,KBC,F,0.25,-,0.5,100,-,-,-,-,15 Sep,17 Sep,1 Oct,
Keybridge Capital,cbnd 7% 07-20 3m rd,KBCPA,I,1.5726,-,1.5726,100,-,-,-,-,16 Sep,18 Sep,21 Sep,
Landmark White,ordinary,LMW,F,2.5,-,3.75,100,-,-,1.25,2.5,16 Sep,18 Sep,2 Oct,
Laserbond,ordinary,LBL,F,0.2,-,0.4,100,3,-,0.2,0.2,9 Sep,11 Sep,7 Oct,
Legend Corp,ordinary,LGD,F,1.0,-,1.75,100,4,-,0.75,1.0,23 Sep,25 Sep,23 Oct,
Life Healthcare Grp,ordinary,LHC,F,7.5,-,15.0,-,-,-,-,7.5,2 Sep,4 Sep,25 Sep,
Lifestyle Commun,ordinary,LIC,F,1.5,-,1.5,100,-,-,-,-,9 Sep,11 Sep,9 Oct,
Lindsay Aust,ordinary,LAU,F,1.0,-,2.1,100,3,-,1.1,0.9,11 Sep,15 Sep,30 Sep,
LogiCamms,ordinary,LCM,F,3.5,-,7.0,50.00,-,-,2.0,3.5,9 Sep,11 Sep,25 Sep,
London City Equities,ordinary,LCE,F,1.0,-,1.0,100,4,-,-,1.0,29 Sep,1 Oct,15 Oct,
Lovisa Hldgs,ordinary,LOV,F,4.07,-,10.74,100,-,-,-,-,11 Sep,15 Sep,30 Oct,
M2 Grp,ordinary,MTU,F,17.0,-,32.0,100,3,-,11.5,14.5,2 Oct,7 Oct,29 Oct,
MACA,ordinary,MLD,F,7.5,-,14.5,100,-,-,25.0,-,2 Sep,4 Sep,25 Sep,
Macq Atlas Roads,ordinary stapled,MQA,F,10.0,-,16.0,-,-,-,5.0,8.2,18 Sep,22 Sep,30 Sep,
Macquarie Bank,cn 6m per q rd t-23,MBLPA,I,241.21,-,241.21,40.00,-,-,-,-,14 Sep,16 Sep,24 Sep,
Macq Telecom Grp,ordinary,MAQ,F,25.0,-,25.0,100,-,-,12.0,-,11 Sep,15 Sep,13 Oct,
Magellan Flagship,ordinary,MFF,F,1.0,-,2.0,100,3,-,1.0,1.0,13 Oct,15 Oct,12 Nov,
Mantra Grp,ordinary,MTR,F,5.0,-,10.0,100,3,-,-,-,1 Sep,3 Sep,6 Oct,
Mastermyne Grp,ordinary,MYE,F,1.0,-,2.0,100,4,-,1.0,1.4,23 Sep,25 Sep,15 Oct,
Matrix C & E,ordinary,MCE,F,1.0,-,3.0,100,-,-,-,-,14 Sep,16 Sep,30 Sep,
McMillan Shakespr,ordinary,MMS,F,27.0,-,52.0,100,-,-,21.0,31.0,29 Sep,1 Oct,16 Oct,
McPherson's,ordinary,MCP,F,2.0,-,8.0,100,3,-,6.0,5.0,21 Oct,23 Oct,10 Nov,
Medibank Private,ordinary,MPL,F,5.3,-,5.3,100,-,-,-,-,3 Sep,7 Sep,28 Sep,
Melbourne IT,ordinary,MLB,I,1.0,-,1.0,80.00,4,-,1.0,-,11 Sep,15 Sep,30 Sep,
Meridian Energy,ordinary,MEZ,F,9.7608,-,9.7608,-,-,-,-,-,28 Sep,30 Sep,15 Oct,
Metals X,ordinary,MLX,F,2.95,-,2.95,26.00,3,-,-,-,31 Aug,2 Sep,25 Sep,
Metlifecare,ordinary,MEQ,F,2.3037,-,3.5553,-,3,-,0.9928,1.8948,15 Sep,17 Sep,1 Oct,
MGM Wireless,ordinary,MWR,F,1.3,-,1.3,-,3,-,-,1.1,21 Sep,23 Sep,4 Nov,
Mighty River Power,ordinary,MYT,F,9.884,-,15.2723,-,-,-,4.8766,7.4318,10 Sep,14 Sep,30 Sep,
Mineral Resources,ordinary,MIN,F,15.0,-,22.5,100,3,-,30.0,32.0,2 Sep,4 Sep,8 Oct,
MMA Offshore,ordinary,MRM,F,1.5,-,5.5,100,3,-,5.5,7.0,4 Sep,8 Sep,29 Sep,
Monadelphous Grp,ordinary,MND,F,46.0,-,92.0,100,3,-,60.0,63.0,9 Sep,11 Sep,2 Oct,
Monash IVF Grp,ordinary,MVF,F,3.7,-,6.95,100,-,-,-,-,9 Sep,11 Sep,15 Oct,
Money3 Corp,ordinary,MNY,F,2.75,-,5.25,100,3,-,2.0,2.5,6 Oct,8 Oct,23 Oct,
My Net Fone,ordinary,MNF,F,3.25,-,5.75,100,3,-,2.0,2.5,1 Sep,3 Sep,30 Sep,
MyState,ordinary,MYS,F,14.5,-,28.5,100,-,-,14.0,14.5,9 Sep,11 Sep,2 Oct,
NAOS Absolute Opp,ordinary,NAC,F,2.0,-,2.0,100,3,-,-,-,21 Oct,23 Oct,13 Nov,
NAOS Emerging Opp,ordinary,NCC,F,3.0,-,6.25,100,3,-,2.75,3.0,20 Oct,22 Oct,12 Nov,
National Aust Bank,ctg pre 3m per rd t-,NABPA,I,93.43,-,93.43,100,-,-,304.11,106.33,2 Sep,4 Sep,21 Sep,
National Aust Bank,ctg pre 3m per rd t-,NABPB,I,94.68,-,94.68,100,-,-,204.81,104.89,30 Nov,2 Dec,17 Dec,
National Aust Bank,cn 3m per q rd t-23,NABPC,I,99.69,-,99.69,100,-,-,-,-,11 Sep,15 Sep,23 Sep,
News Corp,b voting cdi,NWS,F,9.4915,-,9.4915,-,-,-,-,-,14 Sep,16 Sep,21 Oct,
News Corp,a non-voting cdi,NWSLV,F,9.4915,-,9.4915,-,-,-,-,-,14 Sep,16 Sep,21 Oct,
NIB Hldgs,ordinary,NHF,F,6.0,-,11.5,100,-,-,5.25,14.75,9 Sep,11 Sep,9 Oct,
Nick Scali,ordinary,NCK,F,8.0,-,15.0,100,-,-,6.0,7.0,2 Oct,7 Oct,28 Oct,
Nine Entertainment,ordinary,NEC,F,5.0,-,9.2,100,-,-,-,4.2,14 Sep,16 Sep,19 Oct,
Northern Star Res,ordinary,NST,F,3.0,-,5.0,100,-,-,1.0,2.5,10 Sep,14 Sep,2 Oct,
NSX Sug,ordinary - national,SUG,F,3.1,-,6.2,100,-,-,-,3.0,9 Sep,11 Sep,30 Sep,
Nuplex Industries,ordinary,NPX,F,12.9562,-,21.1553,-,4,-,7.9358,8.5256,24 Sep,28 Sep,12 Oct,
Oil Search,ordinary,OSH,I,8.6331,-,8.6331,-,4,-,2.1844,-,4 Sep,8 Sep,29 Sep,
oOh! Media,ordinary,OML,I,2.8,-,2.8,100,-,-,-,-,31 Aug,2 Sep,23 Sep,
Opus Grp Ltd,ordinary,OPG,F,1.0,-,1.0,100,-,-,-,-,26 Oct,28 Oct,11 Nov,
