Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 28/11/2009|. Processed 20:28 Sunday 29/11/2009.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Telecom Corp,ordinary,TEL,I,4.1262,-,8.4022,-,3,-,12.431,4.0852,16/11/09,20/11/09,4/12/09
TFS Corp Ltd,ordinary,TFC,F,3,-,4.25,100,3,-,1,3,26/11/09,2/12/09,22/12/09
Thorn Grp Ltd,ordinary,TGA,I,2.56,-,2.56,100,-,-,-,-,15/12/09,21/12/09,14/1/10
Tower Aust,ordinary,TAL,F,5.25,-,5.25,100,3,-,-,-,4/1/10,8/1/10,25/1/10
Tower Ltd,ordinary,TWR,F,-,-,-,-,3,-,-,-,11/1/10,15/1/10,2/2/10
Tutt Bryant Grp,ordinary,TBG,I,2,-,2,100,3,-,3,-,4/1/10,8/1/10,20/1/10
Village Roadshow,ordinary,VRL,F,6,-,9.75,100,-,-,17.5,9,12/11/09,18/11/09,2/12/09
Village Roadshow,a' class preference,VRLPA,F,9,-,12.75,100,-,-,17.5,12,12/11/09,18/11/09,2/12/09
Waterco Ltd,ordinary,WAT,F,3,-,5,100,3,-,-,3,9/11/09,13/11/09,18/12/09
Westpac Banking,ordinary,WBC,F,60,-,116,100,3,-,70,72,9/11/09,13/11/09,21/12/09
Westpac Banking,preferred,WBCPA,I,-,101.51,-,-,-,-,165.15,-,18/12/09,24/12/09,31/12/09
Westpac Banking,preferred ii,WBCPB,I,-,126.21,-,-,-,-,-,-,18/12/09,24/12/09,31/12/09
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,I,-,76.81,73.4,-,-,-,239.14,71.79,8/12/09,14/12/09,31/12/09
Whitefield Ltd,ordinary,WHF,I,8.5,-,8.5,100,3,-,8.5,-,17/11/09,23/11/09,7/12/09
Whitefield Ltd,8.0% cumulative prf,WHFPA,I,4,-,4,100,-,-,4,-,17/11/09,23/11/09,7/12/09
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
