Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 23/1/2010|. Processed 19:42 Monday 25/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aurora Sand Au Tr,ordinary units,ABW,I,4.5,-,4.5,-,3,-,-,35.14,23/12/09,31/12/09,16/2/10,,,,,,,,,
Aurora Sandringham,ordinary units,AOD,I,3,-,3,186.7,3,-,-,4.171,23/12/09,31/12/09,12/2/10,,,,,,,,,
Australand Prop,stapled security,ALZ,F,2,-,5,-,4,-,4,4,23/12/09,31/12/09,8/2/10,,,,,,,,,
Aust Infrastr,units/ordinary,AIX,I,-,5,-,-,4,-,-,8.5,23/12/09,31/12/09,26/2/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,12/4/10,16/4/10,3/5/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q3,99.25,-,270.32,100,-,-,162.85,152.98,15/2/10,19/2/10,15/3/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q3,102,-,286,100,-,-,335,86,18/3/10,24/3/10,12/4/10,,,,,,,,,
Bunnings Warehouse,ordinary units,BWP,I,-,6.09,-,-,3,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
Carindale Prop,unit,CDP,I,-,13.59,-,-,-,-,-,12.92,23/12/09,31/12/09,26/2/10,,,,,,,,,
CFS Retail Prop,units,CFX,I,-,6.2,-,-,3,-,-,6,23/12/09,31/12/09,25/2/10,,,,,,,,,
Challenger Div Pro,stapled units,CDI,I,-,2.05,-,-,3,-,-,4.23,23/12/09,31/12/09,26/2/10,,,,,,,,,
Challenger Infrast,stapled units,CIF,I,-,7,-,-,-,-,-,19.5,23/12/09,31/12/09,25/2/10,,,,,,,,,
Challenger Kenedix,ordinary units,CKT,I,-,3,-,-,4,-,-,7.55,23/12/09,31/12/09,26/2/10,,,,,,,,,
Challenger Winetr,ordinary units,CWT,I,-,3.25,1.2,-,3,-,3.564,1.2,23/12/09,31/12/09,9/2/10,,,,,,,,,
Charter Hall Grp,stapled us prohibit.,CHC,I,-,1.6,-,-,3,-,-,6.3,23/12/09,31/12/09,26/2/10,,,,,,,,,
Clime Capital,ordinary,CAM,Q3,1,-,2,100,3,-,-,-,8/1/10,14/1/10,29/1/10,,,,,,,,,
Clime Capital,7.5% non-cum. pref,CAMPA,Q3,4.5,-,13.5,100,-,-,-,4.5,7/1/10,13/1/10,28/1/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls v),CBAPA,Q3,306.57,-,306.57,100,-,-,-,-,19/1/10,25/1/10,1/2/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls iv),CBAPB,Q3,172.54,-,471.63,100,-,-,312.12,247.22,19/1/10,25/1/10,1/2/10,,,,,,,,,
Commonwealth Prop,ordinary units,CPA,I,-,2.65,-,-,-,-,-,4.6,23/12/09,31/12/09,25/2/10,,,,,,,,,
Contango Microcap,ordinary,CTN,I,2,-,2,100,3,-,-,4,22/1/10,29/1/10,12/3/10,,,,,,,,,
Cromwell Grp,stapled securities,CMW,I,2,-,4,-,4,-,7.5,1.5,23/12/09,31/12/09,15/2/10,,,,,,,,,
Dexus Prop Grp,stapled units,DXS,I,2.65,-,2.65,-,3,-,-,6,23/12/09,31/12/09,26/2/10,,,,,,,,,
Djerriwarrh,ordinary,DJW,I,10,-,10,100,3,-,-,16,29/1/10,4/2/10,19/2/10,,,,,,,,,
Duet Grp,stapled us prohibit.,DUE,I,10,-,10,-,3,-,-,13.5,23/12/09,31/12/09,16/2/10,,,,,,,,,
Emerging Leaders,ordinary,ELI,I,3.75,-,3.75,100,-,-,-,3.75,6/1/10,12/1/10,29/1/10,,,,,,,,,
Environmental Grp,ordinary,EGL,F,0.2,-,0.2,100,3,-,-,0.3,11/1/10,15/1/10,29/1/10,,,,,,,,,
FKP Prop Grp,stapled securities,FKP,I,-,0.5,-,-,3,-,-,15.7,23/12/09,31/12/09,14/4/10,,,,,,,,,
Goodman Grp,stapled us prohibit.,GMG,I,-,1.5,-,-,4,-,-,8.5,23/12/09,31/12/09,26/2/10,,,,,,,,,
Growthpoint Prop,ord/unit stapled sec,GOZ,I,-,5.5,-,-,4,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
Hastings Diversified,stapled security,HDF,I,3,-,6,-,3,-,17,3,23/12/09,31/12/09,29/1/10,,,,,,,,,
Hastings High Yield,ordinary units,HHY,I,3.7,-,7.2,-,4,-,14.2,4.1,23/12/09,31/12/09,10/2/10,,,,,,,,,
ING Office Fund,stapled securities,IOF,I,0.975,-,1.95,-,4,-,7.525,2.125,23/12/09,31/12/09,26/2/10,,,,,,,,,
ING Real Estate,units,IHF,I,3.825,-,3.825,-,3,-,-,4.35,23/12/09,31/12/09,26/2/10,,,,,,,,,
ITX Grp Ltd,ordinary,ITX,I,2.75,-,2.75,100,-,-,-,3.5,2/3/10,9/3/10,23/3/10,,,,,,,,,
KFM Diversified Inf,ordinary units,KIL,I,-,2,-,-,3,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
Macq Countrywid,units,MCW,I,-,3,-,-,3,-,-,-,23/12/09,31/12/09,19/2/10,,,,,,,,,
Macq Infra,stapled securities,MIG,I,10,-,10,-,4,-,-,10,25/1/10,1/2/10,12/2/10,,,,,,,,,
Macq Media,stapled securities,MMG,I,3.5,-,3.5,-,4,-,-,22.5,23/12/09,31/12/09,17/2/10,,,,,,,,,
Macq Office,unit,MOF,I,-,1,-,-,3,-,-,-,23/12/09,31/12/09,18/2/10,,,,,,,,,
MAP Grp,stapled us prohibit.,MAP,F,8,-,21,-,3,-,13,-,23/12/09,31/12/09,18/2/10,,,,,,,,,
Merchant House,ordinary,MHI,I,0.5,-,0.5,-,-,-,-,1,12/1/10,18/1/10,28/1/10,,,,,,,,,
Mirrabooka Invest,ordinary,MIR,I,3.5,-,3.5,100,3,-,-,6.5,21/1/10,28/1/10,12/2/10,,,,,,,,,
Mirvac Grp,stapled securities,MGR,I,2,-,4,-,4,-,21.45,0.2,23/12/09,31/12/09,29/1/10,,,,,,,,,
Multiplex European,units,MUE,I,-,0.625,-,-,-,-,2.113,-,23/12/09,31/12/09,29/1/10,,,,,,,,,
Newhaven Hotels,ordinary,NHH,I,4,-,4,100,-,-,-,3,11/1/10,15/1/10,1/2/10,,,,,,,,,
Orica Ltd,step up preference,ORIPB,I,288,-,288,-,-,-,-,470,10/5/10,14/5/10,31/5/10,,,,,,,,,
Ozgrowth Ltd,ordinary,OZG,I,0.3,-,0.3,100,-,-,-,0.2,25/1/10,1/2/10,15/2/10,,,,,,,,,
Premium Investors,ordinary,PRV,I,3.5,-,3.5,100,3,-,-,4,10/12/09,16/12/09,28/1/10,,,,,,,,,
Programmed,ordinary,PRG,I,3,-,3,100,3,-,-,10.5,31/12/09,7/1/10,27/1/10,,,,,,,,,
Rabinov Prop Tr,units,RBV,I,-,4.75,-,-,-,-,-,-,23/12/09,31/12/09,2/2/10,,,,,,,,,
Reef Casino Tr,units,RCT,F,-,13,11,-,-,-,10.5,-,23/12/09,31/12/09,26/3/10,,,,,,,,,
SPDR S&P/ASX Prop Fd,etf units,SLF,I,3.9297,-,17.7463,-,-,-,140.857,11.0063,31/12/09,7/1/10,5/3/10,,,,,,,,,
Stockland,units/ord stapled,SGP,I,-,10.8,-,-,4,-,-,23.9,23/12/09,31/12/09,26/2/10,,,,,,,,,
Suncorp-Metway,pref shares,SUNPB,Q3,130.37,-,359.66,100,-,-,-,108.78,1/3/10,5/3/10,15/3/10,,,,,,,,,
Tower Aust,ordinary,TAL,F,5.25,-,5.25,100,3,-,-,-,4/1/10,8/1/10,25/1/10,,,,,,,,,
Tower Ltd,ordinary,TWR,F,7.0793,-,7.0793,-,3,-,-,-,11/1/10,15/1/10,2/2/10,,,,,,,,,
Transfield Serv Infr,stapled securities,TSI,I,-,6,-,-,3,-,-,-,23/12/09,31/12/09,31/3/10,,,,,,,,,
Transurban Grp,triple stapled sec.,TCL,I,12,-,12,-,3,-,-,29,23/12/09,31/12/09,26/2/10,,,,,,,,,
Van Eyk Blueprint,ordinary units,VBP,I,-,2.3,-,-,3,-,-,82,23/12/09,31/12/09,29/3/10,,,,,,,,,
Westoz Inv Ltd,ordinary,WIC,I,2.5,-,2.5,100,4,-,-,-,25/1/10,1/2/10,15/2/10,,,,,,,,,
Westpac Banking,preferred,WBCPA,Q3,-,112.36,-,-,-,-,165.15,-,18/3/10,24/3/10,31/3/10,,,,,,,,,
Westpac Banking,preferred ii,WBCPB,Q3,-,136.53,-,-,-,-,-,-,18/3/10,24/3/10,31/3/10,,,,,,,,,
Westpac Office Tr,units,WOT,I,1.6625,-,3.325,-,-,-,-,-,23/12/09,31/12/09,16/2/10,,,,,,,,,
Westpac Office Tr,instalment receipts,WOTCA,I,0.85,-,1.7,-,-,-,2.85,0.85,23/12/09,31/12/09,16/2/10,,,,,,,,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,Q3,-,88.2,150.21,-,-,-,239.14,71.79,10/3/10,16/3/10,31/3/10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
