ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
Xao 4507.4 At 16:36 30/7/2010  Report At 19:05 Friday 30/7/2010!. Processed 13:05 Monday 2/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IVC",Invocare ,FPO,"72,730","12,876",17.70,-0.16,"102,069,091","0.01""",,,,,,,,,
"""LNC",Linc Energy,FPO,"1,165,398","206,163",17.69,-1.23,"494,652,399","0.04""",,,,,,,,,
"""NUF",Nufarm ,FPO,"1,808,264","319,796",17.68,1.59,"261,775,731","0.12""",,,,,,,,,
"""GNS",Gunns ,FPO,"2,463,283","433,821",17.61,1.48,"806,734,892","0.05""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"197,688","34,432",17.41,-2.38,"161,658,402","0.02""",,,,,,,,,
"""BXB",Brambles ,FPO,"9,297,687","1,604,554",17.25,-1.28,"1,422,229,707","0.11""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"1,045,475","177,339",16.96,-1.32,"321,130,521","0.05""",,,,,,,,,
"""UGL",UGL ,FPO,"475,950","80,661",16.94,-0.70,"165,928,705","0.04""",,,,,,,,,
"""TGR",Tassal Group ,FPO,"88,615","14,961",16.88,0.00,"144,197,882","0.01""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"2,604,048","439,251",16.86,0.44,"1,414,667,986","0.03""",,,,,,,,,
"""SUL",Super Cheap Auto Group ,FPO,"33,873","5,700",16.82,1.25,"127,532,302","0.00""",,,,,,,,,
"""CPU",Computershare,FPO,"3,569,995","598,380",16.76,0.00,"555,664,059","0.10""",,,,,,,,,
"""GNC",Graincorp ,FPO,"3,096,468","514,545",16.61,-6.14,"198,318,900","0.25""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"3,132,462","518,595",16.55,-1.23,"1,920,694,831","0.02""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"8,278,575","1,359,748",16.42,-0.84,"1,548,777,374","0.08""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"2,146,018","350,468",16.33,-1.02,"717,142,802","0.04""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"612,712","99,816",16.29,0.79,"420,711,773","0.02""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"8,439,027","1,374,421",16.28,-1.20,"1,930,432,682","0.07""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,737,670","445,833",16.28,-1.21,"880,668,872","0.05""",,,,,,,,,
"""DUE",Duet Group,FORUS,"1,844,455","297,552",16.13,-0.30,"870,559,400","0.03""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"1,594,857","256,060",16.05,-3.24,"419,657,088","0.06""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"1,172,373","186,033",15.86,-0.55,"491,428,342","0.03""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"1,462,674","231,468",15.82,3.78,"508,158,296","0.04""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"927,225","144,418",15.57,0.00,"354,475,517","0.04""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"1,387,818","215,570",15.53,-2.17,"631,237,586","0.03""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"4,131,781","639,181",15.47,-3.27,"733,711,705","0.08""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"2,822,847","436,279",15.45,-0.66,"395,028,737","0.11""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"70,908,947","10,940,543",15.42,-0.31,"12,443,074,357","0.08""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"12,374,386","1,891,854",15.28,1.24,"1,628,730,107","0.11""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"248,404","37,326",15.02,0.30,"100,503,783","0.03""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"1,054,216","158,007",14.98,-2.08,"498,485,150","0.03""",,,,,,,,,
"""CSL",CSL ,FPO,"2,979,004","445,750",14.96,0.42,"549,694,167","0.08""",,,,,,,,,
"""CSR",CSR ,FPO,"8,619,689","1,276,006",14.80,-1.14,"1,514,920,814","0.08""",,,,,,,,,
"""IGO",Independence Group,FPO,"205,799","30,444",14.79,-1.06,"113,813,539","0.02""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"5,929,845","870,578",14.68,-0.44,"1,005,167,663","0.08""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"12,419,524","1,808,459",14.56,-1.07,"2,989,104,006","0.06""",,,,,,,,,
"""ASX",ASX ,FPO,"1,229,599","178,942",14.55,0.24,"173,576,316","0.10""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"1,675,315","241,148",14.39,-1.95,"473,773,816","0.05""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"15,886,939","2,268,778",14.28,-0.80,"2,265,123,620","0.10""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"745,927","106,044",14.21,0.00,"760,374,428","0.01""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"14,015,380","1,980,164",14.12,0.24,"2,368,729,935","0.08""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"2,122,601","292,441",13.77,-2.50,"1,062,316,784","0.02""",,,,,,,,,
"""IOH",Iron Ore Holdings ,FPO,"64,281","8,836",13.74,-4.76,"135,374,850","0.00""",,,,,,,,,
"""IDL",Industrea ,FPO,"1,591,577","217,517",13.66,0.00,"956,668,877","0.02""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"14,690,900","2,005,428",13.65,-0.57,"2,307,773,663","0.08""",,,,,,,,,
"""BBG",Billabong International ,FPO,"795,159","108,157",13.60,0.66,"253,122,552","0.04""",,,,,,,,,
"""ORI",Orica ,FPO,"1,745,155","236,816",13.57,-0.15,"362,100,430","0.06""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"731,719","98,935",13.52,-2.35,"215,681,127","0.04""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"8,454,707","1,139,166",13.47,-1.07,"2,012,803,230","0.05""",,,,,,,,,
"""HFA",HFA Holdings ,FPO,"66,277","8,906",13.43,-2.85,"469,330,170","0.00""",,,,,,,,,
"""NFE",Northern Iron ,FPO,"690,571","92,686",13.42,2.35,"292,204,786","0.03""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"3,611,728","482,343",13.35,-6.13,"463,070,936","0.10""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"287,152","38,305",13.34,-1.23,"86,459,327","0.04""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"3,516,914","461,006",13.10,-1.37,"754,589,169","0.06""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,188,449","155,185",13.05,0.47,"450,076,509","0.03""",,,,,,,,,
"""AWE",AWE ,FPO,"5,787,641","755,145",13.04,-4.58,"521,871,941","0.14""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"10,771,812","1,397,891",12.97,-1.62,"2,729,071,212","0.05""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"16,711,108","2,164,865",12.95,-2.06,"1,823,322,017","0.11""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"404,780","52,313",12.92,-0.43,"216,011,546","0.02""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"1,596,847","205,409",12.86,0.00,"635,132,810","0.03""",,,,,,,,,
"""FWD",Fleetwood Corporation ,FPO,"126,412","16,105",12.74,-1.42,"53,967,182","0.03""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"145,072","18,220",12.55,2.21,"149,296,747","0.01""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"7,631,496","956,247",12.53,-0.67,"2,351,955,725","0.04""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"7,384,253","922,351",12.49,-0.79,"2,133,245,479","0.04""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"4,796,304","595,659",12.41,1.42,"713,154,560","0.08""",,,,,,,,,
"""CDU",Cudeco ,FPO,"404,245","49,328",12.20,-1.27,"137,285,632","0.03""",,,,,,,,,
"""AUN",Austar United Comms,FPO,"3,885,303","472,947",12.17,-4.56,"1,260,030,198","0.03""",,,,,,,,,
"""ASB",Austal ,FPO,"76,494","9,192",12.01,0.00,"188,069,638","0.00""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"4,405,575","524,707",11.91,-1.32,"702,867,609","0.07""",,,,,,,,,
"""SMX",SMS Management & Tech,FPO,"225,146","26,681",11.85,-0.67,"66,781,500","0.04""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"4,841,481","567,645",11.72,-1.64,"1,281,390,524","0.04""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"309,442","36,206",11.70,1.37,"248,219,660","0.01""",,,,,,,,,
"""KZL",Kagara,FPO,"3,815,092","446,263",11.69,-4.41,"674,489,717","0.06""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"18,062,937","2,108,721",11.67,0.00,"2,592,249,647","0.08""",,,,,,,,,
"""ELD",Elders ,FPO,"4,862,344","558,067",11.47,3.44,"448,598,480","0.12""",,,,,,,,,
"""CDI",Challenger Diversified Prop,STAPLED,"289,474","33,192",11.46,0.00,"913,426,007","0.00""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"73,839","8,410",11.39,-1.01,"232,490,800","0.00""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"10,650,351","1,202,502",11.29,-1.29,"1,655,499,093","0.07""",,,,,,,,,
"""AWB",AWB ,FPO,"19,578,733","2,202,317",11.24,3.66,"817,304,356","0.26""",,,,,,,,,
"""MCC",Macarthur Coal ,FPO,"712,395","79,708",11.18,-1.42,"254,333,109","0.03""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"553,666","61,538",11.11,-0.21,"202,081,252","0.03""",,,,,,,,,
"""GWT",GWA International ,FPO,"327,852","35,771",10.91,-1.62,"301,102,514","0.01""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"964,347","104,873",10.87,0.79,"440,346,022","0.02""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"37,316,662","4,036,008",10.81,-3.15,"6,369,751,394","0.06""",,,,,,,,,
"""COH",Cochlear ,FPO,"509,781","54,747",10.73,-0.57,"56,543,401","0.09""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"13,671,056","1,464,051",10.70,-0.26,"2,510,727,671","0.05""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"4,856,379","519,286",10.69,-0.40,"336,582,351","0.15""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"3,576,819","381,352",10.66,0.00,"565,958,113","0.06""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"2,126,007","222,180",10.45,0.58,"581,517,884","0.03""",,,,,,,,,
"""STW",SPDR S&P/ASX 200 Fund,ETF UNITS,"244,293","25,502",10.43,-0.54,"58,028,081","0.04""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"5,422,630","564,383",10.40,-0.03,"483,499,363","0.11""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"607,219","61,948",10.20,-1.38,"255,203,613","0.02""",,,,,,,,,
"""REA",REA Group,FPO,"15,590","1,585",10.16,0.59,"128,439,366","0.00""",,,,,,,,,
"""OKN",Oakton ,FPO,"85,627","8,551",9.98,-0.36,"91,987,235","0.00""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"249,975","24,571",9.82,0.90,"254,290,140","0.01""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"12,321,072","1,209,508",9.81,-1.17,"2,926,103,883","0.04""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"688,069","65,120",9.46,-1.82,"414,278,904","0.01""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"11,123,428","1,048,498",9.42,0.72,"1,035,071,131","0.10""",,,,,,,,,
"""WOW",Woolworths ,FPO,"7,424,823","699,405",9.42,0.90,"1,231,193,031","0.05""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"16,191,112","1,522,243",9.40,-1.21,"4,820,821,799","0.03""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"813,177","75,920",9.33,0.00,"309,109,468","0.02""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"1,232,740","114,195",9.26,0.00,"576,837,197","0.02""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"2,851,338","260,549",9.13,0.00,"1,813,551,794","0.01""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"1,251,614","114,092",9.11,-0.55,"493,650,070","0.02""",,,,,,,,,
"""BLD",Boral ,FPO,"4,653,262","419,899",9.02,-0.46,"667,285,171","0.06""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"2,341,021","208,873",8.92,0.37,"1,380,386,438","0.01""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"1,266,540","112,580",8.88,-0.57,"872,224,422","0.01""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"2,929,772","253,713",8.66,-1.27,"2,067,095,545","0.01""",,,,,,,,,
"""CAH",Catalpa Resources ,FPO,"108,626","9,355",8.61,1.33,"162,749,311","0.00""",,,,,,,,,
"""SGP",Stockland,STAPLED,"9,959,798","856,614",8.60,0.00,"2,383,036,717","0.03""",,,,,,,,,
"""NWH",NRW Holdings ,FPO,"665,665","57,114",8.58,-1.79,"251,223,000","0.02""",,,,,,,,,
"""APZ",Aspen Group,STAPLED,"619,226","53,009",8.56,3.22,"579,980,076","0.00""",,,,,,,,,
"""AWC",Alumina ,FPO,"13,208,603","1,117,367",8.45,-1.58,"2,440,196,187","0.04""",,,,,,,,,
