ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4632.7 at 16:36 21/6/2010  Report at 19:05 Monday 21/6/2010!. Processed 12:11 Tuesday 22/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""FWD",Fleetwood Corporation ,FPO,"164,177","28,712",17.48,0.51,"53,967,182","0.05""",,,,,,,,,
"""ANN",Ansell ,FPO,"517,350","90,128",17.42,2.21,"131,577,652","0.06""",,,,,,,,,
"""CPU",Computershare,FPO,"875,113","152,022",17.37,0.87,"555,664,059","0.02""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"2,425,587","420,249",17.32,1.09,"1,380,386,438","0.03""",,,,,,,,,
"""SMX",SMS Management & Tech,FPO,"159,814","27,595",17.26,-0.51,"66,781,500","0.04""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"6,084,436","1,046,905",17.20,1.18,"2,977,239,881","0.03""",,,,,,,,,
"""TRS",The Reject Shop ,FPO,"34,291","5,891",17.17,0.00,"25,973,070","0.02""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"3,214,896","539,086",16.76,0.00,"1,813,551,794","0.03""",,,,,,,,,
"""IDL",Industrea ,FPO,"797,871","133,056",16.67,1.47,"956,668,877","0.01""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"837,479","138,228",16.50,1.30,"309,109,468","0.04""",,,,,,,,,
"""AMC",Amcor ,FPO,"7,196,491","1,185,422",16.47,0.76,"1,221,353,174","0.09""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"3,840,653","630,748",16.42,0.57,"2,078,994,021","0.03""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,013,120","166,011",16.38,2.72,"463,070,936","0.03""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"544,676","87,994",16.15,0.00,"179,209,987","0.04""",,,,,,,,,
"""BXB",Brambles ,FPO,"8,134,960","1,308,720",16.08,0.00,"1,422,157,914","0.09""",,,,,,,,,
"""SBM",St Barbara ,FPO,"24,839,971","3,990,953",16.06,2.63,"1,952,668,407","0.20""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"17,738,954","2,833,991",15.97,1.77,"4,820,821,799","0.05""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"638,565","101,366",15.87,0.60,"216,011,546","0.04""",,,,,,,,,
"""SXL",Southern Cross Media Group LIMITE,FPO,"391,499","62,111",15.86,-0.26,"378,827,750","0.01""",,,,,,,,,
"""ETPMA",G  ETFS Metal Securities Australia,ETFS AG,"3,383",533,15.75,2.33,"455,585","0.11""",,,,,,,,,
"""CWN",Crown ,FPO,"1,090,836","168,535",15.45,1.87,"753,555,290","0.02""",,,,,,,,,
"""MAP",MAp Group,FORUS,"5,614,887","840,377",14.96,2.70,"1,861,210,782","0.04""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"1,724,651","256,930",14.89,2.35,"872,224,422","0.02""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"831,188","123,389",14.84,3.85,"322,273,136","0.03""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"5,212,105","764,707",14.67,-0.85,"1,281,937,479","0.06""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"479,271","68,089",14.20,2.02,"187,529,911","0.03""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"8,741,781","1,238,156",14.16,0.00,"2,351,955,725","0.05""",,,,,,,,,
"""IGO",Independence Group,FPO,"274,032","38,471",14.03,1.85,"113,703,539","0.03""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"211,977,743","29,610,364",13.96,3.40,"12,443,074,357","0.23""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"3,702,342","508,975",13.74,8.37,"435,384,268","0.11""",,,,,,,,,
"""NVT",Navitas ,FPO,"190,123","26,114",13.73,-1.08,"342,361,526","0.00""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"780,285","106,539",13.65,0.53,"202,081,252","0.05""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"3,797,140","518,366",13.65,1.79,"1,414,667,986","0.03""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"653,745","89,128",13.63,0.52,"203,881,274","0.04""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"890,837","120,787",13.55,1.56,"289,577,135","0.04""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"1,645,690","219,576",13.34,0.80,"239,431,783","0.09""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"1,182,533","153,626",12.99,0.99,"418,700,517","0.03""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"663,065","84,208",12.70,3.31,"321,030,521","0.02""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"817,335","103,663",12.68,2.50,"200,118,524","0.05""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"989,207","124,101",12.54,2.90,"200,184,686","0.06""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"2,341,549","286,976",12.25,-1.66,"798,520,953","0.03""",,,,,,,,,
"""EXT",Extract Resources,FPO,"121,041","14,737",12.17,1.28,"243,117,636","0.00""",,,,,,,,,
"""BBG",Billabong International ,FPO,"572,017","69,261",12.10,0.00,"253,122,552","0.02""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"5,718,871","689,037",12.04,5.08,"733,711,705","0.09""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"298,023","35,661",11.96,0.82,"177,546,198","0.02""",,,,,,,,,
"""PNA",PanAust ,FPO,"31,250,424","3,739,382",11.96,4.80,"2,953,892,669","0.12""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"826,090","96,061",11.62,-0.06,"450,076,509","0.02""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"1,937,663","223,250",11.52,3.50,"631,237,586","0.03""",,,,,,,,,
"""ERA",ERA,FPO 'A',"679,833","77,392",11.38,2.32,"190,737,934","0.04""",,,,,,,,,
"""ENV",Envestra ,FPO,"1,328,029","150,473",11.33,0.00,"1,386,827,962","0.01""",,,,,,,,,
"""RIC",Ridley Corporation ,FPO,"244,312","27,177",11.12,-0.82,"307,817,071","0.00""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"7,856,220","870,956",11.08,1.26,"3,940,145,951","0.02""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"2,433,676","266,575",10.95,1.48,"394,889,237","0.06""",,,,,,,,,
