ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4456.7 at 16:38 15/7/2010  Report at 19:06 Thursday 15/7/2010!. Processed 12:59 Friday 16/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""PXS",Pharmaxis,FPO,"189,589","28,089",14.81,1.45,"225,410,234","0.01""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"713,227","105,150",14.74,-0.10,"108,344,987","0.09""",,,,,,,,,
"""ELD",Elders ,FPO,"8,912,913","1,290,703",14.48,-3.96,"448,598,480","0.28""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"12,442,266","1,800,024",14.46,0.00,"395,028,737","0.45""",,,,,,,,,
"""CRG",Crane Group ,FPO,"185,842","26,683",14.35,-0.12,"78,286,427","0.03""",,,,,,,,,
"""IFL",IOOF Holdings ,FPO,"587,120","83,438",14.21,-0.61,"229,794,395","0.03""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"2,023,636","287,034",14.18,-1.26,"707,719,878","0.04""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"1,098,250","155,331",14.14,0.59,"414,278,904","0.03""",,,,,,,,,
"""WEC",White Energy Company ,FPO,"142,956","20,182",14.11,1.58,"236,766,184","0.00""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"547,215","76,411",13.96,1.21,"202,081,252","0.03""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"7,171,502","989,569",13.79,0.69,"2,351,955,725","0.04""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"39,751,652","5,481,079",13.78,0.61,"12,443,074,357","0.04""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"704,969","97,066",13.76,-1.94,"203,891,295","0.04""",,,,,,,,,
