ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4686.8 at 16:34 17/2/2010  Report at 19:05 Wednesday 17/2/2010. Processed 12:10 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""COH",Cochlear ,FPO,"334,045","59,264",17.74,0.35,"56,372,213","0.10""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"725,351","128,347",17.69,1.47,"364,673,825","0.03""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"29,228,593","5,117,192",17.50,3.73,"1,823,306,551","0.28""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"482,564","83,978",17.40,0.65,"620,709,233","0.01""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"18,064,439","3,144,465",17.40,0.86,"6,205,676,188","0.05""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"2,540,822","440,154",17.32,0.11,"460,804,793","0.09""",,,,,,,,,
"""PPT",Perpetual ,FPO,"125,810","21,754",17.29,3.14,"42,981,208","0.05""",,,,,,,,,
"""EPG",European Gas ,FPO,"436,293","75,000",17.19,0.00,"213,944,359","0.03""",,,,,,,,,
"""AAX",Ausenco ,FPO,"484,831","82,953",17.11,6.52,"121,861,958","0.06""",,,,,,,,,
"""IFL",IOOF Holdings ,FPO,"265,592","45,064",16.96,3.30,"229,794,395","0.02""",,,,,,,,,
"""MAH",Macmahon Holdings ,FPO,"5,246,435","890,268",16.96,2.34,"733,711,705","0.12""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"203,985","34,550",16.93,0.52,"120,437,014","0.02""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"4,000,913","676,162",16.90,0.00,"2,729,071,212","0.02""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"3,640,887","608,346",16.70,2.59,"1,275,641,444","0.04""",,,,,,,,,
"""ENV",Envestra ,FPO,"883,349","146,625",16.59,1.01,"1,346,902,042","0.01""",,,,,,,,,
"""AWC",Alumina ,FPO,"17,870,271","2,949,725",16.50,7.09,"2,440,196,187","0.12""",,,,,,,,,
"""ASX",ASX ,FPO,"994,344","159,824",16.07,1.47,"172,305,698","0.09""",,,,,,,,,
"""ACR",Acrux ,FPO,"659,723","104,606",15.85,3.94,"160,381,216","0.06""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"29,512,270","4,680,044",15.85,4.02,"3,121,339,730","0.15""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"764,182","121,164",15.85,1.38,"202,081,252","0.06""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"1,584,444","249,731",15.76,1.89,"334,810,944","0.07""",,,,,,,,,
