ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 19:07 Tuesday 29/12/2009!. Processed 11:40 Wednesday 30/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""EXT",Extract Resources,FPO,"124,575","20,535",16.48,0.58,"242,617,636","0.00""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"757,464","120,613",15.92,3.03,"960,638,735","0.01""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"316,377","50,127",15.84,-0.31,"203,464,058","0.02""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"178,315","28,205",15.81,-0.35,"202,081,252","0.01""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"4,284,496","677,194",15.80,1.17,"3,873,085,929","0.01""",,,,,,,,,
"""CNX",Carbon Energy ,FPO,"421,173","65,318",15.50,2.64,"585,997,650","0.01""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"1,002,173","153,397",15.30,6.52,"490,705,150","0.03""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"1,892,870","289,076",15.27,1.16,"1,534,246,082","0.01""",,,,,,,,,
"""ORI",Orica ,FPO,"385,877","58,924",15.27,0.86,"361,065,279","0.01""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"2,325,890","349,935",15.04,0.64,"631,237,586","0.05""",,,,,,,,,
"""ENV",Envestra ,FPO,"1,730,916","258,772",14.95,5.05,"1,346,902,042","0.01""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"424,310","63,342",14.92,0.35,"448,868,339","0.01""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"968,676","144,073",14.87,0.84,"200,184,686","0.07""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"934,282","137,605",14.72,4.25,"270,000,000","0.05""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"9,712,621","1,428,620",14.70,2.02,"1,823,306,551","0.07""",,,,,,,,,
"""IVC",Invocare ,FPO,"156,235","22,957",14.69,0.82,"101,834,236","0.02""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"2,207,272","322,853",14.62,15.06,"1,561,166,672","0.02""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"8,776,919","1,282,853",14.61,4.06,"2,729,071,212","0.04""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"1,658,913","240,001",14.46,2.25,"713,154,560","0.03""",,,,,,,,,
