ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4689.6 at 16:47 17/12/2009  Report at 19:06 Thursday 17/12/2009. Processed 11:39 Friday 18/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""CRG",Crane Group ,FPO,"559,138","59,974",10.72,1.48,"77,684,223","0.07""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,632,774","173,659",10.63,0.00,"706,586,545","0.02""",,,,,,,,,
"""CPU",Computershare,FPO,"3,656,202","388,050",10.61,0.09,"555,654,059","0.07""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"2,632,747","274,401",10.42,1.38,"452,219,624","0.06""",,,,,,,,,
"""PMP",PMP ,FPO,"232,332","24,168",10.40,4.02,"335,348,483","0.00""",,,,,,,,,
"""COH",Cochlear ,FPO,"375,753","38,744",10.31,1.54,"56,351,818","0.06""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"20,309,658","2,093,903",10.31,2.18,"1,929,665,584","0.10""",,,,,,,,,
"""TRY",Troy Resources,FPO,"235,956","24,189",10.25,4.86,"87,448,889","0.02""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"23,642,924","2,408,193",10.18,-1.75,"2,926,103,883","0.08""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"2,893,634","286,863",9.91,3.93,"414,227,380","0.06""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"3,790,817","375,077",9.89,-0.45,"483,712,063","0.07""",,,,,,,,,
"""BLD",Boral ,FPO,"5,214,695","509,255",9.76,-1.05,"595,313,279","0.08""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"4,838,291","468,019",9.67,4.11,"1,161,817,264","0.04""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"6,874,843","662,409",9.63,-0.18,"1,290,049,879","0.05""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"24,498,253","2,345,306",9.57,1.73,"2,729,071,212","0.08""",,,,,,,,,
"""CWN",Crown ,FPO,"4,442,558","416,773",9.38,0.00,"753,555,290","0.05""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"16,137,928","1,508,705",9.34,1.09,"1,860,813,983","0.08""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"4,236,602","392,818",9.27,-0.36,"699,358,971","0.05""",,,,,,,,,
"""AMC",Amcor ,FPO,"8,045,047","737,955",9.17,-0.16,"1,220,810,970","0.06""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"13,548,688","1,216,404",8.97,3.17,"2,078,994,021","0.05""",,,,,,,,,
"""RED",Red 5 ,FPO,"1,292,918","115,000",8.89,0.00,"757,288,043","0.01""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"6,174,736","533,596",8.64,0.32,"1,045,236,720","0.05""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"15,784,804","1,360,496",8.61,1.56,"2,351,955,725","0.05""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"2,145,853","183,985",8.57,0.00,"426,875,768","0.04""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"6,408,538","542,173",8.46,3.04,"375,826,253","0.14""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"5,850,640","490,769",8.38,0.26,"748,208,467","0.06""",,,,,,,,,
"""IFL",IOOF Holdings ,FPO,"1,356,349","113,340",8.35,4.27,"229,794,395","0.04""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"28,977,771","2,416,226",8.33,1.23,"2,368,729,935","0.10""",,,,,,,,,
"""SDM",Sedgman ,FPO,"41,828","3,480",8.32,1.35,"205,437,695","0.00""",,,,,,,,,
"""CSL",CSL ,FPO,"4,602,222","379,996",8.25,0.32,"589,119,028","0.06""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"1,313,321","108,265",8.24,1.97,"178,950,022","0.06""",,,,,,,,,
"""ANN",Ansell ,FPO,"1,058,855","86,672",8.18,-0.57,"133,337,196","0.06""",,,,,,,,,
"""BCC",Buccaneer Energy ,FPO,"8,272,588","672,953",8.13,-3.00,"346,522,863","0.19""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"5,712,722","463,646",8.11,1.55,"1,031,911,394","0.04""",,,,,,,,,
"""STO",Santos ,FPO,"6,395,270","512,845",8.01,-0.07,"831,395,138","0.06""",,,,,,,,,
"""SEV",Seven Network ,FPO,"555,266","44,042",7.93,2.01,"190,260,281","0.02""",,,,,,,,,
"""APN",APN News & Media ,FPO,"2,142,012","169,821",7.92,2.75,"595,311,917","0.02""",,,,,,,,,
"""MIG",Macquarie Infrastructure Grp,STAPLED,"13,255,232","1,040,248",7.84,1.52,"2,261,732,048","0.04""",,,,,,,,,
"""SFH",Specialty Fashion Group ,FPO,"99,751","7,804",7.82,2.06,"190,520,584","0.00""",,,,,,,,,
"""TZN",Terramin Australia ,FPO,"269,064","21,017",7.81,-0.66,"158,388,677","0.01""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"72,922,544","5,657,476",7.75,1.42,"12,443,074,357","0.04""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"1,354,464","104,230",7.69,-0.46,"201,490,660","0.05""",,,,,,,,,
"""AGS",Alliance Resources ,FPO,"545,301","41,151",7.54,1.53,"341,172,309","0.01""",,,,,,,,,
"""SRK",Strike Resources ,FPO,"49,500","3,725",7.52,0.00,"130,034,268","0.00""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"2,872,272","211,022",7.34,-0.21,"448,868,339","0.04""",,,,,,,,,
"""MPO",Molopo Energy ,FPO,"2,287,222","167,895",7.34,3.40,"193,921,119","0.08""",,,,,,,,,
"""ORI",Orica ,FPO,"2,983,882","216,039",7.24,0.71,"361,065,279","0.06""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"24,785,313","1,786,411",7.20,3.34,"2,995,569,402","0.06""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"3,358,510","241,095",7.17,2.79,"1,037,994,023","0.02""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"6,429,979","450,506",7.00,6.12,"685,099,634","0.06""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"293,529","20,148",6.86,3.61,"1,823,458,876","0.00""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"11,280,285","771,473",6.83,0.79,"1,894,371,752","0.04""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"14,953,434","1,015,501",6.79,0.00,"1,380,386,438","0.07""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"17,175,525","1,156,245",6.73,0.00,"3,873,085,929","0.03""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"6,724,139","449,271",6.68,1.71,"1,080,653,789","0.04""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"3,155,088","210,011",6.65,-2.26,"533,379,348","0.03""",,,,,,,,,
"""HFA",HFA Holdings ,FPO,"300,745","20,000",6.65,0.00,"460,483,911","0.00""",,,,,,,,,
"""SGP",Stockland,STAPLED,"17,945,792","1,193,105",6.64,1.80,"2,383,036,717","0.05""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"761,277","50,449",6.62,5.12,"93,937,192","0.05""",,,,,,,,,
